VarDiscRet,ESSRenyi,J,MinVanillaIw,MaxVanillaIw,MaxNormIw,VanillaAvgRet,eRenyi2,AvgEpLen,BatchSize,MinNormIw,AvgDiscRet,VarJ,AvgNormIw,AvgVanillaIw,AvgRet,VarNormIw,VarVanillaIw,Bound,EpsThisIter,VarRet,ESSClassic,IterType
17647.03692024444,4.284988409507155,635.6235,6.992975e-19,72.57789,0.7989807,113.33971806407222,23.337286,12.34,100,7.698285e-21,113.33971806407222,864.40564,0.010000002,0.908381,113.33971806407222,0.00637751,52.624416,334.77197,100,17647.03692024444,1.5591539629018145,1
72438.92934085338,4.050318733311269,1237.1953,9.561113e-18,77.66244,0.50645125,307.9635030122281,24.689415,31.81,100,6.23498e-20,307.9635030122281,3501.4453,0.010000002,1.5334632,307.9635030122281,0.0028652824,67.37739,451.0298,100,72438.92934085338,3.4052646872382466,1
102799.58588990776,13.152419662853347,1122.3751,4.1457198e-09,20.021942,0.2646436,687.7530603255628,7.6031637,69.8,100,5.4796796e-11,687.7530603255628,792.8343,0.01,0.7565624,687.7530603255628,0.0012445317,7.1235332,725.5536,100,102799.58588990776,7.507020490165536,1
384814.6821467334,21.076487229348324,1812.4397,7.396887e-10,18.347883,0.14922328,1245.3177001209312,4.7446237,125.56,100,6.015886e-12,1245.3177001209312,2228.2078,0.01,1.2295591,1245.3177001209312,0.00049556204,7.491983,1203.8195,100,384814.6821467334,16.931749619104227,1
429204.2776085188,7.146439109459427,3167.5461,1.0650875e-15,60.202362,0.4732075,1434.031344235666,13.992983,144.44,100,8.3718875e-18,1434.031344235666,4617.74,0.01,1.2722191,1434.031344235666,0.002780757,45.007713,1876.7632,100,429204.2776085188,3.505144454670228,1
903170.1487597147,17.547513960223664,3057.9636,0.004716283,70.584305,0.4915039,1752.6302503099348,5.698813,176.29,100,3.2841177e-05,1752.6302503099348,6960.657,0.009999998,1.4360884,1752.6302503099348,0.0024211493,49.932568,2053.3994,100,903170.1487597147,4.004905720114672,1
454117.8803405944,71.24850472220703,2036.7507,0.013165546,2.32191,0.024196662,1855.5693975376043,1.4035382,186.6,100,0.00013719838,1855.5693975376043,846.0084,0.01,0.95959926,1855.5693975376043,4.2761312e-05,0.39375928,1538.2122,100,454117.8803405944,70.25742853341364,1
737855.4153289482,41.20887909361971,2695.8047,0.029764706,12.4921055,0.105907194,2289.574521258909,2.4266615,229.99,100,0.0002523431,2289.574521258909,2592.5452,0.01,1.1795332,2289.574521258909,0.00017841006,2.4822168,2040.2773,100,737855.4153289482,36.149893081927964,1
825873.1881419666,51.0600336772149,2659.0361,0.012626171,8.895147,0.08281009,2400.9977056967373,1.9584789,241.15,100,0.000117544354,2400.9977056967373,1438.0991,0.01,1.0741622,2400.9977056967373,0.00010881962,1.2555877,2070.1309,100,825873.1881419666,48.13907618276801,1
1125352.4744398445,32.66219490238807,3155.9417,0.0074175545,11.432705,0.09166693,2524.383036919951,3.0616436,253.44,100,5.9473627e-05,2524.383036919951,1809.5074,0.01,1.2472006,2524.383036919951,0.00023759855,3.695868,2419.628,100,1125352.4744398445,29.830925199946595,1
1461193.550772325,13.527076218614475,4253.769,4.1901796e-29,15.06865,0.1593741,2747.9761349078,7.3925805,275.79,100,4.431758e-31,2747.9761349078,2338.9014,0.01,0.9454893,2747.9761349078,0.00074382976,6.649465,3109.6152,100,1461193.550772325,11.95612531912391,1
1005093.4320081201,200.0,2687.1123,1.0,1.0,0.01,2687.1126753076196,1.0,269.75,200,0.01,2687.1126753076196,997.5182,0.009999998,1.0,2687.1126753076196,3.5044917e-18,,2266.3022,100,1005093.4320081201,100.0,
1151861.592584495,57.81378954673153,3364.174,5.4990895e-05,34.420578,0.15752698,2860.2096874014837,3.4593823,287.03,200,2.5166776e-07,2860.2096874014837,4064.6233,0.005,1.0925297,2860.2096874014837,0.00017596678,8.401505,2810.734,100,1151861.592584495,24.98914111161123,1
1030267.5155296337,200.0,3106.954,1.0,1.0,0.01,3106.9541973097225,1.0,311.69,200,0.01,3106.9541973097225,1009.9331,0.009999998,1.0,3106.9541973097225,3.5044917e-18,,2686.1438,100,1030267.5155296337,100.0,2
