Bound,AvgDiscRet,VarVanillaIw,MinVanillaIw,MaxNormIw,BatchSize,AvgVanillaIw,AvgNormIw,MaxVanillaIw,MinNormIw,VanillaAvgRet,VarRet,AvgEpLen,eRenyi2,VarDiscRet,AvgRet,VarNormIw,J,ESSRenyi,VarJ,ESSClassic
-827.3559,-1993.2639335390281,1.5762125,8.790152e-18,0.030394042,100,1.1205921,0.01,3.4059324,7.844203e-20,-1993.2639335390281,5199563.091760254,200.0,2.439829,5199563.091760254,-1993.2639335390281,0.00012552194,-70.91063,40.98647710410582,187.5566,44.589762423099025
-270.393,-40.180980689958304,0.04065181,0.30481738,0.011948633,100,1.0299902,0.009999999,1.2306974,0.0029594202,-40.180980689958304,82979.31150263816,200.0,1.0624328,82979.31150263816,-40.180980689958304,3.8318954e-06,-19.647072,94.1236031153238,85.90372,96.34509738994095
-263.05496,-38.208322430948265,0.057043914,0.22541538,0.012327086,100,0.99690104,0.01,1.2288885,0.002261161,-38.208322430948265,81514.53714185861,200.0,1.0619234,81514.53714185861,-38.208322430948265,5.739913e-06,-14.82969,94.1687521378114,65.34653,94.62303958828534
-10.655627,-9.177798464265269,0.55029964,0.000733271,0.021675091,100,0.9910828,0.01,2.148181,7.3986857e-06,-9.177798464265269,71.30884548290443,200.0,1.5989465,71.30884548290443,-9.177798464265269,5.6024677e-05,-7.604541,62.54118132981335,7.727385,64.32340008997706
-11.213548,-9.45723581970925,0.41622317,7.90605e-05,0.01850761,100,0.95559084,0.010000002,1.7685701,8.2734675e-07,-9.45723581970925,57.14487120037465,200.0,1.3583231,57.14487120037465,-9.45723581970925,4.5580837e-05,-8.667774,73.62018668754234,8.887019,68.90609281118212
-9.977945,-8.043776837034365,0.11659173,0.40705496,0.02011772,100,1.0405438,0.01,2.093337,0.0039119446,-8.043776837034365,47.89145272999074,200.0,1.112953,47.89145272999074,-8.043776837034365,1.0768295e-05,-7.8136163,89.85105813696174,6.584936,90.36639971980381
-8.044455,-6.489311605835698,1.9842215,4.3976284e-27,0.06436627,100,0.744067,0.01,4.789282,5.9102583e-29,-6.489311605835698,46.419865104130835,200.0,3.4218051,46.419865104130835,-6.489311605835698,0.00035839836,-4.435812,29.224340899176294,8.856774,21.98698932635306
-10.076307,-8.493202537251735,2.4715443,,0.054291464,100,0.93716955,0.010000002,5.088031,,-8.493202537251735,63.81622838151091,200.0,3.693686,63.81622838151091,-8.493202537251735,0.00028140517,-6.277546,27.073227061298663,13.162346,26.413716849769056
-9.270161,-7.456399800760332,0.0974025,0.73547757,0.02432566,100,1.0017481,0.01,2.4368181,0.007341942,-7.456399800760332,39.150351963005434,200.0,1.079861,39.150351963005434,-7.456399800760332,9.7062875e-06,-7.3313904,92.60450728710869,5.9259305,91.2331826539063
-9.645908,-7.8696269003373125,0.13098364,0.27755427,0.021880895,100,0.9548851,0.01,2.089374,0.002906677,-7.8696269003373125,43.673933563022395,200.0,1.159926,43.673933563022395,-7.8696269003373125,1.4365302e-05,-7.597206,86.21239208173756,6.700162,87.54907205129685
-9.127966,-7.435941204347634,0.10444139,0.83550656,0.030993741,100,1.0056853,0.010000002,3.116995,0.008307832,-7.435941204347634,46.617190606409665,200.0,1.1090271,46.617190606409665,-7.435941204347634,1.0326388e-05,-7.1871257,90.16911826196466,6.800311,90.72506862347743
-9.794154,-7.957787519176887,0.07194619,0.78460455,0.02213749,100,1.0100421,0.009999999,2.2359796,0.007768038,-7.957787519176887,48.85066032695797,200.0,1.0899156,48.85066032695797,-7.957787519176887,7.052268e-06,-7.766563,91.75022080035,6.76161,93.47389537139134
-9.826363,-7.9956012743310945,0.13075137,0.33847052,0.02021642,100,1.0036026,0.01,2.0289252,0.0033725551,-7.9956012743310945,59.36304242515469,200.0,1.12036,59.36304242515469,-7.9956012743310945,1.2981433e-05,-7.773995,89.25702318758758,8.188203,88.61193459670072
-8.969387,-7.486544489992816,0.4979928,3.906609e-06,0.020202305,100,0.921318,0.01,1.8612747,4.2402394e-08,-7.486544489992816,44.402790997808616,200.0,1.4211359,44.402790997808616,-7.486544489992816,5.866837e-05,-6.6321063,70.36624704983126,6.871035,63.25843862920715
-8.407137,-6.654810121055378,0.18264404,0.1031768,0.016537638,100,1.0278733,0.010000002,1.6998596,0.0010037891,-6.654810121055378,44.90159834549565,200.0,1.1753836,44.90159834549565,-6.654810121055378,1.728727e-05,-6.293419,85.07860985866697,6.9415984,85.38658597393923
-9.900279,-8.050759340477782,0.06756535,0.63146156,0.016800892,100,1.0225265,0.01,1.7179357,0.006175503,-8.050759340477782,49.937632564918964,200.0,1.0628518,49.937632564918964,-8.050759340477782,6.4621195e-06,-7.9319906,94.08649565206761,7.096244,93.98719647594469
-9.192592,-7.352367276662427,0.059335563,0.8577007,0.022267284,100,0.9974583,0.01,2.2210686,0.008598863,-7.352367276662427,49.71570598730119,200.0,1.0701262,49.71570598730119,-7.352367276662427,5.963834e-06,-7.205792,93.4469245346011,6.874617,94.42498949853031
-10.0124035,-8.18265993658791,0.07152148,0.1534025,0.01282396,100,1.0044464,0.01,1.288098,0.0015272344,-8.18265993658791,56.1256630595632,200.0,1.0720707,56.1256630595632,-8.18265993658791,7.088968e-06,-8.0055895,93.27742875407489,7.611332,93.44216021417225
-10.016533,-8.28912180661679,1.5140418,2.0743425e-16,0.028780177,100,1.185189,0.010000002,3.410995,1.7502207e-18,-8.28912180661679,59.08194406635173,200.0,2.4611719,59.08194406635173,-8.28912180661679,0.000107786065,-6.9999323,40.63105116845523,10.058739,48.37737063475312
-10.081247,-8.151830411959276,0.06540283,0.8386239,0.022098005,100,1.0215971,0.009999999,2.257526,0.008208949,-8.151830411959276,53.55940748150545,200.0,1.068379,53.55940748150545,-8.151830411959276,6.266675e-06,-8.054002,93.59973926082766,7.356735,94.15842240561018
-8.276955,-6.430894624937655,0.20769249,0.30578673,0.02185352,100,1.0629525,0.009999999,2.3229253,0.0028767677,-6.430894624937655,45.492997327133374,200.0,1.1667757,45.492997327133374,-6.430894624937655,1.838201e-05,-6.174015,85.70627559865397,7.252511,84.60367483141388
-7.5178595,-6.816172415451982,3.7304533,,0.051074844,100,1.129144,0.010000002,5.767085,,-6.816172415451982,40.48246809322306,200.0,4.1142483,40.48246809322306,-6.816172415451982,0.00029259242,-3.6303427,24.305776729432914,6.6099057,25.662972482561482
-9.040773,-7.621926604806999,0.88360226,0.0496338,0.045445457,100,1.1011574,0.01,5.00426,0.0004507421,-7.621926604806999,50.659288185488116,200.0,1.6135713,50.659288185488116,-7.621926604806999,7.287156e-05,-6.548064,61.97433039070181,8.172822,58.09128938866709
-9.615539,-8.138134121517645,0.17587745,0.79192525,0.034443274,100,1.0032568,0.010000002,3.4555452,0.007893545,-8.138134121517645,50.00981331205761,200.0,1.2446026,50.00981331205761,-8.138134121517645,1.7473738e-05,-7.44292,80.34693414088218,7.2331533,85.25219614042022
-10.149368,-8.2228016484514,0.011590041,0.91323316,0.014209384,100,1.0044577,0.01,1.4272726,0.009091803,-8.2228016484514,47.68096909180755,200.0,1.0183641,47.68096909180755,-8.2228016484514,1.1487399e-06,-8.180325,98.19670858844034,6.8590913,98.87552911713264
-9.636855,-7.960046794167477,0.039069813,0.8321854,0.021057738,100,0.9633316,0.01,2.0285585,0.0086386185,-7.960046794167477,45.03598760299103,200.0,1.1160508,45.03598760299103,-7.960046794167477,4.210074e-06,-7.6366606,89.6016529601811,6.427294,95.99877828841215
-8.956898,-7.356661314546451,1.4857297,0.7823502,0.1097686,100,1.1481422,0.01,12.602997,0.006814053,-7.356661314546451,50.520431940542906,200.0,1.2386562,50.520431940542906,-7.356661314546451,0.00011270635,-6.867326,80.7326544441462,6.901567,47.26360710293457
-7.545403,-6.412838949505828,2.0583298,1.7491423e-27,0.07940834,100,0.73155135,0.01,5.809128,2.3910041e-29,-6.412838949505828,35.61224782841134,200.0,4.172427,35.61224782841134,-6.412838949505828,0.00038461422,-3.5489385,23.966865267523744,6.9045367,20.800053193033577
-9.682285,-7.77692689047726,0.02647785,0.86613256,0.019039042,100,0.9865415,0.010000002,1.8782806,0.008779484,-7.77692689047726,50.956993303705254,200.0,1.0492456,50.956993303705254,-7.77692689047726,2.7205203e-06,-7.6827626,95.30657110947759,7.2579365,97.37731952725048
-9.635507,-8.677094038553768,2.0358167,9.705548e-22,0.039093107,100,1.0120862,0.01,3.9565594,9.5896456e-24,-8.677094038553768,53.0015285253587,200.0,2.8434668,53.0015285253587,-8.677094038553768,0.00019874841,-6.3361263,35.168337977945335,9.817135,33.69715994609064
-9.733334,-7.935254233726782,0.12347139,0.38641188,0.024927946,100,0.9888404,0.01,2.464976,0.0039077275,-7.935254233726782,52.362409027945596,200.0,1.1740639,52.362409027945596,-7.935254233726782,1.2627398e-05,-7.615978,85.17423814282445,7.4828377,88.8880150757182
-9.826606,-7.934019011311237,0.035125192,0.77004683,0.017033173,100,0.992942,0.01,1.6912951,0.0077552046,-7.934019011311237,48.18937588351717,200.0,1.0480623,48.18937588351717,-7.934019011311237,3.5626322e-06,-7.843883,95.4141730506573,6.896046,96.59316614853873
-8.122724,-6.995935265107999,1.262005,1.6078511e-24,0.039389793,100,0.82498115,0.010000002,3.2495837,1.948955e-26,-6.995935265107999,49.62593367692459,200.0,2.3582351,49.62593367692459,-6.995935265107999,0.00018542701,-5.1090646,42.40459279022521,9.261674,35.26431716438764
-10.664108,-8.763683149440316,0.020474562,0.8890283,0.01877274,100,0.9769082,0.01,1.8339244,0.009100429,-8.763683149440316,52.56962556055094,200.0,1.0366172,52.56962556055094,-8.763683149440316,2.145394e-06,-8.686992,96.4676293947348,7.212545,97.92022256742669
-10.205613,-8.325340904921779,0.0074710622,0.9130938,0.012998597,100,0.9816677,0.01,1.2760303,0.009301455,-8.325340904921779,48.82315579544183,200.0,1.0203314,48.82315579544183,-8.325340904921779,7.752706e-07,-8.283884,98.00737455544703,6.9710417,99.23834425909375
-9.001908,-7.435546002314895,0.22990851,0.029078187,0.0177745,100,0.93952715,0.01,1.6699625,0.0003094981,-7.435546002314895,52.798733778744094,200.0,1.2256979,52.798733778744094,-7.435546002314895,2.604572e-05,-6.853229,81.5861739159274,8.128063,79.50057148699493
-10.10177,-8.368370184566562,0.30373168,0.753361,0.043423757,100,1.0146627,0.010000002,4.406047,0.0074247424,-8.368370184566562,46.85019677622265,200.0,1.2062111,46.85019677622265,-8.368370184566562,2.950167e-05,-7.9742966,82.90422863937812,6.751365,77.39538500945527
