VarNormIw,IterType,BatchSize,AvgDiscRet,ESSRenyi,VanillaAvgRet,AvgEpLen,AvgRet,VarDiscRet,VarVanillaIw,VarRet,EpsThisIter,J,MinNormIw,VarJ,MaxNormIw,MaxVanillaIw,Bound,MinVanillaIw,AvgVanillaIw,ESSClassic,AvgNormIw,eRenyi2
0.0021696116,1,100,107.04028778741838,10.1820873892845,107.04028778741838,11.71,107.04028778741838,12437.688407561976,39.750286,12437.688407561976,100,342.84213,9.753058e-12,475.39902,0.45338845,61.369083,195.16257,1.32014e-09,1.3535652,4.448566317276889,0.009999999,9.821169
0.0009899783,1,100,212.7813076898669,18.272472924588776,212.7813076898669,22.29,212.7813076898669,32615.19127466603,10.825477,32615.19127466603,100,408.52298,3.4908783e-08,536.3312,0.2932586,30.66631,249.0732,3.650442e-06,1.0457088,9.25858881207321,0.01,5.472713
0.0008030239,1,100,457.9284887139732,9.58639070711352,457.9284887139732,46.81,457.9284887139732,177931.2839925018,16.281399,177931.2839925018,100,1341.1921,1.3108185e-35,2002.2395,0.2045137,29.120846,745.9545,1.8664835e-33,1.4239068,11.173262716327802,0.01,10.431455
0.002312049,1,100,1097.9629385498747,6.8925742151875955,1097.9629385498747,110.78,1097.9629385498747,1343570.785613681,48.107353,1343570.785613681,100,4482.98,6.7671024e-17,2734.671,0.3674328,53.001133,2880.1318,9.761352e-15,1.4424715,4.185977966787047,0.01,14.508368
0.00027997096,1,100,3239.0778742336784,22.927479309094355,3239.0778742336784,324.59,3239.0778742336784,2915153.957114431,3.3899274,2915153.957114431,100,4634.2925,6.579603e-08,1220.5596,0.065174006,7.171551,3755.4553,7.2399966e-06,1.1003699,26.513159356453848,0.01,4.3615785
4.1914107e-05,1,100,4723.6342388401945,74.21856295742899,4723.6342388401945,472.51,4723.6342388401945,822893.0479281477,0.35150504,822893.0479281477,100,4940.154,0.00043467648,208.02934,0.02538933,2.3250747,4451.6924,0.0398063,0.91576844,70.67390634654676,0.01,1.3473718
8.063529e-06,1,100,4911.691463094626,92.38547943850705,4911.691463094626,491.24,4911.691463094626,293139.58465178567,0.08229258,293139.58465178567,100,4978.8286,0.00089957187,127.94371,0.013739119,1.387959,4541.0195,0.09087692,1.0102241,92.60725076118679,0.01,1.0824212
4.4061812e-06,1,100,4958.42692005505,95.79237263409817,4958.42692005505,495.89,4958.42692005505,169772.7643996396,0.044528518,169772.7643996396,100,4985.777,0.0033683288,139.04677,0.013513769,1.358515,4555.8237,0.33861208,1.0052822,95.82022462058768,0.01,1.0439245
8.645755e-06,1,100,4930.311278784919,92.62454851841828,4930.311278784919,493.11,4930.311278784919,136962.4932753738,0.08753247,136962.4932753738,100,4981.3486,0.002348593,100.125175,0.013639517,1.3724043,4544.105,0.23631474,1.0061971,92.11553642911147,0.01,1.0796274
6.7747726e-07,1,100,4988.773622866287,99.37680757493028,4988.773622866287,498.92,4988.773622866287,11933.292002762795,0.006798224,11933.292002762795,100,4991.6445,0.005766395,80.433685,0.011440068,1.1459851,4569.5166,0.5776367,1.0017294,99.3337409166418,0.01,1.006271
1.3440274e-05,1,100,4891.178035137115,88.22765713439502,4891.178035137115,489.19,4891.178035137115,358803.2427982545,0.13785703,358803.2427982545,100,4948.5527,0.00051630236,355.95428,0.0184025,1.8637481,4500.5464,0.0522895,1.012769,88.25668081474979,0.010000002,1.1334314
3.6223678e-06,1,100,4964.097523525103,96.79345867646963,4964.097523525103,496.46,4964.097523525103,125345.92414952183,0.036594536,125345.92414952183,100,4992.5015,0.0019724315,70.09211,0.01216466,1.2226774,4564.7773,0.1982503,1.0051061,96.53799933109444,0.01,1.0331277
3.5044917e-18,1,100,4999.734444584498,100.0,4999.734444584498,500.0,4999.734444584498,0.06536617973156704,,0.06536617973156704,100,4999.7344,0.01,0.2543923,0.01,1.0,4578.924,1.0,1.0,100.0,0.009999998,1.0
