VarVanillaIw,J,VarRet,BatchSize,ESSRenyi,eRenyi2,AvgDiscRet,VanillaAvgRet,MaxNormIw,AvgVanillaIw,AvgNormIw,VarJ,AvgEpLen,MinVanillaIw,MaxVanillaIw,MinNormIw,AvgRet,Bound,ESSClassic,VarDiscRet,VarNormIw
1.9814391,-70.54177,4417626.852484806,100,36.563786673701095,2.7349465,-1893.9817602348166,-1893.9817602348166,0.033871364,1.1375325,0.01,167.3094,200.0,1.1885527e-09,3.8529778,1.0448516e-11,-1893.9817602348166,-871.97217,39.74622924951756,4417626.852484806,0.00015312748
0.186241,-19.69618,432693.5382031614,100,85.56908703136776,1.1686463,-173.25262894238753,-173.25262894238753,0.01497929,0.96143943,0.01,43.432182,200.0,0.023553062,1.440168,0.00024497707,-173.25262894238753,-342.1861,83.37051339912337,432693.5382031614,2.0147982e-05
0.07970805,-9.707893,396.7133602484441,100,93.3082853375901,1.0717162,-11.708962864063375,-11.708962864063375,0.012529451,0.997379,0.01,8.998851,200.0,0.13261607,1.2496612,0.0013296457,-11.708962864063375,-26.191902,92.65038165622018,396.7133602484441,8.012753e-06
0.1938778,-8.810779,71.04356682747027,100,84.06192072577417,1.1895993,-9.432653542215599,-9.432653542215599,0.015369747,0.9738333,0.009999999,8.542281,200.0,0.019512596,1.4967571,0.00020036894,-9.432653542215599,-11.303951,83.16753989703759,71.04356682747027,2.0443671e-05
3.6210747,-4.437049,60.49497247981125,100,17.258449217299233,5.7942634,-9.559917283296173,-9.559917283296173,0.102577135,0.79838806,0.01,10.069316,200.0,3.9569964e-36,8.189636,4.956232e-38,-9.559917283296173,-9.545484,15.096640500346602,60.49497247981125,0.0005680799
0.036829807,-7.7078238,56.985432251839136,100,94.42928959942617,1.0589935,-7.833980786218076,-7.833980786218076,0.019400584,1.0001779,0.01,7.594333,200.0,0.86723393,1.9404035,0.008670797,-7.833980786218076,-9.687212,96.48333019836888,56.985432251839136,3.681671e-06
0.02184557,-6.8671227,49.175357834977795,100,96.71027882660705,1.0340163,-6.940799025637067,-6.940799025637067,0.017340561,0.98290795,0.010000002,6.8466415,200.0,0.8921128,1.7044175,0.00907626,-6.940799025637067,-8.855466,97.8104042956984,49.175357834977795,2.2611935e-06
4.814032,-3.0609694,53.38355319433061,100,18.85838514142494,5.302681,-7.513929483280676,-7.513929483280676,0.068472855,1.0892657,0.01,7.431639,200.0,,7.458513,,-7.513929483280676,-7.528763,19.93316206168365,53.38355319433061,0.000405734
0.7870394,-5.146419,36.411282893127044,100,55.95268618794525,1.7872243,-6.473336127893592,-6.473336127893592,0.021658523,1.1159651,0.010000002,6.455517,200.0,2.7462008e-06,2.4170156,2.4608303e-08,-6.473336127893592,-7.709053,61.51391604718295,36.411282893127044,6.319683e-05
0.0922479,-8.481665,50.01182653828284,100,90.5546610734397,1.1043054,-8.664546516442623,-8.664546516442623,0.024896355,0.98184454,0.01,6.956741,200.0,0.56162846,2.4444351,0.005720136,-8.664546516442623,-10.4494915,91.34637600906557,50.01182653828284,9.569099e-06
0.12604067,-8.824054,54.47855591247009,100,86.24610992744357,1.1594726,-9.08819742218229,-9.08819742218229,0.027245212,0.96003175,0.01,7.394343,200.0,0.58179873,2.6156268,0.006060203,-9.08819742218229,-10.894668,88.07575844631837,54.47855591247009,1.3675384e-05
0.04522794,-7.223858,44.26306480103415,100,89.9644372375155,1.1115503,-7.504146189308417,-7.504146189308417,0.018994192,0.9841709,0.009999999,6.551705,200.0,0.8330604,1.8693532,0.008464591,-7.504146189308417,-9.235088,95.58150775287646,44.26306480103415,4.6694504e-06
0.6404781,-7.645676,49.58380811417854,100,70.87433820982945,1.4109479,-8.364744351736812,-8.364744351736812,0.056539454,1.070109,0.01,8.258521,200.0,0.54583806,6.050338,0.0051007704,-8.364744351736812,-9.96682,64.3620076477323,49.58380811417854,5.5930443e-05
0.27575588,-7.6844115,57.53327869532389,100,73.49039993909534,1.360722,-8.444568100369938,-8.444568100369938,0.015496703,1.135477,0.010000003,7.613662,200.0,0.0041135503,1.7596148,3.6227513e-05,-8.444568100369938,-9.958871,82.52592530114838,57.53327869532389,2.1387905e-05
0.029795019,-8.004505,49.079123587234925,100,97.16596639190814,1.0291669,-8.07783582573731,-8.07783582573731,0.019995194,1.0067134,0.01,7.105226,200.0,0.8991528,2.012943,0.008931567,-8.07783582573731,-9.973546,97.17181177756193,49.079123587234925,2.9398957e-06
0.18843776,-7.030529,41.31967802695102,100,83.96607447915629,1.1909572,-7.507804360556556,-7.507804360556556,0.014869809,0.9946502,0.01,6.6210403,200.0,0.018858315,1.4790258,0.00018959747,-7.507804360556556,-9.12162,84.13503116966567,41.31967802695102,1.904703e-05
0.34976336,-6.428677,40.148051643365356,100,75.43989702498949,1.3255585,-6.947127169053711,-6.947127169053711,0.026904691,1.0411507,0.010000002,6.7375054,200.0,0.22424969,2.801184,0.002153864,-6.947127169053711,-8.593868,75.79002161549114,40.148051643365356,3.2266147e-05
2.2481003,-5.795757,52.007019827235666,100,30.179195593494832,3.313541,-8.106127550074822,-8.106127550074822,0.04479555,1.0250267,0.01,8.673204,200.0,1.2558038e-37,4.5916634,1.225143e-39,-8.106127550074822,-9.326787,32.06910430501922,52.007019827235666,0.00021396627
0.09677789,-7.422455,51.216625212119936,100,92.37553991946247,1.0825377,-7.707599021671768,-7.707599021671768,0.012838622,0.9930727,0.009999999,7.217729,200.0,0.16932115,1.2749684,0.0017050228,-7.707599021671768,-9.460242,91.14513550878667,51.216625212119936,9.813279e-06
1.2769154,-6.4839945,44.30753725100178,100,51.04154503752176,1.9591883,-8.056440340794936,-8.056440340794936,0.06604891,1.0612844,0.01,7.1811495,200.0,0.04177969,7.0096684,0.000393671,-8.056440340794936,-9.199192,47.11727720082689,44.30753725100178,0.000113370115
0.3522861,-6.9929605,52.37855584232408,100,73.51373331206719,1.36029,-7.427743499676064,-7.427743499676064,0.019317195,0.9942777,0.01,7.8733726,200.0,0.020761762,1.9206656,0.0002088125,-7.427743499676064,-9.268156,73.92134763490546,52.37855584232408,3.5635272e-05
0.21152857,-7.1600804,45.44066684457605,100,84.23358565763056,1.1871749,-7.528017490626553,-7.528017490626553,0.015186565,0.9701151,0.010000002,6.8202767,200.0,0.03012497,1.4732716,0.00031052984,-7.528017490626553,-9.260794,81.79863144232762,45.44066684457605,2.2476175e-05
