AvgRet,AvgNormIw,VarVanillaIw,BatchSize,J,AvgVanillaIw,MinVanillaIw,MinNormIw,Bound,VarNormIw,MaxVanillaIw,eRenyi2,AvgEpLen,VarDiscRet,ESSRenyi,VanillaAvgRet,MaxNormIw,VarJ,AvgDiscRet,VarRet,ESSClassic
3.197442310920451e-15,0.01,0.006153695,100,438.52808,0.009497432,,,90.77646,0.0068221875,0.76426744,nan,8.06,5523.767704460462,nan,70.55286922743636,0.80470955,687.34265,3.197442310920451e-15,5523.767704460462,1.4590096403515334
1.6200374375330283e-14,0.01,1.3248268e-37,100,4518.3564,3.6398173e-20,,,715.574,0.010000002,3.6398172e-18,3.22054e+17,49.15,468611.9288685303,3.105069340807319e-16,481.57379523563657,1.0,4.5838718e-08,1.6200374375330283e-14,468611.9288685303,1.0
-1.716671249596402e-13,0.01,0.2948131,100,4102.667,0.14831546,,,2779.0698,0.0013402135,2.4987495,nan,84.6,1687362.8119902704,nan,836.5240310609971,0.16847533,425.2757,-1.716671249596402e-13,1687362.8119902704,7.008634852051789
-2.955857780762017e-13,0.010000003,0.18175067,100,38.05626,0.9825894,0.001375678,1.4000538e-05,34.55989,1.8824863e-05,1.7260697,1.1673979,496.2,145183.93859694645,85.66059927643076,4961.858921167159,0.017566541,0.537986,-2.955857780762017e-13,145183.93859694645,84.29099313229402
2.2737367544323206e-13,0.010000002,0.0658315,100,0.026360413,0.057370733,,,0.014829702,0.0020001056,1.5839049,nan,500.0,0.0007589426704832648,nan,4999.969870023038,0.27608237,0.015845366,2.2737367544323206e-13,0.0007589426704832648,4.807450656953318
4.729372449219227e-13,0.010000002,0.6860636,100,587.7876,0.86633664,1.4735988e-06,1.700954e-08,519.2032,9.1409434e-05,2.706296,2.1731174,441.18,1482864.7060411982,46.01684199670533,4409.572096383082,0.031238386,9.86546,4.729372449219227e-13,1482864.7060411982,52.49471496790613
-3.54702933691442e-13,0.010000002,4.7781246e-10,100,0.013235908,3.958792e-06,,,0.0029655974,0.003048822,0.0001850577,nan,500.0,0.0004552213776367974,nan,4999.977887422421,0.46745998,0.046976116,-3.54702933691442e-13,0.0004552213776367974,3.206840920629597
2.2737367544323206e-15,0.01,0.006414967,100,4065.4302,0.011648051,,,1660.1523,0.0047281133,0.5710882,830.88055,87.64,1128776.895893533,0.12035424285067957,866.70042182743,0.49028644,604.1255,2.2737367544323206e-15,1128776.895893533,2.0916860222337514
1.4551915228366852e-13,0.01,1.2902476,100,782.2483,0.98988914,2.2171666e-06,2.2398131e-08,681.6596,0.000131674,3.6139762,2.3135643,421.56,1682137.7190295358,43.223350211958376,4212.534473999025,0.0365089,17.342459,1.4551915228366852e-13,1682137.7190295358,43.410837025446135
1.0186340659856797e-12,0.01,0.19305097,100,18.47317,0.97024107,0.0015839433,1.6325255e-05,16.758202,2.0507496e-05,1.837367,1.2089694,498.16,34222.27479935045,82.71508257597196,4981.421855537191,0.01893722,0.3480645,1.0186340659856797e-12,34222.27479935045,83.12384872591524
