VanillaAvgRet,VarVanillaIw,MinVanillaIw,VarJ,MaxVanillaIw,AvgRet,AvgNormIw,Bound,MinNormIw,AvgVanillaIw,eRenyi2,AvgEpLen,VarDiscRet,VarRet,VarNormIw,BatchSize,ESSClassic,MaxNormIw,ESSRenyi,AvgDiscRet,J
-2091.3704890246295,1.6625988,5.2481485e-22,207.6223,3.714054,-2091.3704890246295,0.01,-867.7424,5.2540566e-24,0.9988755,2.650634,200.0,5113440.000518177,5113440.000518177,0.00016663442,100,37.74039936757732,0.037182353,37.72682237522335,-2091.3704890246295,-78.946815
-97.93710830477553,0.11623633,0.055923,49.197044,1.3553491,-97.93710830477553,0.01,-287.16946,0.0005619307,0.99519384,1.1228697,200.0,243633.92816664794,243633.92816664794,1.1736173e-05,100,89.59062743117643,0.013618945,89.05752584530042,-97.93710830477553,-18.470684
-10.023855204169102,0.14801852,0.012645246,8.427793,1.3743136,-10.023855204169102,0.01,-14.639244,0.0001272632,0.99362946,1.1332242,200.0,98.57106309632555,98.57106309632555,1.4992263e-05,100,87.0759037584757,0.0138312485,88.2437876689402,-10.023855204169102,-9.125822
-8.361999611971772,0.8984906,3.1961286e-10,9.509073,2.584515,-8.361999611971772,0.009999998,-9.916137,3.77726e-12,0.84615,1.8998616,200.0,59.685249772165655,59.685249772165655,0.00012549279,100,44.595501786311,0.03054441,52.635413737198654,-8.361999611971772,-6.65607
-10.537045026628604,0.116506435,0.8071518,8.069928,2.9728155,-10.537045026628604,0.010000002,-12.646217,0.007970451,1.0126802,1.1190106,200.0,59.67930116938173,59.67930116938173,1.1360706e-05,100,89.88996845916823,0.029355919,89.36466096889285,-10.537045026628604,-10.279688
-7.287738457182895,0.21179976,0.0136353485,7.425669,1.4633094,-7.287738457182895,0.01,-9.152742,0.00014348078,0.9503258,1.1806993,200.0,52.73384578055366,52.73384578055366,2.3452034e-05,100,81.15727858583662,0.015397977,84.695566344898,-7.287738457182895,-6.8949485
-7.3962389329629215,0.49659768,0.78280467,8.569621,7.3305454,-7.3962389329629215,0.01,-9.050357,0.0076452065,1.0239156,1.2897615,200.0,54.84365551819613,54.84365551819613,4.736705e-05,100,68.07658248536583,0.071593255,77.5337119652059,-7.3962389329629215,-6.706289
-8.598437165733536,0.75338274,0.000100723955,9.292626,2.4588835,-8.598437165733536,0.01,-10.082299,9.976408e-07,1.0096215,1.7614356,200.0,55.021281624230454,55.021281624230454,7.39092e-05,100,57.74667587269019,0.024354508,56.77187313231673,-8.598437165733536,-7.334699
-7.594978707137387,0.037952583,0.7464386,6.6985903,1.6449041,-7.594978707137387,0.01,-9.692154,0.00742286,1.0055944,1.034585,200.0,47.680998148271705,47.680998148271705,3.7531477e-06,100,96.41751532903794,0.01635753,96.65711380746119,-7.594978707137387,-7.527415
-8.664612472040721,0.249458,0.5747881,7.296348,3.969699,-8.664612472040721,0.010000002,-10.49987,0.0054466426,1.0553071,1.2313048,200.0,45.87789342047165,45.87789342047165,2.2399568e-05,100,81.84941023841081,0.037616525,81.21466176612822,-8.664612472040721,-8.203804
-7.292131404809924,2.0256336,8.507555e-27,9.469714,4.169134,-7.292131404809924,0.01,-8.834636,8.3357414e-29,1.0206118,2.9937046,200.0,56.85788243590112,56.85788243590112,0.00019446424,100,34.185745341507,0.040849365,33.40342979142209,-7.292131404809924,-5.015451
-8.197377752272828,0.05153585,0.47257876,7.489307,1.6094255,-8.197377752272828,0.009999999,-10.235922,0.0047161784,1.0020375,1.0554402,200.0,56.88941439473717,56.88941439473717,5.132648e-06,100,95.16441887207762,0.01606153,94.74719760406809,-8.197377752272828,-8.068084
-8.736314524840987,0.314406,0.0024266199,7.8105917,1.7125491,-8.736314524840987,0.01,-10.635683,2.3958384e-05,1.0128479,1.3297877,200.0,48.34003471536312,48.34003471536312,3.0648014e-05,100,76.72152078739096,0.016908254,75.19997188721754,-8.736314524840987,-8.206946
-9.826573724270316,0.37324682,0.002971687,9.645131,1.776962,-9.826573724270316,0.010000002,-11.848538,3.078591e-05,0.965275,1.3696022,200.0,62.24066092372985,62.24066092372985,4.0058436e-05,100,71.60355997336922,0.018408868,73.01390122913493,-9.826573724270316,-9.356469
