IterType,Bound,MaxVanillaIw,BatchSize,AvgVanillaIw,MinNormIw,EpsThisIter,MaxNormIw,Delta,AvgDiscRet,ESSRenyi,AvgRet,VarVanillaIw,VarDiscRet,AvgNormIw,MinVanillaIw,VarJ,J,VarNormIw,AvgEpLen,eRenyi2,ESSClassic,VanillaAvgRet,VarRet
1,-1579.58,3.0349,100,1.16,9.5967e-06,100,0.0261629,0.3,-1385.32358895,63.0303846348,-1385.32358895,0.656848,130372.419906,0.01,0.00111322,196.09,-1202.29,4.88145e-05,500.0,1.58654,67.41889409,-1385.32358895,130372.419906
1,-1463.08,2.88199,100,1.03147,0.000381506,100,0.0279406,0.3,-1195.96094984,84.6153458195,-1195.96094984,0.219263,60086.2282666,0.01,0.0393513,194.84,-1135.52,2.06087e-05,500.0,1.18182,83.0546610513,-1195.96094984,60086.2282666
1,-1465.92,1.63764,100,1.02023,0.00136259,100,0.0160516,0.3,-1190.26276499,90.9408431929,-1190.26276499,0.113897,49041.8513642,0.01,0.139016,105.956,-1148.86,1.09425e-05,500.0,1.09962,90.2258148302,-1190.26276499,49041.8513642
1,-1450.48,1.34621,100,1.0073,0.00252552,100,0.0133645,0.3,-1160.90405971,96.3317909651,-1160.90405971,0.0445876,21168.4432822,0.01,0.254396,68.7654,-1145.13,4.39434e-06,500.0,1.03808,95.8309757086,-1160.90405971,21168.4432822
1,-1435.06,1.33252,100,0.99691,0.00613986,100,0.0133665,0.3,-1138.0874867,98.866535137,-1138.0874867,0.0140173,14403.9150241,0.01,0.612088,97.35,-1134.04,1.41044e-06,500.0,1.01146,98.6228739533,-1138.0874867,14403.9150241
1,-1324.81,1.50844,100,0.991724,0.00731317,100,0.0152102,0.3,-1130.96007157,98.4680570144,-1130.96007157,0.0123641,3324.40920569,0.01,0.725265,84.8581,-1128.22,1.25713e-06,500.0,1.01556,98.7707106615,-1130.96007157,3324.40920569
1,-1444.38,1.25962,100,0.976485,0.00235099,100,0.0128995,0.3,-1154.51100626,96.9186426504,-1154.51100626,0.0412212,25992.2604851,0.01,0.22957,84.9027,-1140.26,4.32304e-06,500.0,1.03179,95.895834378,-1154.51100626,25992.2604851
1,-1428.96,1.18165,100,1.01439,0.00558961,100,0.0116489,0.3,-1141.09460677,98.8740863532,-1141.09460677,0.00823504,6795.120107,0.01,0.567004,51.3474,-1137.2,8.00308e-07,500.0,1.01139,99.2139484216,-1141.09460677,6795.120107
1,-1317.83,1.02705,100,1.00168,0.00942612,100,0.0102533,0.3,-1134.91215787,99.9794167933,-1134.91215787,0.000226809,70.57966755,0.01,0.944196,8.00582,-1134.88,2.26048e-08,500.0,1.00021,99.9776300037,-1134.91215787,70.57966755
1,-1310.42,1.29269,100,0.987952,0.00838502,100,0.0130845,0.3,-1130.36703334,99.2087176239,-1130.36703334,0.0061344,1870.13947948,0.01,0.8284,55.9367,-1129.07,6.28493e-07,500.0,1.00798,99.3816319447,-1130.36703334,1870.13947948
