Delta,MinNormIw,VanillaAvgRet,MaxVanillaIw,VarJ,Bound,eRenyi2,AvgRet,ESSRenyi,MinVanillaIw,IterType,VarNormIw,AvgNormIw,AvgEpLen,J,EpsThisIter,AvgDiscRet,VarDiscRet,MaxNormIw,BatchSize,VarVanillaIw,ESSClassic,VarRet,AvgVanillaIw
0.1,0.000128156,157.368931499,106.966,624.429,105.336,2.81462,157.368931499,35.5287263748,0.0247691,1,0.00304504,0.01,17.15,325.23,100,157.368931499,8667.23774147,0.553447,100,113.746,3.21069919135,8667.23774147,1.93273
0.1,4.63139e-06,154.198028905,113.017,2126.99,22.9611,4.78108,154.198028905,20.9157585876,0.000858648,1,0.0037047,0.01,16.82,720.448,100,154.198028905,17802.2031905,0.609592,100,127.339,2.65417597345,17802.2031905,1.85397
0.1,0.000116634,209.849650614,2.4594,213.057,-10.5876,1.31702,209.849650614,75.9287747751,0.0107674,1,3.40925e-05,0.01,22.77,273.743,100,209.849650614,21008.1800065,0.0266406,100,0.290555,74.7654764142,21008.1800065,0.923176
0.1,0.000437913,278.446391193,12.9336,312.862,127.317,1.80987,278.446391193,55.2526962389,0.0578464,1,0.000199496,0.01,30.13,417.796,100,278.446391193,27577.2302808,0.097911,100,3.48107,33.6132676123,27577.2302808,1.32096
0.1,4.43089e-05,335.227759249,211.777,1757.37,336.34,3.06852,335.227759249,32.5889745054,0.0130067,1,0.00517152,0.01,36.24,976.049,100,335.227759249,32261.5337218,0.721446,100,445.625,1.91578084232,32261.5337218,2.93546
0.1,0.000222188,398.518156564,49.8483,876.46,97.8942,1.82872,398.518156564,54.6831433436,0.0295701,1,0.0013812,0.01,43.02,596.23,100,398.518156564,43038.5155272,0.374558,100,24.4635,6.81484805667,43038.5155272,1.33086
0.1,0.00321943,433.565540439,1.87959,263.289,23.9033,1.10389,433.565540439,90.5885648541,0.309564,1,1.17193e-05,0.01,46.84,474.024,100,433.565540439,44810.603545,0.0195475,100,0.108354,89.6040675506,44810.603545,0.96155
0.1,0.00132804,438.149727113,2.25945,322.422,33.9335,1.20338,438.149727113,83.0993123307,0.126472,1,2.97242e-05,0.01,47.35,518.121,100,438.149727113,56542.4639729,0.0237258,100,0.269571,77.2636507364,56542.4639729,0.952317
0.1,0.00181609,505.298845289,1.99345,277.247,103.686,1.13291,505.298845289,88.2680502603,0.179084,1,1.63417e-05,0.01,54.57,557.184,100,505.298845289,52154.2905492,0.0202155,100,0.158904,86.0746394577,52154.2905492,0.986096
0.1,0.0036836,538.398058479,1.42238,353.134,-176.466,1.04626,538.398058479,95.5788200927,0.368098,1,5.75909e-06,0.01,58.19,570.266,100,538.398058479,84704.9285825,0.0142339,100,0.057509,94.6060062585,84704.9285825,0.999289
0.1,0.000463176,543.843798225,112.02,1483.12,153.211,2.06477,543.843798225,48.4316343037,0.0898582,1,0.00329552,0.01,58.71,914.799,100,543.843798225,66083.0295464,0.577409,100,124.036,2.97391977755,66083.0295464,1.94005
0.1,0.000268088,609.822496303,3.96663,508.01,124.846,1.29892,609.822496303,76.9870474184,0.0284688,1,3.60158e-05,0.01,65.95,730.45,100,609.822496303,107566.336135,0.0373535,100,0.406139,73.7160233308,107566.336135,1.06192
0.1,9.73549e-05,644.947639995,5.28137,560.782,281.944,1.78861,644.947639995,55.9094423324,0.00871561,1,0.000144521,0.01,69.74,880.554,100,644.947639995,93866.6886936,0.0589939,100,1.15827,41.1394358454,93866.6886936,0.895241
0.1,0.000764542,813.235045969,2.93476,624.493,127.725,1.22141,813.235045969,81.8723876886,0.0768185,1,3.21814e-05,0.01,88.07,941.554,100,813.235045969,160029.139924,0.0292084,100,0.324889,75.8382325976,160029.139924,1.00477
0.1,0.000296355,969.103803345,22.1409,2277.76,17.334,1.6696,969.103803345,59.8944654328,0.0343761,1,0.000377933,0.01,105.02,1414.17,100,969.103803345,314585.837528,0.190876,100,5.08515,21.0902085986,314585.837528,1.15996
0.1,0.00245117,997.46410704,1.89598,431.036,366.755,1.0918,997.46410704,91.5920987996,0.24743,1,1.1444e-05,0.01,107.99,1058.34,100,997.46410704,158276.393558,0.0187826,100,0.11661,89.8234150446,158276.393558,1.00944
0.1,0.00128201,1029.74378691,5.26131,1286.89,-40.8947,1.30298,1029.74378691,76.7468781755,0.130502,1,4.77741e-05,0.01,111.65,1286.05,100,1029.74378691,300256.963835,0.0516855,100,0.495045,67.8903335188,300256.963835,1.01795
0.1,5.85047e-05,1102.4412679,202.879,3650.33,1039.97,2.74836,1102.4412679,36.3852921426,0.0165548,1,0.00510775,0.01,119.52,2567.71,100,1102.4412679,335728.365297,0.716976,100,408.975,1.93923627047,335728.365297,2.82965
0.1,0.000281925,1151.50142617,9.18134,1921.09,200.369,1.78935,1151.50142617,55.8860768812,0.0288774,1,0.000162826,0.01,124.82,1679.69,100,1151.50142617,391844.775817,0.0896356,100,1.70834,38.2851211392,391844.775817,1.0243
0.1,1.58217e-05,1362.03965107,26.3318,5110.98,270.032,2.44606,1362.03965107,40.8820167546,0.00184633,1,0.00063727,0.01,147.83,2414.84,100,1362.03965107,488553.472009,0.225644,100,8.67838,13.6818182924,488553.472009,1.16696
0.1,7.51555e-06,1518.67749004,12.067,3419.67,468.989,2.49705,1518.67749004,40.0473047177,0.000757748,1,0.000350267,0.01,165.04,2667.96,100,1518.67749004,774939.687843,0.119684,100,3.56063,22.3831681109,774939.687843,1.00824
0.1,8.28012e-05,2318.8895043,17.9589,2449.6,1519.87,2.13602,2318.8895043,46.8160474761,0.0103209,1,0.000375649,0.01,252.0,3566.46,100,2318.8895043,1608150.44607,0.144078,100,5.83641,21.1912539388,1608150.44607,1.24647
0.1,0.000200513,2853.10972226,9.06672,1460.57,1983.17,1.78266,2853.10972226,56.0960137938,0.0237441,1,0.000169834,0.01,309.41,3853.19,100,2853.10972226,1909147.26745,0.0765661,100,2.3815,37.2945883965,1909147.26745,1.18417
0.1,0.000436127,3287.7159177,4.21225,1246.93,2151.35,1.38598,3287.7159177,72.1512865316,0.0475743,1,5.54971e-05,0.01,356.96,3800.74,100,3287.7159177,1654995.01757,0.0386149,100,0.660372,64.5402015821,1654995.01757,1.09083
0.1,0.000683165,3908.5127545,2.22684,808.979,2644.18,1.16997,3908.5127545,85.4721351283,0.0716399,1,1.8067e-05,0.01,423.08,4159.58,100,3908.5127545,1112029.95847,0.0212354,100,0.198677,84.8274414936,1112029.95847,1.04865
0.1,0.0018814,4030.23535311,2.02179,761.372,2741.71,1.1515,4030.23535311,86.843060145,0.188653,1,1.64087e-05,0.01,435.78,4247.16,100,4030.23535311,1064848.02564,0.0201629,100,0.164984,86.0254883655,1064848.02564,1.00273
0.1,0.00314786,4172.13061029,2.17171,639.396,2858.32,1.11275,4172.13061029,89.8671427523,0.318867,1,1.32292e-05,0.01,450.91,4337.65,100,4172.13061029,867325.222101,0.0214392,100,0.135744,88.4197788116,867325.222101,1.01296
0.1,0.00143953,4207.40075421,2.26696,560.772,2924.11,1.10892,4207.40075421,90.1775125538,0.14489,1,1.76985e-05,0.01,454.51,4400.68,100,4207.40075421,829837.698777,0.022523,100,0.179297,85.0908086776,829837.698777,1.00651
0.1,0.0026809,4333.72826453,1.576,489.312,2994.83,1.05862,4333.72826453,94.4623916486,0.269367,1,6.86802e-06,0.01,468.71,4438.25,100,4333.72826453,494824.607605,0.0156854,100,0.0693356,93.6335325031,494824.607605,1.00476
0.1,0.00467039,4464.66569999,1.33386,331.288,3090.88,1.03268,4464.66569999,96.8352364211,0.468259,1,3.00616e-06,0.01,482.57,4514.3,100,4464.66569999,231130.490774,0.0133039,100,0.0302188,97.1099224464,231130.490774,1.00261
0.1,0.00253469,4442.5358091,1.51276,386.356,3086.68,1.04461,4442.5358091,95.7292751384,0.24786,1,7.36196e-06,0.01,479.6,4519.5,100,4442.5358091,362455.460446,0.0154699,100,0.0703973,93.20678651,362455.460446,0.977871
0.1,0.00190344,4387.16149525,1.5845,373.207,3058.32,1.07441,4387.16149525,93.0744037534,0.186149,1,1.0119e-05,0.01,473.19,4511.45,100,4387.16149525,511133.414858,0.0162021,100,0.096779,90.8943396225,511133.414858,0.977961
0.1,0.00504667,4497.27233968,1.5236,347.818,3120.08,1.02944,4497.27233968,97.1400422114,0.514276,1,3.15087e-06,0.01,485.08,4543.61,100,4497.27233968,261879.656347,0.0149513,100,0.0327199,96.9749774131,261879.656347,1.01904
