VarJ,BatchSize,VarDiscRet,J,MinVanillaIw,eRenyi2,ESSClassic,AvgVanillaIw,AvgRet,VarVanillaIw,AvgDiscRet,MinNormIw,Bound,AvgEpLen,AvgNormIw,MaxNormIw,MaxVanillaIw,VarNormIw,VarRet,ESSRenyi
66.55545,100,12369.93182061497,157.80783,1.7101937e-07,1.9500911,51.67005786393109,1.2153777,215.6018611185439,1.395612,184.50096623515583,1.4071294e-09,90.961426,22.57,0.01,0.04785192,5.8158154,9.448052e-05,30539.976892376162,51.279654981645685
34.92185,100,3714.309787765728,148.07228,5.101042e-10,3.9785259,22.47314325860257,0.95861715,165.22598822247238,3.2021635,150.21575646034063,5.3212504e-12,98.95907,17.53,0.01,0.08694146,8.334357,0.0003484601,7558.418155282478,25.134937685872845
28.94477,100,711.0019161521838,145.54068,0.08509359,1.2004579,82.57154307466153,1.0002943,151.8288857749477,0.21332857,141.10012715488168,0.00085068546,118.67438,16.19,0.01,0.01889462,1.8900182,2.1320302e-05,991.1576687138544,83.3015447304718
30.809658,100,687.6839354700356,150.92809,0.17720911,1.1785983,85.51434027694928,0.97329,157.12557262159885,0.16208719,145.6692695942774,0.0018207226,123.614334,16.72,0.01,0.0206071,2.0056686,1.7110557e-05,969.6675892242694,84.8465514470356
34.67515,100,1260.8740538180214,156.1872,0.12867548,1.1272442,88.91073012680579,0.99348974,167.9279311629571,0.12434861,154.52160562559143,0.0012951867,124.657646,17.8,0.01,0.018032948,1.7915548,1.2598365e-05,1888.5693317128253,88.71191972089709
37.09198,100,886.3672162423226,156.1104,0.057576183,1.2333851,77.02577910084683,0.9634508,162.02876436607912,0.2796588,149.7367483139378,0.0005976038,124.69766,17.21,0.010000002,0.025228316,2.430624,3.0127938e-05,1297.228591504403,81.07767892627994
32.083725,100,1148.491278312669,163.17867,0.0005589031,2.1218514,46.656508447125184,1.0211618,169.02803520612417,1.204268,155.51968041221727,5.473208e-06,127.01768,17.91,0.01,0.0416921,4.257438,0.00011548724,1739.2212891774325,47.128652795771536
41.74778,100,1091.5227239332987,169.90735,0.31774962,1.1078025,89.32505910095469,1.0090725,179.62549183150753,0.12291398,164.5079509086383,0.0031489274,136.72183,18.97,0.010000002,0.023458514,2.3671343,1.2071369e-05,1608.5334669841527,90.26879707682869
2.7556566e-12,100,1220.2361510890687,190.1888,,4278.6953,1.0,0.007187387,179.82619735153392,0.005165856,164.58176056721365,,135.20299,18.99,0.01,1.0,0.7187387,0.0100000035,1859.2778508881465,0.023371610431772244
83.37165,100,1844.0387867549302,223.55725,0.026690453,1.0000002,14.17325693503886,0.3983304,230.20720593718812,0.9705203,205.33719106869978,0.0006700582,169.22145,24.03,0.01,0.18492143,7.365982,0.00061167084,3139.8245976246462,99.99997615814777
