VarNormIw,VarDiscRet,MaxVanillaIw,J,AvgDiscRet,AvgEpLen,delta,VarVanillaIw,VarRet,MinVanillaIw,AvgVanillaIw,ESSClassic,VanillaAvgRet,ESSRenyi,IterType,EpsThisIter,MinNormIw,MaxNormIw,renyi2,Bound,BatchSize,AvgNormIw,AvgRet,SamplesThisIter,VarJ
1.1924e-08,34540.6584351,59.8574,9306.14,-149.701119639,500.0,0.5,48.7843,34540.6584351,8.26724e-22,3.45746,0.988445473053,-149.701119639,nan,1,100,1.2925e-26,0.000935812,nan,-51.542,100,5.40541e-05,-149.701119639,50000,1093.2
2.57543e-08,59868.1473713,329.574,40476.3,-102.797634464,500.0,0.5,397.294,59868.1473713,1.18843e-14,6.71367,1.03646972386,-102.797634464,nan,1,100,9.56844e-20,0.00265351,nan,60.4271,100,5.4054e-05,-102.797634464,50000,2165.02
3.08525e-06,27771.1882358,2.83528e+06,35000.8,-169.062324088,500.0,0.5,2.74506e+09,27771.1882358,,1612.35,3.95418454094,-169.062324088,nan,1,100,,0.0950529,nan,59.7135,100,5.40541e-05,-169.062324088,50000,979.122
