AvgDiscRet,MaxNormIw,BatchSize,VarNormIw,J,VarDiscRet,ESSRenyi,AvgNormIw,IterType,VarRet,MaxVanillaIw,EpsThisIter,MinVanillaIw,VanillaAvgRet,VarVanillaIw,MinNormIw,ESSClassic,VarJ,AvgEpLen,Bound,eRenyi2,AvgVanillaIw,AvgRet,Delta
-309.32856151,0.0777848,100,0.000439983,-94.1111,23344.6619147,14.5922881763,0.01,1,23344.6619147,9.60433,100,1.66489e-32,-309.32856151,6.70781,1.34838e-34,18.6712392958,50.8756,379.06,-165.599,6.85293,1.23473,-309.32856151,0.7
-117.272347962,0.0524687,100,0.000141655,-87.9047,10003.3747666,50.8576606468,0.01,1,10003.3747666,4.37135,100,1.26179e-07,-117.272347962,0.983245,1.5145e-09,41.6253553619,63.7919,159.08,-126.197,1.96627,0.833135,-117.272347962,0.7
-96.3324381375,0.0244436,100,1.41865e-05,-91.6347,6867.97170377,86.4932280752,0.01,1,6867.97170377,2.32557,100,0.133333,-96.3324381375,0.128412,0.00140144,87.684980859,71.7922,134.16,-120.997,1.15616,0.951404,-96.3324381375,0.7
-108.677150179,0.0864251,100,0.000118941,-88.6565,10869.9101647,60.1354555472,0.01,1,10869.9101647,8.7135,100,0.000144075,-108.677150179,1.20903,1.42901e-06,45.9239239152,86.4961,146.59,-123.874,1.66291,1.00821,-108.677150179,0.7
-99.8472492698,0.0204471,100,4.16628e-05,-89.9485,9013.4596705,70.3485851843,0.01,1,9013.4596705,1.96695,100,2.64738e-05,-99.8472492698,0.385542,2.75204e-07,70.7983988193,77.9537,136.04,-122.507,1.42149,0.961971,-99.8472492698,0.7
-88.322521226,0.0200959,100,2.29084e-05,-79.9591,5907.26949286,82.7194544462,0.01,1,5907.26949286,1.9384,100,0.0554741,-88.322521226,0.213141,0.000575113,81.5133697168,51.3149,122.38,-109.984,1.20891,0.964576,-88.322521226,0.7
-110.864881711,0.101484,200,0.000183744,-106.267,11902.1029394,100.785936359,0.01,,5907.26949286,18.0264,100,0.515889,-88.322521226,5.79743,0.00290432,35.4726962837,117.89,122.38,-144.736,1.9844,1.77628,-88.322521226,0.7
-98.901090029,0.00868687,200,2.6923e-06,-90.5065,9082.58963171,170.580598982,0.005,1,9082.58963171,1.72494,100,0.0239292,-98.901090029,0.106156,0.000120509,180.643347923,81.3192,134.58,-111.415,1.17247,0.992841,-98.901090029,0.7
-120.645736836,0.01,200,3.50449e-18,-120.646,13595.0970432,200.0,0.01,2,13595.0970432,1.0,100,1.0,-120.645736836,,0.01,100.0,116.014,160.44,-147.957,1.0,1.0,-120.645736836,0.7
-91.5294125235,0.0313603,200,2.05099e-05,-94.3385,5873.35955899,115.724754798,0.005,1,5873.35955899,6.00524,100,0.016644,-91.5294125235,0.752083,8.69176e-05,110.114286577,90.6558,126.86,-119.726,1.72824,0.957461,-91.5294125235,0.7
-86.0863545865,0.01,200,3.50449e-18,-86.0863,4791.26136273,200.0,0.01,2,4791.26136273,1.0,100,1.0,-86.0863545865,,0.01,100.0,68.872,119.83,-113.393,1.0,1.0,-86.0863545865,0.7
-107.528287502,0.0812038,200,3.49242e-05,-89.4806,9799.34838022,141.50313581,0.005,1,9799.34838022,16.7166,100,0.383804,-107.528287502,1.48002,0.0018644,83.6826468752,76.7183,146.36,-112.437,1.4134,1.0293,-107.528287502,0.7
-98.2275061251,0.01,200,3.50449e-18,-98.2275,9102.20092246,200.0,0.01,2,9102.20092246,1.0,100,1.0,-98.2275061251,,0.01,100.0,94.9272,133.91,-125.538,1.0,1.0,-98.2275061251,0.7
-90.7857018821,0.0135585,200,3.21952e-06,-90.9182,6971.05169083,170.230665315,0.005,1,6971.05169083,2.6096,100,0.37493,-90.7857018821,0.119266,0.001948,177.283406341,80.8215,125.11,-111.85,1.17488,0.962349,-90.7857018821,0.7
-81.532681866,0.01,200,3.50449e-18,-81.5327,3682.4257427,200.0,0.01,2,3682.4257427,1.0,100,1.0,-81.532681866,,0.01,100.0,60.3788,115.47,-108.84,1.0,1.0,-81.532681866,0.7
-89.0815029533,0.0152141,200,9.62199e-06,-78.886,7085.98691651,146.134722337,0.005,1,7085.98691651,3.07949,100,0.145877,-89.0815029533,0.394211,0.000720699,144.617836445,57.4486,122.8,-101.476,1.3686,1.01205,-89.0815029533,0.7
-80.0037249115,0.01,200,3.50449e-18,-80.0037,3792.47632719,200.0,0.01,2,3792.47632719,1.0,100,1.0,-80.0037249115,,0.01,100.0,61.2744,112.17,-107.312,1.0,1.0,-80.0037249115,0.7
-82.1825216043,0.0108081,200,7.36025e-06,-74.9453,4934.3337792,154.546745021,0.005,1,4934.3337792,2.11065,100,0.00210094,-82.1825216043,0.280693,1.07583e-05,154.686503405,51.2636,114.89,-96.912,1.29411,0.976426,-82.1825216043,0.7
-96.5415912944,0.01,200,3.50449e-18,-96.5416,7954.36776813,200.0,0.01,2,7954.36776813,1.0,100,1.0,-96.5415912944,,0.01,100.0,88.7402,132.56,-123.85,1.0,1.0,-96.5415912944,0.7
-102.110217631,0.429591,300,0.000970783,-87.2416,10039.8803378,nan,0.005,,4934.3337792,475.978,100,0.473787,-82.1825216043,1191.75,0.000427614,5.04576710208,224.76,114.89,-inf,nan,5.53989,-82.1825216043,0.7
-85.0434761186,0.0131312,300,4.14517e-06,-77.0296,6042.89931332,216.975788485,0.00333333,1,6042.89931332,3.71232,100,1.92371e-06,-85.0434761186,0.331301,6.80457e-09,218.687257795,61.5077,118.35,-95.5687,1.38264,0.942364,-85.0434761186,0.7
