ESSRenyi,Bound,AvgDiscRet,MaxNormIw,delta,SamplesThisIter,VarRet,AvgVanillaIw,BatchSize,MinNormIw,AvgEpLen,EpsThisIter,VarJ,IterType,VarDiscRet,AvgRet,ESSClassic,VanillaAvgRet,AvgNormIw,MinVanillaIw,VarNormIw,J,VarVanillaIw,MaxVanillaIw,renyi2
nan,302.944,48.2304657523,0.118527,0.6,50000,2793.49980529,5.71883e+09,100,,5.82546895025,8583,12019.1,1,2793.49980529,48.2304657523,7.00000131202,48.2304657523,6.47274e-07,,6.6111e-08,36968.4,5.16073e+24,1.04722e+15,nan
nan,nan,55.5312621851,0.117064,0.6,50000,8999.27975966,6496.11,100,,6.55565753245,7627,nan,1,8999.27975966,55.5312621851,6.8350675374,55.5312621851,7.28407e-07,,7.15606e-08,nan,5.69159e+12,1.04401e+09,nan
nan,496.594,56.8169701249,0.104051,0.6,50000,5986.3163908,6.159e+09,100,,6.68449197861,7480,77643.4,1,5986.3163908,56.8169701249,6.60102131668,56.8169701249,7.42722e-07,,5.96896e-08,42989.0,4.10457e+24,8.6284e+14,nan
nan,339.648,54.7987512274,0.5,0.6,50000,4713.08067635,1.04916e+20,100,,6.48256190847,7713,36957.5,1,4713.08067635,54.7987512274,1.99999999609,54.7987512274,7.20285e-07,,3.60142e-07,50486.2,inf,7.28295e+25,nan
nan,645.279,49.2518978473,0.22427,0.6,50000,4745.16628143,3.42887e+07,100,,5.92768227623,8435,52453.5,1,4745.16628143,49.2518978473,1.37642159639,49.2518978473,6.58631e-07,,9.66399e-08,86430.0,2.61923e+20,1.16756e+13,nan
nan,863.203,55.4510296644,0.198328,0.6,50000,5991.30462278,1.84727e+21,100,,6.54793085385,7636,14539.5,1,5991.30462278,55.4510296644,4.99986458794,55.4510296644,7.27548e-07,,1.43091e-07,108585.0,inf,5.03562e+26,nan
nan,329.457,61.1861418808,0.138339,0.6,50000,5358.57670146,168173.0,100,,7.12250712251,7020,26272.5,1,5358.57670146,61.1861418808,6.99847211965,61.1861418808,7.9139e-07,,1.06075e-07,39360.0,4.79009e+15,2.93976e+10,nan
nan,1142.53,71.7851417446,0.2,0.6,50000,10641.3721315,1.63466e+23,100,,8.18196694485,6111,21346.2,1,10641.3721315,71.7851417446,4.99999999656,71.7851417446,9.09107e-07,,1.8182e-07,139595.0,inf,3.59619e+28,nan
nan,2018.4,97.3185821882,0.115032,0.6,50000,24686.5213922,2.44385e+11,100,,10.7365256603,4657,46128.8,1,24686.5213922,97.3185821882,4.24128879158,97.3185821882,1.19295e-06,,9.30449e-08,207296.0,3.90481e+27,2.35652e+16,nan
nan,797.004,125.845448741,0.199909,0.6,50000,25637.2755575,2.42868e+11,100,,13.5906496331,3679,27044.3,1,25637.2755575,125.845448741,4.99999995617,125.845448741,1.51007e-06,,3.01738e-07,128758.0,7.80509e+27,3.21519e+16,nan
nan,859.643,180.971753798,0.183086,0.6,50000,37470.3120424,2.38124e+06,100,,19.105846389,2617,20368.8,1,37470.3120424,180.971753798,4.99491192565,180.971753798,2.12287e-06,,3.57058e-07,167797.0,4.49262e+17,2.05369e+11,nan
nan,1542.16,172.135603956,0.371159,0.6,50000,53176.8204765,2.80553e+17,100,,18.221574344,2744,44385.3,1,53176.8204765,172.135603956,1.86744440623,172.135603956,2.02462e-06,,5.9741e-07,287252.0,inf,5.14316e+22,nan
nan,3456.34,247.27606799,0.0981071,0.6,50000,164503.08686,2.30406e+10,100,,25.7334019557,1943,49259.7,1,164503.08686,247.27606799,3.56982321877,247.27606799,2.85927e-06,,1.92722e-07,455448.0,1.25144e+25,7.90567e+14,nan
nan,2909.45,235.132529578,0.185756,0.6,50000,140489.625712,3.77076e+10,100,,24.5218244237,2039,81691.6,1,140489.625712,235.132529578,4.97225006225,235.132529578,2.72465e-06,,4.72692e-07,512543.0,9.05348e+25,2.57076e+15,nan
