eRenyi2,IterType,AvgDiscRet,VarDiscRet,AvgRet,EpsThisIter,ESSRenyi,MinNormIw,J,ESSClassic,Bound,VarJ,MaxNormIw,VarNormIw,Delta,AvgNormIw,AvgEpLen,VarRet,AvgVanillaIw,VarVanillaIw,VanillaAvgRet,BatchSize,MaxVanillaIw,MinVanillaIw
1.17217,1,-619.208801485,11882.0602169,-619.208801485,100,85.3118630423,0.000852371,-586.476,81.8220795991,-747.245,68.7515,0.0196174,2.24408e-05,0.3,0.01,500.0,11882.0602169,1.0088,0.228374,-619.208801485,100,1.979,0.0859869
1.08964,1,-588.968912343,8832.45702594,-588.968912343,100,91.7733074779,0.00232119,-571.775,88.642605163,-757.064,72.4785,0.0235697,1.2942e-05,0.3,0.01,500.0,8832.45702594,0.973905,0.122753,-588.968912343,100,2.29547,0.226062
1.04235,1,-589.345577947,23090.9488256,-589.345577947,100,95.9372468578,0.00211954,-571.648,93.9411709051,-877.398,69.0747,0.0132317,6.51477e-06,0.3,0.01,500.0,23090.9488256,0.977073,0.0621946,-589.345577947,100,1.29284,0.207094
1.09256,1,-589.340439262,7528.03378548,-589.340439262,100,91.5279299253,0.00178349,-571.517,88.3129419527,-751.964,62.1422,0.0175651,1.33674e-05,0.3,0.01,500.0,7528.03378548,0.978153,0.127897,-589.340439262,100,1.71813,0.174453
1.06743,1,-558.942250347,2833.01562718,-558.942250347,100,93.6827994966,0.00455944,-551.652,93.5192013781,-663.667,53.0591,0.0189223,6.99991e-06,0.3,0.01,500.0,2833.01562718,1.06659,0.0796318,-558.942250347,100,2.01823,0.486305
1.08033,1,-615.152059867,34427.6986223,-615.152059867,100,92.5639503448,0.00116327,-580.181,89.6222985514,-891.37,81.1971,0.0173652,1.16963e-05,0.3,0.01,500.0,34427.6986223,0.905216,0.0958415,-615.152059867,100,1.57192,0.105301
1.06585,1,-566.056979444,3386.5912499,-566.056979444,100,93.8220929646,0.00378633,-559.227,94.1980223934,-676.597,57.5844,0.0159535,6.22157e-06,0.3,0.01,500.0,3386.5912499,0.994742,0.0615631,-566.056979444,100,1.58696,0.376642
1.06574,1,-556.826642333,2118.09454116,-556.826642333,100,93.831475091,0.00346167,-550.27,93.3740431788,-658.0,47.4869,0.0173216,7.16783e-06,0.3,0.01,500.0,2118.09454116,0.979489,0.068768,-556.826642333,100,1.69663,0.339067
1.01781,1,-550.36601,3813.42937615,-550.36601,100,98.2500277289,0.00611922,-547.87,97.8993050777,-690.08,60.5157,0.0127876,2.16744e-06,0.3,0.01,500.0,3813.42937615,1.0015,0.0217392,-550.36601,100,1.28067,0.612837
1.10621,1,-545.909673097,2548.56232086,-545.909673097,100,90.3986227818,0.00159344,-534.327,87.1095184986,-641.46,47.9739,0.0196702,1.49475e-05,0.3,0.01,500.0,2548.56232086,1.03073,0.158803,-545.909673097,100,2.02747,0.164241
1.10965,1,-538.081885001,2656.57609074,-538.081885001,100,90.118611045,0.0018731,-528.599,90.2082104029,-632.759,55.3287,0.018234,1.09643e-05,0.3,0.01,500.0,2656.57609074,1.01059,0.111978,-538.081885001,100,1.84272,0.189295
1.11343,1,-528.853327688,2318.15160215,-528.853327688,100,89.8122323788,0.00191693,-518.934,88.8468312908,-622.98,50.2745,0.0176536,1.26801e-05,0.3,0.01,500.0,2318.15160215,1.02897,0.134254,-528.853327688,100,1.8165,0.197246
1.14984,1,-524.721576928,2743.29266634,-524.721576928,100,86.9688293048,0.0027705,-511.371,83.8623873137,-618.156,54.4129,0.0226019,1.94373e-05,0.3,0.01,500.0,2743.29266634,1.00949,0.198079,-524.721576928,100,2.28163,0.279678
1.03471,1,-514.855781244,2570.65170592,-514.855781244,100,96.6450982147,0.00469971,-511.51,96.9866023549,-612.132,50.1126,0.0138179,3.13842e-06,0.3,0.01,500.0,2570.65170592,0.997391,0.0312206,-514.855781244,100,1.37818,0.468745
1.11954,1,-507.233516345,2117.89114212,-507.233516345,100,89.3223831546,0.00353423,-497.033,88.0074306205,-595.443,47.589,0.0193748,1.37644e-05,0.3,0.01,500.0,2117.89114212,0.99928,0.137446,-507.233516345,100,1.93608,0.353168
1.02862,1,-504.65281721,1506.16435765,-504.65281721,100,97.2172478805,0.0037288,-502.104,97.2921111009,-594.745,38.2571,0.0149507,2.81137e-06,0.3,0.01,500.0,1506.16435765,1.00819,0.0285763,-504.65281721,100,1.50732,0.375935
1.07227,1,-504.190189672,2253.70629484,-504.190189672,100,93.2599240745,0.00247626,-497.044,92.5693582043,-601.868,47.1934,0.0209603,8.1082e-06,0.3,0.01,500.0,2253.70629484,0.969411,0.0761974,-504.190189672,100,2.03192,0.240051
1.06115,1,-501.890019509,1854.99588906,-501.890019509,100,94.2371021473,0.00328611,-495.748,92.983292262,-593.099,38.8896,0.0168268,7.62243e-06,0.3,0.01,500.0,1854.99588906,0.987147,0.0742775,-501.890019509,100,1.66105,0.324387
1.02858,1,-495.867606793,2059.54506904,-495.867606793,100,97.2213604,0.00628954,-493.054,97.7134789245,-589.796,45.9703,0.0152188,2.36368e-06,0.3,0.01,500.0,2059.54506904,0.993945,0.0233514,-495.867606793,100,1.51266,0.625146
1.0613,1,-498.313639758,2151.63415028,-498.313639758,100,94.2241036722,0.00335014,-492.61,92.4705331234,-590.154,47.7317,0.0170989,8.22483e-06,0.3,0.01,500.0,2151.63415028,1.00347,0.0828206,-498.313639758,100,1.71582,0.336177
1.27002,1,-498.345344187,2506.54679213,-498.345344187,100,78.7387322275,0.000702074,-479.741,40.4514087635,-592.104,108.547,0.124221,0.000148697,0.3,0.01,500.0,2506.54679213,1.10004,1.79936,-498.345344187,100,13.6648,0.0772309
1.08816,1,-478.433260601,2411.66521981,-478.433260601,100,91.8981665081,0.0048841,-471.148,91.3521461222,-566.366,55.804,0.0201093,9.56216e-06,0.3,0.01,500.0,2411.66521981,0.988192,0.0933767,-478.433260601,100,1.98719,0.482642
1.0,1,-490.604114814,1709.01503481,-490.604114814,100,100.0,,-462.366,1.46706878877,-557.227,69.6341,0.809739,0.00678416,0.3,0.01,500.0,1709.01503481,0.00139261,0.00013157,-490.604114814,100,0.112765,
5.23919e+16,,-652.906033543,37439.227189,-490.604114814,100,3.81738517387e-15,nan,nan,nan,nan,nan,nan,nan,0.3,nan,500.0,1709.01503481,inf,nan,-490.604114814,200,inf,8.86797
1.89812,1,-485.921648127,1702.86631713,-485.921648127,100,105.367466585,0.000256732,-452.373,12.2358316254,-544.787,295.922,0.277173,0.000385564,0.3,0.005,500.0,1702.86631713,1.29306,25.7864,-485.921648127,200,71.6799,0.0663936
1.0,2,-484.517527627,1672.66942307,-484.517527627,100,200.0,0.01,-484.518,100.0,-576.417,40.6933,0.01,3.50449e-18,0.3,0.01,500.0,1672.66942307,1.0,,-484.517527627,200,1.0,1.0
1.10063,1,-485.463272445,2022.21993101,-485.463272445,100,181.714318269,0.00202077,-478.743,178.33309209,-549.795,45.8299,0.0101425,3.05269e-06,0.3,0.005,500.0,2022.21993101,0.9537,0.111062,-485.463272445,200,1.93458,0.385442
1.0,2,-472.2490697,1719.94997415,-472.2490697,100,200.0,0.01,-472.249,100.0,-566.959,41.2644,0.01,3.50449e-18,0.3,0.01,500.0,1719.94997415,1.0,,-472.2490697,200,1.0,1.0
1.10287,1,-478.525942601,1745.42624663,-478.525942601,100,181.345783054,0.00111662,-468.999,176.25070098,-539.329,41.7156,0.0104302,3.38561e-06,0.3,0.005,500.0,1745.42624663,0.951033,0.122487,-478.525942601,200,1.98389,0.212388
1.0,2,-474.37474947,2147.04474689,-474.37474947,100,200.0,0.01,-474.375,100.0,-561.47,46.104,0.01,3.50449e-18,0.3,0.01,500.0,2147.04474689,1.0,,-474.37474947,200,1.0,1.0
1.05877,1,-464.334264188,1640.87308247,-464.334264188,100,188.899257428,0.00160503,-465.653,187.392684243,-532.374,41.7977,0.00747667,1.69039e-06,0.3,0.005,500.0,1640.87308247,0.981524,0.0651401,-464.334264188,200,1.46771,0.315075
1.0,2,-460.883346024,2406.15043082,-460.883346024,100,200.0,0.01,-460.883,100.0,-559.919,48.8067,0.01,3.50449e-18,0.3,0.01,500.0,2406.15043082,1.0,,-460.883346024,200,1.0,1.0
1.08576,1,-463.20518258,2353.55311023,-463.20518258,100,184.201941666,0.000729491,-455.734,182.580658805,-528.705,47.7776,0.0114881,2.39715e-06,0.3,0.005,500.0,2353.55311023,0.989943,0.0939669,-463.20518258,200,2.27452,0.144431
1.0,2,-460.541419856,1579.70831254,-460.541419856,100,200.0,0.01,-460.541,100.0,-545.428,39.5463,0.01,3.50449e-18,0.3,0.01,500.0,1579.70831254,1.0,,-460.541419856,200,1.0,1.0
1.07493,1,-467.768214334,1766.34754806,-467.768214334,100,186.058573373,0.00165707,-459.836,185.385548686,-525.526,39.9897,0.00998938,1.98073e-06,0.3,0.005,500.0,1766.34754806,1.02487,0.083219,-467.768214334,200,2.04756,0.339656
1.0,2,-461.620375244,1650.0898549,-461.620375244,100,200.0,0.01,-461.62,100.0,-547.623,40.4177,0.01,3.50449e-18,0.3,0.01,500.0,1650.0898549,1.0,,-461.620375244,200,1.0,1.0
1.06157,1,-464.468411739,1947.05443031,-464.468411739,100,188.399492966,0.000703969,-458.882,187.180058582,-527.207,42.5924,0.00787199,1.72085e-06,0.3,0.005,500.0,1947.05443031,1.00444,0.0694464,-464.468411739,200,1.58138,0.141419
1.0,2,-462.244467337,1649.95448451,-462.244467337,100,200.0,0.01,-462.244,100.0,-551.435,40.416,0.01,3.50449e-18,0.3,0.01,500.0,1649.95448451,1.0,,-462.244467337,200,1.0,1.0
1.0,1,-453.69935327,2153.79856772,-453.69935327,100,199.999427797,4.22724e-14,-426.819,10.6918750736,-491.843,119.478,0.233045,0.000444869,0.3,0.005,500.0,2153.79856772,0.119938,0.25598,-453.69935327,200,5.59019,1.01401e-12
1.0,2,-692.56267549,76789.5013536,-692.56267549,100,200.0,0.01,-692.563,100.0,-893.688,275.72,0.01,3.50449e-18,0.3,0.01,500.0,76789.5013536,1.0,,-692.56267549,200,1.0,1.0
2.95013,,-766.857190621,89211.1370865,-453.69935327,100,101.690360506,1.27024e-13,-480.592,1.88152576972,-725.284,271.504,0.700273,0.00264565,0.3,0.005,500.0,2153.79856772,7.04138e+09,5.24696e+21,-453.69935327,300,9.86179e+11,0.178885
1.11704,1,-455.410330657,1528.40926223,-455.410330657,100,268.565857257,0.000871534,-451.527,261.102197494,-507.64,43.1977,0.00728994,1.66081e-06,0.3,0.00333333,500.0,1528.40926223,0.990233,0.146567,-455.410330657,300,2.16562,0.258907
1.0,2,-456.887634875,1761.40116908,-456.887634875,100,300.0,0.01,-456.888,100.0,-555.022,41.7587,0.01,3.50449e-18,0.3,0.01,500.0,1761.40116908,1.0,,-456.887634875,300,1.0,1.0
1.0,2,-455.525183484,2205.50780294,-455.525183484,100,300.0,0.005,-456.206,200.000000102,-530.666,44.318,0.005,2.1793e-19,0.3,0.005,500.0,2205.50780294,1.0,,-455.525183484,300,1.0,1.0
1.0,1,-457.342961195,1543.51306303,-457.342961195,100,299.999570847,1.91568e-22,-449.605,19.6806981677,-510.401,140.698,0.13749,0.000158789,0.3,0.00333333,500.0,1543.51306303,0.729244,7.5999,-457.342961195,300,30.079,4.191e-20
1.0,2,-457.83689875,2921.51321122,-457.83689875,100,300.0,0.01,-457.837,100.0,-556.475,53.7801,0.01,3.50449e-18,0.3,0.01,500.0,2921.51321122,1.0,,-457.83689875,300,1.0,1.0
1.0,2,-449.492164368,2260.27257475,-449.492164368,100,300.0,0.005,-453.664,200.000000102,-523.412,50.8172,0.005,2.1793e-19,0.3,0.005,500.0,2260.27257475,1.0,,-449.492164368,300,1.0,1.0
