AvgNormIw,AvgDiscRet,eRenyi2,MaxNormIw,MaxVanillaIw,VarNormIw,AvgVanillaIw,Bound,VarVanillaIw,MinNormIw,IterType,ESSClassic,MinVanillaIw,AvgRet,ESSRenyi,VarJ,J,BatchSize,VanillaAvgRet,VarRet,VarDiscRet,AvgEpLen,EpsThisIter
0.01,6.285635102549996,2.4028065,0.97910005,4022.6606,0.009582279,41.08529,35.30479,161748.92,3.9997244e-06,1,1.043138510374398,0.016432984,6.285635102549996,41.61799926394863,7.0786147,40.70915,100,6.285635102549996,25.994136564201664,25.994136564201664,6.31,100
0.01,6.706178612375408,2.4633455,0.17730898,60.853218,0.00037815335,3.4320438,-1.1969166,44.5424,7.243255e-07,,21.08050993484467,0.00024859168,6.285635102549996,81.19039645683999,7.520069,6.1894526,200,6.285635102549996,25.994136564201664,41.34731986328886,6.31,100
0.004999999,7.519296956412692,4.472433,0.9844532,9370.269,0.004844983,47.591236,59.894913,438941.1,6.810957e-07,1,1.0318302172445755,0.006482837,7.519296956412692,44.71838839529981,13.196157,68.653915,200,7.519296956412692,64.28257525788676,64.28257525788676,7.48,100
0.009999998,6.4973073281625,1.0,0.01,1.0,3.5044917e-18,1.0,4.7512817,,0.01,2,100.0,1.0,6.4973073281625,200.0,4.0753684,6.4973073,200,6.4973073281625,16.776391344815273,16.776391344815273,6.45,100
0.005,6.6887720134721045,6.5653687,0.09620236,154.25346,0.00011230502,8.017135,0.96411896,288.7337,6.655777e-08,,36.56481324626281,0.00010672052,7.519296956412692,45.69431145239711,5.902703,6.3490205,300,7.519296956412692,64.28257525788676,29.933482164308217,7.48,100
0.0033333334,6.192278125420751,5.4538198,0.98392236,15596.88,0.003226664,52.839127,60.714554,810788.6,2.3843458e-07,1,1.0329448511828285,0.0037796025,6.192278125420751,55.00731847698389,16.846207,68.612015,300,6.192278125420751,52.23128535863259,52.23128535863259,5.95,100
0.009999998,6.636958020787749,1.0,0.01,1.0,3.5044917e-18,1.0,4.567539,,0.01,2,100.0,1.0,6.636958020787749,300.0,4.444459,6.636958,300,6.636958020787749,19.952743460576976,19.952743460576976,6.49,100
0.0049999994,8.195639790969443,1.0,0.005,1.0,2.179301e-19,1.0,4.09161,,0.005,2,200.00000010221265,1.0,8.195639790969443,300.0,6.7372046,7.416299,300,8.195639790969443,70.51705581216183,70.51705581216183,7.89,100
0.0033333336,7.224448309587746,9.725736,0.073954195,264.5781,9.824169e-05,11.925313,-3.0459466,1257.4128,1.7921371e-08,,30.573940851106627,6.411539e-05,6.192278125420751,41.12799420052984,16.241545,7.358833,400,6.192278125420751,52.23128535863259,62.65515683745379,5.95,100
0.0025,6.82648900763761,6.4047647,0.98366034,21596.953,0.0024187723,54.88925,61.19253,1165976.1,7.789846e-08,1,1.0334954079696737,0.0017103154,6.82648900763761,62.453504807447125,19.590034,68.604256,400,6.82648900763761,23.90868433389717,23.90868433389717,6.71,100
0.009999998,8.839532328854787,1.0,0.01,1.0,3.5044917e-18,1.0,2.2567506,,0.01,2,100.0,1.0,8.839532328854787,400.0,9.21722,8.839532,400,8.839532328854787,85.81530521789746,85.81530521789746,8.62,100
0.0049999994,8.634938389219528,1.0,0.005,1.0,2.179301e-19,1.0,4.0825057,,0.005,2,200.00000010221265,1.0,8.634938389219528,400.0,9.252381,8.737235,400,8.634938389219528,87.10613546053663,87.10613546053663,7.86,100
0.0033333336,6.171019847137956,1.0,0.0033333334,1.0,5.4391416e-20,1.0,4.0812607,,0.0033333334,2,299.999969473632,1.0,6.171019847137956,400.0,7.971045,7.881831,400,6.171019847137956,15.160781781120871,15.160781781120871,5.94,100
0.0025,6.912296137775228,13.573521,0.100856416,584.6875,6.772511e-05,14.493067,-5.303155,2276.0942,7.987065e-09,,33.872678265207085,4.6302826e-05,6.82648900763761,36.836426783414275,9.364963,6.8230715,500,6.82648900763761,23.90868433389717,28.138204403749366,6.71,100
0.002,6.012317957915367,6.846545,0.98664975,32065.408,0.001946852,64.998566,61.9137,2056271.1,7.107769e-08,1,1.0272435842291452,0.002309974,6.012317957915367,73.02953299448971,18.327581,68.76777,500,6.012317957915367,15.589294928847345,15.589294928847345,5.94,100
0.009999998,6.7159970683847074,1.0,0.01,1.0,3.5044917e-18,1.0,1.6344037,,0.01,2,100.0,1.0,6.7159970683847074,500.0,6.7937126,6.715997,500,6.7159970683847074,46.62073686639604,46.62073686639604,6.79,100
0.0049999994,6.70609357653946,1.0,0.005,1.0,2.179301e-19,1.0,3.1178162,,0.005,2,200.00000010221265,1.0,6.70609357653946,500.0,6.052103,6.7110453,500,6.70609357653946,27.375078501048034,27.375078501048034,6.78,100
0.0033333336,7.536197091322258,1.0,0.0033333334,1.0,5.4391416e-20,1.0,4.0522366,,0.0033333334,2,299.999969473632,1.0,7.536197091322258,500.0,6.248039,6.986096,500,7.536197091322258,43.84256075768917,43.84256075768917,7.4,100
0.0024999997,5.602942268402246,1.0,0.0025,1.0,5.434597e-20,1.0,4.0995107,,0.0025,2,400.0,1.0,5.602942268402246,500.0,5.6106877,6.6403074,500,5.602942268402246,7.4449221170734114,7.4449221170734114,5.77,100
0.002,7.331158971968241,5.7441616,0.99127907,51197.05,0.0019652,103.29493,54.48298,5242092.5,1.4792637e-07,1,1.0176724010119655,0.007640022,7.331158971968241,87.04490477637265,9.986617,59.92961,500,7.331158971968241,32.795597202506684,32.795597202506684,7.02,100
0.009999998,8.608213664974649,1.0,0.01,1.0,3.5044917e-18,1.0,6.179821,,0.01,2,100.0,1.0,8.608213664974649,500.0,5.997765,8.608213,500,8.608213664974649,36.336554092486374,36.336554092486374,8.26,100
0.0049999994,7.931522873460088,1.0,0.005,1.0,2.179301e-19,1.0,5.861917,,0.005,2,200.00000010221265,1.0,7.931522873460088,500.0,5.9132776,8.269869,500,7.931522873460088,34.072289128572635,34.072289128572635,7.87,100
0.0033333336,8.79928421689983,1.0,0.0033333334,1.0,5.4391416e-20,1.0,4.8819027,,0.0033333334,2,299.999969473632,1.0,8.79928421689983,500.0,6.9829965,8.446341,500,8.79928421689983,76.93551880379708,76.93551880379708,8.75,100
0.0024999997,7.6037410946395,1.0,0.0025,1.0,5.434597e-20,1.0,5.148795,,0.0025,2,400.0,1.0,7.6037410946395,500.0,6.6007175,8.235689,500,7.6037410946395,27.736027856222112,27.736027856222112,7.23,100
0.0019999999,7.945771957790178,4.015836,0.9885702,41833.145,0.0019544528,84.63364,67.08653,3499864.0,2.1495235e-07,1,1.0232565820746848,0.009096099,7.945771957790178,124.50708386241546,16.33091,72.61945,500,7.945771957790178,50.62029626310615,50.62029626310615,7.56,100
0.009999998,11.013267385650444,1.0,0.01,1.0,3.5044917e-18,1.0,7.43503,,0.01,2,100.0,1.0,11.013267385650444,500.0,8.116294,11.013267,500,11.013267385650444,66.5396225884192,66.5396225884192,10.59,100
