MinNormIw,AvgEpLen,MaxVanillaIw,MinVanillaIw,BatchSize,eRenyi2,MaxNormIw,AvgRet,VarVanillaIw,ESSClassic,AvgVanillaIw,VarJ,J,Delta,AvgNormIw,VanillaAvgRet,ESSRenyi,EpsThisIter,Bound,IterType,VarRet,VarDiscRet,VarNormIw,AvgDiscRet
9.32655e-08,366.19,3.92767,1.23578e-05,100,2.57845,0.0296424,-297.610369948,1.90373,48.2279251817,1.32502,154.011,-152.201,0.1,0.01,-297.610369948,38.782943695,100,-353.156,1,24805.661666,24805.661666,0.000108433,-297.610369948
2.00596e-05,234.99,2.66468,0.00197831,100,1.51862,0.0270192,-179.910586522,0.59058,62.4558434556,0.986217,87.4849,-104.984,0.1,0.01,-179.910586522,65.8492159111,100,-259.2,1,20378.977529,20378.977529,6.07203e-05,-179.910586522
0.00139434,155.77,1.48798,0.141345,100,1.0774,0.0146786,-115.887702167,0.08173,92.7008055308,1.01371,92.5166,-103.596,0.1,0.01,-115.887702167,92.8160926217,100,-233.49,1,11562.2360854,11562.2360854,7.9535e-06,-115.887702167
0.0043252,129.59,1.21443,0.429465,100,1.02608,0.0122307,-93.8851279029,0.02572,97.4823910659,0.992936,69.3537,-90.2394,0.1,0.01,-93.8851279029,97.4584225543,100,-217.004,1,5961.18699628,5961.18699628,2.60873e-06,-93.8851279029
0.00235146,155.64,1.53152,0.230907,100,1.06506,0.0155964,-116.324199158,0.0706369,93.2382012741,0.981972,99.9863,-108.674,0.1,0.01,-116.324199158,93.8915693653,100,-237.822,1,11735.4487811,11735.4487811,7.32544e-06,-116.324199158
0.00121916,119.13,1.224,0.120673,100,1.0336,0.0123661,-83.8592510161,0.0396443,96.148199329,0.9898,38.3114,-77.311,0.1,0.01,-83.8592510161,96.7492174008,100,-204.537,1,3560.73534187,3560.73534187,4.04656e-06,-83.8592510161
0.0096277,112.55,1.22522,0.965429,100,1.00125,0.0122184,-79.3374293415,0.00186383,99.8168027179,1.00276,48.8074,-79.175,0.1,0.01,-79.3374293415,99.874915378,100,-204.387,1,2535.73747875,2535.73747875,1.85357e-07,-79.3374293415
0.00729589,126.82,1.43348,0.734369,100,1.01722,0.0142415,-92.119823574,0.0188909,98.1874806794,1.00655,76.6099,-89.8934,0.1,0.01,-92.119823574,98.3069645694,100,-216.109,1,7063.40852418,7063.40852418,1.86458e-06,-92.119823574
0.00476267,117.71,1.19016,0.46869,100,1.02578,0.012094,-83.8235005976,0.0285241,97.1667248435,0.98409,47.6665,-80.5174,0.1,0.01,-83.8235005976,97.4869753685,100,-207.263,1,3754.45030593,3754.45030593,2.94538e-06,-83.8235005976
0.00820644,122.27,1.20567,0.82292,100,1.00466,0.0120234,-87.9291307132,0.00465097,99.5441840378,1.00277,75.2822,-87.3441,0.1,0.01,-87.9291307132,99.5364557291,100,-212.766,1,5935.23790139,5935.23790139,4.62528e-07,-87.9291307132
0.00685147,138.62,1.27678,0.681349,100,1.01158,0.012839,-102.539742311,0.0119263,98.8202024709,0.994457,97.572,-101.198,0.1,0.01,-102.539742311,98.8554434668,100,-227.063,1,10064.3784604,10064.3784604,1.20596e-06,-102.539742311
0.00598564,115.96,1.17011,0.597783,100,1.01248,0.0117164,-83.8575610745,0.0107285,98.946334867,0.998696,73.2916,-82.3433,0.1,0.01,-83.8575610745,98.767869472,100,-208.264,1,6052.03689025,6052.03689025,1.07565e-06,-83.8575610745
0.00958702,108.7,1.13169,0.960233,100,1.00127,0.0112989,-76.5759946786,0.000998199,99.9015781495,1.0016,48.8308,-76.4111,0.1,0.01,-76.5759946786,99.8728344744,100,-201.591,1,2550.68682313,2550.68682313,9.95018e-08,-76.5759946786
0.00740324,123.95,1.12587,0.743346,100,1.01028,0.0112129,-88.9572051983,0.0091292,99.1114912079,1.00408,71.7862,-87.7604,0.1,0.01,-88.9572051983,98.9824590261,100,-213.545,1,5933.49262194,5933.49262194,9.05513e-07,-88.9572051983
0.00765024,124.37,1.14754,0.76183,100,1.00627,0.0115235,-89.5520423236,0.00491466,99.5117463087,0.995825,74.7981,-88.7799,0.1,0.01,-89.5520423236,99.3770665775,100,-214.315,1,5900.39362283,5900.39362283,4.95596e-07,-89.5520423236
0.0023751,135.87,2.01925,0.2369,100,1.05584,0.0202445,-100.420952167,0.0794619,92.6721288581,0.997431,86.9239,-93.8055,0.1,0.01,-100.420952167,94.7115003019,100,-222.393,1,10215.070151,10215.070151,7.98718e-06,-100.420952167
0.00593177,125.86,1.27659,0.594464,100,1.00923,0.0127383,-91.7884739618,0.00962085,99.060572804,1.00217,86.6488,-90.7043,0.1,0.01,-91.7884739618,99.0854162343,100,-216.422,1,8164.3988784,8164.3988784,9.57925e-07,-91.7884739618
0.00647953,128.17,1.12526,0.641975,100,1.01161,0.0113573,-93.6057610843,0.0128756,98.7181018229,0.990774,88.4343,-92.2823,0.1,0.01,-93.6057610843,98.8521816844,100,-218.149,1,8159.3674318,8159.3674318,1.31165e-06,-93.6057610843
0.00822838,118.66,1.33202,0.813478,100,1.011,0.0134735,-85.5580442025,0.00983965,99.0131794745,0.988625,73.1877,-84.1796,0.1,0.01,-85.5580442025,98.9115914969,100,-210.009,1,6013.10908449,6013.10908449,1.00674e-06,-85.5580442025
0.00684568,123.62,1.36363,0.691273,100,1.0153,0.013504,-90.4202417977,0.0152033,98.5453952258,1.00979,84.2642,-88.597,0.1,0.01,-90.4202417977,98.4930296693,100,-214.685,1,8255.15696731,8255.15696731,1.49098e-06,-90.4202417977
0.00501883,130.32,1.43878,0.500999,100,1.01882,0.0144132,-95.6978786518,0.024219,97.6503822956,0.998239,90.6271,-93.4096,0.1,0.01,-95.6978786518,98.1531164222,100,-219.724,1,9235.670576,9235.670576,2.43045e-06,-95.6978786518
0.00668615,118.82,1.10119,0.666258,100,1.00978,0.0110509,-86.0908876394,0.00720351,99.2869379408,0.996474,72.6248,-84.9519,0.1,0.01,-86.0908876394,99.0310932498,100,-210.704,1,6027.63312401,6027.63312401,7.25458e-07,-86.0908876394
0.00661938,116.3,1.09023,0.665795,100,1.00565,0.0108391,-84.4003045535,0.00547685,99.4669479269,1.00583,74.9477,-83.6056,0.1,0.01,-84.4003045535,99.4384293376,100,-209.098,1,6017.74118978,6017.74118978,5.41358e-07,-84.4003045535
0.00608455,121.7,1.34488,0.621387,100,1.01172,0.0131688,-88.4384383145,0.0107723,98.9878170698,1.02125,79.9203,-86.9934,0.1,0.01,-88.4384383145,98.8411980504,100,-212.867,1,7115.53345478,7115.53345478,1.03285e-06,-88.4384383145
0.00773266,129.7,1.54512,0.768194,100,1.01927,0.0155532,-95.3069808787,0.0198313,98.0494961746,0.993441,89.1632,-92.7361,0.1,0.01,-95.3069808787,98.1092072349,100,-219.069,1,9270.40086873,9270.40086873,2.0094e-06,-95.3069808787
0.00500534,119.82,1.18302,0.510749,100,1.02165,0.0115937,-86.9359823762,0.0227793,97.8800850717,1.02041,76.0326,-84.0806,0.1,0.01,-86.9359823762,97.8810087501,100,-210.568,1,7149.33502551,7149.33502551,2.18773e-06,-86.9359823762
0.00622052,135.24,1.50532,0.650204,100,1.02354,0.0144014,-99.9169546586,0.0229196,97.9654279824,1.04526,92.424,-96.729,0.1,0.01,-99.9169546586,97.7003530258,100,-223.341,1,10204.5558769,10204.5558769,2.09778e-06,-99.9169546586
0.00840325,145.28,1.3909,0.854008,100,1.01925,0.0136861,-108.965906858,0.0141534,98.6615447848,1.01628,108.285,-106.368,0.1,0.01,-108.965906858,98.1112841436,100,-232.71,1,13204.3338967,13204.3338967,1.37035e-06,-108.965906858
0.00791775,117.07,1.16065,0.795158,100,1.0041,0.0115571,-84.211850819,0.00487529,99.523731682,1.00427,74.7455,-83.6882,0.1,0.01,-84.211850819,99.5915120655,100,-209.087,1,6018.02860181,6018.02860181,4.83389e-07,-84.211850819
0.00917944,113.39,1.7319,0.93036,100,1.00629,0.0170878,-80.1985641244,0.0141234,98.6571370548,1.01353,57.7989,-79.4005,0.1,0.01,-80.1985641244,99.3747356033,100,-204.932,1,3789.67761027,3789.67761027,1.37489e-06,-80.1985641244
0.00670674,120.52,1.09578,0.678748,100,1.00654,0.0108274,-87.7850440301,0.00557174,99.4643028709,1.01204,82.1329,-87.0085,0.1,0.01,-87.7850440301,99.3507023389,100,-212.56,1,7156.66720346,7156.66720346,5.43996e-07,-87.7850440301
0.0045715,120.14,1.23779,0.438306,100,1.01842,0.01291,-87.2925707087,0.0260273,97.2734017693,0.95878,77.4472,-85.0099,0.1,0.01,-87.2925707087,98.191777538,100,-211.299,1,7175.08960535,7175.08960535,2.83134e-06,-87.2925707087
0.00893655,108.76,1.32265,0.895113,100,1.00746,0.013205,-77.3023076567,0.00690252,99.3234662483,1.00163,56.6916,-76.3157,0.1,0.01,-77.3023076567,99.2597942721,100,-201.922,1,3748.95317702,3748.95317702,6.88006e-07,-77.3023076567
0.00584787,113.96,1.13675,0.582771,100,1.01632,0.0114068,-81.8604335468,0.0138385,98.6392659069,0.996553,62.9321,-79.8307,0.1,0.01,-81.8604335468,98.3939766795,100,-205.99,1,4903.03115104,4903.03115104,1.39344e-06,-81.8604335468
