AvgDiscRet,VarVanillaIw,AvgEpLen,ESSRenyi,AvgVanillaIw,VarNormIw,VarRet,MinNormIw,VarDiscRet,VarJ,eRenyi2,MaxNormIw,MinVanillaIw,MaxVanillaIw,J,BatchSize,ESSClassic,Bound,AvgRet,AvgNormIw
-1608.5544895009277,1.0156155,200.0,51.096690127127005,0.9794149,0.00010587562,4230828.776786032,2.0798684e-12,4230828.776786032,139.14693,1.9570739,0.027223423,2.037054e-10,2.6663027,-59.018368,100,48.824100170182035,-735.7082,-1608.5544895009277,0.01
-43.87167522267405,0.046262607,200.0,95.67388746108256,0.9937268,4.6848545e-06,103522.93202335072,0.001328815,103522.93202335072,43.99206,1.0452173,0.01195415,0.1320479,1.1879159,-15.58709,100,95.5675847277184,-293.21515,-43.87167522267405,0.01
-11.052332613674244,1.9067881,200.0,32.56110470563137,0.9155664,0.00022746927,79.68257140545937,1.0188081e-11,79.68257140545937,11.630502,3.0711489,0.048764147,9.327865e-10,4.4646816,-7.604289,100,30.750822844503727,-11.757979,-11.052332613674244,0.009999998
-9.411864810059612,0.2238195,200.0,76.85003648463133,0.9336634,2.5675401e-05,75.89541395866533,0.0019905656,75.89541395866533,8.157263,1.3012356,0.028361803,0.18585183,2.6480377,-8.751654,100,79.73296830493385,-12.985008,-9.411864810059612,0.01
-8.10387173819294,1.6797574,200.0,22.519162987836882,0.539206,0.00057774625,55.4184757146528,,55.4184757146528,19.117386,4.4406624,0.10541928,,5.684271,-6.8121657,100,14.88164434891829,-8.183716,-8.10387173819294,0.01
-7.531408742788797,1.0075266,200.0,45.43581367380209,0.84360296,0.00014157296,52.063473796262734,4.4751098e-23,52.063473796262734,10.757415,2.200907,0.035433125,3.775216e-21,2.989149,-6.817475,100,41.63939423547234,-8.669532,-7.531408742788797,0.009999999
-7.458297751504458,0.014689269,200.0,99.14855201364057,1.0114169,1.4359517e-06,46.0796838437044,0.00930037,46.0796838437044,6.66536,1.0085876,0.016298415,0.9406552,1.6484493,-7.3520985,100,98.59834265587652,-9.427685,-7.458297751504458,0.01
-7.814317164664841,0.08362159,200.0,87.41133545315815,0.9826535,8.659995e-06,51.966986670571124,0.008347408,51.966986670571124,7.5000606,1.1440164,0.024271889,0.82026094,2.3850856,-7.586779,100,92.1036072270883,-9.576792,-7.814317164664841,0.01
-8.043076229816583,0.04939632,200.0,87.71970294999387,0.9781271,5.163022e-06,56.7469657064766,0.008297174,56.7469657064766,7.697917,1.1399947,0.02204567,0.8115691,2.1563468,-7.98692,100,95.13715568771765,-9.941872,-8.043076229816583,0.01
-8.661208150604935,1.1735132,200.0,46.36205298929008,0.8975519,0.00014566958,61.24226347172196,2.7612515e-11,61.24226347172196,10.007535,2.1569364,0.03329181,2.4783664e-09,2.9881124,-7.210795,100,40.94788082804128,-9.484219,-8.661208150604935,0.01
-8.023767877101513,0.046008173,200.0,80.7748430599237,0.93155825,5.301698e-06,48.55823927605897,0.008397226,48.55823927605897,6.889939,1.2380092,0.018967649,0.7822505,1.766947,-8.048635,100,95.01306450245708,-9.745781,-8.023767877101513,0.01
