AvgEpLen,Bound,AvgVanillaIw,AvgNormIw,ESSClassic,VarJ,BatchSize,MinVanillaIw,MaxVanillaIw,AvgRet,VarDiscRet,VarRet,VarNormIw,MaxNormIw,VanillaAvgRet,ESSRenyi,VarVanillaIw,eRenyi2,AvgDiscRet,MinNormIw,J
12.62,11992059.0,47267.15,0.01,1.0,,100,,4726715.0,-2.9416469260468145e-14,5068.28010698178,5068.28010698178,0.010000003,1.0,116.11656713830943,4.697214610451185e-05,223418270000.0,2128921.2,-2.9416469260468145e-14,,253.70937
21.69,4431466.5,30969.92,0.01,1.0,,100,,3096992.0,4.007461029686965e-14,6003.69899309977,6003.69899309977,0.010000003,1.0,206.740866259465,0.00012375913100669776,95913630000.0,808021.2,4.007461029686965e-14,,143.09148
20.03,1744520.0,5821.5684,0.01,1.0,,100,,582156.8,4.121147867408581e-15,5267.545080954526,5267.545080954526,0.010000002,1.0,190.14368368995918,0.0005882349697233622,3389065500.0,170000.1,4.121147867408581e-15,,299.67545
21.09,546835.94,2892.279,0.01,1.0,,100,,289227.9,4.547473508864641e-15,6466.700040642843,6466.700040642843,0.010000002,1.0,200.74125226227832,0.0007752714570609241,836527740.0,128987.08,4.547473508864641e-15,,189.09087
19.35,3815154.8,30157.273,0.01,1.0,1.9416766e-12,100,,3015727.2,-5.115907697472721e-15,5897.279745305907,5897.279745305907,0.010000002,1.0,183.3427087225887,,90946090000.0,inf,-5.115907697472721e-15,,126.51075
18.63,344485.34,1098.355,0.01,1.0,5.830692e-11,100,,109835.5,-6.8212102632969615e-15,5516.5842745429745,5516.5842745429745,0.010000002,1.0,176.1442703195242,nan,120638370.0,nan,-6.8212102632969615e-15,,313.6944
20.59,2374334.2,31403.064,0.01,1.6109120798161753,616.74567,100,,2341820.2,7.16227077646181e-14,4569.824044788924,4569.824044788924,0.00616936,0.74572986,195.74338630822916,nan,60839270000.0,nan,7.16227077646181e-14,,75.60979
20.69,4042072.2,29223.498,0.010000002,1.192432996170686,59.96707,100,,2670729.0,-4.291678123991005e-14,7130.721244186274,7130.721244186274,0.008369917,0.9138978,196.74325075098267,nan,71480160000.0,nan,-4.291678123991005e-14,,138.31801
19.62,69319887000000.0,1146468400000.0,0.01,3.0000001169534385,400.8963,100,,38215612000000.0,3.552713678800501e-14,6213.33198058406,6213.33198058406,0.0032659932,0.33333334,186.04502210410436,nan,4.2927893e+25,nan,3.552713678800501e-14,,60.463844
19.94,-6.0433297,1.0,0.009999998,100.0,71.4961,100,1.0,1.0,-4.305888978706207e-14,5163.325863924748,5163.325863924748,3.5044917e-18,0.01,189.24226239790642,nan,,nan,-4.305888978706207e-14,0.01,7.1525574e-07
19.31,-7.3972387,1.0,0.009999998,100.0,87.51364,100,1.0,1.0,-7.105427357601002e-16,7735.997048593271,7735.997048593271,3.5044917e-18,0.01,182.9441420636032,nan,,nan,-7.105427357601002e-16,0.01,-5.9604645e-08
20.69,-6.6884713,1.0,0.009999998,100.0,79.128494,100,1.0,1.0,7.105427357601002e-15,6324.565111523038,6324.565111523038,3.5044917e-18,0.01,196.7427255932641,nan,,nan,7.105427357601002e-15,0.01,-9.536743e-07
20.72,-6.628777,1.0,0.009999998,100.0,78.42229,100,1.0,1.0,2.1316282072803006e-14,6212.176899313809,6212.176899313809,3.5044917e-18,0.01,197.0446211132313,nan,,nan,2.1316282072803006e-14,0.01,9.536743e-07
21.29,-5.678142,1.0,0.009999998,100.0,67.17571,100,1.0,1.0,5.428546501207165e-14,4558.158012226566,4558.158012226566,3.5044917e-18,0.01,202.74210004093624,nan,,nan,5.428546501207165e-14,0.01,
19.94,-5.6014905,1.0,0.009999998,100.0,66.26888,100,1.0,1.0,-3.950617610826157e-14,4435.924181532032,4435.924181532032,3.5044917e-18,0.01,189.24403963589373,nan,,nan,-3.950617610826157e-14,0.01,-4.7683716e-07
19.79,-5.6755977,1.0,0.009999998,100.0,67.14562,100,1.0,1.0,3.410605131648481e-14,4554.075436655708,4554.075436655708,3.5044917e-18,0.01,187.74364897716518,nan,,nan,3.410605131648481e-14,0.01,5.9604645e-07
21.55,-6.8796487,1.0,0.009999998,100.0,81.39024,100,1.0,1.0,1.5916157281026246e-14,6691.284398441485,6691.284398441485,3.5044917e-18,0.01,205.34388839328523,nan,,nan,1.5916157281026246e-14,0.01,-1.7881393e-07
20.59,-6.0812197,1.0,0.009999998,100.0,71.94436,100,1.0,1.0,-5.0022208597511053e-14,5228.274541889551,5228.274541889551,3.5044917e-18,0.01,195.74147085155147,nan,,nan,-5.0022208597511053e-14,0.01,-2.682209e-07
20.55,-6.4938207,1.0,0.009999998,100.0,76.825676,100,1.0,1.0,-2.2737367544323206e-15,5961.80192385942,5961.80192385942,3.5044917e-18,0.01,195.34395128712993,nan,,nan,-2.2737367544323206e-15,0.01,3.9860606e-07
20.17,-6.917538,1.0,0.009999998,100.0,81.8385,100,1.0,1.0,-8.384404281969182e-15,6765.19257708637,6765.19257708637,3.5044917e-18,0.01,191.54454529516153,nan,,nan,-8.384404281969182e-15,0.01,-2.3841858e-07
20.77,-7.1569123,1.0,0.009999998,100.0,84.67044,100,1.0,1.0,-1.7337242752546444e-14,7241.499657735738,7241.499657735738,3.5044917e-18,0.01,197.54304907059793,nan,,nan,-1.7337242752546444e-14,0.01,5.9604645e-07
20.66,-6.3131247,1.0,0.009999998,100.0,74.687935,100,1.0,1.0,1.9326762412674726e-14,5634.63422142732,5634.63422142732,3.5044917e-18,0.01,196.4445586330334,nan,,nan,1.9326762412674726e-14,0.01,5.364418e-07
19.52,-7.01739,1.0,0.009999998,100.0,83.01979,100,1.0,1.0,1.0516032489249483e-14,6961.905427986167,6961.905427986167,3.5044917e-18,0.01,185.04344743540736,nan,,nan,1.0516032489249483e-14,0.01,5.9604645e-08
20.44,-7.446171,1.0,0.009999998,100.0,88.092545,100,1.0,1.0,-3.836930773104541e-15,7838.682179538594,7838.682179538594,3.5044917e-18,0.01,194.2416182263991,nan,,nan,-3.836930773104541e-15,0.01,-9.536743e-07
21.04,-7.4744444,1.0,0.009999998,100.0,88.42702,100,1.0,1.0,1.8474111129762605e-15,7898.320164091777,7898.320164091777,3.5044917e-18,0.01,200.24226767095345,nan,,nan,1.8474111129762605e-15,0.01,5.9604645e-07
19.97,-6.2623763,1.0,0.009999998,100.0,74.08755,100,1.0,1.0,1.5205614545266145e-14,5544.408535892228,5544.408535892228,3.5044917e-18,0.01,189.54383428587724,nan,,nan,1.5205614545266145e-14,0.01,-2.3841858e-07
20.81,-7.068438,1.0,0.009999998,100.0,83.62372,100,1.0,1.0,6.8212102632969615e-15,7063.562933087571,7063.562933087571,3.5044917e-18,0.01,197.9439437718825,nan,,nan,6.8212102632969615e-15,0.01,1.3411045e-06
20.55,-7.19139,1.0,0.009999998,100.0,85.07831,100,1.0,1.0,-6.679101716144942e-14,7311.433174780081,7311.433174780081,3.5044917e-18,0.01,195.34252020333645,nan,,nan,-6.679101716144942e-14,0.01,-4.7683716e-07
21.03,-6.519117,1.0,0.009999998,100.0,77.12495,100,1.0,1.0,-9.521272659185343e-15,6008.340512502673,6008.340512502673,3.5044917e-18,0.01,200.14308482884763,nan,,nan,-9.521272659185343e-15,0.01,-1.1920929e-07
21.32,-7.2699795,1.0,0.009999998,100.0,86.00808,100,1.0,1.0,1.3642420526593923e-14,7472.110799727503,7472.110799727503,3.5044917e-18,0.01,203.04194633752573,nan,,nan,1.3642420526593923e-14,0.01,-9.536743e-07
19.87,-6.2820168,1.0,0.009999998,100.0,74.3199,100,1.0,1.0,-5.684341886080802e-15,5579.240152356069,5579.240152356069,3.5044917e-18,0.01,188.54534329348695,nan,,nan,-5.684341886080802e-15,0.01,7.1525574e-07
21.05,-6.9950495,1.0,0.009999998,100.0,82.7555,100,1.0,1.0,2.3305801732931285e-14,6917.649741496872,6917.649741496872,3.5044917e-18,0.01,200.34656825906643,nan,,nan,2.3305801732931285e-14,0.01,2.3841858e-07
19.83,-6.7344527,1.0,0.009999998,100.0,79.67249,100,1.0,1.0,-3.694822225952521e-15,6411.824453735906,6411.824453735906,3.5044917e-18,0.01,188.1433898845636,nan,,nan,-3.694822225952521e-15,0.01,-1.4305115e-06
20.65,-5.939022,1.0,0.009999998,100.0,70.262085,100,1.0,1.0,5.968558980384841e-15,4986.627033044181,4986.627033044181,3.5044917e-18,0.01,196.3424614144577,nan,,nan,5.968558980384841e-15,0.01,5.9604645e-08
21.44,-6.2598267,1.0,0.009999998,100.0,74.05739,100,1.0,1.0,-2.842170943040401e-15,5539.89563754288,5539.89563754288,3.5044917e-18,0.01,204.24340411551646,nan,,nan,-2.842170943040401e-15,0.01,-7.1525574e-07
19.57,-5.9604273,1.0,0.009999998,100.0,70.51533,100,1.0,1.0,5.2580162446247416e-14,5022.637756889352,5022.637756889352,3.5044917e-18,0.01,185.54450084925224,nan,,nan,5.2580162446247416e-14,0.01,-4.7683716e-07
20.0,-7.145894,1.0,0.009999998,100.0,84.54007,100,1.0,1.0,-1.4210854715202005e-15,7219.216405984135,7219.216405984135,3.5044917e-18,0.01,189.84335360586024,nan,,nan,-1.4210854715202005e-15,0.01,4.172325e-07
20.67,-6.8197484,1.0,0.009999998,100.0,80.68159,100,1.0,1.0,2.870592652470805e-14,6575.272541263879,6575.272541263879,3.5044917e-18,0.01,196.54286453209912,nan,,nan,2.870592652470805e-14,0.01,9.797513e-07
19.73,-6.7997355,1.0,0.009999998,100.0,80.444824,100,1.0,1.0,3.154809746774845e-14,6536.737088820468,6536.737088820468,3.5044917e-18,0.01,187.14204762751112,nan,,nan,3.154809746774845e-14,0.01,5.9604645e-07
20.35,-6.5748777,1.0,0.009999998,100.0,77.784615,100,1.0,1.0,-3.979039320256561e-14,6111.562347193786,6111.562347193786,3.5044917e-18,0.01,193.34058406950143,nan,,nan,-3.979039320256561e-14,0.01,5.9604645e-07
20.24,-6.8470445,1.0,0.009999998,100.0,81.00451,100,1.0,1.0,-5.968558980384841e-15,6628.0106568032115,6628.0106568032115,3.5044917e-18,0.01,192.24349381417127,nan,,nan,-5.968558980384841e-15,0.01,-9.536743e-07
20.73,-6.598302,1.0,0.009999998,100.0,78.061745,100,1.0,1.0,2.5579538487363606e-15,6155.187196182015,6155.187196182015,3.5044917e-18,0.01,197.14287616596937,nan,,nan,2.5579538487363606e-15,0.01,5.9604645e-07
19.79,-6.62462,1.0,0.009999998,100.0,78.37311,100,1.0,1.0,2.1316282072803006e-14,6204.387214006183,6204.387214006183,3.5044917e-18,0.01,187.74460819659285,nan,,nan,2.1316282072803006e-14,0.01,5.9604645e-07
20.36,-5.708417,1.0,0.009999998,100.0,67.5339,100,1.0,1.0,5.115907697472721e-15,4606.896141524342,4606.896141524342,3.5044917e-18,0.01,193.44311041412192,nan,,nan,5.115907697472721e-15,0.01,-2.9802322e-07
20.64,-7.0104756,1.0,0.009999998,100.0,82.937996,100,1.0,1.0,4.433786671143025e-14,6948.192847125947,6948.192847125947,3.5044917e-18,0.01,196.24384742105593,nan,,nan,4.433786671143025e-14,0.01,
19.01,-5.8003097,1.0,0.009999998,100.0,68.62104,100,1.0,1.0,2.3021584638627248e-14,4756.411517317311,4756.411517317311,3.5044917e-18,0.01,179.94342069400983,nan,,nan,2.3021584638627248e-14,0.01,-3.5762787e-07
19.65,-5.539316,1.0,0.009999998,100.0,65.53332,100,1.0,1.0,-5.684341886080802e-15,4337.995248063535,4337.995248063535,3.5044917e-18,0.01,186.3431867241432,nan,,nan,-5.684341886080802e-15,0.01,2.3841858e-07
20.55,-6.496261,1.0,0.009999998,100.0,76.854546,100,1.0,1.0,-8.526512829121202e-15,5966.284408876692,5966.284408876692,3.5044917e-18,0.01,195.34433297453143,nan,,nan,-8.526512829121202e-15,0.01,4.7683716e-07
21.53,-6.847607,1.0,0.009999998,100.0,81.011154,100,1.0,1.0,1.6626700016786343e-14,6629.098523696994,6629.098523696994,3.5044917e-18,0.01,205.14098776176422,nan,,nan,1.6626700016786343e-14,0.01,5.9604645e-07
20.88,-6.660076,1.0,0.009999998,100.0,78.79258,100,1.0,1.0,-3.581135388230905e-14,6270.98034891974,6270.98034891974,3.5044917e-18,0.01,198.64333753634773,nan,,nan,-3.581135388230905e-14,0.01,5.9604645e-07
20.88,-6.5235233,1.0,0.009999998,100.0,77.17707,100,1.0,1.0,5.968558980384841e-15,6016.465156607205,6016.465156607205,3.5044917e-18,0.01,198.64162746844406,nan,,nan,5.968558980384841e-15,0.01,-1.1920929e-07
