AvgVanillaIw,AvgNormIw,AvgRet,MinVanillaIw,J,VarDiscRet,ESSClassic,MaxNormIw,VarVanillaIw,AvgDiscRet,eRenyi2,MaxVanillaIw,AvgEpLen,VarJ,ESSRenyi,BatchSize,Bound,VanillaAvgRet,VarNormIw,VarRet,MinNormIw
20879.893,0.01,-5.635768479901263,,38.833527,177.29773982336906,1.000000119732428,0.99999994,43596980000.0,-5.635768479901263,1.0000029,2087989.1,500.0,4.1656094e-05,99.99971389852362,100,33.84046,-5.635768479901263,0.010000002,177.29773982336906,
17.700178,0.01,1.6083522302277036,0.0035116742,54.408108,356.81002320402484,1.0801831683685226,0.9621498,28980.51,1.6083522302277036,4.084326,1703.0223,500.0,18.359892,24.483845102395062,100,44.832962,1.6083522302277036,0.00925019,356.81002320402484,1.9839767e-06
32195.006,0.01,2.486049204801675,1.512347e-21,55.88918,401.6692804204517,1.0000006212146673,0.9999997,103651800000.0,2.486049204801675,1.0000007,3219499.5,500.0,0.00031865938,99.99992847447743,100,50.293255,2.486049204801675,0.009999995,401.6692804204517,4.697458e-28
14.188159,0.01,-1.052455675667448,0.0034887802,65.561584,409.3749528792827,1.090901998899056,0.95740974,18436.031,-1.052455675667448,4.7749014,1358.3882,500.0,26.51034,20.942840873707546,100,53.000725,-1.052455675667448,0.009158308,409.3749528792827,2.4589378e-06
16.585154,0.010000003,10.370291119371641,0.004781318,80.830795,780.6473699211949,1.1205473000125412,0.9446336,24517.695,10.370291119371641,4.2322307,1566.6893,500.0,32.87689,23.62820175827499,100,66.24039,10.370291119371641,0.008913345,780.6473699211949,2.8828904e-06
4894.8154,0.010000002,11.785203273483017,8.361633e-05,86.11944,827.5450473831253,1.000069081768244,0.9999655,2395754500.0,11.785203273483017,1.0000331,489464.66,500.0,0.025936184,99.99668609157402,100,78.87111,11.785203273483017,0.009999305,827.5450473831253,1.7082631e-10
1901.4525,0.01,12.140864721056202,,65.4811,795.3880239211938,1.000337985230789,0.999831,361428800.0,12.140864721056202,1.000031,190113.12,500.0,0.016809275,99.99690065453407,100,59.568188,12.140864721056202,0.009996588,795.3880239211938,
9.037903,0.01,25.383058995805186,0.005446823,66.2216,1001.036253827421,1.2297222855725216,0.901593,6627.0366,25.383058995805186,3.5361907,814.851,500.0,23.344707,28.279017485266007,100,53.75936,25.383058995805186,0.008113048,1001.036253827421,6.0266448e-06
15.6648855,0.01,40.05647867627193,0.04578068,77.18173,642.0240919478246,1.1218514803904396,0.9441008,21846.62,40.05647867627193,2.616911,1478.9231,500.0,18.310873,38.212993298178226,100,66.14413,40.05647867627193,0.0089028645,642.0240919478246,2.9225035e-05
4.339999,0.010000002,43.126302125197135,0.0066527254,67.82857,756.4822102186104,1.5332871107474833,0.80703443,1221.828,43.126302125197135,2.9249496,350.2529,500.0,18.872547,34.18862274668148,100,55.381073,43.126302125197135,0.006486804,756.4822102186104,1.5328862e-05
