MinVanillaIw,ESSRenyi,AvgEpLen,MaxNormIw,MaxVanillaIw,VarDiscRet,AvgNormIw,VarJ,J,VarVanillaIw,BatchSize,Bound,VarNormIw,eRenyi2,AvgDiscRet,MinNormIw,AvgVanillaIw,ESSClassic,VarRet,AvgRet
,0.43017192370723445,200.0,0.60074574,258.22324,5688470.842681565,0.01,56.101215,2638.5842,950.6527,100,7358.409,0.005145323,232.4652,4.956746124662459e-13,,4.2983785,1.9253466758589597,5688470.842681565,-2654.305220661724
,0.0006708455452553977,200.0,1.0,128814.73,114.59480881446443,0.01,,10.466114,165932290.0,100,13030.901,0.010000003,149065.61,8.171241461241152e-16,,1288.1472,1.0,114.59480881446443,-13.523126063904085
0.003966815,64.97834870441184,200.0,0.021398364,2.0417535,103.41385691265643,0.010000002,12.610961,0.51022863,0.6909485,100,-1.0337328,7.589273e-05,1.5389742,,4.157375e-05,0.9541634,57.0991925566086,103.41385691265643,-14.56433045202586
,2.6066318870360765e-10,200.0,0.0142857125,542546100000.0,113.34320675758529,0.009999998,12.786192,0.7328779,6.2439202e+22,100,278333300000.0,4.329003e-05,383636830000.0,-1.1013412404281553e-15,,379782300000.0,70.00002409469536,113.3432067575853,-15.783366972671592
1.0,100.0,200.0,0.01,1.0,123.51133560603105,0.009999998,11.0578575,-1.4901161e-08,,100,-1.3011044,3.5044917e-18,1.0,1.5454304502782179e-15,0.01,1.0,100.0,123.51133560603105,-13.28831219783071
1.0,100.0,200.0,0.01,1.0,113.35037765641434,0.009999998,10.593246,-2.2351742e-08,,100,-1.2265804,3.5044917e-18,1.0,-7.460698725481052e-16,0.01,1.0,100.0,113.35037765641434,-13.602889799231328
1.0,100.0,200.0,0.01,1.0,109.3156455259532,0.009999998,10.403004,8.195639e-08,,100,-1.3041204,3.5044917e-18,1.0,1.403321903126198e-15,0.01,1.0,100.0,109.3156455259532,-15.529275707394035
1.0,100.0,200.0,0.01,1.0,107.38005847695352,0.009999998,10.310493,2.9802322e-08,,100,-1.2993801,3.5044917e-18,1.0,-2.842170943040401e-16,0.01,1.0,100.0,107.38005847695352,-12.872115684896578
1.0,100.0,200.0,0.01,1.0,114.96468176482293,0.009999998,10.668413,-8.940697e-08,,100,-1.2437422,3.5044917e-18,1.0,5.329070518200751e-16,0.01,1.0,100.0,114.96468176482293,-13.82918151343034
1.0,100.0,200.0,0.01,1.0,111.80804544979476,0.009999998,10.52093,-8.940697e-08,,100,-1.2347406,3.5044917e-18,1.0,-4.263256414560601e-16,0.01,1.0,100.0,111.80804544979476,-13.974316279977202
