AvgDiscRet,MinVanillaIw,VarDiscRet,ESSClassic,VanillaAvgRet,eRenyi2,VarRet,J,MaxNormIw,VarVanillaIw,MinNormIw,AvgNormIw,ESSRenyi,AvgVanillaIw,VarJ,EpsThisIter,Delta,AvgRet,MaxVanillaIw,IterType,VarNormIw,AvgEpLen,BatchSize,Bound
-5.06895375081,0.132347,302.594969884,23.5054608677,-5.06895375081,1.91391,302.594969884,23.1828,0.0439669,90.7248,0.000251922,0.01,52.2491380732,5.25351,2.73331,100,0.1,-5.06895375081,23.0981,1,0.00032872,500.0,100,13.051
4.49640458891,0.0432937,43.0853481887,70.2914655536,-5.06895375081,2.55844,302.594969884,5.92332,0.0189478,6.78886,0.000108567,0.01,78.172659221,3.98774,5.05841,100,0.1,-5.06895375081,7.55588,,4.26917e-05,500.0,200,-4.70836
3.30485156696,0.141773,110.905221603,25.2920703743,3.30485156696,2.41792,110.905221603,23.101,0.0423607,305.571,0.000106847,0.005,82.7156290345,6.63443,3.7693,100,0.1,3.30485156696,56.2078,1,0.000173558,500.0,200,15.0485
-2.46119710603,1.0,115.335836544,100.0,-2.46119710603,1.0,115.335836544,-2.4612,0.01,,0.01,0.01,200.0,1.0,10.6856,100,0.1,-2.46119710603,1.0,2,3.50449e-18,500.0,200,-10.6474
-5.96911405328,0.0177911,107.424833092,139.280988724,3.30485156696,4.00148,110.905221603,-2.65405,0.0105889,4.86022,2.67085e-05,0.005,74.9722762107,3.33062,12.5399,100,0.1,3.30485156696,7.05352,,1.09534e-05,500.0,300,-14.2332
-12.8581152277,0.092617,218.084382008,26.5781349028,-12.8581152277,2.51523,218.084382008,22.1969,0.0413236,382.986,5.06825e-05,0.00333333,119.273276296,6.09132,7.57703,100,0.1,-12.8581152277,75.5147,1,0.000114688,500.0,300,10.955
-3.855082831,1.0,56.5731567637,100.0,-3.855082831,1.0,56.5731567637,-3.85508,0.01,,0.01,0.01,300.0,1.0,7.48381,100,0.1,-3.855082831,1.0,2,3.50449e-18,500.0,300,-8.96945
-12.1478598699,1.0,189.886649097,200.000000102,-12.1478598699,1.0,189.886649097,-8.00147,0.005,,0.005,0.005,300.0,1.0,11.7979,100,0.1,-12.1478598699,1.0,2,2.1793e-19,500.0,300,-16.6793
-8.7668801429,0.0132425,97.0917803862,183.756557287,-12.8581152277,5.39307,218.084382008,-7.43558,0.013937,4.23269,1.70933e-05,0.00333333,74.1692155697,2.58238,11.1518,100,0.1,-12.8581152277,10.7972,,7.05234e-06,500.0,400,-23.89
-9.20020346999,0.032135,93.2436376442,25.4823360923,-9.20020346999,2.98038,93.2436376442,22.6148,0.0422191,716.404,1.15213e-05,0.0025,134.211060395,6.97298,7.13345,100,0.1,-9.20020346999,117.757,1,9.20876e-05,500.0,400,12.017
-1.03637206513,1.0,31.8565597257,100.0,-1.03637206513,1.0,31.8565597257,-1.03637,0.01,,0.01,0.01,400.0,1.0,5.61587,100,0.1,-1.03637206513,1.0,2,3.50449e-18,500.0,400,-5.46477
-3.00669361377,1.0,41.2071488666,200.000000102,-3.00669361377,1.0,41.2071488666,-2.02153,0.005,,0.005,0.005,400.0,1.0,6.09402,100,0.1,-3.00669361377,1.0,2,2.1793e-19,500.0,400,-5.58661
-0.373141335059,1.0,32.7683909799,299.999969474,-0.373141335059,1.0,32.7683909799,-1.47207,0.00333333,,0.00333333,0.00333333,400.0,1.0,6.0146,100,0.1,-0.373141335059,1.0,2,5.43914e-20,500.0,400,-4.38294
-4.25908760352,0.00849206,107.762095008,131.666416623,-9.20020346999,7.1441,93.2436376442,-4.9617,0.0154501,51.8019,4.21622e-06,0.0025,69.9878342795,5.03535,15.7273,100,0.1,-9.20020346999,31.1187,,1.27693e-05,500.0,500,-17.0725
-7.43881290889,0.0195576,46.5606394119,25.2767723022,-7.43881290889,3.27948,46.5606394119,22.7002,0.0423945,995.919,5.37684e-06,0.002,152.463406891,7.27474,7.56371,100,0.1,-7.43881290889,154.205,1,7.52747e-05,500.0,500,12.7569
-1.56968568959,1.0,108.866471041,100.0,-1.56968568959,1.0,108.866471041,-1.56969,0.01,,0.01,0.01,500.0,1.0,10.3816,100,0.1,-1.56968568959,1.0,2,3.50449e-18,500.0,500,-7.17178
-0.0517866717652,1.0,64.3504236658,200.000000102,-0.0517866717652,1.0,64.3504236658,-0.810736,0.005,,0.005,0.005,500.0,1.0,9.29077,100,0.1,-0.0517866717652,1.0,2,2.1793e-19,500.0,500,-4.77201
5.83666343787,1.0,878.104071386,299.999969474,5.83666343787,1.0,878.104071386,1.40506,0.00333333,,0.00333333,0.00333333,500.0,1.0,18.8981,100,0.1,5.83666343787,1.0,2,5.43914e-20,500.0,500,-12.986
-3.97589591442,1.0,63.1669742414,400.0,-3.97589591442,1.0,63.1669742414,0.0598238,0.0025,,0.0025,0.0025,500.0,1.0,16.9976,100,0.1,-3.97589591442,1.0,2,5.4346e-20,500.0,500,-12.4032
-1.25439304313,0.00389327,26.2881256295,13.4194055839,-1.25439304313,3.14629,26.2881256295,78.5236,0.0787975,5630.39,6.25491e-07,0.002,158.917132124,12.4487,28.4417,100,0.1,-1.25439304313,490.462,1,0.000145329,500.0,500,58.7509
-4.87498203373,1.0,97.1609106244,100.0,-4.87498203373,1.0,97.1609106244,-4.87498,0.01,,0.01,0.01,500.0,1.0,9.80761,100,0.1,-4.87498203373,1.0,2,3.50449e-18,500.0,500,-12.7232
-10.7148744166,1.0,106.559307552,200.000000102,-10.7148744166,1.0,106.559307552,-7.79493,0.005,,0.005,0.005,500.0,1.0,10.4579,100,0.1,-10.7148744166,1.0,2,2.1793e-19,500.0,500,-13.5681
-5.29040387942,1.0,14.6822215032,299.999969474,-5.29040387942,1.0,14.6822215032,-6.96009,0.00333333,,0.00333333,0.00333333,500.0,1.0,8.89667,100,0.1,-5.29040387942,1.0,2,5.43914e-20,500.0,500,-11.6738
2.53967481544,1.0,155.364615953,400.0,2.53967481544,1.0,155.364615953,-4.58515,0.0025,,0.0025,0.0025,500.0,1.0,10.7115,100,0.1,2.53967481544,1.0,2,5.4346e-20,500.0,500,-9.06394
-7.23474606544,0.0152988,148.851673281,13.0487285586,-7.23474606544,4.80929,148.851673281,28.37,0.0799098,5189.38,2.59731e-06,0.002,103.965492899,11.7805,9.52075,100,0.1,-7.23474606544,470.689,1,0.000149571,500.0,500,19.5849
7.29392032628,1.0,308.859721917,100.0,7.29392032628,1.0,308.859721917,7.29392,0.01,,0.01,0.01,500.0,1.0,17.4863,100,0.1,7.29392032628,1.0,2,3.50449e-18,500.0,500,-6.66726
-1.98669585378,1.0,171.570855032,200.000000102,-1.98669585378,1.0,171.570855032,2.65361,0.005,,0.005,0.005,500.0,1.0,16.1042,100,0.1,-1.98669585378,1.0,2,2.1793e-19,500.0,500,-7.21843
-5.15019380195,1.0,92.9068323374,299.999969474,-5.15019380195,1.0,92.9068323374,0.0523438,0.00333333,,0.00333333,0.00333333,500.0,1.0,14.734,100,0.1,-5.15019380195,1.0,2,5.43914e-20,500.0,500,-8.00815
2.27942837881,1.0,384.62896445,400.0,2.27942837881,1.0,384.62896445,0.609115,0.0025,,0.0025,0.0025,500.0,1.0,16.0917,100,0.1,2.27942837881,1.0,2,5.4346e-20,500.0,500,-6.37147
-4.88546684718,0.0164659,174.6801593,12.9349066708,-4.88546684718,2.85188,174.6801593,44.9176,0.0802629,11654.0,1.8738e-06,0.002,175.323013628,17.5748,10.2815,100,0.1,-4.88546684718,705.304,1,0.000150923,500.0,500,34.3737
5.74023414587,1.0,207.568164467,100.0,5.74023414587,1.0,207.568164467,5.74023,0.01,,0.01,0.01,500.0,1.0,14.335,100,0.1,5.74023414587,1.0,2,3.50449e-18,500.0,500,-4.65657
3.32979708561,1.0,198.540365122,200.000000102,3.32979708561,1.0,198.540365122,4.53502,0.005,,0.005,0.005,500.0,1.0,14.2294,100,0.1,3.32979708561,1.0,2,2.1793e-19,500.0,500,-2.81664
