AvgNormIw,VanillaAvgRet,BatchSize,eRenyi2,Bound,ESSClassic,AvgRet,AvgVanillaIw,MinNormIw,MaxNormIw,VarRet,VarJ,VarVanillaIw,MinVanillaIw,VarDiscRet,VarNormIw,MaxVanillaIw,ESSRenyi,AvgDiscRet,AvgEpLen,J
0.01,-1439.2221432774563,100,61639.516,928753.94,1.0,-1.1596057447604835e-13,666.6353,,1.0,3680974.5780205172,,44440270.0,,3680974.5780205172,0.010000003,66663.53,0.0016223359152978418,-1.1596057447604835e-13,200.0,1438.3076
0.01,-9.448570567323259,100,3742406600000000.0,383899340000000.0,1.0,-2.486899575160351e-16,52925787000000.0,,1.0,65.53475654802271,,2.8011406e+29,,65.53475654802271,0.0100000035,5292578700000000.0,2.6720773739320066e-14,-2.486899575160351e-16,200.0,7.253541
0.009999998,-9.172188587769881,100,1.0,-0.7719465,100.0,-5.506706202140776e-16,1.0,0.01,0.01,62.94338579283703,7.8939185,,1.0,62.94338579283703,3.5044917e-18,1.0,100.0,-5.506706202140776e-16,200.0,5.9604645e-08
0.009999998,-9.083341269565231,100,1.0,-0.7643606,100.0,5.506706202140776e-16,1.0,0.01,0.01,68.59616781644372,8.240766,,1.0,68.59616781644372,3.5044917e-18,1.0,100.0,5.506706202140776e-16,200.0,3.7252903e-08
0.009999998,-9.032375174860364,100,1.0,-0.7601649,100.0,8.704148513061227e-16,1.0,0.01,0.01,60.579336498659075,7.744259,,1.0,60.579336498659075,3.5044917e-18,1.0,100.0,8.704148513061227e-16,200.0,-2.9802322e-08
0.009999998,-9.432018944692963,100,1.0,-0.7937956,100.0,3.3217872896784686e-15,1.0,0.01,0.01,69.47342734638485,8.293292,,1.0,69.47342734638485,3.5044917e-18,1.0,100.0,3.3217872896784686e-15,200.0,8.940697e-08
0.009999998,-9.766381033791104,100,1.0,-0.8215862,100.0,-3.019806626980426e-16,1.0,0.01,0.01,64.09183310169017,7.9656076,,1.0,64.09183310169017,3.5044917e-18,1.0,100.0,-3.019806626980426e-16,200.0,-1.4901161e-08
0.009999998,-9.065903192971355,100,1.0,-0.76300484,100.0,-5.329070518200751e-16,1.0,0.01,0.01,74.2704708238262,8.574833,,1.0,74.2704708238262,3.5044917e-18,1.0,100.0,-5.329070518200751e-16,200.0,3.7252903e-08
0.009999998,-9.843356709726057,100,1.0,-0.82732236,100.0,6.394884621840901e-16,1.0,0.01,0.01,65.61356766816304,8.059618,,1.0,65.61356766816304,3.5044917e-18,1.0,100.0,6.394884621840901e-16,200.0,-2.9802322e-08
0.009999998,-9.54280352089228,100,1.0,-0.80295396,100.0,,1.0,0.01,0.01,68.03320833959025,8.206881,,1.0,68.03320833959025,3.5044917e-18,1.0,100.0,,200.0,2.9802322e-08
