AvgDiscRet,VarRet,J,MinVanillaIw,Delta,MaxNormIw,AvgRet,ESSClassic,EpsThisIter,VarDiscRet,VarNormIw,AvgVanillaIw,IterType,VarJ,Bound,AvgNormIw,BatchSize,VarVanillaIw,AvgEpLen,ESSRenyi,MaxVanillaIw,VanillaAvgRet,eRenyi2,MinNormIw
-123.056239525,2372.74114048,-114.702,0.0421969,0.8,0.0286503,-123.056239525,75.9627257435,100,2372.74114048,3.19631e-05,0.914624,1,16.761,-142.276,0.01,100,0.267383,38.29,77.6497203591,2.62042,-123.056239525,1.28783,0.000461358
-123.95278747,5542.10950731,-109.184,0.0114762,0.8,0.0207618,-123.95278747,74.2708842736,100,5542.10950731,3.49922e-05,0.934861,1,10.1012,-136.892,0.01,100,0.305819,39.04,80.6098072385,1.94094,-123.95278747,1.24054,0.000122759
-108.919515112,29.564834437,-108.348,0.350107,0.8,0.0151059,-108.919515112,93.4898576207,100,29.564834437,7.03387e-06,1.04274,1,4.2492,-115.392,0.01,100,0.0764801,18.67,92.7251514219,1.57516,-108.919515112,1.07846,0.00335756
-110.228610923,567.599421803,-108.484,0.142996,0.8,0.0150831,-110.228610923,91.2497026104,100,567.599421803,9.68623e-06,0.983084,1,9.54525,-126.337,0.01,100,0.093613,21.96,92.2847996455,1.48279,-110.228610923,1.0836,0.00145457
-107.887036835,11.7962845799,-107.8,0.657364,0.8,0.0121853,-107.887036835,99.1002199776,100,11.7962845799,9.17107e-07,1.01136,1,3.19877,-114.198,0.01,100,0.00938066,16.53,98.6202976382,1.23237,-107.887036835,1.01399,0.00649979
-107.619241573,10.1204072449,-107.437,0.462635,0.8,0.0129162,-107.619241573,98.2998612003,100,10.1204072449,1.74701e-06,1.0263,1,2.77295,-113.651,0.01,100,0.0184012,16.05,97.305647854,1.32559,-107.619241573,1.02769,0.00450779
-107.470938592,7.05590260995,-107.435,0.887566,0.8,0.0140353,-107.470938592,99.4396118236,100,7.05590260995,5.69256e-07,0.998545,1,2.5758,-113.241,0.01,100,0.00567601,16.65,99.4169926501,1.40148,-107.470938592,1.00586,0.0088886
-107.053878185,8.39966074412,-106.821,0.339596,0.8,0.015399,-107.053878185,96.1244183649,100,8.39966074412,4.07255e-06,0.980142,1,2.76683,-112.713,0.01,100,0.0391241,16.92,96.011485749,1.50932,-107.053878185,1.04154,0.00346477
-107.119067465,8.88974191606,-106.717,0.230136,0.8,0.0151322,-107.119067465,92.7362336778,100,8.88974191606,7.91184e-06,0.98262,1,2.39125,-113.014,0.01,100,0.0763921,16.56,94.130415487,1.48692,-107.119067465,1.06236,0.00234207
-107.052227631,7.75888401227,-106.926,0.610312,0.8,0.0121787,-107.052227631,98.2942892243,100,7.75888401227,1.75284e-06,1.02063,1,2.85192,-112.679,0.01,100,0.0182592,16.73,97.7241863694,1.243,-107.052227631,1.02329,0.00597974
-108.813314274,270.372371887,-107.305,0.135459,0.8,0.0136068,-108.813314274,95.1457679394,100,270.372371887,5.15342e-06,0.973031,1,3.22135,-121.162,0.01,100,0.048792,22.32,94.9334365439,1.32398,-108.813314274,1.05337,0.00139214
-107.067919395,5.47015425903,-106.991,0.749385,0.8,0.0152657,-107.067919395,98.5184264873,100,5.47015425903,1.51906e-06,1.01605,1,2.27311,-112.692,0.01,100,0.015682,15.58,98.6551854843,1.55107,-107.067919395,1.01363,0.0073755
-106.931876951,5.35703500292,-106.662,0.395276,0.8,0.0413995,-106.931876951,86.8885299379,100,5.35703500292,1.52424e-05,0.996333,1,2.65924,-112.518,0.01,100,0.151308,17.95,94.0808186277,4.12476,-106.931876951,1.06292,0.00396731
-106.639813407,6.80957492197,-106.394,0.333219,0.8,0.0134677,-106.639813407,95.55684317,100,6.80957492197,4.69671e-06,0.998284,1,2.40586,-112.189,0.01,100,0.0468061,16.07,95.992709294,1.34446,-106.639813407,1.04175,0.00333792
