MaxVanillaIw,VarRet,J,AvgVanillaIw,ESSRenyi,IterType,EpsThisIter,AvgEpLen,ESSClassic,AvgDiscRet,MinNormIw,MaxNormIw,VarVanillaIw,VarDiscRet,VanillaAvgRet,VarNormIw,VarJ,Delta,Bound,eRenyi2,AvgRet,BatchSize,AvgNormIw,MinVanillaIw
4.4568243,5192346.909235419,-24.925976,0.78725696,30.91671210961266,1,100,200.0,25.51558915210645,-2179.6624859190065,9.07248e-25,0.056612067,1.8275009,5192346.909235419,-2179.6624859190065,0.00029486592,58.503757,0.9,-370.17615,3.2344966,-2179.6624859190065,100,0.009999999,7.142373e-23
1.4596803,397.17536745504316,-8.642035,1.0311589,84.73085509841673,1,100,200.0,86.34380696210236,-11.22906612118648,7.147599e-05,0.014155725,0.16986892,397.17536745504316,-11.22906612118648,1.5975802e-05,8.267286,0.9,-13.634678,1.1802076,-11.22906612118648,100,0.010000002,0.0073703104
14.235948,51.85917772902147,-3.264327,0.7899237,9.779835803934706,1,100,200.0,7.993947557241434,-8.130212482466078,,0.18021928,7.25421,51.85917772902147,-8.130212482466078,0.0011625721,7.276492,0.9,-6.2101493,10.225121,-8.130212482466078,100,0.01,
inf,51.85917772902147,nan,inf,nan,,100,200.0,nan,-8.722288538648055,nan,nan,nan,55.45905259770427,-8.130212482466078,nan,nan,0.9,nan,nan,-8.130212482466078,200,nan,0.07024471
10.020884,63.16480331537243,-5.6815033,0.9385969,28.14030299019032,1,100,200.0,26.29410921884726,-8.948490617995764,,0.053382255,5.8491297,63.16480331537243,-8.948490617995764,0.0001659866,16.18691,0.9,-7.4181356,7.107244,-8.948490617995764,200,0.005,
1.0,43.017108529362055,-7.9258027,1.0,200.0,2,100,200.0,100.0,-7.9258028758411605,0.01,0.01,,43.017108529362055,-7.9258028758411605,3.5044917e-18,6.525867,0.9,-8.734837,1.0,-7.9258028758411605,200,0.009999998,1.0
inf,63.16480331537243,nan,inf,nan,,100,200.0,nan,-8.793206657365552,nan,nan,nan,53.245738903194564,-8.948490617995764,nan,nan,0.9,nan,nan,-8.948490617995764,300,nan,0.0997916
47.263313,60.602258703360285,-2.2571573,0.6878892,8.854570941210248,1,100,200.0,6.9329158615698505,-7.79899229696459,,0.22902581,20.069574,60.602258703360285,-7.79899229696459,0.00047125798,10.675734,0.9,-5.3530684,33.880806,-7.79899229696459,300,0.003333333,
1.0,44.740743866988446,-7.1096168,1.0,300.0,2,100,200.0,100.0,-7.109617031824737,0.01,0.01,,44.740743866988446,-7.109617031824737,3.5044917e-18,6.6553235,0.9,-7.9446263,1.0,-7.109617031824737,300,0.009999998,1.0
1.0,47.70090996409152,-7.3706703,1.0,300.0,2,100,200.0,200.00000010221265,-7.631723669714691,0.005,0.005,,47.70090996409152,-7.631723669714691,2.179301e-19,6.769547,0.9,-7.9611115,1.0,-7.631723669714691,300,0.0049999994,1.0
inf,60.602258703360285,nan,inf,nan,,100,200.0,nan,-9.143085869984453,nan,nan,nan,65.3279750170658,-7.79899229696459,nan,nan,0.9,nan,nan,-7.79899229696459,400,nan,0.02115806
65.588295,67.94902129322332,-3.0195255,1.3856039,8.458552105704152,1,100,200.0,11.28947050388222,-8.878713127087162,,0.11833882,66.270164,67.94902129322332,-8.878713127087162,0.00021573465,19.552917,0.9,-6.2800307,47.289417,-8.878713127087162,400,0.0025,
1.0,59.81304552168234,-9.297426,1.0,400.0,2,100,200.0,100.0,-9.297427632002542,0.01,0.01,,59.81304552168234,-9.297427632002542,3.5044917e-18,7.6951227,0.9,-10.109558,1.0,-9.297427632002542,400,0.009999998,1.0
1.0,45.198948697889726,-8.292231,1.0,400.0,2,100,200.0,200.00000010221265,-7.287035121014403,0.005,0.005,,45.198948697889726,-7.287035121014403,2.179301e-19,7.279516,0.9,-8.866494,1.0,-7.287035121014403,400,0.0049999994,1.0
1.0,54.930885780591744,-8.784378,1.0,400.0,2,100,200.0,299.999969473632,-9.768669465240324,0.0033333334,0.0033333334,,54.930885780591744,-9.768669465240324,5.4391416e-20,7.34433,0.9,-9.2532625,1.0,-9.768669465240324,400,0.0033333336,1.0
inf,67.94902129322332,nan,inf,nan,,100,200.0,nan,-8.416261722796921,nan,nan,nan,54.02595984776945,-8.878713127087162,nan,nan,0.9,nan,nan,-8.878713127087162,500,nan,0.015246622
162.4015,54.59294554693513,-0.45909798,0.59941894,3.0287527238023935,1,100,200.0,2.6552918429526295,-8.62152207892318,,0.5418631,67.433495,54.59294554693513,-8.62152207892318,0.00075071433,6.801277,0.9,-5.971301,165.08446,-8.62152207892318,500,0.002,
1.0,121.88637852821897,-11.328475,1.0,500.0,2,100,200.0,100.0,-11.328475294593835,0.01,0.01,,121.88637852821897,-11.328475294593835,3.5044917e-18,10.984876,0.9,-12.625075,1.0,-11.328475294593835,500,0.009999998,1.0
1.0,121.79741445060124,-11.935722,1.0,500.0,2,100,200.0,200.00000010221265,-12.542967597519034,0.005,0.005,,121.79741445060124,-12.542967597519034,2.179301e-19,10.999647,0.9,-12.852557,1.0,-12.542967597519034,500,0.0049999994,1.0
1.0,116.1253573788312,-12.571102,1.0,500.0,2,100,200.0,299.999969473632,-13.84186300013791,0.0033333334,0.0033333334,,116.1253573788312,-13.84186300013791,5.4391416e-20,10.944874,0.9,-13.3196945,1.0,-13.84186300013791,500,0.0033333336,1.0
1.0,135.28884608044834,-12.372953,1.0,500.0,2,100,200.0,400.0,-11.77851251524725,0.0025,0.0025,,135.28884608044834,-11.77851251524725,5.434597e-20,11.110558,0.9,-13.028152,1.0,-11.77851251524725,500,0.0024999997,1.0
5.152334,97.3163949151764,-12.007789,1.0635403,231.50730690963348,1,100,200.0,242.2832715941856,-14.371008651360091,9.117688e-07,0.009689025,1.2055817,97.3163949151764,-14.371008651360091,4.263328e-06,14.757945,0.9,-12.94384,2.159759,-14.371008651360091,500,0.0019999999,0.00048485142
1.0,94.21935442542905,-9.719099,1.0,500.0,2,100,200.0,100.0,-9.71909893304709,0.01,0.01,,94.21935442542905,-9.71909893304709,3.5044917e-18,9.6580105,0.9,-10.895451,1.0,-9.71909893304709,500,0.009999998,1.0
1.0,120.76124678759454,-10.778563,1.0,500.0,2,100,200.0,200.00000010221265,-11.838025971528655,0.005,0.005,,120.76124678759454,-11.838025971528655,2.179301e-19,10.370047,0.9,-11.610369,1.0,-11.838025971528655,500,0.0049999994,1.0
1.0,96.07581616037798,-10.668763,1.0,500.0,2,100,200.0,299.999969473632,-10.44916368410896,0.0033333334,0.0033333334,,96.07581616037798,-10.44916368410896,5.4391416e-20,10.169613,0.9,-11.34793,1.0,-10.44916368410896,500,0.0033333336,1.0
1.0,103.42100796745373,-11.043514,1.0,500.0,2,100,200.0,400.0,-12.167767644778294,0.0025,0.0025,,103.42100796745373,-12.167767644778294,5.434597e-20,10.177612,0.9,-11.63169,1.0,-12.167767644778294,500,0.0024999997,1.0
32.234867,88.50085994227562,-8.143489,1.0069745,22.36137231253273,1,100,200.0,22.16314759830802,-9.785462650127185,,0.064023204,21.905573,88.50085994227562,-9.785462650127185,8.641273e-05,39.799706,0.9,-10.63113,22.359987,-9.785462650127185,500,0.0019999999,
1.0,89.52957200107926,-11.626347,1.0,500.0,2,100,200.0,100.0,-11.626347211608854,0.01,0.01,,89.52957200107926,-11.626347211608854,3.5044917e-18,9.4145775,0.9,-12.653889,1.0,-11.626347211608854,500,0.009999998,1.0
1.0,103.24653721020421,-11.159737,1.0,500.0,2,100,200.0,200.00000010221265,-10.69312643353956,0.005,0.005,,103.24653721020421,-10.69312643353956,2.179301e-19,9.779668,0.9,-11.899645,1.0,-10.69312643353956,500,0.0049999994,1.0
1.0,93.8978120858526,-10.943052,1.0,500.0,2,100,200.0,299.999969473632,-10.509681383405926,0.0033333334,0.0033333334,,93.8978120858526,-10.509681383405926,5.4391416e-20,9.738658,0.9,-11.547185,1.0,-10.509681383405926,500,0.0033333336,1.0
1.0,83.65462928075782,-10.497152,1.0,500.0,2,100,200.0,400.0,-9.159458430781394,0.0025,0.0025,,83.65462928075782,-9.159458430781394,5.434597e-20,9.614161,0.9,-11.020347,1.0,-9.159458430781394,500,0.0024999997,1.0
