VarNormIw,AvgDiscRet,IterType,VarRet,Bound,VarJ,VarDiscRet,VanillaAvgRet,MaxVanillaIw,AvgEpLen,MinNormIw,EpsThisIter,AvgVanillaIw,BatchSize,ESSRenyi,VarVanillaIw,J,MaxNormIw,AvgRet,ESSClassic,eRenyi2,AvgNormIw,Delta,MinVanillaIw
9.769869e-05,107.9389303763378,1,10041.270214612372,9.999725,216.19162,10041.270214612372,107.9389303763378,5.303888,11.8,3.0898493e-05,100,0.9646625,100,52.1764064170338,0.90915835,178.03064,0.054981798,107.9389303763378,50.833225065042036,1.9165751,0.01,0.15,0.0029806616
2.0077741e-05,171.11333622910536,1,30897.446746869817,-132.17699,259.7011,30897.446746869817,171.11333622910536,2.2512066,18.12,0.0010298067,100,0.99352163,100,86.62630388283453,0.19818439,218.19273,0.022658858,171.11333622910536,83.41885684023374,1.1543838,0.01,0.15,0.102313526
1.1575115e-05,307.76692889346674,1,156133.17041009568,-457.06378,657.17944,156133.17041009568,307.76692889346674,2.1400769,31.79,0.0037995141,100,1.0844821,100,89.9602307653701,0.13613512,388.35205,0.01973363,307.76692889346674,89.71880096603597,1.1116023,0.01,0.15,0.41205052
0.00020505638,291.7687297813625,1,89000.91239816908,83.20691,791.4096,89000.91239816908,291.7687297813625,7.3015904,30.19,6.1819824e-06,100,1.027279,100,39.48815238874238,2.1639645,624.8718,0.07107699,291.7687297813625,33.002667184556756,2.5324051,0.01,0.15,0.0006350621
0.00012821381,797.395304740575,1,910604.6936687805,-130.10681,3278.6113,910604.6936687805,797.395304740575,5.7536297,80.73,6.013962e-06,100,1.0329719,100,47.98531211302205,1.3680811,1588.1096,0.05569977,797.395304740575,44.06612611007662,2.083971,0.01,0.15,0.00062122534
0.0002889071,1565.770611636431,1,3077815.1213248963,1360.2178,2828.9055,3077815.1213248963,1565.770611636431,7.5121465,157.44,5.285553e-12,100,1.1351792,100,25.05368919895709,3.722948,3738.1416,0.06617586,1565.770611636431,25.905527041592915,3.9914281,0.009999999,0.15,6.00005e-10
0.00013670394,2873.564491332585,1,3875158.8376969793,2714.933,1181.0978,3875158.8376969793,2873.564491332585,4.402547,288.01,4.4196204e-06,100,0.9467507,100,46.957326452131795,1.225328,4451.8623,0.046501648,2873.564491332585,42.4922740357864,2.1295931,0.01,0.15,0.0004184279
4.2098007e-05,4238.138995075323,1,2322562.2600296475,3407.7952,543.823,2322562.2600296475,4238.138995075323,2.3013124,424.08,4.286155e-05,100,0.9953183,100,74.0547949873446,0.41704747,4790.9067,0.023121372,4238.138995075323,70.58308208960464,1.3503515,0.01,0.15,0.0042660884
3.0755764e-06,4909.1260101724,1,285724.43719466816,3746.7646,264.74905,285724.43719466816,4909.1260101724,1.2403384,490.97,0.0037466607,100,1.0300467,100,96.87906412460322,0.032631747,4956.0225,0.012041575,4909.1260101724,97.04513623847068,1.0322148,0.01,0.15,0.38592353
7.029153e-06,4813.187362756548,1,521963.31058484135,3683.2297,347.974,521963.31058484135,4813.187362756548,1.4228909,481.42,0.0034000515,100,1.0224147,100,93.42707736555629,0.07347797,4914.625,0.013916966,4813.187362756548,93.49388832179648,1.0703535,0.01,0.15,0.34762624
7.488737e-06,4805.28697219193,1,623664.5619686745,3694.5024,300.17093,623664.5619686745,4805.28697219193,1.3828243,480.63,0.0015272972,100,0.9793845,100,93.63651595160142,0.07183152,4924.5195,0.014119321,4805.28697219193,93.09787404441838,1.0679594,0.01,0.15,0.14958112
1.9043996e-06,4956.762128587829,1,85741.60573792098,3778.8704,154.77197,85741.60573792098,4956.762128587829,1.1679077,495.72,0.0044951355,100,0.9948851,100,98.6310698743662,0.018849675,4977.34,0.011739122,4956.762128587829,98.1495423135682,1.0138793,0.010000002,0.15,0.44721434
1.4665537e-06,4967.529808346458,1,67489.64769051199,3790.3318,98.91022,67489.64769051199,4967.529808346458,1.1069582,496.79,0.0028147143,100,0.9813695,100,99.12225030429909,0.014124176,4985.828,0.011279729,4967.529808346458,98.56889348869225,1.0088552,0.01,0.15,0.27622747
2.475512e-11,4999.783269887724,1,0.1744227642783058,3809.5457,0.41508016,0.1744227642783058,4999.783269887724,1.0012593,500.0,0.009983904,100,0.9999586,100,99.99998807907247,2.4753064e-07,4999.7837,0.0100130085,4999.783269887724,99.99997329601821,1.0000001,0.01,0.15,0.998349
2.5019408e-06,4951.049909958633,1,122714.21040524193,3781.841,129.33218,122714.21040524193,4951.049909958633,1.1315523,495.14,0.0028687462,100,0.9941736,100,98.24992416283382,0.024728715,4982.633,0.0113818385,4951.049909958633,97.58293373227242,1.0178125,0.01,0.15,0.28520316
1.1805332e-11,4999.874807944886,1,0.026673044455079065,3809.6375,0.16237266,0.026673044455079065,4999.874807944886,1.0006433,500.0,0.009982595,100,0.9999754,100,99.99998807907247,1.1804567e-07,4999.8755,0.010006679,4999.874807944886,99.99995422252044,1.0000001,0.01,0.15,0.9982349
2.6072655e-06,4936.055408862357,1,204197.2642322784,3771.011,181.47081,204197.2642322784,4936.055408862357,1.2988513,493.64,0.003224354,100,1.0136175,100,97.7099464264956,0.026787577,4975.116,0.012814018,4936.055408862357,97.48378084287732,1.0234373,0.01,0.15,0.32682616
1.614088e-06,4960.757082530471,1,152945.7805775664,3781.065,211.21266,152945.7805775664,4960.757082530471,1.1643673,496.1,0.004619852,100,0.9955287,100,98.76076467879706,0.015996858,4978.747,0.011695969,4960.757082530471,98.42719499952435,1.0125479,0.009999999,0.15,0.45991954
