VarDiscRet,VarNormIw,Bound,AvgEpLen,MinNormIw,AvgRet,eRenyi2,AvgNormIw,AvgVanillaIw,BatchSize,MinVanillaIw,VanillaAvgRet,ESSClassic,VarRet,AvgDiscRet,VarJ,J,ESSRenyi,VarVanillaIw,MaxNormIw,MaxVanillaIw
12414.200999294342,0.010000003,856.15906,8.98,,-1.0587086762825493e-14,inf,0.01,6.865534e-39,100,,79.74702847706696,inf,12414.200999294342,-1.0587086762825493e-14,,949.86584,,,1.0,6.8655347e-37
4020124.2955687903,0.0013858358,2871.2964,148.25,,1.5916157281026243e-13,63.180405,0.01,1.0279335,100,,1474.217243597451,6.793581493890059,4020124.2955687903,1.5916157281026243e-13,62.561142,3518.263,1.5827692230408654,14.643394,0.17726952,18.222126
5623171.28089017,0.00036846614,1261.5537,327.2,1.3775051e-12,8.685674401931464e-13,nan,0.010000002,0.50449216,100,6.949405e-11,3268.019522423819,21.515488038125696,5623171.28089017,8.685674401931464e-13,205.74031,1691.5122,nan,0.93779176,0.072724655,3.668902
1842259.0911795613,0.0003044605,137.26634,460.25,1.545734e-16,-2.4556356947869064e-13,nan,0.01,0.548272,100,8.474827e-15,4600.832672015679,24.91182193193226,1842259.0911795613,-2.4556356947869064e-13,200.16014,365.97583,nan,0.9152148,0.072855875,3.994484
1205728.454975163,0.000160555,288.7378,453.06,1.8879032e-12,-8.640199666842818e-14,0.91811705,0.01,0.50552964,100,9.5439115e-11,4527.238158042494,38.61757371471413,1205728.454975163,-8.640199666842818e-14,288.65,437.3463,108.91857459446742,0.4103148,0.045762464,2.3134284
1368248.92999718,0.00022113806,141.35217,467.07,2.976045e-16,1.4551915228366852e-13,3.8528087,0.01,1.1559083,100,3.4400353e-14,4668.86690159239,31.355168657627196,1368248.92999718,1.4551915228366852e-13,86.67885,317.03915,25.955090798795112,2.954679,0.05120619,5.9189663
1638481.918561558,0.00023739971,132.28441,464.64,5.3937935e-12,-2.0008883439004421e-13,5.5910234,0.010000002,1.4221612,100,7.670844e-10,4644.71291482553,29.848453295983266,1638481.918561558,-2.0008883439004421e-13,121.28864,329.33212,17.88581303251639,4.801511,0.05771234,8.207625
1854016.0968555992,0.00024162765,152.76602,460.12,7.62457e-13,6.09361450187862e-13,nan,0.009999999,0.33538127,100,2.557138e-11,4599.329245112601,29.48014841747904,1854016.0968555992,6.09361450187862e-13,212.56248,363.67908,nan,0.27178425,0.06663787,2.2349095
1197062.7509215183,0.0001551708,92.9017,475.07,3.3660186e-10,1.0913936421275138e-13,5.575243,0.01,0.8324016,100,2.8018793e-08,4749.1715151402195,39.42920514390013,1197062.7509215183,1.0913936421275138e-13,50.953274,239.44333,17.93643793963325,1.0751668,0.04372595,3.639755
1638554.361634274,0.00025602325,112.32204,465.12,1.5831121e-08,2.0008883439004421e-13,nan,0.01,0.38211834,100,6.049362e-07,4649.5047339471585,28.291499453500467,1638554.361634274,2.0008883439004421e-13,200.88426,314.72363,nan,0.37383085,0.06169897,2.3576307
