VarNormIw,AvgEpLen,ESSRenyi,EpsThisIter,AvgVanillaIw,MinNormIw,ESSClassic,VarDiscRet,Delta,AvgRet,J,AvgDiscRet,AvgNormIw,MinVanillaIw,BatchSize,VanillaAvgRet,eRenyi2,MaxVanillaIw,Bound,VarVanillaIw,MaxNormIw,VarJ,IterType,VarRet
0.000223696,500.0,33.5186715996,100,0.915206,4.3817e-11,31.1081871034,156831.227873,0.9,-1486.51658804,-1147.63,-1486.51658804,0.01,4.01016e-09,100,-1486.51658804,2.98341,5.89488,-1261.31,1.87368,0.0644104,91.8917,1,156831.227873
1.46078e-05,500.0,86.8656499732,100,1.02502,0.00376564,87.3654732242,22343.3599901,0.9,-1145.12865653,-1133.89,-1145.12865653,0.01,0.385986,100,-1145.12865653,1.1512,2.44141,-1205.0,0.15348,0.0238181,157.965,1,22343.3599901
0.0012611,500.0,18.1237747678,100,1.56912,3.10543e-06,7.41571359411,19788.5269157,0.9,-1140.57606693,-927.323,-1140.57606693,0.01,0.000487279,100,-1140.57606693,5.51761,49.78,-1080.78,31.0499,0.317248,876.934,1,19788.5269157
0.00346643,500.0,1.5660542636,100,35.4859,5.66095e-06,2.83144290555,34492.6962671,0.9,-1140.57606693,-1109.23,-1123.60445276,0.01,0.0200884,200,-1140.57606693,127.709,2052.21,-1847.73,43650.9,0.578319,210.429,,19788.5269157
0.000386178,500.0,28.7134912753,100,1.3806,4.86654e-07,12.2175459539,9452.03000345,0.9,-1145.74754594,-979.962,-1145.74754594,0.005,0.000134375,200,-1145.74754594,6.96537,62.9385,-1101.97,29.4433,0.227938,1088.36,1,9452.03000345
3.50449e-18,500.0,200.0,100,1.0,0.01,100.0,25203.168382,0.9,-1118.01469526,-1118.01,-1118.01469526,0.01,1.0,200,-1118.01469526,1.0,1.0,-1183.4,,0.01,157.959,2,25203.168382
0.000990393,500.0,17.1114337869,100,94.0363,8.44808e-07,4.94833880641,34671.3276551,0.9,-1145.74754594,-1093.95,-1106.22187285,0.005,0.0158885,300,-1145.74754594,17.5321,7441.84,-1287.54,350315.0,0.39569,421.284,,9452.03000345
0.000211741,500.0,35.2718177467,100,1.18702,7.44214e-08,15.0051560175,15815.3583006,0.9,-1138.71674401,-989.304,-1138.71674401,0.00333333,2.65019e-05,300,-1138.71674401,8.50537,74.1761,-1099.39,26.8512,0.208298,1246.88,1,15815.3583006
3.50449e-18,500.0,300.0,100,1.0,0.01,100.0,18224.3448725,0.9,-1121.37842532,-1121.38,-1121.37842532,0.01,1.0,300,-1121.37842532,1.0,1.0,-1186.84,,0.01,134.321,2,18224.3448725
2.1793e-19,500.0,300.0,100,1.0,0.005,200.000000102,24053.5411768,0.9,-1117.98030395,-1119.68,-1117.98030395,0.005,1.0,300,-1117.98030395,1.0,1.0,-1165.97,,0.005,144.674,2,24053.5411768
0.000566026,500.0,12.3627142568,100,421.011,1.06739e-07,5.79458492804,21537.2727588,0.9,-1138.71674401,-1097.84,-1108.56873622,0.00333333,0.0134814,400,-1138.71674401,32.3554,37733.1,-1312.81,9.02955e+06,0.29875,460.514,,15815.3583006
4.75083e-05,500.0,72.7032890307,100,1.13145,1.74005e-07,46.6074556321,1080.24044006,0.9,-1130.95627929,-1056.98,-1130.95627929,0.0025,7.87515e-05,400,-1130.95627929,5.50181,46.7646,-1133.66,9.73109,0.103329,877.95,1,1080.24044006
