AvgNormIw,VarDiscRet,MinVanillaIw,J,MaxNormIw,eRenyi2,IterType,VarVanillaIw,AvgDiscRet,ESSRenyi,VanillaAvgRet,EpsThisIter,VarJ,ESSClassic,MinNormIw,VarRet,AvgVanillaIw,BatchSize,VarNormIw,Bound,AvgRet,AvgEpLen,MaxVanillaIw
0.010000002,300.20876197216705,0.14755511,91.182976,0.9999075,1.0351747,1,10005271000.0,13.55390458371391,96.60204924758239,13.55390458371391,100,0.066416815,1.0001850846338018,1.4750246e-07,300.20876197216705,10003.569,100,0.009998131,83.37446,13.55390458371391,53.57,1000264.4
0.01,248.20535758340398,9.997357e-07,11.544291,0.053090874,1.0347104,,0.5188382,12.080541067193954,193.29079769302908,13.55390458371391,100,13.749686,76.03283433234436,7.83176e-09,300.20876197216705,1.2765148,200,3.1840533e-05,4.8037724,13.55390458371391,53.57,6.777128
0.005,390.0594351285934,0.15053667,123.336426,0.9998971,1.0364133,1,16437417000.0,13.643043174836608,192.97320643450445,13.643043174836608,100,0.15727268,1.0002057307593897,8.3016744e-08,390.0594351285934,9066.645,200,0.004998965,115.863365,13.643043174836608,53.47,1813142.5
0.009999998,228.06021648762732,1.0,9.953423,0.01,1.0,2,,9.953422393447658,200.0,9.953422393447658,100,15.025966,100.0,0.01,228.06021648762732,1.0,200,3.5044917e-18,2.3151803,9.953422393447658,53.18,1.0
0.005,284.90877716681325,5.515286e-07,9.918737,0.028866883,1.0358891,,0.23676954,10.152218512125819,289.60627724787645,13.643043174836608,100,17.464594,169.7867668401086,2.396681e-09,390.0594351285934,1.1506091,300,4.471057e-06,4.4216194,13.643043174836608,53.47,6.6429
0.0033333334,167.12032113997898,0.41423342,123.33684,0.9999013,1.0386368,1,27770153000.0,11.650279975592994,288.8401402226194,11.650279975592994,100,0.18530408,1.0001974905699935,1.4350013e-07,167.12032113997898,9622.138,300,0.0033326733,117.22857,11.650279975592994,51.71,2886356.2
0.009999998,216.55219407878033,1.0,11.745234,0.01,1.0,2,,11.745232799836845,300.0,11.745232799836845,100,14.64195,100.0,0.01,216.55219407878033,1.0,300,3.5044917e-18,5.4003487,11.745232799836845,51.27,1.0
0.0049999994,191.54236680875616,1.0,12.032176,0.005,1.0,2,,12.319120227448497,300.0,12.319120227448497,100,14.215805,200.00000010221265,0.005,191.54236680875616,1.0,300,2.179301e-19,7.545665,12.319120227448497,52.37,1.0
0.0033333332,241.8756887172854,3.4645757e-07,11.836937,0.0072039836,1.0380332,,0.08744093,11.334922698306375,385.34411220289644,11.650279975592994,100,15.418959,280.41413585220687,1.0338747e-09,167.12032113997898,1.1170199,400,7.786647e-07,7.4339924,11.650279975592994,51.71,2.4140978
0.0025,198.19207628166674,0.23005593,123.343376,0.9999606,1.052889,1,270348370000.0,10.688197302726417,379.90709752744283,10.688197302726417,100,0.08296428,1.0000788552373323,2.2122002e-08,198.19207628166674,25998.543,400,0.0024998025,118.01729,10.688197302726417,51.42,10399007.0
0.009999998,229.95808375996538,1.0,13.748817,0.01,1.0,2,,13.74881752924046,400.0,13.74881752924046,100,15.088356,100.0,0.01,229.95808375996538,1.0,400,3.5044917e-18,5.4126225,13.74881752924046,53.97,1.0
0.0049999994,157.27680816321805,1.0,12.809442,0.005,1.0,2,,11.87006567150794,400.0,11.87006567150794,100,13.876733,200.00000010221265,0.005,157.27680816321805,1.0,400,2.179301e-19,6.9148617,11.87006567150794,51.12,1.0
0.0033333336,272.5173606240506,1.0,12.073059,0.0033333334,1.0,2,,10.600291845460147,400.0,10.600291845460147,100,14.811855,299.999969473632,0.0033333334,272.5173606240506,1.0,400,5.4391416e-20,7.260155,10.600291845460147,52.9,1.0
0.0025,146.229395032143,9.6163035e-08,11.756372,0.009348751,1.0521086,,0.26216602,11.123322335198946,475.2360910325008,10.688197302726417,100,14.592404,335.1359239154554,2.0682125e-10,198.19207628166674,1.1623931,500,1.2126917e-06,7.481057,10.688197302726417,51.42,4.3467693
0.0019999996,185.47852829460746,0.44108698,123.34247,0.999954,1.0463992,1,229432310000.0,11.847978925261264,477.82909517645186,11.847978925261264,100,0.1130458,1.0000920607800468,4.1180535e-08,185.47852829460746,21422.11,500,0.0019998155,118.593376,11.847978925261264,52.01,10710562.0
0.009999998,103.57342484045334,1.0,11.617567,0.01,1.0,2,,11.617567145591261,500.0,11.617567145591261,100,10.126089,100.0,0.01,103.57342484045334,1.0,500,3.5044917e-18,7.484687,11.617567145591261,51.96,1.0
0.0049999994,176.2636584587973,1.0,11.116755,0.005,1.0,2,,10.615942527122364,500.0,10.615942527122364,100,11.780075,200.00000010221265,0.005,176.2636584587973,1.0,500,2.179301e-19,7.3394995,10.615942527122364,50.14,1.0
