MaxNormIw,VanillaAvgRet,AvgEpLen,VarDiscRet,AvgVanillaIw,ESSClassic,MaxVanillaIw,VarNormIw,AvgDiscRet,MinNormIw,EpsThisIter,BatchSize,VarJ,IterType,renyi2,SamplesThisIter,AvgRet,J,AvgNormIw,VarRet,VarVanillaIw,Bound,delta,ESSRenyi,MinVanillaIw
0.333333,129.497622376,14.1884222474,4809.671595,4.03012e+21,2.99999967515,8.5213e+26,5.25496e-07,129.497622376,,3524,100,9398.77,1,nan,50000,129.497622376,76333.2,1.57649e-06,4809.671595,inf,424.158,0.8,nan,
0.332534,129.450608583,14.1803743619,5164.23528993,4.09286e+11,2.99998820927,8.63809e+16,5.22685e-07,129.450608583,,3526,100,11100.0,1,nan,50000,129.450608583,78473.4,1.5756e-06,5164.23528993,3.52698e+28,481.408,0.8,nan,
0.333333,138.685106973,15.1699029126,6524.18041262,2.44508e+22,2.99999983032,4.83538e+27,5.61847e-07,138.685106973,,3296,100,12433.4,1,nan,50000,138.685106973,115419.0,1.68554e-06,6524.18041262,inf,614.786,0.8,nan,
0.299073,150.708987843,16.4636154099,7671.3630878,4.45732e+09,2.99999979761,7.28733e+14,4.95478e-07,150.708987843,,3037,100,34441.4,1,nan,50000,150.708987843,72722.6,1.82929e-06,7671.3630878,2.94176e+24,362.786,0.8,nan,
0.499996,173.410943711,18.8964474679,8659.27608519,3.79523e+13,2.00000002827,9.03788e+18,1.04978e-06,173.410943711,,2646,100,41721.2,1,nan,50000,173.410943711,75452.2,2.09961e-06,8659.27608519,3.43005e+32,371.311,0.8,nan,
0.5,218.191684792,23.7079184448,12044.1661959,9.02966e+14,2.00000008369,1.71392e+20,1.3171e-06,218.191684792,,2109,100,18101.1,1,nan,50000,218.191684792,104496.0,2.63421e-06,12044.1661959,inf,585.835,0.8,nan,
0.499988,282.801105624,30.6184935701,11105.8693159,1.96944e+18,2.00000011905,2.89441e+23,1.70094e-06,282.801105624,,1633,100,22616.0,1,nan,50000,282.801105624,104507.0,3.40205e-06,11105.8693159,inf,601.931,0.8,nan,
0.333246,297.216289796,32.175032175,15028.2849186,1.52772e+06,2.99999994031,1.42407e+11,1.19103e-06,297.216289796,,1554,100,51361.8,1,nan,50000,297.216289796,112991.0,3.575e-06,15028.2849186,2.17498e+17,623.929,0.8,nan,
0.384673,326.736197016,35.3356890459,16494.0073752,3.05077e+09,1.8378881594,2.98903e+14,1.26442e-06,326.736197016,,1415,100,21709.0,1,nan,50000,326.736197016,118719.0,3.92619e-06,16494.0073752,7.63427e+23,731.959,0.8,nan,
0.117826,321.525206803,34.7947112039,17155.4885032,18.311,4.75012352896,558061.0,2.71621e-07,321.525206803,,1437,100,35207.3,1,nan,50000,321.525206803,112671.0,3.86608e-06,17155.4885032,6.09323e+06,605.245,0.8,nan,
