VarRet,VarDiscRet,AvgEpLen,MaxVanillaIw,ESSClassic,Delta,VarJ,Bound,ESSRenyi,MinNormIw,MinVanillaIw,IterType,AvgVanillaIw,J,AvgDiscRet,AvgRet,VarNormIw,VanillaAvgRet,eRenyi2,MaxNormIw,BatchSize,AvgNormIw,VarVanillaIw,EpsThisIter
8926.78909167,8926.78909167,15.57,14.8055,32.5809329196,0.1,514.172,-13.9844,57.5827395,0.00108015,0.119788,1,1.109,223.006,142.531295811,142.531295811,0.000209018,142.531295811,1.73663,0.133503,100,0.01,2.57067,100
13586.8484486,13586.8484486,18.0,5.64995,55.4587333231,0.1,230.359,29.5247,64.2221797746,0.000913135,0.0964217,1,1.05594,251.335,165.281385408,165.281385408,8.11255e-05,165.281385408,1.55709,0.0535063,100,0.01,0.904558,100
17556.8560009,17556.8560009,25.91,149.678,2.91717277148,0.1,615.086,50.6128,50.3272413467,0.000711668,0.182683,1,2.56697,416.577,239.020590493,239.020590493,0.00336159,239.020590493,1.987,0.583093,100,0.01,221.506,100
16651.4694218,16651.4694218,27.94,15.1397,30.5347281392,0.1,366.961,103.323,59.5261176038,0.000349453,0.0360295,1,1.03102,345.729,258.061324269,258.061324269,0.000229794,258.061324269,1.67993,0.146842,100,0.01,2.44273,100
22492.982858,22492.982858,31.34,1.84089,91.6416817858,0.1,211.764,-57.4631,91.5048667069,0.00302038,0.302208,1,1.00056,318.632,290.033589816,290.033589816,9.21279e-06,290.033589816,1.09284,0.0183985,100,0.01,0.0922316,100
24218.1141469,24218.1141469,36.5,167.764,2.3705360002,0.1,509.817,78.4218,62.5228993646,0.000574908,0.148787,1,2.58801,498.851,337.936899158,337.936899158,0.00416006,337.936899158,1.59941,0.648236,100,0.01,278.632,100
25095.7204854,25095.7204854,33.55,6.46497,60.1664468351,0.1,346.276,87.2562,71.1722047378,0.00107788,0.10668,1,0.989718,386.103,310.178744218,310.178744218,6.68743e-05,310.178744218,1.40504,0.0653214,100,0.01,0.655061,100
55255.0598178,55255.0598178,44.36,3.6666,72.4285107868,0.1,420.131,35.812,74.424725175,0.000494941,0.0515397,1,1.04133,513.692,410.873029507,410.873029507,3.84517e-05,410.873029507,1.34364,0.0352108,100,0.01,0.416957,100
19488.7703771,19488.7703771,40.45,2.46353,86.0705162177,0.1,171.614,128.128,88.6346831497,0.00441213,0.436891,1,0.990204,403.522,374.614566587,374.614566587,1.63473e-05,374.614566587,1.12823,0.024879,100,0.01,0.160286,100
35786.0811667,35786.0811667,41.33,1.74154,92.9160570136,0.1,241.348,-4.31091,94.0772101692,0.00231482,0.238671,1,1.03106,406.197,382.37241951,382.37241951,7.70102e-06,382.37241951,1.06296,0.0168908,100,0.01,0.0818677,100
26833.9224942,26833.9224942,45.18,14.8853,37.4942922604,0.1,447.206,109.103,75.8384865804,0.0006918,0.0826512,1,1.19473,495.044,418.394783996,418.394783996,0.000168391,418.394783996,1.31859,0.124592,100,0.01,2.40357,100
33984.8786193,33984.8786193,46.88,8.67016,57.4944797979,0.1,265.424,117.137,82.4916818558,0.00301021,0.302163,1,1.00379,484.331,433.912846946,433.912846946,7.46765e-05,433.912846946,1.21224,0.086374,100,0.01,0.752441,100
45460.4679008,45460.4679008,45.21,1.53982,96.2980740309,0.1,243.501,-114.402,96.7621741305,0.00576233,0.559408,1,0.970802,435.324,418.950119416,418.950119416,3.8831e-06,418.950119416,1.03346,0.0158614,100,0.01,0.0365966,100
33652.8979379,33652.8979379,46.36,1.67444,89.3709593069,0.1,225.969,55.9429,90.9851509069,0.00181737,0.178364,1,0.981439,463.496,429.199261764,429.199261764,1.20133e-05,429.199261764,1.09908,0.0170611,100,0.01,0.115714,100
43296.1103736,43296.1103736,52.06,2.56004,84.7072308739,0.1,298.224,97.3704,88.573982001,0.00230333,0.224098,1,0.972931,526.523,482.477199058,482.477199058,1.8236e-05,482.477199058,1.129,0.0263127,100,0.01,0.172621,100
44961.4888663,44961.4888663,52.18,3.90835,55.0953717351,0.1,399.093,192.755,63.8256568914,1.8713e-05,0.00166361,1,0.889012,614.443,483.041009988,483.041009988,8.23267e-05,483.041009988,1.56677,0.0439629,100,0.01,0.650663,100
80427.8842941,80427.8842941,64.51,26.1307,18.6863237351,0.1,1108.21,266.177,50.9512890446,0.000398379,0.0527614,1,1.3244,853.747,597.164470219,597.164470219,0.000439546,597.164470219,1.96266,0.197302,100,0.01,7.70982,100
98408.8112321,98408.8112321,68.44,3.42132,76.4603552855,0.1,555.529,10.4462,83.3201363062,0.00173001,0.168161,1,0.972026,736.482,633.44963491,633.44963491,3.10977e-05,633.44963491,1.20019,0.0351979,100,0.01,0.293822,100
133918.072753,133918.072753,79.28,1.96233,89.7343082798,0.1,505.333,-66.7647,91.0191803486,0.00224629,0.224073,1,0.997524,805.944,732.849434326,732.849434326,1.15557e-05,732.849434326,1.09867,0.0196721,100,0.01,0.114985,100
100743.920091,100743.920091,78.07,162.539,2.24914961393,0.1,1356.94,492.852,46.6529854523,0.000205812,0.0502893,1,2.44346,1214.21,722.516861785,722.516861785,0.00439003,722.516861785,2.14349,0.665201,100,0.01,262.107,100
199539.785083,199539.785083,85.28,168.473,1.95798239056,0.1,5415.68,689.718,25.7002756238,6.53212e-06,0.00154276,1,2.36181,2777.84,788.73317016,788.73317016,0.00505788,788.73317016,3.89101,0.713322,100,0.01,282.135,100
209243.821486,209243.821486,94.28,5.08303,55.1685206468,0.1,993.714,224.542,64.9182822574,0.000436081,0.0455743,1,1.04509,1133.86,871.620089158,871.620089158,8.20836e-05,871.620089158,1.5404,0.0486373,100,0.01,0.896525,100
342882.482014,342882.482014,112.84,2.10153,88.0975038199,0.1,895.402,-295.592,91.1164728011,0.00299309,0.294811,1,0.984973,1159.62,1040.31270109,1040.31270109,1.3647e-05,1040.31270109,1.0975,0.0213359,100,0.01,0.1324,100
389913.858143,389913.858143,127.92,2.39101,78.8327946838,0.1,826.191,106.542,85.2638760255,0.000886001,0.0865148,1,0.976464,1360.32,1180.23301081,1180.23301081,2.71219e-05,1180.23301081,1.17283,0.0244864,100,0.01,0.258603,100
497433.691112,497433.691112,137.33,105.236,2.78800048683,0.1,8123.72,664.936,27.8879785061,9.27557e-05,0.0163813,1,1.76607,3312.81,1267.36639701,1267.36639701,0.00352202,1267.36639701,3.58577,0.595875,100,0.01,109.852,100
923931.783229,923931.783229,169.51,29.2873,12.6695407158,0.1,3748.2,583.85,40.5369314066,0.000109511,0.0140537,1,1.28331,2782.29,1561.95438092,1561.95438092,0.000696257,1561.95438092,2.46689,0.228217,100,0.01,11.4665,100
1332088.54506,1332088.54506,188.61,55.291,8.25502916496,0.1,3162.77,735.886,58.8946194102,0.000146592,0.0244429,1,1.66741,2557.49,1740.84641537,1740.84641537,0.00112261,1740.84641537,1.69795,0.331597,100,0.01,31.2115,100
1480835.27385,1480835.27385,205.07,22.6407,14.9461630762,0.1,2780.47,1145.42,36.5830489718,3.75946e-05,0.00413099,1,1.09883,3460.11,1886.8995937,1886.8995937,0.000574816,1886.8995937,2.73351,0.206045,100,0.01,6.94044,100
1804182.46038,1804182.46038,266.56,17.8265,20.5041065941,0.1,2533.46,1520.99,48.2862168154,2.51039e-05,0.00247348,1,0.985297,3536.06,2453.64520819,2453.64520819,0.000391623,2453.64520819,2.07098,0.180925,100,0.01,3.80192,100
2081957.16115,2081957.16115,359.37,5.68757,59.5974006799,0.1,998.003,2346.76,67.7069383443,0.00102109,0.12638,1,1.2377,4051.53,3326.59785052,3326.59785052,6.84772e-05,3326.59785052,1.47695,0.0459527,100,0.01,1.049,100
1460211.68851,1460211.68851,389.96,2.38492,72.1481174772,0.1,938.249,2448.36,72.8530723087,0.00044636,0.0455044,1,1.01945,4090.51,3606.81087308,3606.81087308,3.89937e-05,3606.81087308,1.37263,0.0233941,100,0.01,0.405257,100
1072619.58956,1072619.58956,437.25,2.31222,82.0052471499,0.1,654.381,2796.0,83.3526646227,0.00105978,0.111485,1,1.05196,4331.64,4051.22177101,4051.22177101,2.2165e-05,4051.22177101,1.19972,0.0219801,100,0.01,0.245284,100
1361170.10966,1361170.10966,432.75,2.08708,81.0605803901,0.1,608.247,2820.8,84.7804630165,0.00127968,0.124028,1,0.969205,4343.2,4007.57567578,4007.57567578,2.36006e-05,4007.57567578,1.17952,0.021534,100,0.01,0.221694,100
664954.838501,664954.838501,461.87,1.62021,90.9895178205,0.1,581.918,2946.48,93.002346731,0.00188789,0.18529,1,0.981467,4400.75,4271.91785022,4271.91785022,1.00028e-05,4271.91785022,1.07524,0.0165081,100,0.01,0.0963546,100
1177769.54442,1177769.54442,443.78,2.23621,80.7780030672,0.1,490.855,2910.75,85.6351522951,0.00157774,0.151548,1,0.96054,4426.46,4113.26564205,4113.26564205,2.40364e-05,4113.26564205,1.16774,0.0232807,100,0.01,0.221769,100
586958.695708,586958.695708,467.1,2.09157,91.3116884019,0.1,542.869,2984.29,93.5346673137,0.00373794,0.374916,1,1.003,4433.02,4331.71193092,4331.71193092,9.61111e-06,4331.71193092,1.06912,0.0208531,100,0.01,0.0966889,100
