VarJ,MaxNormIw,ESSClassic,SamplesThisIter,Bound,AvgNormIw,VarRet,EpsThisIter,VarDiscRet,AvgVanillaIw,BatchSize,AvgEpLen,AvgRet,VarVanillaIw,MaxVanillaIw,VanillaAvgRet,MinVanillaIw,MinNormIw,J,renyi2,VarNormIw,delta,ESSRenyi,AvgDiscRet,IterType
8393.15,0.226295,4.0011919506,50000,637.29,6.51754e-07,3598.74803392,8524,3598.74803392,4169.49,100,5.86579070859,48.6295995388,5.47421e+12,1.44768e+09,48.6295995388,7.11027e-14,1.11144e-23,26584.8,6.76023,1.33759e-07,0.6,0.115895805822,48.6295995388,1
14629.7,0.234463,4.00114311044,50000,869.347,6.77176e-07,3769.15730263,8204,3769.15730263,22065.1,100,6.09458800585,50.9170761358,1.58266e+14,7.63974e+09,50.9170761358,,,28651.9,6.76514,1.49066e-07,0.6,0.115328489452,50.9170761358,1
7494.37,0.24893,4.00000094968,50000,783.48,6.6999e-07,3782.86072318,8292,3782.86072318,11608.4,100,6.02990834539,50.2704738939,4.98532e+13,4.31303e+09,50.2704738939,2.74925e-06,1.58675e-16,23240.8,7.30422,1.66066e-07,0.6,0.0672694199392,50.2704738939,1
5543.93,0.219867,3.99999165352,50000,751.909,6.84519e-07,4479.28051087,8116,4479.28051087,3437.67,100,6.16067028093,51.5783614331,3.35943e+12,1.10418e+09,51.5783614331,8.68496e-10,1.72938e-19,23336.0,6.76558,1.33201e-07,0.6,0.1152780171,51.5783614331,1
5057.32,0.149795,3.9999082699,50000,642.123,6.56996e-07,3554.73814573,8456,3554.73814573,960.843,100,5.91296121097,49.1016554794,1.79865e+11,2.19072e+08,49.1016554794,5.89001e-08,4.02741e-17,15961.8,7.23334,8.40943e-08,0.6,0.0722104143778,49.1016554794,1
4941.47,0.125755,3.17829935558,50000,762.634,6.43004e-07,3235.16939144,8640,3235.16939144,47.6479,100,5.78703703704,47.842774663,2.92692e+08,9.31868e+06,47.842774663,9.86173e-08,1.33083e-15,17152.3,8.18225,5.33029e-08,0.6,0.027957271515,47.842774663,1
3044.27,0.0783409,3.90450467952,50000,649.162,6.69021e-07,3918.6069227,8304,3918.6069227,5.22731,100,6.02119460501,50.1836762075,1.42166e+06,612106.0,50.1836762075,7.83584e-09,1.00288e-15,13944.6,7.60151,2.32873e-08,0.6,0.0499694644606,50.1836762075,1
3662.94,0.126955,4.00602166358,50000,799.096,6.71285e-07,4226.27329672,8276,4226.27329672,13.8282,100,6.0415659739,50.387439839,2.27735e+07,2.61521e+06,50.387439839,9.00658e-06,4.37221e-13,13998.9,6.94143,5.36676e-08,0.6,0.0966887296845,50.387439839,1
9507.83,0.247901,4.00003774396,50000,740.233,6.59491e-07,4037.2647008,8424,4037.2647008,613.484,100,5.93542260209,49.3260363961,1.40286e+11,2.30607e+08,49.3260363961,6.36071e-06,6.83771e-15,27831.5,7.37855,1.62116e-07,0.6,0.0624503958838,49.3260363961,1
1903.61,0.160296,4.28746515698,50000,501.083,6.5298e-07,2883.68810319,8508,2883.68810319,6.82405,100,5.87682181476,48.7355678978,7.65364e+06,1.67519e+06,48.7355678978,6.47049e-06,6.19149e-13,10497.8,8.3242,7.00781e-08,0.6,0.024257567994,48.7355678978,1
