BatchSize,ESSClassic,MinVanillaIw,MaxNormIw,AvgVanillaIw,VarRet,AvgDiscRet,MinNormIw,Bound,VarNormIw,Delta,J,AvgRet,ESSRenyi,AvgEpLen,eRenyi2,VarJ,VarDiscRet,MaxVanillaIw,IterType,AvgNormIw,EpsThisIter,VarVanillaIw,VanillaAvgRet
100,1.6471464772,1.17698e-15,0.776469,0.693504,10740.5379436,161.420861883,1.69714e-17,498.924,0.00603142,1.0,498.924,161.420861883,,17.6,inf,538.908,10740.5379436,53.8484,1,0.01,100,29.008,161.420861883
200,1.00000173768,0.0185706,0.999999,8.49636e+12,10740.5379436,299.923087765,2.18572e-17,212.458,0.00999998,1.0,212.458,161.420861883,30.4542369672,17.6,6.56723,0.000655969,12837.3669031,8.49635e+14,,0.01,100,7.21879e+27,161.420861883
200,1.0007733779,,0.999614,17.2493,18447.5710583,158.601310065,,1012.08,0.00499612,1.0,1012.08,158.601310065,199.866288946,17.3,1.00067,5.06799,18447.5710583,3448.53,1,0.005,100,59461.7,158.601310065
200,100.0,1.0,0.01,1.0,172717.426925,348.498141341,0.01,348.498,3.50449e-18,1.0,348.498,348.498141341,200.0,37.68,1.0,413.51,172717.426925,1.0,2,0.01,100,,348.498141341
300,nan,0.000289978,nan,inf,18447.5710583,355.986646488,nan,nan,nan,1.0,nan,158.601310065,nan,17.3,nan,nan,87837.4588138,inf,,nan,100,nan,158.601310065
300,1.0,,1.0,2.22725,17619.0784566,159.344620307,,633.513,0.00333333,1.0,633.513,159.344620307,3.62814703941e-12,17.38,8.26868e+13,1.47089e-12,17619.0784566,668.176,1,0.00333333,100,1488.2,159.344620307
300,100.0,1.0,0.01,1.0,20051.9202017,342.51688855,0.01,342.517,3.50449e-18,1.0,342.517,342.51688855,300.0,36.99,1.0,140.895,20051.9202017,1.0,2,0.01,100,,342.51688855
300,200.000000102,1.0,0.005,1.0,15700.6172232,349.400579085,0.005,345.959,2.1793e-19,1.0,345.959,349.400579085,300.0,37.71,1.0,133.076,15700.6172232,1.0,2,0.005,100,,349.400579085
400,nan,0.00149661,nan,inf,17619.0784566,317.577736944,nan,nan,nan,1.0,nan,159.344620307,nan,17.38,nan,nan,17139.0522444,inf,,nan,100,nan,159.344620307
400,3.17944010326,1.64312e-05,0.511705,1.47413,10018.2151992,128.024755798,2.7866e-08,467.446,0.000782007,1.0,467.446,128.024755798,,14.01,inf,1895.65,10018.2151992,301.727,1,0.0025,100,271.894,128.024755798
