AvgNormIw,J,VanillaAvgRet,AvgVanillaIw,VarRet,EpsThisIter,BatchSize,VarDiscRet,eRenyi2,MinNormIw,Delta,AvgDiscRet,AvgRet,Bound,ESSClassic,VarNormIw,MaxNormIw,ESSRenyi,MinVanillaIw,VarJ,VarVanillaIw,AvgEpLen,IterType,MaxVanillaIw
0.002,2467.46,2241.22662961,0.414513,330873.084823,100,500,330873.084823,inf,4.52376e-28,1.0,2241.22662961,2241.22662961,2467.46,20.6103819398,9.32249e-05,0.131519,,9.37579e-26,2796.83,4.00449,243.39,1,27.2581
0.01,2127.85,2127.8477131,1.0,311380.909019,100,500,311380.909019,1.0,0.01,1.0,2127.8477131,2127.8477131,2127.85,100.0,3.50449e-18,0.01,500.0,1.0,555.218,,231.05,2,1.0
0.005,2196.81,2265.77556928,1.0,333872.06805,100,500,333872.06805,1.0,0.005,1.0,2265.77556928,2265.77556928,2196.81,200.000000102,2.1793e-19,0.005,500.0,1.0,569.347,,246.14,2,1.0
0.00333333,2209.99,2236.35911803,1.0,286804.203688,100,500,286804.203688,1.0,0.00333333,1.0,2236.35911803,2236.35911803,2209.99,299.999969474,5.43914e-20,0.00333333,500.0,1.0,557.761,,242.73,2,1.0
0.0025,2203.12,2182.51627624,1.0,342062.25443,100,500,342062.25443,1.0,0.0025,1.0,2182.51627624,2182.51627624,2203.12,400.0,5.4346e-20,0.0025,500.0,1.0,564.026,,236.75,2,1.0
0.002,2348.75,2224.17816142,1.06292,302444.681094,100,500,302444.681094,inf,2.92298e-05,1.0,2224.17816142,2224.17816142,2348.75,153.82108541,9.02016e-06,0.0406858,,0.0155345,1480.07,2.54775,241.76,1,21.6229
0.01,2128.92,2128.92348725,1.0,298424.09503,100,500,298424.09503,1.0,0.01,1.0,2128.92348725,2128.92348725,2128.92,100.0,3.50449e-18,0.01,500.0,1.0,543.544,,231.35,2,1.0
0.005,2163.86,2198.80019675,1.0,312820.998006,100,500,312820.998006,1.0,0.005,1.0,2198.80019675,2198.80019675,2163.86,200.000000102,2.1793e-19,0.005,500.0,1.0,551.169,,238.91,2,1.0
0.00333333,2175.49,2198.74658037,1.0,396480.969962,100,500,396480.969962,1.0,0.00333333,1.0,2198.74658037,2198.74658037,2175.49,299.999969474,5.43914e-20,0.00333333,500.0,1.0,577.61,,238.8,2,1.0
0.0025,2202.17,2282.22515118,1.0,265988.815818,100,500,265988.815818,1.0,0.0025,1.0,2282.22515118,2282.22515118,2202.17,400.0,5.4346e-20,0.0025,500.0,1.0,564.087,,248.1,2,1.0
0.002,2385.42,2207.49771621,1.03605,348680.983628,100,500,348680.983628,inf,5.73863e-05,1.0,2207.49771621,2207.49771621,2385.42,105.79707052,1.4934e-05,0.0700436,,0.0297274,1994.25,4.0075,239.77,1,36.2842
0.01,2309.2,2309.20282379,1.0,524462.083302,100,500,524462.083302,1.0,0.01,1.0,2309.20282379,2309.20282379,2309.2,100.0,3.50449e-18,0.01,500.0,1.0,720.567,,250.59,2,1.0
0.005,2280.14,2251.06954039,1.0,284386.294083,100,500,284386.294083,1.0,0.005,1.0,2251.06954039,2251.06954039,2280.14,200.000000102,2.1793e-19,0.005,500.0,1.0,633.423,,244.57,2,1.0
0.00333333,2227.38,2121.87350373,1.0,303831.17531,100,500,303831.17531,1.0,0.00333333,1.0,2121.87350373,2121.87350373,2227.38,299.999969474,5.43914e-20,0.00333333,500.0,1.0,610.994,,230.64,2,1.0
0.0025,2223.12,2210.35477644,1.0,347300.192898,100,500,347300.192898,1.0,0.0025,1.0,2210.35477644,2210.35477644,2223.12,400.0,5.4346e-20,0.0025,500.0,1.0,604.976,,240.06,2,1.0
0.002,2370.78,2255.09599265,1.02618,360607.056165,100,500,360607.056165,inf,1.43172e-05,1.0,2255.09599265,2255.09599265,2370.78,226.546635591,4.83788e-06,0.0242906,,0.00734603,1103.81,1.27364,245.12,1,12.4633
0.01,2267.45,2267.45318672,1.0,365712.062666,100,500,365712.062666,1.0,0.01,1.0,2267.45318672,2267.45318672,2267.45,100.0,3.50449e-18,0.01,500.0,1.0,601.71,,246.55,2,1.0
0.005,2219.51,2171.57575139,1.0,302936.142224,100,500,302936.142224,1.0,0.005,1.0,2171.57575139,2171.57575139,2219.51,200.000000102,2.1793e-19,0.005,500.0,1.0,577.303,,235.88,2,1.0
0.00333333,2246.68,2301.01196273,1.0,346409.323334,100,500,346409.323334,1.0,0.00333333,1.0,2301.01196273,2301.01196273,2246.68,299.999969474,5.43914e-20,0.00333333,500.0,1.0,581.358,,249.67,2,1.0
0.0025,2256.55,2286.16541173,1.0,421395.358488,100,500,421395.358488,1.0,0.0025,1.0,2286.16541173,2286.16541173,2256.55,400.0,5.4346e-20,0.0025,500.0,1.0,598.39,,248.64,2,1.0
0.002,2878.13,2215.1860039,4.0531,338260.713646,100,500,338260.713646,1.0,1.02184e-10,1.0,2215.1860039,2215.1860039,2878.13,1.65954445274,0.00120356,0.774258,499.99880791,2.07081e-07,2325.28,4942.91,240.54,1,1569.07
0.01,2221.77,2221.77342184,1.0,404734.24705,100,500,404734.24705,1.0,0.01,1.0,2221.77342184,2221.77342184,2221.77,100.0,3.50449e-18,0.01,500.0,1.0,632.998,,241.22,2,1.0
0.005,2249.49,2277.20800332,1.0,385356.494714,100,500,385356.494714,1.0,0.005,1.0,2277.20800332,2277.20800332,2249.49,200.000000102,2.1793e-19,0.005,500.0,1.0,625.99,,247.46,2,1.0
0.00333333,2226.73,2181.19983663,1.0,305861.138998,100,500,305861.138998,1.0,0.00333333,1.0,2181.19983663,2181.19983663,2226.73,299.999969474,5.43914e-20,0.00333333,500.0,1.0,602.671,,237.04,2,1.0
0.0025,2245.6,2302.21748251,1.0,296340.751919,100,500,296340.751919,1.0,0.0025,1.0,2302.21748251,2302.21748251,2245.6,400.0,5.4346e-20,0.0025,500.0,1.0,588.916,,249.92,2,1.0
0.002,2402.83,2254.17153731,0.961531,330257.583405,100,500,330257.583405,inf,8.45386e-10,1.0,2254.17153731,2254.17153731,2402.83,105.082820652,1.50627e-05,0.0474025,,4.06432e-07,1582.8,3.48153,244.96,1,22.7895
0.01,2242.67,2242.66703417,1.0,404729.182503,100,500,404729.182503,1.0,0.01,1.0,2242.66703417,2242.66703417,2242.67,100.0,3.50449e-18,0.01,500.0,1.0,632.994,,243.6,2,1.0
0.005,2227.12,2211.58053209,1.0,305999.934065,100,500,305999.934065,1.0,0.005,1.0,2211.58053209,2211.58053209,2227.12,200.000000102,2.1793e-19,0.005,500.0,1.0,593.34,,240.14,2,1.0
