AvgNormIw,VanillaAvgRet,VarJ,AvgRet,ESSRenyi,IterType,AvgEpLen,MinNormIw,J,EpsThisIter,VarRet,Delta,MaxNormIw,eRenyi2,VarDiscRet,AvgDiscRet,MinVanillaIw,VarVanillaIw,MaxVanillaIw,Bound,ESSClassic,BatchSize,VarNormIw,AvgVanillaIw
0.01,-1470.45930453,292.283,-1470.45930453,61.3272453079,1,500.0,1.11945e-07,-1207.7,100,160551.978317,0.2,0.0331344,1.6306,160551.978317,-1470.45930453,1.05005e-05,0.644565,3.10802,-1718.53,57.9623178546,100,7.32585e-05,0.938004
0.01,-1255.79211106,110.741,-1255.79211106,86.365859748,1,500.0,0.000117755,-1168.49,100,80078.8822634,0.2,0.0184709,1.15786,80078.8822634,-1255.79211106,0.0116726,0.209547,1.83094,-1598.83,82.5677496134,100,2.13259e-05,0.991257
0.01,-1168.42037356,96.2774,-1168.42037356,96.8379640105,1,500.0,0.00539308,-1153.98,100,22865.0935569,0.2,0.0137804,1.03265,22865.0935569,-1168.42037356,0.535174,0.0312979,1.36748,-1551.02,96.9494105577,100,3.17832e-06,0.992335
0.01,-1164.27516669,86.2603,-1164.27516669,96.8282057619,1,500.0,0.00412213,-1149.16,100,23061.977047,0.2,0.0122609,1.03276,23061.977047,-1164.27516669,0.422956,0.02627,1.25804,-1547.92,97.5892448441,100,2.49525e-06,1.02606
0.01,-1168.71919267,86.1692,-1168.71919267,96.2987478511,1,500.0,0.00344427,-1150.89,100,23637.7183102,0.2,0.0129056,1.03844,23637.7183102,-1168.71919267,0.341826,0.039905,1.28081,-1551.31,96.1437113869,100,4.05147e-06,0.992448
0.01,-1136.33624368,59.0384,-1136.33624368,99.5804699197,1,500.0,0.00704245,-1134.88,100,4435.20405924,0.2,0.011137,1.00421,4435.20405924,-1136.33624368,0.700924,0.00507461,1.10844,-1448.67,99.495378409,100,5.12282e-07,0.995283
0.01,-1141.09274686,90.5588,-1141.09274686,98.7847111004,1,500.0,0.00648154,-1135.81,100,15355.910252,0.2,0.013476,1.0123,15355.910252,-1141.09274686,0.635648,0.0111639,1.3216,-1530.23,98.8639218758,100,1.16075e-06,0.980705
0.01,-1132.98266197,27.3137,-1132.98266197,99.923538066,1,500.0,0.00938337,-1132.8,100,663.573808196,0.2,0.0107617,1.00077,663.573808196,-1132.98266197,0.937421,0.000667325,1.07512,-1373.88,99.9338747649,100,6.6863e-08,0.999023
0.01,-1129.3018095,84.0994,-1129.3018095,96.7343342789,1,500.0,0.00733114,-1122.27,100,1748.0356876,0.2,0.0254582,1.03376,1748.0356876,-1129.3018095,0.732039,0.0662354,2.54209,-1377.26,93.8292730674,100,6.643e-06,0.998534
0.01,-1132.07804826,81.6914,-1132.07804826,99.4540383262,1,500.0,0.0078018,-1130.52,100,5912.05796937,0.2,0.0116606,1.00549,5912.05796937,-1132.07804826,0.771918,0.00597794,1.15371,-1428.65,99.3990855244,100,6.10659e-07,0.989411
0.01,-1118.32638457,252.585,-1118.32638457,85.3189520769,1,500.0,0.00376534,-1083.12,100,7243.91531852,0.2,0.0388178,1.17207,7243.91531852,-1118.32638457,0.395742,0.344011,4.0798,-1360.12,76.4342905656,100,3.11428e-05,1.05101
0.01,-1145.941855,90.4665,-1145.941855,98.6473080456,1,500.0,0.00458603,-1138.91,100,19525.0297612,0.2,0.0120771,1.01371,19525.0297612,-1145.941855,0.452972,0.0159367,1.19288,-1533.6,98.4085168002,100,1.63354e-06,0.987722
0.01,-1119.22073538,73.2842,-1119.22073538,97.911238247,1,500.0,0.00738405,-1114.47,100,3268.72163778,0.2,0.0142063,1.02133,3268.72163778,-1119.22073538,0.733964,0.018621,1.41209,-1351.78,98.1683171962,100,1.8847e-06,0.993985
0.01,-1132.9922882,71.8168,-1132.9922882,99.3983329354,1,500.0,0.00738581,-1131.21,100,4320.02860586,0.2,0.0126713,1.00605,4320.02860586,-1132.9922882,0.732495,0.00541821,1.25669,-1440.1,99.4575785632,100,5.50863e-07,0.991759
0.01,-1112.88984176,350.286,-1112.88984176,74.4814225027,1,500.0,0.000141064,-1054.07,100,10109.6238178,0.2,0.0627619,1.34262,10109.6238178,-1112.88984176,0.01434,0.658898,6.38014,-1346.6,61.3035533155,100,6.37603e-05,1.01656
0.01,-1085.37184523,236.944,-1085.37184523,88.0553326981,1,500.0,0.00273421,-1051.18,100,22097.8801135,0.2,0.0270091,1.13565,22097.8801135,-1085.37184523,0.274966,0.184319,2.71617,-1394.4,84.714775483,100,1.82254e-05,1.00565
0.01,-1092.59951718,245.918,-1092.59951718,90.4742619489,1,500.0,0.000763275,-1058.39,100,39086.8092699,0.2,0.0185708,1.10529,39086.8092699,-1092.59951718,0.0773222,0.16037,1.88128,-1470.69,86.6020022869,100,1.56271e-05,1.01303
