MinNormIw,ESSClassic,VarDiscRet,MinVanillaIw,AvgRet,eRenyi2,Delta,EpsThisIter,AvgDiscRet,VarRet,J,ESSRenyi,BatchSize,VarJ,MaxNormIw,AvgVanillaIw,Bound,AvgEpLen,MaxVanillaIw,IterType,AvgNormIw,VarNormIw,VanillaAvgRet,VarVanillaIw
8.20805e-05,16.4324126445,10740.5379436,0.0106995,161.420861883,2.98498,0.2,100,161.420861883,10740.5379436,294.476,33.5010821966,100,513.724,0.185673,1.30353,99.0615,17.6,24.203,1,0.01,0.00051369,161.420861883,8.72861
0.00112184,64.3829901633,12393.1765456,0.128177,208.880774476,1.33917,0.2,100,208.880774476,12393.1765456,253.84,74.6730331763,100,172.588,0.0431835,1.14256,70.135,22.67,4.93397,1,0.01,5.58793e-05,208.880774476,0.729472
9.24289e-07,2.4496717185,13888.3667885,0.000228689,242.068633755,4.81148,0.2,100,242.068633755,13888.3667885,566.926,20.7836379909,100,992.12,0.636096,2.47421,250.733,26.22,157.384,1,0.01,0.0040224,242.068633755,246.241
0.000284001,71.499603223,27938.3760427,0.0277021,318.202250726,1.3013,0.2,100,318.202250726,27938.3760427,385.32,76.8459462213,100,308.1,0.0302097,0.975424,80.14,34.42,2.94673,1,0.01,4.02636e-05,318.202250726,0.383088
0.000202103,66.6678612764,15079.4984303,0.0210155,320.085595299,1.4798,0.2,100,320.085595299,15079.4984303,379.434,67.5768852891,100,249.877,0.041773,1.03984,170.881,34.57,4.34372,1,0.01,5.05023e-05,320.085595299,0.546064
9.30235e-05,29.2274342419,21591.3823177,0.0112674,378.482204104,1.74196,0.2,100,378.482204104,21591.3823177,461.152,57.4065271445,100,325.79,0.10715,1.21125,231.887,40.84,12.9785,1,0.01,0.00024459,378.482204104,3.58844
0.000124727,23.7474677233,13851.1680841,0.0112775,364.733899714,1.99936,0.2,100,364.733899714,13851.1680841,464.827,50.0159970427,100,371.031,0.159774,0.904176,242.325,39.36,14.4464,1,0.01,0.000324341,364.733899714,2.6516
0.000367278,75.611590603,27480.1565342,0.0397196,435.812812171,1.28703,0.2,100,435.812812171,27480.1565342,494.092,77.6979869918,100,362.676,0.0377224,1.08146,183.826,47.04,4.07951,1,0.01,3.25807e-05,435.812812171,0.381048
5.87491e-05,6.14517160308,20751.9307802,0.00789301,414.156196215,2.96483,0.2,100,414.156196215,20751.9307802,589.296,33.7287611256,100,692.564,0.391121,1.34351,294.896,44.67,52.5475,1,0.01,0.00154272,414.156196215,27.8464
5.00343e-06,6.81246566101,32749.9676986,0.000682503,487.078478137,3.74046,0.2,100,487.078478137,32749.9676986,797.995,26.7346734546,100,1570.02,0.368504,1.36407,328.122,52.53,50.2665,1,0.01,0.00138171,487.078478137,25.7093
0.000326263,49.9294135936,51302.920778,0.0339216,524.424093879,1.77553,0.2,100,524.424093879,51302.920778,665.969,56.3212835918,100,564.592,0.0673772,1.0397,280.121,56.62,7.00522,1,0.01,0.000101296,524.424093879,1.09499
7.0243e-05,3.81928873489,46158.7602665,0.0131705,572.696241232,2.4845,0.2,100,572.696241232,46158.7602665,813.086,40.2494787811,100,841.709,0.507198,1.87499,441.234,61.8,95.0988,1,0.01,0.00254373,572.696241232,89.4264
0.000191165,8.17240334092,58234.853523,0.0223411,604.955031892,3.00645,0.2,100,604.955031892,58234.853523,941.072,33.2618131941,100,1896.21,0.33554,1.16868,422.748,65.32,39.2138,1,0.01,0.00113498,604.955031892,15.5017
3.06892e-06,5.49050817296,84901.6229315,0.000395294,694.27534977,3.86886,0.2,100,694.27534977,84901.6229315,1156.58,25.8473833116,100,1416.8,0.397409,1.28806,564.055,74.94,51.1885,1,0.01,0.00173871,694.27534977,28.8467
0.000795957,45.0480560377,101039.929976,0.0911288,795.968386509,1.61003,0.2,100,795.968386509,101039.929976,958.424,62.1106509751,100,722.19,0.0857746,1.1449,515.592,86.11,9.82029,1,0.01,0.000123217,795.968386509,1.61511
