MaxVanillaIw,J,AvgDiscRet,AvgNormIw,MaxNormIw,IterType,AvgEpLen,VarDiscRet,ESSRenyi,ESSClassic,VarVanillaIw,eRenyi2,MinNormIw,VarJ,EpsThisIter,VanillaAvgRet,Delta,AvgVanillaIw,BatchSize,AvgRet,VarNormIw,VarRet,MinVanillaIw,Bound
85.46376,541.1773,108.8423725164873,0.01,0.6641632,1,11.89,27085.56038992746,5.892429622460033,2.2155112876461134,73.820206,16.970928,1.659432e-17,923.57825,100,108.8423725164873,0.6,1.2867886,100,108.8423725164873,0.0044582123,27085.56038992746,2.1353383e-15,251.96204
48.754543,4428.0303,383.98017087365895,0.009999999,0.55638677,1,39.39,554891.5985537949,4.122448729261281,2.4551694334748855,30.815138,24.257427,,4282.233,100,383.98017087365895,0.6,0.87627065,100,383.98017087365895,0.0040131696,554891.5985537949,,2417.3333
inf,nan,1864.1994123645898,nan,nan,,39.39,3162063.8386536567,nan,nan,nan,nan,nan,nan,100,383.98017087365895,0.6,inf,200,383.98017087365895,nan,554891.5985537949,0.020510908,nan
151.64497,4176.5176,406.48855911523236,0.005,0.5408963,1,41.66,406789.9918295389,4.083479668510129,2.7708457247568523,140.5736,48.977837,,7286.3853,100,406.48855911523236,0.6,1.4017934,200,406.48855911523236,0.0017884454,406789.9918295389,,2156.249
1.0,2374.1245,2374.124532475851,0.009999998,0.01,2,238.09,4231403.230097565,200.0,100.0,,1.0,0.01,2046.7264,100,2374.124532475851,0.6,1.0,200,2374.124532475851,3.5044917e-18,4231403.230097565,1.0,1965.8762
12.677261,4865.392,2852.0806890592175,0.005,0.06504852,1,285.8,4173525.8956016893,41.35524141171868,32.81546923589904,4.861949,4.8361464,3.356048e-16,502.37613,100,2852.0806890592175,0.6,0.9744465,200,2852.0806890592175,0.0001280072,4173525.8956016893,6.5405784e-14,4230.5596
1.0,4774.893,4774.893226728987,0.009999998,0.01,2,477.6,578385.9235607664,200.0,100.0,,1.0,0.01,756.7047,100,4774.893226728987,0.6,1.0,200,4774.893226728987,3.5044917e-18,578385.9235607664,1.0,4366.6445
2.155574,4969.8213,4828.715555542336,0.005,0.010799244,1,482.96,483211.802588499,155.22134971538802,154.59403090262416,0.2940195,1.2884825,3.0589417e-05,176.93823,100,4828.715555542336,0.6,0.99802077,200,4828.715555542336,7.37967e-06,483211.802588499,0.0061057745,4642.142
1.0,4968.1323,4968.132268102421,0.009999998,0.01,2,496.83,101139.96688461534,200.0,100.0,,1.0,0.01,316.431,100,4968.132268102421,0.6,1.0,200,4968.132268102421,3.5044917e-18,101139.96688461534,1.0,4559.8843
1.1619364,4997.161,4999.934466848407,0.005,0.005729459,1,500.0,0.005812143968941073,196.05898124264291,196.50159618243973,0.018397417,1.0201012,0.0008725253,39.307907,100,4999.934466848407,0.6,1.0140017,200,4999.934466848407,4.4732113e-07,0.005812143968941073,0.17694844,4705.599
