AvgVanillaIw,MaxNormIw,AvgEpLen,J,VarRet,BatchSize,ESSClassic,VarNormIw,VarVanillaIw,AvgDiscRet,Bound,MinVanillaIw,VarJ,VarDiscRet,AvgRet,MinNormIw,eRenyi2,ESSRenyi,AvgNormIw,MaxVanillaIw,VanillaAvgRet
1.7329075,0.57611656,11.28,441.97186,11526.215444600193,100,2.8523202173538413,0.0034403205,103.31175,102.73662712664682,184.31067,1.1704696e-24,896.3005,11526.215444600193,102.73662712664682,6.754368e-27,23.632467,4.231466772298375,0.01,99.83568,102.73662712664682
1.0251687,0.84264916,20.21,737.42664,18866.962399578206,100,1.4049704118678257,0.007088472,74.497765,191.99303852704358,415.89642,7.943986e-21,714.48566,18866.962399578206,191.99303852704358,7.7489554e-23,18.02274,5.548546074094205,0.009999999,86.38575,191.99303852704358
0.5232149,0.85182023,41.05,1230.9796,40973.891034593136,100,1.3705400625504605,0.0072690863,19.899397,400.3442046162044,733.18823,,826.3626,40973.891034593136,400.3442046162044,,20.083477,4.979217488042671,0.010000002,44.5685,400.3442046162044
0.45304096,0.82781357,64.01,1966.2423,133022.8767800361,100,1.442718846472038,0.0069003627,14.162724,629.8826809613611,1063.636,2.320235e-20,1947.6267,133022.8767800361,629.8826809613611,5.1214683e-22,24.20968,4.130579078212961,0.01,37.503345,629.8826809613611
0.72437704,0.47464168,86.26,1701.1434,187897.9347769207,100,2.922692110424341,0.003355053,17.60471,852.3455094319032,1110.4045,7.227289e-36,797.3417,187897.9347769207,852.3455094319032,9.977247e-38,14.2422285,7.0213730908656515,0.01,34.381954,852.3455094319032
1.3453254,0.26496583,84.38,1203.9623,244900.21363748264,100,11.048199520602838,0.00081325765,14.719151,833.5160518596841,700.7502,2.6603497e-09,1797.7909,244900.21363748264,833.5160518596841,1.9774769e-11,4.626082,21.61656477794326,0.009999999,35.646523,833.5160518596841
1.0112724,0.8662352,95.31,2279.039,306887.0915509775,100,1.3302507469844331,0.0074923034,76.62167,942.8250480495776,1314.7281,3.7058431e-13,2091.7244,306887.0915509775,942.8250480495776,3.6645347e-15,20.840345,4.798384967413159,0.01,87.599976,942.8250480495776
1.0928571,0.028459357,103.21,1113.6304,244833.84328942903,100,67.09767102687144,4.953178e-05,0.59157616,1021.8115609242781,854.00464,0.00741539,591.692,244833.84328942903,1021.8115609242781,6.7853245e-05,1.6524553,60.5160080220462,0.01,3.1102011,1021.8115609242781
0.43634182,0.9153818,93.65,2563.6206,184742.6286087045,100,1.1911061167537342,0.008379351,15.953801,926.181274516376,1496.1305,,1700.9154,184742.6286087045,926.181274516376,,21.58726,4.632362017084203,0.01,39.941936,926.181274516376
0.9878613,0.06939556,100.3,1115.8778,278274.0439009674,100,48.20580252618916,0.0001085292,1.0591038,992.7120562833555,796.23645,0.010435578,899.854,278274.0439009674,992.7120562833555,0.0001056381,1.826899,54.73756194070658,0.010000002,6.855318,992.7120562833555
