EpsThisIter,IterType,VarVanillaIw,AvgNormIw,AvgDiscRet,J,BatchSize,VarJ,ESSClassic,AvgEpLen,MinVanillaIw,Delta,MaxVanillaIw,Bound,VarNormIw,MinNormIw,ESSRenyi,MaxNormIw,AvgRet,AvgVanillaIw,VanillaAvgRet,VarRet,VarDiscRet,eRenyi2
100,1,237.317,0.01,153.812071012,371.149,100,327.399,4.06817850765,16.78,4.06752e-07,0.8,141.406,282.963,0.00238192,1.28863e-09,8.30685920177,0.44799,153.812071012,3.15646,153.812071012,10464.2007747,10464.2007747,12.0382
100,,7.04973e+10,0.01,255.503448677,576.433,200,1412.48,1.78570319848,16.78,0.00707182,0.8,2.4585e+06,-inf,0.00555559,1.98523e-09,4349685148.46,0.69016,153.812071012,35622.2,153.812071012,10464.2007747,19344.1084578,4.59803e-08
100,1,13169.7,0.005,131.098125786,507.588,200,496.5,1.35201188305,14.34,1.15433e-06,0.8,1623.29,408.318,0.00369165,6.11154e-10,7.61096910483,0.859445,131.098125786,9.44384,131.098125786,7169.91301111,7169.91301111,26.2779
100,2,,0.01,247.517211122,247.517,200,185.12,100.0,26.85,1.0,0.8,1.0,203.448,3.50449e-18,0.01,200.0,0.01,247.517211122,1.0,247.517211122,34615.5086133,34615.5086133,1.0
100,,4.00399e+09,0.005,211.859886754,154.652,300,834.067,2.23246159533,14.34,0.000616032,0.8,866306.0,-275.495,0.00222581,4.59305e-10,1.57441914826,0.645905,131.098125786,6706.14,131.098125786,7169.91301111,16476.5471148,190.546
100,1,3841.09,0.00333333,139.525111518,449.553,300,638.334,1.50921471696,15.25,2.2206e-18,0.8,1072.11,340.734,0.00220489,1.68243e-21,7.68808600452,0.81228,139.525111518,4.39959,139.525111518,10481.6088824,10481.6088824,39.0214
100,2,,0.01,276.090593063,276.091,300,76.7602,100.0,29.84,1.0,0.8,1.0,245.496,3.50449e-18,0.01,300.0,0.01,276.090593063,1.0,276.090593063,5951.65207781,5951.65207781,1.0
100,2,,0.005,255.602525406,265.847,300,82.6512,200.000000102,27.66,1.0,0.8,1.0,243.525,2.1793e-19,0.005,300.0,0.005,255.602525406,1.0,255.602525406,7636.78393395,7636.78393395,1.0
100,,6.99806e+32,0.00333333,304.939224392,493.376,400,1039.45,1.37477670316,15.25,0.00093274,0.8,4.50329e+17,-inf,0.0024216,1.73509e-21,nan,0.837707,139.525111518,1.79191e+15,139.525111518,10481.6088824,17304.0017559,nan
100,1,172.619,0.0025,156.699098321,386.354,400,800.036,5.9297196342,17.08,6.61966e-16,0.8,191.148,371.268,0.000416396,1.02812e-18,399.99866486,0.296879,156.699098321,1.60965,156.699098321,9604.99576179,9604.99576179,1.0
