MinNormIw,VarJ,VarRet,ESSRenyi,VarDiscRet,AvgNormIw,VanillaAvgRet,AvgDiscRet,IterType,MaxVanillaIw,MaxNormIw,AvgVanillaIw,BatchSize,MinVanillaIw,VarNormIw,AvgRet,ESSClassic,VarVanillaIw,AvgEpLen,eRenyi2,EpsThisIter,Delta,J,Bound
,,16229.5060828,9.31690212385e-10,16229.5060828,0.01,-347.682744923,-347.682744923,1,1.61921e-30,1.0,1.61921e-32,100,,0.01,-347.682744923,inf,,424.32,1.07332e+11,100,1.0,-90.8066,-90.8066
0.00232511,12.8535,50.3963747649,,50.3963747649,0.01,-58.2243121409,-58.2243121409,1,101.313,0.481723,2.10313,100,0.489,0.00232011,-58.2243121409,4.17204872157,102.622,85.44,inf,100,1.0,-53.8986,-53.8986
7.51066e-05,72.9892,50.3963747649,145.557760492,3791.35633477,0.01,-58.2243121409,-71.1387381965,,2.04499,0.0155608,1.31419,200,0.00987045,1.56785e-05,-58.2243121409,86.5638543442,0.270783,85.44,1.37402,100,1.0,-72.6992,-72.6992
0.000985645,20.303,53.8519382885,,53.8519382885,0.005,-59.1299996753,-59.1299996753,1,178.651,0.478918,1.86515,200,0.367675,0.00114917,-59.1299996753,4.279274546,159.908,86.77,inf,100,1.0,-54.2904,-54.2904
0.01,36.2719,1328.93804268,200.0,1328.93804268,0.01,-61.728682452,-61.728682452,2,1.0,0.01,1.0,200,1.0,3.50449e-18,-61.728682452,100.0,,89.48,1.0,100,1.0,-61.7287,-61.7287
1.746e-05,28.2481,53.8519382885,187.880439834,46.7815173934,0.005,-59.1299996753,-59.0728024209,,2.71979,0.00848369,1.60296,300,0.00559752,4.72467e-06,-59.1299996753,168.344202439,0.485595,86.77,1.59676,100,1.0,-60.4177,-60.4177
0.000941369,15.9254,2587.69094702,,2587.69094702,0.00333333,-66.3298690343,-66.3298690343,1,11.2221,0.034938,1.07067,300,0.302368,1.44647e-05,-66.3298690343,130.577646727,1.49232,95.2,inf,100,1.0,-59.083,-59.083
0.01,70.4874,5018.65454968,300.0,5018.65454968,0.01,-73.1324900688,-73.1324900688,2,1.0,0.01,1.0,300,1.0,3.50449e-18,-73.1324900688,100.0,,102.78,1.0,100,1.0,-73.1325,-73.1325
0.005,66.1856,3824.01007043,300.0,3824.01007043,0.005,-69.4358878455,-69.4358878455,2,1.0,0.005,1.0,300,1.0,2.1793e-19,-69.4358878455,200.000000102,,98.29,1.0,100,1.0,-71.2842,-71.2842
0.000203406,41.987,2587.69094702,270.84519823,50.4865190152,0.00333333,-66.3298690343,-59.8330077864,,3.30723,0.0075492,1.4603,400,0.0891099,2.88092e-06,-66.3298690343,238.394373373,0.552914,95.2,1.47686,100,1.0,-64.4097,-64.4097
1.60556e-07,26.3973,1333.66225508,,1333.66225508,0.0025,-63.2040550327,-63.2040550327,1,66.6367,0.141722,1.17549,400,7.54924e-05,8.30702e-05,-63.2040550327,28.0544197082,18.3654,91.66,inf,100,1.0,-58.0964,-58.0964
0.01,50.5312,2579.19614331,400.0,2579.19614331,0.01,-67.5891121103,-67.5891121103,2,1.0,0.01,1.0,400,1.0,3.50449e-18,-67.5891121103,100.0,,97.34,1.0,100,1.0,-67.5891,-67.5891
0.005,44.104,1340.3080876,400.0,1340.3080876,0.005,-63.1139680144,-63.1139680144,2,1.0,0.005,1.0,400,1.0,2.1793e-19,-63.1139680144,200.000000102,,91.65,1.0,100,1.0,-65.3515,-65.3515
0.00333333,36.4523,74.1584364836,400.0,74.1584364836,0.00333333,-59.5327526267,-59.5327526267,2,1.0,0.00333333,1.0,400,1.0,5.43914e-20,-59.5327526267,299.999969474,,87.84,1.0,100,1.0,-63.4119,-63.4119
8.2944e-07,53.721,1333.66225508,2.08902332613,1329.80987396,0.0025,-63.2040550327,-61.5301115835,,13246.4,0.732141,45.2316,500,0.0150067,0.00137009,-63.2040550327,1.82094314006,448491.0,91.66,239.346,100,1.0,-55.1985,-55.1985
1.78373e-07,24.8881,33.1557970117,,33.1557970117,0.002,-58.7164218716,-58.7164218716,1,59.6523,0.105595,1.12983,500,0.000100766,3.82524e-05,-58.7164218716,47.4204414097,12.2075,86.45,inf,100,1.0,-58.48,-58.48
0.01,7.15108,51.6544863417,500.0,51.6544863417,0.01,-58.7922410607,-58.7922410607,2,1.0,0.01,1.0,500,1.0,3.50449e-18,-58.7922410607,100.0,,86.31,1.0,100,1.0,-58.7922,-58.7922
0.005,6.73709,40.0194855312,500.0,40.0194855312,0.005,-58.5939079234,-58.5939079234,2,1.0,0.005,1.0,500,1.0,2.1793e-19,-58.5939079234,200.000000102,,85.93,1.0,100,1.0,-58.6931,-58.6931
0.00333333,36.3089,3797.9924085,500.0,3797.9924085,0.00333333,-71.1963165087,-71.1963165087,2,1.0,0.00333333,1.0,500,1.0,5.43914e-20,-71.1963165087,299.999969474,,101.26,1.0,100,1.0,-62.8608,-62.8608
0.0025,44.0228,3782.56639078,500.0,3782.56639078,0.0025,-71.2100392422,-71.2100392422,2,1.0,0.0025,1.0,500,1.0,5.4346e-20,-71.2100392422,400.0,,101.2,1.0,100,1.0,-64.9481,-64.9481
0.00115405,28.7069,42.2227599742,,42.2227599742,0.002,-58.7151740111,-58.7151740111,1,11.3825,0.0228275,0.997265,500,0.575446,2.26749e-06,-58.7151740111,319.337946938,0.563777,85.97,inf,100,1.0,-62.3172,-62.3172
0.01,70.4678,5015.87332321,500.0,5015.87332321,0.01,-73.6793552718,-73.6793552718,2,1.0,0.01,1.0,500,1.0,3.50449e-18,-73.6793552718,100.0,,103.65,1.0,100,1.0,-73.6794,-73.6794
0.005,50.6009,50.2582511171,500.0,50.2582511171,0.005,-59.1588575414,-59.1588575414,2,1.0,0.005,1.0,500,1.0,2.1793e-19,-59.1588575414,200.000000102,,87.32,1.0,100,1.0,-66.4191,-66.4191
0.00333333,46.2917,1317.0249379,500.0,1317.0249379,0.00333333,-63.9610427445,-63.9610427445,2,1.0,0.00333333,1.0,500,1.0,5.43914e-20,-63.9610427445,299.999969474,,92.93,1.0,100,1.0,-65.5997,-65.5997
0.0025,40.3563,61.163255813,500.0,61.163255813,0.0025,-59.8040613483,-59.8040613483,2,1.0,0.0025,1.0,500,1.0,5.4346e-20,-59.8040613483,400.0,,87.85,1.0,100,1.0,-64.1508,-64.1508
2.4895e-06,20.5943,3793.00875665,1.07654132331e-09,3793.00875665,0.002,-70.4615376338,-70.4615376338,1,24.7704,0.049108,1.00881,500,0.00125572,1.06999e-05,-70.4615376338,136.253938819,2.72231,100.1,4.6445e+11,100,1.0,-61.017,-61.017
0.01,61.7272,3848.73991527,500.0,3848.73991527,0.01,-68.2395143151,-68.2395143151,2,1.0,0.01,1.0,500,1.0,3.50449e-18,-68.2395143151,100.0,,96.56,1.0,100,1.0,-68.2395,-68.2395
0.005,50.6822,1326.69507316,500.0,1326.69507316,0.005,-63.007713507,-63.007713507,2,1.0,0.005,1.0,500,1.0,2.1793e-19,-63.007713507,200.000000102,,91.87,1.0,100,1.0,-65.6236,-65.6236
0.00333333,41.7257,65.1836696773,500.0,65.1836696773,0.00333333,-59.9840372851,-59.9840372851,2,1.0,0.00333333,1.0,500,1.0,5.43914e-20,-59.9840372851,299.999969474,,88.09,1.0,100,1.0,-63.7438,-63.7438
0.0025,40.4893,1346.72293898,500.0,1346.72293898,0.0025,-62.4984389618,-62.4984389618,2,1.0,0.0025,1.0,500,1.0,5.4346e-20,-62.4984389618,400.0,,90.58,1.0,100,1.0,-63.4324,-63.4324
,0.034633,1332.65372029,0.00915121416236,1332.65372029,0.002,-63.0236285952,-63.0236285952,1,0.0326987,0.999879,6.54053e-05,500,,0.00199951,-63.0236285952,1.00024222525,2.13841e-06,91.69,54637.6,100,1.0,-52.102,-52.102
0.01,61.1442,3776.37294935,500.0,3776.37294935,0.01,-72.4781785287,-72.4781785287,2,1.0,0.01,1.0,500,1.0,3.50449e-18,-72.4781785287,100.0,,103.57,1.0,100,1.0,-72.4782,-72.4782
0.005,61.1189,3769.88927207,500.0,3769.88927207,0.005,-71.7716756932,-71.7716756932,2,1.0,0.005,1.0,500,1.0,2.1793e-19,-71.7716756932,200.000000102,,102.68,1.0,100,1.0,-72.1249,-72.1249
0.00333333,57.758,2556.0400654,500.0,2556.0400654,0.00333333,-69.0199017054,-69.0199017054,2,1.0,0.00333333,1.0,500,1.0,5.43914e-20,-69.0199017054,299.999969474,,99.9,1.0,100,1.0,-71.0899,-71.0899
0.0025,53.2592,1324.87048668,500.0,1324.87048668,0.0025,-65.1361554268,-65.1361554268,2,1.0,0.0025,1.0,500,1.0,5.4346e-20,-65.1361554268,400.0,,94.77,1.0,100,1.0,-69.6015,-69.6015
0.000872773,45.2107,2565.38591123,,2565.38591123,0.002,-67.8857155505,-67.8857155505,1,18.5704,0.035934,1.03359,500,0.451043,4.10308e-06,-67.8857155505,247.069894543,1.09583,97.75,inf,100,1.0,-67.1774,-67.1774
0.01,36.1104,1317.13179837,500.0,1317.13179837,0.01,-64.8393390575,-64.8393390575,2,1.0,0.01,1.0,500,1.0,3.50449e-18,-64.8393390575,100.0,,94.36,1.0,100,1.0,-64.8393,-64.8393
0.005,36.188,1328.43583206,500.0,1328.43583206,0.005,-65.0907907468,-65.0907907468,2,1.0,0.005,1.0,500,1.0,2.1793e-19,-65.0907907468,200.000000102,,94.74,1.0,100,1.0,-64.9651,-64.9651
0.00333333,36.2077,1324.54277091,500.0,1324.54277091,0.00333333,-66.9237708965,-66.9237708965,2,1.0,0.00333333,1.0,500,1.0,5.43914e-20,-66.9237708965,299.999969474,,98.1,1.0,100,1.0,-65.618,-65.618
0.0025,40.2122,2556.6517361,500.0,2556.6517361,0.0025,-67.9230658737,-67.9230658737,2,1.0,0.0025,1.0,500,1.0,5.4346e-20,-67.9230658737,400.0,,97.78,1.0,100,1.0,-66.1942,-66.1942
0.000655256,26.638,64.8386530996,,64.8386530996,0.002,-61.7644124085,-61.7644124085,1,13.241,0.0314248,0.84271,500,0.276095,8.7711e-06,-61.7644124085,156.818996622,1.55722,91.2,inf,100,1.0,-63.8359,-63.8359
0.01,36.1014,1316.47716253,500.0,1316.47716253,0.01,-64.0611347452,-64.0611347452,2,1.0,0.01,1.0,500,1.0,3.50449e-18,-64.0611347452,100.0,,93.24,1.0,100,1.0,-64.0611,-64.0611
