VarVanillaIw,IterType,MinVanillaIw,EpsThisIter,AvgEpLen,J,Delta,AvgDiscRet,MinNormIw,ESSRenyi,VarJ,MaxNormIw,VarRet,Bound,VarNormIw,AvgVanillaIw,VanillaAvgRet,BatchSize,MaxVanillaIw,AvgRet,eRenyi2,VarDiscRet,ESSClassic,AvgNormIw
3.3938007,1,2.1388505e-05,100,13.51,265.27557,0.5,125.02885165204749,1.6879942e-07,30.45381683770708,348.10025,0.06814604,19627.149800525836,122.144165,0.00021138172,1.2670959,125.02885165204749,100,8.634757,125.02885165204749,3.2836607,19627.149800525836,32.33442376158109,0.01
16.602259,1,1.8175322e-06,100,22.85,517.4879,0.5,218.38818676455196,1.4413285e-08,14.36838696160308,1064.2048,0.27986187,41544.16440766483,282.73627,0.0010440685,1.2610117,218.38818676455196,100,35.29091,218.38818676455196,6.9597235,41544.16440766483,8.82123853057828,0.010000002
69.51531,1,1.5905258e-13,100,57.32,3982.844,0.5,563.3044229748797,9.48485e-16,7.475879114991363,5436.8047,0.43125618,721627.1701659231,2154.1636,0.0024720654,1.676912,563.3044229748797,100,72.31786,563.3044229748797,13.376353,721627.1701659231,3.925656237787249,0.01
6.8229635e+23,,0.013827842,100,57.32,3203.3572,0.5,2027.3452063621717,1.1810067e-15,nan,13643.032,0.5369789,721627.1701659231,-inf,0.004977014,117085210000.0,563.3044229748797,200,6287229000000.0,563.3044229748797,nan,3198748.9277548236,1.989160950646762,0.01
76.06368,1,,100,54.78,3965.2793,0.5,537.7910629457531,,9.784385867835917,5894.5425,0.26946816,601713.739267244,2366.8179,0.00065869855,1.6990858,537.7910629457531,200,91.56991,537.7910629457531,20.440731,601713.739267244,7.348563969877256,0.005
,2,1.0,100,272.08,2713.9343,0.5,2713.934451734225,0.01,200.0,1897.642,0.01,3637419.431720244,2213.9343,3.5044917e-18,1.0,2713.934451734225,200,1.0,2713.934451734225,1.0,3637419.431720244,100.0,0.009999998
4.2930346,1,9.606549e-27,100,294.91,4801.9805,0.5,2943.2458188183496,4.8470472e-29,40.00672262623476,724.5296,0.06564824,4004074.3372694277,4011.4775,0.00010929092,0.99096924,2943.2458188183496,200,13.011078,2943.2458188183496,4.99916,4004074.3372694277,37.38472498729619,0.005
,2,1.0,100,481.2,4811.075,0.5,4811.075155926686,0.01,200.0,797.1088,0.01,641800.5145598416,4311.075,3.5044917e-18,1.0,4811.075155926686,200,1.0,4811.075155926686,1.0,641800.5145598416,100.0,0.009999998
0.32998317,1,0.01722424,100,466.68,4962.62,0.5,4665.482520193168,8.976113e-05,155.99647006393104,175.38043,0.01081014,1054448.6624900084,4562.2954,8.961657e-06,0.95944864,4665.482520193168,200,2.0743546,4665.482520193168,1.2820803,1054448.6624900084,147.41935872609545,0.005
,2,1.0,100,488.31,4882.507,0.5,4882.506778710121,0.01,200.0,603.4811,0.01,367868.17403696984,4382.507,3.5044917e-18,1.0,4882.506778710121,200,1.0,4882.506778710121,1.0,367868.17403696984,100.0,0.009999998
0.13504088,1,0.02334902,100,490.4,4977.6875,0.5,4903.264110184849,0.000115297786,177.96396024274577,125.75348,0.008129774,223776.76760346387,4602.884,3.292834e-06,1.0125529,4903.264110184849,200,1.6463652,4903.264110184849,1.123823,223776.76760346387,176.82610348856076,0.0049999994
,2,1.0,100,496.83,4967.8633,0.5,4967.863402997182,0.01,200.0,261.19,0.01,68909.30068929523,4467.8633,3.5044917e-18,1.0,4967.863402997182,200,1.0,4967.863402997182,1.0,68909.30068929523,100.0,0.009999998
0.018027138,1,0.5181098,100,500.0,4990.913,0.5,4999.828214051602,0.002604462,196.7482369171495,99.29436,0.006093956,0.035898192029773665,4634.45,4.5553227e-07,0.99465805,4999.828214051602,200,1.2122805,4999.828214051602,1.0165275,0.035898192029773665,196.43851102566575,0.005
