Delta,ESSRenyi,AvgRet,J,VanillaAvgRet,ESSClassic,VarDiscRet,VarJ,VarRet,VarVanillaIw,AvgNormIw,VarNormIw,AvgEpLen,MaxNormIw,AvgDiscRet,BatchSize,Bound,IterType,eRenyi2,AvgVanillaIw,MinVanillaIw,EpsThisIter,MaxVanillaIw,MinNormIw
0.3,40.24642769275528,-2329.9978008527473,-144.1951,-2329.9978008527473,36.155809859229755,5156160.471291107,352.22296,5156160.471291107,1.1397346,0.01,0.00017836435,200.0,0.04365393,-2329.9978008527473,100,-1530.7867,1,2.4846926,0.79937,1.0029572e-07,100,3.4895642,1.2546847e-09
0.3,92.00137399818117,-165.87596409283478,-30.774996,-165.87596409283478,90.48815069123093,490827.30011724134,110.98259,490827.30011724134,0.09963595,0.01,1.0617884e-05,200.0,0.013253447,-165.87596409283478,100,-683.812,1,1.0869403,0.9686995,0.023300406,100,1.2838607,0.00024053286
0.3,63.7091500761219,-10.003275432392002,-7.626127,-10.003275432392002,65.07565576751495,93.66217015926449,9.7925625,93.66217015926449,0.6022117,0.009999999,5.4209402e-05,200.0,0.019815927,-10.003275432392002,100,-13.808872,1,1.5696332,1.0539919,7.324323e-07,100,2.0885828,6.949126e-09
0.3,80.69729414302087,-9.516749218296434,-8.336225,-9.516749218296434,79.33950901194346,66.95332864293721,8.4043665,66.95332864293721,0.25478694,0.010000002,2.630363e-05,200.0,0.015879896,-9.516749218296434,100,-13.0145,1,1.2391989,0.98419404,0.009676612,100,1.5628898,9.832017e-05
0.3,96.19554030442053,-8.819378092458747,-8.631247,-8.819378092458747,96.45035677760305,57.235984554002655,7.378657,57.235984554002655,0.037890866,0.009999999,3.7174673e-06,200.0,0.011794444,-8.819378092458747,100,-12.56798,1,1.0395492,1.0095868,0.42249396,100,1.1907516,0.00418482
0.3,91.9819645958701,-7.921541189761895,-7.5576973,-7.921541189761895,88.91260402581102,47.3215429779369,6.6728272,47.3215429779369,0.14768663,0.010000002,1.2595929e-05,200.0,0.027660966,-7.921541189761895,100,-11.316385,1,1.0871696,1.0828182,0.84522426,100,2.9951797,0.0078057824
0.3,94.4664658780392,-8.762507395887353,-8.585884,-8.762507395887353,91.3738067487191,53.607430765373536,7.4837303,53.607430765373536,0.094688244,0.009999998,9.53593e-06,200.0,0.033803888,-8.762507395887353,100,-12.59137,1,1.0585767,0.99647516,0.8674851,100,3.3684735,0.008705537
0.3,95.96054600658954,-7.750364229928334,-7.5873446,-7.750364229928334,95.3248102433045,60.937132493341366,7.565063,60.937132493341366,0.048462212,0.010000002,4.9540076e-06,200.0,0.02215422,-7.750364229928334,100,-12.021586,1,1.042095,0.98906153,0.7672066,100,2.1911886,0.007756915
0.3,95.6253545222909,-7.230539773640744,-6.926771,-7.230539773640744,94.78592779635586,47.469928995928186,6.640626,47.469928995928186,0.052674916,0.01,5.5564556e-06,200.0,0.012430471,-7.230539773640744,100,-11.404268,1,1.0457478,0.9736503,0.19281498,100,1.2102932,0.001980331
0.3,89.64026808918068,-7.609664779766742,-7.220439,-7.609664779766742,86.13908230172689,52.638021643239945,7.4767494,52.638021643239945,0.15040454,0.01,1.6253845e-05,200.0,0.013986925,-7.609664779766742,100,-11.24998,1,1.1155701,0.96194977,0.10895917,100,1.3454719,0.0011326908
0.3,99.37468851408767,-7.3377999321558445,-7.316952,-7.3377999321558445,99.22715533211607,44.45252365770655,6.626455,44.45252365770655,0.008031763,0.01,7.8671064e-07,200.0,0.01342084,-7.3377999321558445,100,-10.699879,1,1.0062925,1.0104107,0.93518656,100,1.356056,0.00925551
0.3,99.30316439010814,-6.520100639735062,-6.495801,-6.520100639735062,99.27358000615638,42.41425031497966,6.4893184,42.41425031497966,0.0074784528,0.01,7.3912986e-07,200.0,0.013558076,-6.520100639735062,100,-10.084291,1,1.0070173,1.0058786,0.943864,100,1.3637778,0.009383479
