Bound,SamplesThisIter,AvgDiscRet,VarJ,VarNormIw,VanillaAvgRet,AvgRet,AvgEpLen,VarVanillaIw,VarRet,BatchSize,AvgVanillaIw,delta,MaxVanillaIw,MinNormIw,J,IterType,AvgNormIw,VarDiscRet,renyi2,MaxNormIw,EpsThisIter,ESSClassic,ESSRenyi,MinVanillaIw
nan,50000,-367.912270879,nan,4.54744e-06,-367.912270879,-367.912270879,450.45045045,inf,8912.64006365,100,1.49957e+20,0.6,2.72368e+23,,nan,1,5.00501e-05,8912.64006365,nan,0.0909062,111,10.9999987096,nan,
nan,50000,-361.292813118,nan,2.38776e-06,-361.292813118,-361.292813118,450.45045045,inf,8618.7932484,100,8.30787e+15,0.6,1.02647e+19,,nan,1,5.005e-05,8618.7932484,nan,0.061839,111,9.68924037676,nan,
-261.273,50000,-363.551899734,1443.97,8.07245e-07,-363.551899734,-363.551899734,454.545454545,6.9101e+06,7461.68040876,100,147.766,0.6,105637.0,,-40028.1,1,5.05051e-05,7461.68040876,nan,0.0361058,110,8.14024070008,nan,
-428.809,50000,-399.669101894,309.745,9.45252e-10,-399.669101894,-399.669101894,500.0,0.329965,295.096646883,100,1.03798,0.6,3.81091,6.88225e-07,-70667.0,1,5.55556e-05,295.096646883,nan,0.000203971,100,1.13622947714,nan,0.0128585
-442.024,50000,-408.863935619,126.373,1.22802e-10,-408.863935619,-408.863935619,500.0,0.0386625,58.2210779417,100,0.985756,0.6,1.71009,1.11766e-06,-73383.5,1,5.55556e-05,58.2210779417,nan,9.63779e-05,100,0.752130486887,nan,0.0198314
-161.598,50000,-332.800798794,1479.2,7.20199e-07,-332.800798794,-332.800798794,409.836065574,8.08077e+07,17325.1220402,100,482.356,0.6,248313.0,,-24945.8,1,4.55373e-05,17325.1220402,nan,0.0234423,122,10.5605386769,nan,
-147.583,50000,-314.265714817,1628.05,2.98068e-06,-314.265714817,-314.265714817,409.836065574,1.85269e+12,16017.7388157,100,35901.3,0.6,5.96697e+07,,-23270.3,1,4.55373e-05,16017.7388157,nan,0.0756852,122,10.5969659366,nan,
nan,50000,-301.217800793,nan,1.90327e-08,-301.217800793,-301.217800793,375.939849624,260.378,23136.5998371,100,4.88571,0.6,330.131,,nan,1,4.17711e-05,23136.5998371,nan,0.0028225,133,2.37538146625,nan,
nan,50000,-257.1879265,nan,8.79331e-09,-257.1879265,-257.1879265,328.947368421,99.9433,24040.0537669,100,3.89659,0.6,172.616,,nan,1,3.65497e-05,24040.0537669,nan,0.00161913,152,1.70565568516,nan,
-177.757,50000,-330.659287844,1637.75,4.75546e-08,-330.659287844,-330.659287844,409.836065574,11365.9,16440.2543329,100,22.2625,0.6,2136.68,,-26635.6,1,4.55373e-05,16440.2543329,nan,0.00437052,122,3.15122154845,nan,
nan,50000,-305.742435022,nan,5.25649e-08,-305.742435022,-305.742435022,381.679389313,2692.34,21357.8565858,100,9.59783,0.6,1661.81,,nan,1,4.24088e-05,21357.8565858,nan,0.00734286,131,7.06964691415,nan,
-150.554,50000,-329.304080534,1629.21,2.0914e-06,-329.304080534,-329.304080534,406.504065041,3.92176e+13,17761.6165593,100,195589.0,0.6,2.2684e+08,,-23174.9,1,4.51671e-05,17761.6165593,nan,0.0523839,123,21.4843639058,nan,
