ESSRenyi,MaxNormIw,VarNormIw,renyi2,MinNormIw,ESSClassic,AvgRet,VarDiscRet,VarJ,MinVanillaIw,AvgDiscRet,VarVanillaIw,J,VarRet,Bound,delta,VanillaAvgRet,MaxVanillaIw,AvgNormIw,AvgVanillaIw,SamplesThisIter,EpsThisIter,AvgEpLen,BatchSize,IterType
nan,0.000413184,2.92989e-09,nan,2.72123e-12,0.702474940849,-371.919417352,9844.44025051,2685.0,6.06256e-08,-371.919417352,1.45423,-55934.1,9844.44025051,-444.085,0.1,-371.919417352,9.20523,5.09684e-05,1.13551,50000,109,458.71559633,100,1
nan,0.000394467,3.28344e-09,nan,1.49346e-09,0.603678478131,-372.980765405,10119.9219262,2791.19,3.37054e-05,-372.980765405,1.6724,-55349.7,10119.9219262,-442.86,0.1,-372.980765405,8.90257,5.09684e-05,1.15029,50000,109,458.71559633,100,1
nan,0.000356555,2.58016e-09,nan,4.83908e-09,0.656438920024,-371.309536794,9349.18165858,2588.35,0.000108818,-371.309536794,1.30473,-56739.2,9349.18165858,-446.876,0.1,-371.309536794,8.01793,5.09684e-05,1.14614,50000,109,458.71559633,100,1
nan,0.00097791,1.15498e-08,nan,1.93998e-22,0.740843572665,-361.435533582,13060.2589242,2281.5,6.75949e-18,-361.435533582,14.022,-45433.2,13060.2589242,-399.353,0.1,-361.435533582,34.0735,4.96032e-05,1.72833,50000,112,446.428571429,100,1
nan,0.000245717,5.22383e-10,nan,5.07577e-06,0.651086015628,-390.805717205,4684.44501988,2118.96,0.0967772,-390.805717205,0.189902,-67064.4,4684.44501988,-497.097,0.1,-390.805717205,4.68496,5.34188e-05,1.01851,50000,104,480.769230769,100,1
14.5515828366,0.000215408,1.21059e-10,1.92747,3.43512e-05,0.593924022737,-404.476651186,1182.20503486,1138.19,0.615057,-404.476651186,0.0388101,-71964.8,1182.20503486,-523.838,0.1,-404.476651186,3.85686,5.50055e-05,0.984871,50000,101,495.04950495,100,1
nan,0.000558519,7.08022e-09,nan,7.47692e-11,0.548118853944,-357.196148787,12729.2018991,2460.15,2.23548e-06,-357.196148787,6.3291,-48042.6,12729.2018991,-402.404,0.1,-357.196148787,16.6988,4.96032e-05,1.48305,50000,112,446.428571429,100,1
nan,0.000444498,3.37482e-09,nan,3.16177e-08,0.638283993429,-371.628609566,10129.717906,2838.88,0.000731731,-371.628609566,1.80756,-55005.0,10129.717906,-440.419,0.1,-371.628609566,10.2871,5.09684e-05,1.17957,50000,109,458.71559633,100,1
nan,0.000327483,1.75503e-09,nan,3.91846e-07,0.622447430088,-378.031446284,8691.2073574,2766.29,0.00819459,-378.031446284,0.767557,-59796.1,8691.2073574,-460.558,0.1,-378.031446284,6.84858,5.19211e-05,1.08582,50000,107,467.289719626,100,1
nan,0.00028449,7.03158e-10,nan,3.12744e-06,0.800228204459,-383.553118794,6691.45980657,2091.27,0.061048,-383.553118794,0.267928,-65226.4,6691.45980657,-475.914,0.1,-383.553118794,5.55326,5.24109e-05,1.02307,50000,106,471.698113208,100,1
nan,0.00041736,3.03461e-09,nan,2.59854e-07,0.638421501946,-374.519552686,10093.654544,2764.87,0.00583668,-374.519552686,1.531,-56158.7,10093.654544,-443.866,0.1,-374.519552686,9.37448,5.09684e-05,1.14482,50000,109,458.71559633,100,1
4.12510714273,0.000221615,4.7485e-10,3.18808,1.325e-05,0.649636630546,-390.109492232,4013.19091938,1765.42,0.245261,-390.109492232,0.162698,-67078.2,4013.19091938,-495.67,0.1,-390.109492232,4.10216,5.34188e-05,0.988797,50000,104,480.769230769,100,1
