MaxNormIw,renyi2,VarJ,VarVanillaIw,SamplesThisIter,VarRet,ESSRenyi,VanillaAvgRet,BatchSize,EpsThisIter,J,AvgDiscRet,AvgNormIw,AvgEpLen,MinNormIw,ESSClassic,MinVanillaIw,AvgVanillaIw,VarDiscRet,delta,VarNormIw,AvgRet,IterType,MaxVanillaIw,Bound
0.0451331,nan,7728.2,inf,50000,2459.0183759,nan,44.7819042874,100,9124,41765.9,44.7819042874,6.08895e-07,5.48005260851,,21.9990500912,,4.06091e+15,2459.0183759,0.4,2.72878e-08,44.7819042874,1,3.01007e+20,339.775
0.0887513,nan,24879.6,3.55236e+30,50000,5521.44591949,nan,51.7706088449,100,8092,75981.4,51.7706088449,6.86549e-07,6.1789421651,,9.8505483944,,5.5227e+12,5521.44591949,0.4,5.48984e-08,51.7706088449,1,7.13928e+17,656.943
0.0785344,nan,4884.77,inf,50000,9117.57804199,nan,66.0956451332,100,6570,124749.0,66.0956451332,8.45594e-07,7.6103500761,,11.9573017537,,3.24585e+21,9117.57804199,0.4,6.28069e-08,66.0956451332,1,3.01458e+26,859.617
0.0833333,nan,17058.9,inf,50000,6308.15295595,nan,56.8920030889,100,7474,67698.7,56.8920030889,7.43318e-07,6.68985817501,,11.99999685,,2.25398e+16,6308.15295595,0.4,6.19427e-08,56.8920030889,1,2.52694e+21,525.914
0.0480781,nan,12155.6,1.32792e+26,50000,4756.51754429,nan,57.907327819,100,7362,54410.2,57.907327819,7.54626e-07,6.7916327085,,10.4862777506,,5.57343e+10,4756.51754429,0.4,2.43439e-08,57.907327819,1,3.5509e+15,377.125
0.082629,nan,15917.2,5.37892e+17,50000,16437.9708617,nan,77.3144807774,100,5726,100369.0,77.3144807774,9.70233e-07,8.73209919665,,11.9998672477,,2.52384e+06,16437.9708617,0.4,7.94919e-08,77.3144807774,1,2.14941e+11,897.691
0.0868319,nan,13053.3,1.80072e+17,50000,84872.9464789,nan,198.332285846,100,2400,239012.0,198.332285846,2.31482e-06,20.8333333333,,10.0000010445,,2.33939e+06,84872.9464789,0.4,1.76308e-07,198.332285846,1,8.77537e+10,1175.94
0.083332,nan,13496.1,inf,50000,157999.527835,nan,384.954052277,100,1266,318293.0,384.954052277,4.38827e-06,39.4944707741,,11.9999960213,,1.38425e+20,157999.527835,0.4,3.6566e-07,384.954052277,1,2.62865e+24,1518.86
0.020049,nan,8336.66,7.86406e+06,50000,227288.909713,nan,525.357327652,100,934,261334.0,525.357327652,5.94813e-06,53.5331905782,,8.71422152952,,82.1562,227288.909713,0.4,4.12218e-08,525.357327652,1,276919.0,1360.02
0.0776204,nan,23369.3,6.53484e+31,50000,169819.008512,nan,381.256991095,100,1278,328993.0,381.256991095,4.34707e-06,39.1236306729,,11.9745224785,,6.26181e+13,169819.008512,0.4,3.14941e-07,381.256991095,1,1.1181e+18,1796.56
0.0873322,nan,26431.5,inf,50000,818180.677228,nan,791.542401448,100,624,670507.0,791.542401448,8.90313e-06,80.1282051282,,9.79395141962,,4.02134e+19,818180.677228,0.4,6.93248e-07,791.542401448,1,3.94459e+23,3073.52
0.0756724,nan,nan,1.28935e+23,50000,220544.97819,nan,455.592722167,100,1074,nan,455.592722167,5.17277e-06,46.5549348231,,11.8785083442,,3.09973e+09,220544.97819,0.4,3.59062e-07,455.592722167,1,4.5346e+13,nan
0.083333,nan,14152.5,6.84507e+26,50000,281169.804814,nan,426.329537823,100,1146,326900.0,426.329537823,4.84778e-06,43.630017452,,12.0000004428,,1.99556e+11,281169.804814,0.4,4.03956e-07,426.329537823,1,3.43035e+15,1837.88
0.0833304,nan,17980.6,inf,50000,452085.380149,nan,538.197601063,100,912,514956.0,538.197601063,6.09162e-06,54.8245614035,,11.9999984344,,1.21005e+20,452085.380149,0.4,5.07566e-07,538.197601063,1,1.6553e+24,2442.92
0.0809494,nan,20273.3,2.87002e+20,50000,1119733.70207,nan,818.145619451,100,604,718929.0,818.145619451,9.19794e-06,82.7814569536,,11.9975599621,,1.83205e+08,1119733.70207,0.4,7.23424e-07,818.145619451,1,1.61235e+12,3520.58
0.0352641,nan,33201.4,3.27286e+12,50000,1876205.16094,nan,933.959317187,100,530,643816.0,933.959317187,1.04822e-05,94.3396226415,,23.9387049299,,33860.0,1876205.16094,0.4,3.13658e-07,933.959317187,1,1.13912e+08,3951.77
0.0831011,nan,21189.4,2.8532e+20,50000,1347231.54634,nan,802.168382125,100,616,685600.0,802.168382125,9.01876e-06,81.1688311688,,12.0442171859,,1.76223e+08,1347231.54634,0.4,7.47309e-07,802.168382125,1,1.62376e+12,3693.7
0.0090579,nan,11166.3,17970.1,50000,584059.991712,nan,820.685943863,100,602,379997.0,820.685943863,9.2285e-06,83.0564784053,,13.5354586667,,11.1016,584059.991712,0.4,1.24176e-08,820.685943863,1,10896.4,1890.83
0.1,nan,22334.6,5.40379e+23,50000,1302098.1248,nan,1091.9302318,100,454,732536.0,1091.9302318,1.22369e-05,110.13215859,,10.0000000745,,8.13222e+09,1302098.1248,0.4,1.22355e-06,1091.9302318,1,6.64565e+13,3629.75
0.0445737,nan,nan,9.07569e+12,50000,1560289.76407,nan,843.954409091,100,586,nan,843.954409091,9.48047e-06,85.3242320819,,11.6308459812,,58295.6,1560289.76407,0.4,2.40031e-07,843.954409091,1,2.74085e+08,nan
0.00298835,nan,nan,805896.0,50000,2342494.05083,nan,1293.19231569,100,384,nan,1293.19231569,1.44676e-05,130.208333333,,6.25647622607,,96.7314,2342494.05083,0.4,1.80275e-08,1293.19231569,1,19980.3,nan
0.0578283,nan,30331.0,5.43952e+09,50000,2070749.92022,nan,1137.46199049,100,436,687729.0,1137.46199049,1.27421e-05,114.678899083,,11.519270013,,1287.68,2070749.92022,0.4,5.32634e-07,1137.46199049,1,5.84395e+06,3701.14
0.00886081,nan,21733.9,4.0596e+07,50000,1708488.75628,nan,1180.93330573,100,420,692357.0,1180.93330573,1.32275e-05,119.047619048,,13.7332797615,,422.294,1708488.75628,0.4,3.983e-08,1180.93330573,1,282885.0,3745.35
0.00500776,nan,22882.2,349164.0,50000,2310414.36861,nan,1395.69412733,100,356,768824.0,1395.69412733,1.56055e-05,140.449438202,,12.3581142073,,65.1829,2310414.36861,0.4,2.00132e-08,1395.69412733,1,20917.0,3949.04
0.00998621,nan,27914.0,3.34846e+07,50000,1510571.00663,nan,1320.32725552,100,376,574042.0,1320.32725552,1.47754e-05,132.978723404,,4.3368183166,,385.252,1510571.00663,0.4,4.92532e-08,1320.32725552,1,260379.0,3406.55
0.0833333,nan,17925.0,inf,50000,1406337.67224,nan,1714.86401253,100,290,739420.0,1714.86401253,1.91571e-05,172.413793103,,11.9999968443,,1.10318e+22,1406337.67224,0.4,1.59609e-06,1714.86401253,1,4.79881e+25,3339.87
0.054098,nan,26284.3,1.69432e+10,50000,1367597.73764,nan,1106.50744098,100,448,671101.0,1106.50744098,1.24008e-05,111.607142857,,9.22606857297,,2573.74,1367597.73764,0.4,3.93336e-07,1106.50744098,1,1.12279e+07,3164.13
0.0832768,nan,23946.2,3.67112e+17,50000,1417285.95409,nan,1068.26018455,100,464,688643.0,1068.26018455,1.19732e-05,107.75862069,,12.000001369,,7.26805e+06,1417285.95409,0.4,9.9628e-07,1068.26018455,1,5.05513e+10,3693.69
0.00603983,nan,25319.5,3.12402e+07,50000,1578926.36551,nan,1292.66121582,100,384,679360.0,1292.66121582,1.44676e-05,130.208333333,,2.36567625827,,442.322,1578926.36551,0.4,3.34217e-08,1292.66121582,1,184658.0,3512.21
0.00613029,nan,nan,53097.5,50000,1656624.81509,nan,1603.5146965,100,310,nan,1603.5146965,1.79211e-05,161.290322581,,3.63443615179,,26.4723,1656624.81509,0.4,2.43345e-08,1603.5146965,1,9055.38,nan
0.000909814,nan,14697.0,723.336,50000,2639248.15869,nan,2492.74325333,100,200,794130.0,2492.74325333,2.77778e-05,250.0,,3.24385698235,,8.43399,2639248.15869,0.4,7.84638e-09,2492.74325333,1,276.241,4070.35
0.0165104,nan,15788.3,10084.0,50000,2665192.32175,nan,2306.81434136,100,216,781354.0,2306.81434136,2.57202e-05,231.481481481,,9.67551026342,,9.33265,2665192.32175,0.4,7.65896e-08,2306.81434136,1,5990.85,3923.38
0.00548122,nan,18731.9,4268.76,50000,3124664.88447,nan,1857.32698637,100,268,744112.0,1857.32698637,2.07297e-05,186.567164179,,7.47837072775,,11.2,3124664.88447,0.4,1.46234e-08,1857.32698637,1,2961.45,4062.65
0.0473227,nan,14332.3,373179.0,50000,2602189.45165,nan,2396.04212362,100,208,800005.0,2396.04212362,2.67094e-05,240.384615385,,12.0000862681,,19.2471,2602189.45165,0.4,7.18643e-07,2396.04212362,1,34101.3,3984.21
0.000587945,nan,12901.1,60.0576,50000,2744508.38585,nan,2968.7321422,100,168,788997.0,2968.7321422,3.30688e-05,297.619047619,,2.73160138964,,3.24474,2744508.38585,0.4,6.23801e-09,2968.7321422,1,57.6896,3976.81
0.00404783,nan,15232.5,884.558,50000,1912219.87599,nan,1870.06124585,100,266,620557.0,1870.06124585,2.08855e-05,187.969924812,,5.90973084283,,6.10168,1912219.87599,0.4,1.03638e-08,1870.06124585,1,1182.57,3182.74
0.00215612,nan,15933.9,854.017,50000,3074792.47739,nan,2395.99860101,100,208,787319.0,2395.99860101,2.67094e-05,240.384615385,,7.12178159199,,8.21101,3074792.47739,0.4,9.03653e-09,2395.99860101,1,662.834,4047.93
0.00178516,nan,18898.8,622.651,50000,4109915.63873,nan,2204.33475863,100,226,746506.0,2204.33475863,2.45821e-05,221.238938053,,4.16467892605,,7.67124,4109915.63873,0.4,6.39369e-09,2204.33475863,1,557.089,4116.34
0.00371035,nan,17045.3,298.742,50000,4199127.01245,nan,2286.63279846,100,218,785357.0,2286.63279846,2.54842e-05,229.357798165,,8.67595693027,,5.07264,4199127.01245,0.4,7.53999e-09,2286.63279846,1,738.546,4223.7
0.000604399,nan,18385.1,965.11,50000,3276882.6066,nan,2058.41558844,100,242,748086.0,2058.41558844,2.29568e-05,206.611570248,,3.21399724599,,9.74877,3276882.6066,0.4,5.35181e-09,2058.41558844,1,256.662,4124.39
0.000603075,nan,11921.1,29.7154,50000,2230249.67023,nan,3418.41027583,100,146,802358.0,3418.41027583,3.80518e-05,342.465753425,,4.29552282879,,2.7482,2230249.67023,0.4,5.69684e-09,3418.41027583,1,43.5557,4091.37
