MinIWNorm,Itaration,ReturnMeanIW,EmpiricalD2,Weights,EpisodesSoFar,StdIW,EpRewMean,EpLenMean,Bound,MeanIW,MeanIWNorm,ESSRenyi,EpThisIter,InitialReturnStd,MinIW,TimeElapsed,ESSClassic,MaxIW,StdIWNorm,MaxIWNorm,InitialBound,InitialReturnMin,InitialReturnMax,InitialReturnMean,TimestepsSoFar
1.5288289e-12,1,5136.6567,12720788.0,[ 0.094 -0.228  0.046 ... -0.2    0.     0.   ],100,6578.6714,-14.202646895496008,500.0,4711.4478,661.2434,6.612435,7.861148e-06,100,3.5923145,1.528829e-10,12.795146465301514,1.000186,66118.195,65.78671,661.18195,-0.11921953,-7.7769375,11.862137,-5.340576e-07,50000
4.0035615e-09,2,1813.0712,302167.97,[ 0.094 -0.231  0.044 ... -0.206 -0.056  0.016],200,1367.4138,-10.608296305891127,500.0,1740.2904,138.06781,1.3806777,0.00033094175,100,4.6308713,4.0035616e-07,34.85415816307068,1.0092057,13743.605,13.674139,137.43605,-0.13240023,-7.197958,13.173767,1.1730194e-06,100000
2.8692202e-07,3,298.22803,1265.0203,[ 0.095 -0.233  0.043 ... -0.205 -0.074  0.056],300,149.5592,-9.221511693397254,500.0,291.17996,15.717729,0.15717728,0.079050116,100,4.600876,2.8692202e-05,54.75226163864136,1.0924029,1503.6812,1.4955921,15.036811,-0.19816196,-7.810169,19.716885,2.002716e-07,150000
4.633224e-09,4,1284.1703,63803.28,[ 0.094 -0.233  0.044 ... -0.207 -0.04   0.006],400,739.07715,-7.535594872527002,500.0,1240.3235,74.57803,0.7457804,0.0015673175,100,5.0051165,4.633224e-07,74.42619132995605,1.0079585,7428.295,7.390772,74.28295,-0.17358574,-8.69543,17.271667,1.1444092e-06,200000
7.2368966e-10,5,654.3153,137587.95,[ 0.094 -0.233  0.044 ... -0.21  -0.043 -0.003],500,598.66864,-4.093312128535772,500.0,591.2106,61.00246,0.61002463,0.0007268078,100,5.881424,7.236897e-08,94.3189287185669,1.0276275,6017.5615,5.9866867,60.175613,-0.1701267,-8.134716,16.927368,-3.2424927e-07,250000
1.2688244e-09,6,5727.4717,229591.2,[ 0.094 -0.234  0.044 ... -0.213 -0.064 -0.002],600,6428.6494,-3.723026985180123,500.0,5651.9937,646.215,6.46215,0.00043555675,100,4.9191546,1.2688244e-07,114.24515175819397,1.0003415,64610.473,64.28648,646.10474,-0.15752225,-7.2171183,15.673284,2.2888183e-07,300000
7.62379e-08,7,266.42014,3716.1794,[ 0.094 -0.232  0.044 ... -0.219 -0.088 -0.066],700,192.79453,-2.1325358100671954,500.0,258.0326,20.031769,0.20031767,0.026909357,100,5.012753,7.62379e-06,135.3055169582367,1.0680361,1938.1608,1.927945,19.381607,-0.13758975,-8.878347,13.69,-9.536743e-08,350000
1.31429e-07,8,35.027367,2774.5945,[ 0.094 -0.232  0.044 ... -0.217 -0.077 -0.058],800,22.859606,-3.008705978343516,500.0,27.077711,2.663523,0.026635224,0.036041304,100,4.8134704,1.3142901e-05,155.0783176422119,1.339427,229.94485,0.22859608,2.2994485,-0.15092063,-8.957806,15.01641,7.6293944e-08,400000
7.85373e-11,9,86154.83,22277364000.0,[ 0.093 -0.233  0.045 ... -0.217 -0.113 -0.071],900,125335.18,-3.7214056803940765,500.0,64135.76,12596.707,125.96707,4.4888613e-09,100,4.541463,7.85373e-09,172.94022250175476,1.0000075,1259666.0,1253.3518,12596.66,-0.14752519,-8.273646,14.678598,3.0517577e-07,450000
5.1071686e-07,10,67.3552,5336.668,[ 0.093 -0.232  0.045 ... -0.216 -0.078 -0.064],1000,173.16704,-1.8292471155046588,500.0,56.627308,21.943222,0.21943222,0.018738285,100,6.5679455,5.1071685e-05,191.72690153121948,1.5803457,1693.4701,1.7316701,16.9347,-0.14685184,-10.614003,14.611573,,500000
2.6711813e-10,11,830.11487,1520561.9,[ 0.095 -0.235  0.044 ... -0.22  -0.066 -0.083],1100,976.3497,1.7190080212251684,500.0,679.7936,98.192406,0.98192406,6.576516e-05,100,5.6148806,2.6711813e-08,209.74562120437622,1.0013235,9812.749,9.7634945,98.12749,-0.121904105,-10.115833,12.129309,3.8146972e-08,550000
6.027996e-09,12,10392.511,1991407.6,[ 0.096 -0.236  0.043 ... -0.225 -0.057 -0.101],1200,16916.684,0.4768453522540106,500.0,10203.75,1700.6903,17.006903,5.0215735e-05,100,5.323384,6.027996e-07,229.4545030593872,1.000582,170019.56,169.16682,1700.1956,-0.13376158,-13.309107,11.835798,-1.14440915e-07,600000
1.0416853e-10,13,1253.8777,1694042.9,[ 0.097 -0.236  0.043 ... -0.236 -0.101 -0.109],1300,1310.6151,1.0006718592376547,500.0,1080.1437,132.14304,1.3214303,5.9030383e-05,100,5.8997626,1.0416853e-08,249.58411622047424,1.0063418,13172.5625,13.106151,131.72562,-0.1334819,-12.828077,13.281288,1.9073486e-08,650000
5.5825045e-12,14,222073.14,399867620.0,[ 0.097 -0.238  0.043 ... -0.241 -0.112 -0.124],1400,208700.3,2.912498029606574,500.0,219510.73,20975.232,209.75232,2.5008276e-07,100,4.9062605,5.5825045e-10,269.93680334091187,1.000006,2097517.0,2087.0032,20975.17,-0.12814157,-8.843184,12.749905,-2.2888183e-07,700000
