Weights,PolicyTime,TotalTime,MaxIWNorm,EnvRatio,Bound,InitialReturnStd,TimestepsSoFar,MinIWNorm,InitialBound,EmpiricalD2,EpRewMean,InitialReturnMin,ESSClassic,EpThisIter,InitialReturnMean,ESSRenyi,MinIW,ReturnMeanIW,StdIWNorm,Iteration,EnvTime,MeanIWNorm,PolicyRatio,MeanIW,StdIW,EpisodesSoFar,InitialReturnMax,MaxIW,EpLenMean,TimeElapsed
[ 0.099 -0.24   0.048 ...  0.096  0.329  0.   ],5000,2.599608898162842,0.299746,0.07519532629281289,2.488007,3.5754664,5000,0.0032251521,-0.19956546,4.132451,-53.240884201093124,-6.2791824,4.718357,10,,2.4198713,0.032251522,2.8936925,0.09345325,1,0.1954784393310547,0.08832939,1923.3662431043101,0.8832939,0.93453246,10,5.09811,2.99746,500.0,1.4945268630981445
[ 0.099 -0.239  0.047 ...  0.095  0.329 -0.038],5000,2.5303053855895996,6.660376,0.07752210288074762,42.08437,3.8187602,10000,6.673549e-05,-0.22426823,522.283,-49.04875318404589,-5.494831,1.0228765,10,2.670288e-06,0.019146707,0.0006673549,47.209747,1.9956541,2,0.19615459442138672,0.6736406,1976.0460648250662,6.736406,19.956543,20,7.0565186,66.60376,500.0,3.2726807594299316
[ 0.096 -0.237  0.036 ...  0.092  0.323 -0.095],5000,2.7893364429473877,1.6423997,0.07809450545223763,5.803236,3.0661902,15000,0.00014717829,-0.216827,33.412483,-42.76668984811433,-6.822277,1.1854186,10,-7.6293946e-07,0.29928935,0.0014717829,7.056568,0.48850816,3,0.21783185005187988,0.17914589,1792.5410226658375,1.7914587,4.8850813,30,4.170864,16.423996,500.0,5.22844386100769
[ 0.097 -0.238  0.04  ...  0.095  0.326 -0.15 ],5000,2.626377582550049,0.9381248,0.0778981076861599,3.5521493,2.7857623,20000,0.00057158776,-0.19903709,13.035917,-38.979187948225345,-6.262615,3.7260442,10,1.9073486e-06,0.76711136,0.0057158777,4.2707853,0.30480102,4,0.20458984375,0.23489277,1903.7628226880126,2.3489277,3.04801,40,3.0204391,9.3812475,500.0,7.092321872711182
[ 0.095 -0.236  0.033 ...  0.093  0.323 -0.17 ],5000,2.8682475090026855,0.49810916,0.0776915658476404,2.89649,2.56339,25000,0.0025278167,-0.1405912,8.392714,-36.844238275623354,-3.1679115,2.7875752,10,,1.1915097,0.025278166,3.3037853,0.15429986,5,0.2228386402130127,0.09592642,1743.2247336766775,0.9592641,1.5429986,50,4.4235992,4.9810915,500.0,8.811921834945679
[ 0.094 -0.236  0.032 ...  0.092  0.322 -0.218],5000,2.8900060653686523,2.5766327,0.07784441017677257,5.959894,2.102872,30000,0.00081740617,-0.10815404,64.43056,-33.65118008714716,-3.4029808,2.305077,10,-1.9073487e-07,0.15520586,0.008174062,6.8280306,0.75468403,6,0.22497081756591797,0.41305298,1730.100175191914,4.13053,7.5468397,60,2.3924656,25.766327,500.0,10.446212768554688
[ 0.091 -0.234  0.022 ...  0.089  0.318 -0.232],5000,2.7688324451446533,0.59247035,0.07845926984735208,2.1820343,1.8474866,35000,0.0022338578,-0.13594262,10.915951,-32.16759812416785,-2.2290688,1.5622673,10,-2.861023e-06,0.9160906,0.022338577,2.6311696,0.17332171,7,0.217240571975708,0.0745792,1805.8153026803263,0.74579203,1.733217,70,4.2772446,5.9247036,500.0,12.07360291481018
[ 0.091 -0.234  0.022 ...  0.089  0.317 -0.284],5000,2.777667999267578,0.9730179,0.07863672133038704,4.13694,2.0045307,40000,0.00054378464,-0.14081807,22.972424,-28.439843631750428,-4.4307613,2.2895153,10,7.6293946e-07,0.43530452,0.0054378463,4.8118787,0.34275874,8,0.21842670440673828,0.18677528,1800.0711392860528,1.867753,3.4275875,80,3.216776,9.730179,500.0,13.65159797668457
[ 0.089 -0.233  0.017 ...  0.088  0.315 -0.329],5000,2.8048131465911865,0.5457598,0.0786586365679922,1.8400358,1.9311813,45000,0.0009603044,-0.10525373,9.035515,-26.531369975139647,-2.729128,2.3763878,10,1.9073486e-06,1.1067438,0.009603044,2.156425,0.15657371,9,0.22062277793884277,0.08741724,1782.649944463046,0.8741724,1.5657371,90,3.3117905,5.4575977,500.0,15.295771837234497
[ 0.088 -0.233  0.015 ...  0.087  0.314 -0.374],5000,2.734459161758423,2.860386,0.07881305620388881,5.517371,1.3402354,50000,0.00043774114,-0.09419998,114.71706,-22.940860141607722,-2.9639397,1.1651858,10,1.9073487e-07,0.087170996,0.004377411,6.526312,0.8512327,10,0.21551108360290527,0.3091343,1828.5151484159292,3.091343,8.512327,100,2.212862,28.603859,500.0,16.829784870147705
[ 0.09  -0.233  0.02  ...  0.089  0.316 -0.433],5000,2.839232921600342,0.20520487,0.07934690256777326,0.75008225,1.3482611,55000,0.0032418326,-0.09414063,3.373881,-21.214927784223374,-2.9620647,5.2486234,10,,2.9639456,0.032418326,0.9230009,0.0777728,11,0.22528433799743652,0.08174115,1761.0390334519423,0.8174114,0.777728,110,1.6657162,2.0520487,500.0,18.536350965499878
