StdIW,ESSClassic,StdIWNorm,EmpiricalD2,TimeElapsed,InitialReturnMax,TimestepsSoFar,ESSRenyi,InitialReturnMean,MeanIW,MaxIWNorm,EpThisIter,EpisodesSoFar,ReturnMeanIW,EpRewMean,MinIW,InitialReturnStd,MaxIW,InitialBound,EpLenMean,MinIWNorm,InitialReturnMin,Iteration,Bound,MeanIWNorm,Weights
3.64286,8.519066,0.036428597,4.4019117,1.0770530700683594,286.55508,833,22.717402,1.5258789e-06,1.1116631,0.36724043,100,100,172.35281,73.25229043186766,0.07712901,57.06931,36.724045,54.492855,8.33,0.00077129004,-73.25229,1,132.99414,0.0111166295,[ 0.098 -0.237  0.047 ...  0.096  0.329  0.   ]
0.7504306,43.393536,0.007504306,4.203178,10.527452230453491,367.5311,2256,23.791521,-1.15966795e-05,0.6570372,0.050538186,100,200,226.85077,132.2240184107168,0.011740793,110.697754,5.0538187,108.16345,14.23,0.00011740792,-132.22403,2,177.52264,0.0065703713,[ 0.105 -0.243  0.069 ...  0.123  0.379 -0.034]
1092.0231,1.0124655,10.920232,182.78621,19.385157108306885,877.0094,5383,0.54708725,-1.586914e-05,110.441345,109.759,100,300,5553.9087,302.5518962668814,8.055181e-05,207.98563,10975.9,245.13817,31.27,8.05518e-07,-302.5519,3,4777.6836,1.1044135,[ 0.103 -0.24   0.061 ...  0.127  0.393 -0.196]
1.6400406,31.390123,0.016400408,3.8282921,33.08681035041809,922.136,10956,26.12131,-5.2490235e-05,1.1093224,0.07133639,100,400,726.0381,547.0619592694349,0.01538619,282.6488,7.133639,486.69397,55.73,0.0001538619,-527.10175,4,607.922,0.0110932235,[ 0.103 -0.241  0.06  ...  0.134  0.415 -0.369]
0.8871898,57.78866,0.008871897,1.6480554,44.03765153884888,820.73126,17246,60.67757,9.155274e-06,1.0380621,0.053622473,100,500,678.45685,618.7608156578066,0.08054736,278.9591,5.3622475,565.03125,62.9,0.0008054736,-618.7608,5,609.4808,0.010380622,[ 0.102 -0.239  0.053 ...  0.133  0.415 -0.439]
0.97624326,51.369736,0.009762432,2.136265,53.89771318435669,897.1682,24570,46.810673,1.2817382e-05,1.0033638,0.057720013,100,600,823.9457,722.1406381807177,0.018617535,291.21997,5.7720013,663.40717,73.24,0.00018617534,-722.1406,6,738.1011,0.010033638,[ 0.101 -0.238  0.049 ...  0.134  0.418 -0.47 ]
10.893297,4.8547144,0.10893299,44.249306,64.76417279243469,692.4566,33045,2.2599225,-4.6386718e-05,2.460637,0.7981014,100,700,1649.2557,837.2183998897679,0.00027269928,246.47453,79.81014,791.88654,84.75,2.7269928e-06,-667.3705,7,1347.707,0.024606371,[ 0.101 -0.238  0.05  ...  0.136  0.424 -0.52 ]
0.5656651,74.29892,0.0056566508,1.4863226,78.26171922683716,1251.8259,42626,67.28014,8.911133e-05,0.96177804,0.026364185,100,800,1024.9962,947.8104434028471,0.14438224,316.0607,2.6364186,865.85913,95.81,0.0014438224,-947.81036,8,925.0855,0.009617779,[ 0.1   -0.236  0.046 ...  0.136  0.428 -0.603]
8.506053,6.692346,0.08506053,22.838852,88.40231466293335,1231.3232,52711,4.378504,3.6621093e-06,2.2780259,0.7902086,100,900,1552.0619,998.21001298728,0.00024800916,367.22015,79.02086,917.60095,100.85,2.4800916e-06,-988.2297,9,1166.8313,0.022780258,[ 0.1   -0.236  0.049 ...  0.138  0.433 -0.626]
1.3739504,41.69398,0.013739504,2.1237168,99.62448787689209,708.4245,62026,47.087257,1.7089844e-05,1.1618526,0.077642694,100,1000,978.9734,921.24641819793,0.10677913,299.14288,7.76427,860.93665,93.15,0.0010677913,-921.2464,10,891.08417,0.011618526,[ 0.1   -0.236  0.05  ...  0.14   0.438 -0.644]
