StdIW,MinIW,EpThisIter,InitialReturnStd,InitialReturnMean,EpisodesSoFar,TimeElapsed,EpLenMean,InitialBound,Bound,MinIWNorm,EmpiricalD2,TimestepsSoFar,Weights,StdIWNorm,InitialReturnMin,MeanIWNorm,ESSClassic,Iteration,InitialReturnMax,MaxIW,MeanIW,ESSRenyi,EpRewMean,ReturnMeanIW,MaxIWNorm
0.9317328,0.004871436,100,20.347551,-1.6021728e-06,100,2.9655776023864746,134.9,-131.36446,-108.57464,4.871436e-05,4.348412,13490,[ 0.098 -0.237  0.047 ...  0.096  0.329  0.   ],0.009317327,-84.57941,0.007830106,41.391605,1,60.82817,7.5460896,0.78301054,22.9969,-130.51440586393824,-106.80203,0.075460896
1.0422989,0.0011443874,100,30.938211,2.1362305e-06,200,15.750981330871582,240.7,-126.67699,-81.169136,1.14438735e-05,102.71817,37560,[ 0.099 -0.238  0.052 ...  0.096  0.33  -0.006],0.010422988,-64.68936,0.005997231,24.872347,2,100.54746,7.439868,0.5997231,0.97353756,-125.6664406557793,-70.927315,0.07439868
1.1368108,0.00023439644,100,29.081839,-5.722046e-06,300,27.285308599472046,195.64,-125.009056,-72.09598,2.3439643e-06,98.225586,57124,[ 0.1   -0.239  0.053 ...  0.095  0.329  0.002],0.011368108,-76.08648,0.0052332375,17.48606,3,96.32104,9.81053,0.5233238,1.0180647,-124.04099856199532,-62.50162,0.0981053
0.71341455,0.00025494452,100,37.48524,-5.340576e-06,400,40.629228591918945,290.27,-112.62602,-74.447655,2.549445e-06,55.44845,86151,[ 0.101 -0.24   0.058 ...  0.095  0.33   0.023],0.007134145,-71.97635,0.0047604623,30.808332,4,112.42123,3.4474692,0.47604626,1.8034769,-111.49616019420701,-66.03418,0.034474693
1.3348881,8.841859e-05,100,31.095757,5.340576e-06,500,53.897210121154785,240.74,-111.42585,-68.09862,8.8418585e-07,48.44074,110225,[ 0.103 -0.242  0.065 ...  0.097  0.335  0.004],0.01334888,-51.252083,0.0052483594,13.388535,5,94.975136,12.623804,0.52483606,2.064378,-110.47131582357042,-61.455105,0.12623803
0.68157136,0.0029754997,100,43.65745,,600,67.54548478126526,313.9,-105.98489,-64.840004,2.9754996e-05,105.3552,141615,[ 0.103 -0.242  0.066 ...  0.096  0.335 -0.029],0.0068157134,-104.29059,0.0042061955,27.580942,6,94.78663,4.1076984,0.42061955,0.94917005,-104.93673745452233,-54.08141,0.041076984
5.7836113,0.00022485561,100,40.715195,9.155274e-06,700,81.95258259773254,390.14,-86.717545,-44.46174,2.248556e-06,75.197556,180629,[ 0.103 -0.242  0.07  ...  0.095  0.334 -0.023],0.05783611,-78.13346,0.01043082,3.1501942,7,85.02651,56.52323,1.043082,1.3298304,-85.86299004208621,-37.051388,0.5652323
6.872234,0.00036176568,100,43.082706,-8.544922e-06,800,97.50967693328857,445.4,-67.59183,-31.762356,3.6176566e-06,99.19252,225169,[ 0.104 -0.242  0.071 ...  0.093  0.334 -0.057],0.068722345,-88.20952,0.014070416,4.023312,8,86.39476,51.55142,1.4070414,1.0081406,-66.70529979723027,-22.93283,0.5155142
0.88224643,0.0004566113,100,46.76743,3.3569336e-06,900,112.21651577949524,387.38,-71.35651,-48.340206,4.566113e-06,113.38692,263907,[ 0.104 -0.242  0.072 ...  0.092  0.334 -0.059],0.008822464,-101.35088,0.004777708,22.676289,9,81.242676,6.5575724,0.4777708,0.88193595,-70.33789545124955,-37.49366,0.06557572
1.3782263,0.005891951,100,50.1769,-5.4931643e-06,1000,125.21603059768677,336.5,-78.13801,-52.911255,5.8919508e-05,37.917812,297557,[ 0.103 -0.241  0.071 ...  0.09   0.332 -0.058],0.013782262,-81.850716,0.005898658,15.481629,10,123.81029,10.506915,0.58986586,2.6372828,-76.89367290074351,-45.248924,0.105069146
7.241238,0.00083044346,100,45.426334,4.8828124e-06,1100,138.08124995231628,394.91,-70.62276,-41.429543,8.304434e-06,82.669495,337048,[ 0.104 -0.241  0.076 ...  0.092  0.333 -0.055],0.072412364,-102.65921,0.013008402,3.126283,11,95.43237,72.39891,1.3008403,1.2096361,-69.59099868855398,-32.048462,0.72398907
