Iteration,EpLenMean,MaxIWNorm,InitialReturnMean,MeanIWNorm,EpThisIter,EpisodesSoFar,EmpiricalD2,ESSClassic,InitialReturnStd,ReturnMeanIW,InitialBound,StdIW,Bound,TimestepsSoFar,MaxIW,ESSRenyi,MinIW,TimeElapsed,StdIWNorm,InitialReturnMax,MeanIW,InitialReturnMin,Weights,MinIWNorm,EpRewMean
1,8.33,0.2699337,1.2207031e-06,0.0071913945,100,100,83.256584,6.6641555,57.06931,257.27042,72.34566,2.6913166,248.99796,833,26.993372,1.2011062,0.014439493,1.2112438678741455,0.026913164,286.55508,0.71913946,-73.25229,[ 0.098 -0.237  0.047 ...  0.096  0.329  0.   ],0.00014439493,73.25229043186766
2,21.11,0.54971665,4.8828124e-06,0.012563824,100,200,2132.7017,4.3688817,150.07625,820.2634,199.4773,5.8780913,750.32275,2944,54.971664,0.046888884,3.0696326e-10,12.910993814468384,0.05878091,478.68237,1.2563823,-191.01198,[ 0.108 -0.247  0.085 ...  0.133  0.403 -0.053],3.0696324e-12,200.9917783790297
3,54.68,8.816503,-6.408691e-06,0.09961582,100,300,56.28957,1.2747289,277.92236,1326.6044,534.7543,87.66649,1313.0015,8412,881.65027,1.776528,4.115677e-06,25.365597248077393,0.8766649,573.0623,9.961584,-536.56744,[ 0.104 -0.241  0.062 ...  0.139  0.419 -0.322],4.1156767e-08,536.5674442934685
4,85.53,0.92064947,9.765625e-06,0.016744955,100,400,492.86276,2.8359728,269.1097,1210.8804,842.33795,9.801347,1151.5273,16965,92.06495,0.20289624,5.209319e-05,38.243576765060425,0.09801346,664.63367,1.6744957,-845.0115,[ 0.104 -0.242  0.06  ...  0.148  0.448 -0.402],5.209319e-07,845.0114865304862
5,97.19,27166.393,4.3945314e-05,271.66626,100,500,4444756.5,1.0000173,365.9991,1001542.1,958.29333,270302.2,994552.1,26684,2716639.2,2.249842e-05,1.2983248e-06,50.80404496192932,2703.0217,1047.9396,27166.627,-961.6089,[ 0.103 -0.239  0.052 ...  0.147  0.448 -0.477],1.2983248e-08,961.6089408344191
6,89.73,0.5463062,0.00010375977,0.015889263,100,600,4477.0757,4.341947,357.53085,2086.1848,883.41235,7.4579988,1844.3138,35657,54.630623,0.022336008,1.1109572e-05,63.20042371749878,0.074579984,1142.5344,1.5889264,-887.02716,[ 0.1   -0.236  0.033 ...  0.135  0.418 -0.501],1.1109572e-07,887.0272655826259
7,112.57,0.11810496,4.3945314e-05,0.0041456036,100,700,361.72195,7.901375,403.52362,1439.3021,1111.581,1.4153471,1366.2388,46914,11.810496,0.27645543,8.1009646e-05,76.66666722297668,0.014153469,1214.2122,0.41456032,-1115.4226,[ 0.099 -0.236  0.028 ...  0.137  0.428 -0.508],8.100964e-07,1115.4226545943145
8,129.48,0.85194,-2.6855469e-05,0.014472669,100,800,12501.975,2.376852,455.83023,5870.104,1279.2596,9.275215,5284.6753,59862,85.194,0.007998737,1.8990664e-07,88.57457256317139,0.09275214,1654.8843,1.447267,-1284.4956,[ 0.098 -0.234  0.024 ...  0.139  0.433 -0.548],1.8990665e-09,1284.4955826718362
9,142.47,0.23418559,-2.1972657e-05,0.010146478,100,900,36.379787,12.073411,445.39542,1634.2837,1409.9285,2.7381704,1607.2926,74109,23.41856,2.748779,0.00041254068,105.30558013916016,0.027381701,1145.0433,1.0146478,-1414.4034,[ 0.098 -0.233  0.028 ...  0.143  0.448 -0.597],4.1254066e-06,1414.4034253293878
10,140.13,0.109218575,-0.00021728515,0.006928969,100,1000,10378.732,13.916825,401.65564,3795.028,1386.6305,1.7232872,3346.6685,88122,10.921858,0.009635088,1.1661668e-05,117.2350959777832,0.01723287,1028.6908,0.6928969,-1391.0316,[ 0.098 -0.234  0.032 ...  0.145  0.456 -0.651],1.1661668e-07,1391.0314230985603
