EpisodesSoFar,TimeElapsed,ReturnMeanIW,InitialReturnMean,Iteration,Bound,MinIW,MaxIWNorm,InitialReturnStd,StdIWNorm,EpThisIter,EmpiricalD2,InitialBound,ESSRenyi,TimestepsSoFar,EpRewMean,InitialReturnMin,MaxIW,MeanIW,MeanIWNorm,ESSClassic,InitialReturnMax,StdIW,MinIWNorm,EpLenMean,Weights
100,3.480703115463257,13.324755,1.3580322e-05,1,10.095144,0.00016325335,0.19759417,20.347551,0.025110496,100,14.434653,-0.8500414,6.927773,13490,-130.51440586393824,-84.57939,19.759417,1.5636966,0.015636966,27.942884,60.828186,2.51105,1.6325334e-06,134.9,[ 0.098 -0.237  0.047 ...  0.096  0.329  0.   ]
200,11.82828950881958,9.043932,-2.670288e-06,2,6.4083853,0.00093124586,0.11068487,15.599861,0.017022425,100,13.044514,-0.72972345,7.666058,23756,-123.74665343830976,-35.85035,11.068487,1.1816484,0.011816485,32.517887,72.60631,1.7022426,9.312458e-06,102.66,[ 0.098 -0.237  0.043 ...  0.095  0.33  -0.006]
300,21.661090850830078,11.782341,-1.2969971e-06,3,7.264717,0.00045063405,2.0090547,9.126744,0.19928747,100,232.79428,-0.29609144,0.42956382,32041,-118.63713978364726,-29.460594,200.90547,2.9866483,0.029866481,2.1966553,15.762856,19.928747,4.5063402e-06,82.85,[ 0.096 -0.236  0.039 ...  0.094  0.33  -0.04 ]
400,29.69630217552185,15404.417,1.1749267e-05,4,14977.662,2.9618067e-07,1041.2273,10.008949,103.59943,100,1048495.5,-0.41675663,9.537475e-05,39550,-114.48247136129065,-27.209473,104122.734,1042.6586,10.426586,1.0027505,41.467926,10359.942,2.9618066e-09,75.09,[ 0.097 -0.238  0.038 ...  0.092  0.331 -0.049]
500,43.882368326187134,13.561319,-1.7547608e-06,5,12.722377,0.009409381,0.40679345,8.234859,0.04810229,100,13.102467,-0.23177099,7.6321507,50023,-110.52443923843548,-20.864021,40.679344,1.709523,0.01709523,11.214053,23.060753,4.8102293,9.409381e-05,104.73,[ 0.096 -0.238  0.054 ...  0.1    0.334 -0.194]
600,52.76035666465759,397.03085,-1.0528564e-05,6,394.11813,0.008051625,3.4685192,14.36384,0.3452613,100,6.444812,-1.14735,15.516356,59526,-110.02078522890054,-35.525047,346.85193,4.9114547,0.049114548,1.9834616,114.158844,34.52613,8.0516256e-05,95.03,[ 0.096 -0.237  0.059 ...  0.102  0.334 -0.212]
700,63.61999583244324,1588.3505,9.613037e-06,7,1583.1093,0.0023053526,17.211016,12.118569,1.7116691,100,31.872032,-0.9283723,3.137547,70696,-108.16789030009063,-23.846107,1721.1016,18.033218,0.18033218,1.0977738,92.37283,171.1669,2.3053526e-05,111.7,[ 0.095 -0.235  0.055 ...  0.103  0.333 -0.268]
800,76.30588746070862,361.70358,-1.6784668e-05,8,357.4663,2.9083594e-05,14.754067,9.155892,1.467067,100,166.01035,-0.328884,0.6023721,81731,-110.17995604838742,-32.72187,1475.4067,16.000774,0.16000775,1.1755648,23.978348,146.7067,2.9083594e-07,110.35,[ 0.088 -0.231  0.064 ...  0.106  0.337 -0.293]
