StdIW,MinIW,Bound,InitialBound,MinIWNorm,ESSRenyi,MaxIW,MeanIW,InitialReturnStd,InitialReturnMean,InitialReturnMin,TimestepsSoFar,MeanIWNorm,Iteration,EpisodesSoFar,MaxIWNorm,EpRewMean,TimeElapsed,EpLenMean,StdIWNorm,ReturnMeanIW,EmpiricalD2,InitialReturnMax,Weights,ESSClassic,EpThisIter
1.7670473,0.003330999,5.5897975,-2.8193157,3.330999e-05,30.183765,12.601999,1.4109833,20.347551,-1.7547608e-06,-84.57941,13490,0.014109833,1,100,0.12601998,-130.51440586393824,3.8929991722106934,134.9,0.017670471,10.721443,3.3130393,60.82817,[ 0.098 -0.237  0.047 ...  0.096  0.329  0.   ],38.93498,100
39.416973,0.000107148335,61.3359,-1.784538,1.0714833e-06,0.3255583,396.86716,4.7753005,14.941093,5.264282e-06,-53.536285,24479,0.047752995,2,200,3.9686716,-126.67025211260435,12.350327968597412,109.89,0.39416972,92.612,307.16464,24.517662,[ 0.097 -0.237  0.042 ...  0.094  0.329 -0.007],1.446462,100
1.7762213,0.0064850813,3.6966314,-1.5519165,6.4850814e-05,19.542994,16.55265,1.1503073,13.0782175,9.841919e-06,-46.557793,36026,0.0115030715,3,300,0.1655265,-120.12827836321544,24.15956139564514,115.47,0.017762212,7.207185,5.1169233,19.030014,[ 0.095 -0.235  0.037 ...  0.093  0.326 -0.04 ],29.547947,100
72.94269,0.00046502342,629.19403,-3.4911327,4.650234e-06,2.4708924,734.00476,8.3044615,17.653252,2.5177003e-06,-29.519691,47094,0.08304462,4,400,7.3400474,-112.42832074556853,33.271644830703735,110.68,0.7294269,651.40356,40.471207,104.73405,[ 0.096 -0.235  0.039 ...  0.091  0.326 -0.046],1.2795768,100
21.786324,0.00047253998,81.05459,-1.3296876,4.7254e-06,0.5755292,213.57272,3.9172757,10.512158,1.5945434e-05,-30.111221,57020,0.039172757,5,500,2.1357272,-114.67010406956405,44.19292879104614,99.26,0.21786323,98.58214,173.75313,39.891106,[ 0.095 -0.236  0.044 ...  0.093  0.329 -0.086],3.1317124,100
21.012207,0.023008434,186.02351,-3.087676,0.00023008433,11.752604,210.8028,3.2306921,14.087713,-1.3198853e-05,-26.149384,67822,0.032306924,6,600,2.108028,-107.97497315729647,54.612579345703125,108.02,0.21012208,195.03015,8.508753,92.629875,[ 0.097 -0.236  0.046 ...  0.092  0.327 -0.144],2.3094072,100
162.64499,0.00023653105,844.7239,-1.9701579,2.3653104e-06,0.0243855,1635.373,17.271593,11.412658,-3.3569336e-06,-24.135933,80411,0.17271592,7,700,16.35373,-109.59569909145311,65.60937547683716,125.89,1.6264497,970.8876,4100.7974,59.10463,[ 0.097 -0.238  0.047 ...  0.09   0.331 -0.151],1.1150991,100
72.55265,1.7353792e-05,131.54749,-1.1804471,1.7353791e-07,0.022945723,729.80286,8.25874,10.544157,-9.765625e-06,-21.189865,92437,0.08258741,8,800,7.2980285,-105.90915126573769,79.32926654815674,120.26,0.7255266,209.47522,4358.111,35.413116,[ 0.099 -0.241  0.057 ...  0.093  0.339 -0.121],1.2791748,100
1043.9103,0.003591706,2331.216,-0.9975427,3.591706e-05,0.12997712,10492.151,105.378685,11.138178,-4.9591063e-06,-22.00531,103882,1.0537868,9,900,104.92151,-103.79294396543925,90.73654961585999,114.45,10.439102,2358.8853,769.36615,29.926132,[ 0.1   -0.24   0.057 ...  0.096  0.338 -0.128],1.0087324,100
4.303261,0.0063923956,9.944831,-3.4332247,6.392395e-05,14.601711,43.043873,1.1716591,16.992458,-7.095337e-06,-38.178696,118265,0.011716592,10,1000,0.43043873,-96.87250502798567,104.47063732147217,143.83,0.043032605,18.929445,6.848512,102.99652,[ 0.1   -0.241  0.06  ...  0.095  0.341 -0.136],6.9015956,100
153.97603,0.0013138629,125.51113,-3.9353325,1.3138629e-05,0.34729418,1548.0767,16.084602,19.156544,9.765625e-06,-28.396248,133216,0.16084605,11,1100,15.480766,-95.77136038964694,113.96821737289429,149.51,1.5397606,192.28918,287.94034,118.060265,[ 0.101 -0.241  0.064 ...  0.094  0.341 -0.151],1.0794461,100
37.42969,0.0012374911,352.18652,-5.0153546,1.2374911e-05,0.5431162,376.7337,4.4453254,30.152716,7.3242186e-06,-41.4386,151988,0.044453252,12,1200,3.7673368,-91.44355009209117,126.92808437347412,187.72,0.37429693,420.24088,184.12265,150.46085,[ 0.101 -0.24   0.069 ...  0.093  0.339 -0.169],1.3908864,100
37.24888,0.00022402043,328.75287,-4.5544233,2.2402044e-06,2.0003216,375.04492,4.6380796,34.165188,-3.6621093e-06,-33.674156,171930,0.046380796,13,1300,3.7504492,-90.0158496225264,140.5011065006256,199.42,0.3724889,360.9549,49.991962,136.63263,[ 0.101 -0.239  0.073 ...  0.093  0.338 -0.153],1.5267509,100
306.35837,5.7603586e-07,2384.6685,-3.7098167,5.7603584e-09,0.019696152,3079.355,31.134754,22.023119,-5.340576e-07,-35.18222,190678,0.3113475,14,1400,30.793549,-100.36847026990934,153.84315538406372,187.48,3.0635836,2649.0078,5077.134,111.29448,[ 0.101 -0.24   0.071 ...  0.094  0.34  -0.161],1.0222775,100
36.013844,4.808519e-05,164.24493,-3.2257447,4.808519e-07,0.1870418,362.22662,4.1097836,53.002632,-3.2806397e-06,-86.91347,226501,0.041097842,15,1500,3.622266,-59.810867229620726,171.6061668395996,358.23,0.36013842,238.8314,534.63983,96.77222,[ 0.103 -0.241  0.08  ...  0.096  0.341 -0.168],1.2855228,100
7.905858,0.0007350932,36.265812,-3.6509304,7.350932e-06,1.8120205,79.57815,1.3085192,51.513443,1.2207031e-06,-67.68222,261601,0.01308519,16,1600,0.79578143,-62.30906944112645,186.81410384178162,351.0,0.07905858,63.387844,55.18701,109.52797,[ 0.103 -0.241  0.08  ...  0.095  0.342 -0.167],2.6663992,100
1506.0405,7.6129174e-07,5939.2,-2.8796904,7.612917e-09,0.00027796518,15136.749,151.83942,50.71153,-1.8310546e-06,-86.390686,301228,1.5183944,17,1700,151.3675,-49.469731684797146,201.30812883377075,396.27,15.060407,7666.4316,359757.28,76.76672,[ 0.104 -0.241  0.081 ...  0.093  0.341 -0.164],1.0062444,100
