InitialReturnStd,StdIW,TimeElapsed,ESSClassic,MaxIWNorm,InitialReturnMean,MinIW,StdIWNorm,InitialReturnMin,EpLenMean,MaxIW,InitialBound,EpisodesSoFar,Bound,Iteration,EpRewMean,TimestepsSoFar,EpThisIter,ReturnMeanIW,EmpiricalD2,MeanIWNorm,MinIWNorm,ESSRenyi,MeanIW,Weights,InitialReturnMax
57.06931,3.951286,0.746126651763916,6.408229,0.39818034,-5.7983398e-06,0.044007637,0.03951286,-73.2523,8.33,39.818035,63.70046,100,192.61185,1,73.25229043186766,833,100,226.99445,12.956975,0.01033924,0.00044007634,7.7178507,1.0339241,[ 0.098 -0.237  0.047 ...  0.096  0.329  0.   ],286.55508
125.50829,70.13197,11.232189178466797,1.0971516,7.0515747,2.4414062e-06,1.4328865e-05,0.70131975,-139.23755,15.93,705.1575,133.8664,200,387.52386,2,149.2172420916863,2426,100,555.52386,119.77149,0.07386607,1.4328864e-07,0.8349232,7.386607,[ 0.108 -0.246  0.083 ...  0.131  0.396 -0.053],460.52557
251.38295,2.2297823,22.16083073616028,19.291498,0.19988117,7.3242186e-06,0.019331384,0.022297822,-448.40063,45.86,19.988117,423.03235,300,530.5349,3,448.40064089042613,7012,100,581.7217,4.0713067,0.010901488,0.00019331384,24.56214,1.0901488,[ 0.106 -0.243  0.073 ...  0.136  0.413 -0.288],761.04785
262.6483,257.34564,32.98944067955017,1.1234275,25.85458,-2.4414063e-05,1.7791682e-06,2.5734563,-514.4058,53.46,2585.458,497.54446,400,4253.669,4,524.3857730532769,12358,100,5551.6396,2338.4275,0.27431062,1.7791681e-08,0.04276378,27.431063,[ 0.105 -0.243  0.073 ...  0.14   0.427 -0.292],805.238
231.42816,2.4405248,49.41979789733887,19.69711,0.2203241,-5.0354003e-05,0.0017409773,0.024405248,-475.67383,64.58,22.03241,603.7505,500,693.83167,5,635.5509171654483,18816,100,755.66003,3.7801633,0.012087009,1.7409773e-05,26.453884,1.2087009,[ 0.104 -0.241  0.067 ...  0.138  0.42  -0.53 ],954.01215
288.87247,13867.531,59.20030426979065,1.0001767,1393.7401,-1.953125e-05,3.9508423e-06,138.67525,-722.3297,73.26,139374.02,696.7592,600,613137.94,6,722.3296968224282,26142,100,644477.44,1502132.5,13.938628,3.950842e-08,6.657202e-05,1393.8633,[ 0.104 -0.24   0.065 ...  0.141  0.429 -0.59 ],767.1134
299.77054,3.8371727,70.3024754524231,19.145237,0.22777064,1.4648437e-05,5.3674477e-05,0.038371727,-666.1272,86.63,22.777065,810.89343,700,1257.6001,7,856.0120301225957,34805,100,1463.7396,20.874304,0.018671917,5.367448e-07,4.790579,1.8671918,[ 0.099 -0.23   0.043 ...  0.132  0.401 -0.721],1353.5574
284.78503,1.1968821,83.8042721748352,45.50398,0.07363011,-2.4414062e-06,0.032246746,0.011968821,-904.7515,92.5,7.3630114,873.57263,800,927.4664,8,914.7315678827975,44055,100,990.97925,2.3812008,0.010936885,0.00032246744,41.995617,1.0936886,[ 0.099 -0.229  0.044 ...  0.133  0.408 -0.766],1234.7672
391.69077,2.0500393,94.14467811584473,30.759562,0.12086415,,0.023643602,0.02050039,-986.75494,100.7,12.086415,946.65015,900,1025.2964,9,996.7346085826413,54125,100,1122.3223,3.7529275,0.013663828,0.00023643601,26.645864,1.3663827,[ 0.098 -0.228  0.041 ...  0.133  0.405 -0.782],1502.532
338.26886,3.4608238,104.55339694023132,11.132113,0.27774394,-7.446289e-05,0.0006876842,0.034608234,-482.25696,105.23,27.774395,999.451,1000,1386.6202,10,1042.0380185403283,64648,100,1682.3452,48.21946,0.012248864,6.8768422e-06,2.0738516,1.2248864,[ 0.098 -0.228  0.041 ...  0.133  0.408 -0.803],1277.6094
