StdIWNorm,Iteration,InitialReturnStd,EpisodesSoFar,ESSRenyi,InitialReturnMax,ESSClassic,InitialReturnMean,EpRewMean,EnvRatio,MaxIWNorm,TimestepsSoFar,MeanIWNorm,MeanIW,MaxIW,ReturnMeanIW,MinIWNorm,EmpiricalD2,TotalTime,InitialBound,PolicyRatio,EpLenMean,PolicyTime,EnvTime,TimeElapsed,Weights,StdIW,MinIW,Bound,EpThisIter,InitialReturnMin
0.09345971,1,3.5754666,10,2.4191864,5.09811,4.7179103,,-53.240884201093124,0.07760339930018421,0.29976398,5000,0.08832757,0.8832758,2.9976397,2.893802,0.0032236178,4.133621,2.656136989593506,-0.19956549,0.9054959649557126,500.0,2.405121326446533,0.20612525939941406,1.5502510070800781,[ 0.099 -0.24   0.048 ...  0.096  0.329  0.   ],0.9345971,0.032236177,2.488059,10,-6.2791824
1.9993194,2,3.8187237,20,0.01862886,7.056488,1.0225822,-1.1444092e-06,-49.04841004765181,0.07973059785471748,6.672506,10000,0.67476964,6.747697,66.72506,47.292862,6.483634e-05,536.8015,2.6561777591705322,-0.22427101,0.9033047576313299,500.0,2.3993380069732666,0.2117786407470703,3.4679131507873535,[ 0.099 -0.239  0.047 ...  0.095  0.329 -0.038],19.993196,0.00064836344,42.096756,10,-5.4947586
0.48852265,3,3.0658653,30,0.29977423,4.1700706,1.1856405,-3.0517579e-06,-42.757703818153885,0.07872876661022636,1.6424627,15000,0.17917022,1.791702,16.424627,7.059564,0.00014721634,33.358437,3.055548667907715,-0.21677856,0.9036851099025429,500.0,2.761253833770752,0.24055957794189453,5.639732360839844,[ 0.096 -0.237  0.036 ...  0.092  0.323 -0.095],4.8852262,0.0014721634,5.807539,10,-6.8206825
0.3076013,4,2.78472,40,0.71734244,3.019081,3.6937387,2.2888185e-06,-38.96943900052872,0.08190963144515989,0.9477596,20000,0.23541561,2.354156,9.477596,4.2901993,0.00052112056,13.940344,3.015730619430542,-0.19894949,0.9005735759759492,500.0,2.7158873081207275,0.24701738357543945,7.812763214111328,[ 0.097 -0.238  0.04  ...  0.095  0.326 -0.15 ],3.0760126,0.005211205,3.5473776,10,-6.2598724
0.1542372,5,2.5606697,50,1.1932809,4.417179,2.7891994,,-36.80107955965241,0.08068223641622119,0.4978434,25000,0.09592619,0.9592618,4.978434,3.2992053,0.0025330915,8.380257,2.9228515625,-0.14038718,0.9014388880043017,500.0,2.6347720623016357,0.23582220077514648,9.553980112075806,[ 0.095 -0.236  0.033 ...  0.093  0.323 -0.171],1.5423719,0.025330914,2.8928032,10,-3.1641846
0.76233363,6,2.0990589,60,0.14352262,2.3873138,2.2854068,9.536743e-07,-33.61494038035853,0.08095789841324763,2.603121,30000,0.41492566,4.1492567,26.03121,6.8355985,0.0007700938,69.67543,2.9326305389404297,-0.107938424,0.9018316073111451,500.0,2.6447389125823975,0.23741960525512695,11.183794260025024,[ 0.094 -0.236  0.032 ...  0.092  0.322 -0.218],7.6233363,0.0077009383,5.9346094,10,-3.3962326
0.17328157,7,1.8443412,70,0.9180587,4.2715874,1.5631671,1.7166137e-06,-32.129881185211616,0.07809041946154588,0.5923554,35000,0.07458736,0.7458737,5.9235535,2.6269832,0.0022396378,10.8925495,3.381687879562378,-0.13575825,0.9046272913509168,500.0,3.0591671466827393,0.26407742500305176,13.105682134628296,[ 0.091 -0.234  0.022 ...  0.089  0.317 -0.233],1.7328156,0.022396378,2.178923,10,-2.228527
0.34272823,8,2.000999,80,0.4313129,3.2085953,2.2862153,1.5258789e-06,-28.40945668766858,0.08252476701377867,0.9749755,40000,0.18658414,1.8658413,9.749755,4.795659,0.00053311436,23.185024,3.09228253364563,-0.1407176,0.9000576948001356,500.0,2.7832326889038086,0.2551898956298828,14.912373065948486,[ 0.091 -0.234  0.022 ...  0.089  0.317 -0.284],3.4272823,0.0053311437,4.118085,10,-4.4276237
0.15666814,9,1.9286141,90,1.1083125,3.3060226,2.3769412,1.9073486e-06,-26.50125863997446,0.08171593999196153,0.5460905,45000,0.087483324,0.8748332,5.4609046,2.1539671,0.00096294377,9.022726,3.3165462017059326,-0.10507036,0.9002425703616155,500.0,2.9856960773468018,0.2710146903991699,16.824794054031372,[ 0.089 -0.233  0.017 ...  0.088  0.315 -0.329],1.5666814,0.009629438,1.8383526,10,-2.721138
0.8529047,10,1.3398951,100,0.08716069,2.218958,1.1645578,7.6293946e-07,-22.917970596963357,0.08362733940738372,2.865922,50000,0.30964705,3.0964704,28.65922,6.5560856,0.0004389275,114.73061,3.548903465270996,-0.09403101,0.8989396164507248,500.0,3.1902499198913574,0.2967853546142578,18.799510955810547,[ 0.088 -0.233  0.014 ...  0.087  0.314 -0.374],8.529047,0.004389275,5.5488887,10,-2.958641
0.07772746,11,1.3472464,110,2.9720442,1.6656113,5.257676,,-21.18773068450023,0.08192097025930827,0.20602982,55000,0.08184193,0.8184193,2.0602982,0.92155516,0.0032388964,3.3646874,3.4637629985809326,-0.09415969,0.9002189209513305,500.0,3.118144989013672,0.283754825592041,20.981767177581787,[ 0.09  -0.233  0.019 ...  0.089  0.316 -0.433],0.7772746,0.032388963,0.74883723,10,-2.9626656
