VarJ,VarRet,EpsThisIter,VarVanillaIw,AvgNormIw,VanillaAvgRet,ESSClassic,VarNormIw,MaxNormIw,AvgDiscRet,MaxVanillaIw,Delta,AvgVanillaIw,ESSRenyi,AvgEpLen,AvgRet,MinNormIw,IterType,J,eRenyi2,Bound,VarDiscRet,BatchSize,MinVanillaIw
546.701,6442.25079311,100,14.7413,0.01,129.039102473,6.88511719042,0.00136607,0.366699,129.039102473,38.0927,0.1,1.0388,30.5808013587,14.13,129.039102473,2.49685e-05,1,270.04,3.27003,43.7874,6442.25079311,100,0.00259373
186.239,18584.7389191,100,0.360598,0.01,215.766255277,72.4699324955,3.8372e-05,0.0364765,215.766255277,3.53604,0.1,0.969404,78.575838407,23.41,215.766255277,0.00100606,1,274.029,1.27266,-6.02448,18584.7389191,100,0.0975277
272.98,18643.689457,100,0.694579,0.01,264.400663262,62.8043042774,5.9823e-05,0.0469367,264.400663262,5.05754,0.1,1.07752,77.3581434432,28.62,264.400663262,0.00221824,1,327.487,1.29269,9.71725,18643.689457,100,0.239021
202.021,13007.8825258,100,0.868834,0.01,265.265439811,54.2107925903,8.53183e-05,0.0582662,265.265439811,5.87982,0.1,1.00913,67.596750305,28.72,265.265439811,0.000371439,1,333.937,1.47936,100.803,13007.8825258,100,0.0374831
263.654,32602.019398,100,0.0650629,0.01,281.872092267,94.0874939557,6.34753e-06,0.0171411,281.872092267,1.73541,0.1,1.01243,94.1771781272,30.48,281.872092267,0.00316836,1,307.06,1.06183,-184.989,32602.019398,100,0.320773
167.2,18934.5261133,100,0.0778804,0.01,308.045768978,92.7118097795,7.94051e-06,0.0180082,308.045768978,1.78345,0.1,0.990353,93.1298406549,33.28,308.045768978,0.00461357,1,327.036,1.07377,48.6507,18934.5261133,100,0.456906
2750.7,32559.9264448,100,157.381,0.01,338.835524341,2.49448404025,0.00394833,0.629472,338.835524341,125.674,0.1,1.9965,26.4512878144,36.64,338.835524341,5.63608e-05,1,1057.83,3.78053,190.478,32559.9264448,100,0.0112525
313.106,19913.9578492,100,0.565299,0.01,307.436432437,60.6621721889,6.55024e-05,0.0440299,307.436432437,4.09032,0.1,0.928989,71.6444689961,33.23,307.436432437,0.000920095,1,380.907,1.39578,54.7039,19913.9578492,100,0.0854758
1243.62,27281.5579177,100,53.8522,0.01,355.658963982,4.25317343509,0.00227392,0.479487,355.658963982,73.7888,0.1,1.53891,38.506153974,38.42,355.658963982,0.000102955,1,606.883,2.59699,181.022,27281.5579177,100,0.0158439
215.666,26400.784136,100,0.232952,0.01,370.308211431,82.2346113627,2.18215e-05,0.0214608,370.308211431,2.21736,0.1,1.03321,86.35709323,40.01,370.308211431,0.00137295,1,414.151,1.15798,64.9469,26400.784136,100,0.141855
414.724,40969.7266974,100,0.776744,0.01,400.809950315,51.5897436072,9.47848e-05,0.0816613,400.809950315,7.39241,0.1,0.905252,68.308419966,43.3,400.809950315,0.000262135,1,511.159,1.46395,106.602,40969.7266974,100,0.0237299
1644.23,51959.0379947,100,20.955,0.01,453.625212944,6.72451889936,0.00140111,0.365261,453.625212944,44.6695,0.1,1.22295,31.0434927482,48.98,453.625212944,5.51411e-05,1,844.858,3.22129,150.707,51959.0379947,100,0.00674346
285.313,58863.5004407,100,0.226293,0.01,513.052385929,82.4385658494,2.15176e-05,0.034786,513.052385929,3.56733,0.1,1.02551,89.6646914002,55.37,513.052385929,0.00208061,1,564.961,1.11527,62.3662,58863.5004407,100,0.213368
370.719,54286.0146896,100,0.280338,0.01,505.760317359,76.1766024157,3.15898e-05,0.0357392,505.760317359,3.36676,0.1,0.942037,81.2216996103,54.6,505.760317359,0.00067317,1,575.477,1.2312,155.82,54286.0146896,100,0.0634151
1060.78,52278.4303541,100,373.07,0.01,535.516784617,2.43132203312,0.00405353,0.639501,535.516784617,194.008,0.1,3.03374,48.1269872888,57.78,535.516784617,0.000377431,1,887.908,2.07784,320.555,52278.4303541,100,0.114503
617.135,158814.723771,100,0.0538183,0.01,572.864782322,94.7338647474,5.61501e-06,0.0181133,572.864782322,1.77332,0.1,0.979016,95.6791254184,62.04,572.864782322,0.00562473,1,615.03,1.04516,-515.305,158814.723771,100,0.55067
297.68,68301.7981288,100,0.282519,0.01,560.881272389,79.117411696,2.6661e-05,0.0415649,560.881272389,4.2787,0.1,1.0294,85.6329843168,60.67,560.881272389,0.00186785,1,617.102,1.16777,211.044,68301.7981288,100,0.192277
345.73,53478.2082288,100,0.221527,0.01,559.565196209,80.5968862751,2.43175e-05,0.0306502,559.565196209,2.92541,0.1,0.954452,83.3005438174,60.5,559.565196209,0.00119027,1,626.392,1.20047,157.804,53478.2082288,100,0.113606
348.43,93584.3136025,100,0.126916,0.01,637.903069812,89.4284707542,1.19406e-05,0.0189919,637.903069812,1.95801,0.1,1.03097,92.4238536301,68.92,637.903069812,0.00257879,1,688.307,1.08197,20.4668,93584.3136025,100,0.265865
302.449,76356.0051142,100,0.151437,0.01,696.173840282,87.3149576357,1.46746e-05,0.023457,696.173840282,2.3829,0.1,1.01586,89.760375999,75.21,696.173840282,0.00190317,1,749.165,1.11408,257.284,76356.0051142,100,0.193335
354.764,92179.4839958,100,0.253533,0.01,672.70872891,80.0803549141,2.51259e-05,0.0281726,672.70872891,2.82998,0.1,1.00452,85.4697838122,72.83,672.70872891,0.0013141,1,759.956,1.17,181.267,92179.4839958,100,0.132004
3881.17,123174.938778,100,45.0218,0.01,765.985143478,4.51913631671,0.00213415,0.462607,765.985143478,67.191,0.1,1.45244,33.4443652562,82.79,765.985143478,5.02224e-05,1,1547.18,2.99004,315.535,123174.938778,100,0.00729451
307.83,82817.4531973,100,0.275221,0.01,767.152922401,76.9322665949,3.02874e-05,0.0248593,767.152922401,2.36974,0.1,0.953258,84.0447817614,83.01,767.152922401,0.000535201,1,847.415,1.18984,299.259,82817.4531973,100,0.0510184
322.199,77726.5526297,100,0.180548,0.01,786.683459536,84.727143938,1.8208e-05,0.0273532,786.683459536,2.72379,0.1,0.995785,87.4720217742,85.15,786.683459536,0.00238694,1,845.117,1.14322,351.503,77726.5526297,100,0.237688
436.281,104701.276232,100,0.336364,0.01,823.896005086,74.8312608985,3.39737e-05,0.0456472,823.896005086,4.542,0.1,0.995023,83.4806478855,89.2,823.896005086,0.00341997,1,916.149,1.19788,334.26,104701.276232,100,0.340295
380.919,99229.9398521,100,0.202474,0.01,883.18053633,83.6600279359,1.97287e-05,0.0272866,883.18053633,2.7643,0.1,1.01306,85.9251086047,95.72,883.18053633,0.00161833,1,959.62,1.1638,371.751,99229.9398521,100,0.163947
317.763,76833.7677275,100,0.124431,0.01,914.898734011,88.4671421688,1.3168e-05,0.0193223,914.898734011,1.87829,0.1,0.972087,92.2338219605,98.93,914.898734011,0.00184968,1,957.117,1.0842,401.424,76833.7677275,100,0.179805
337.009,110717.189947,100,0.100088,0.01,915.649957263,90.7552513192,1.02893e-05,0.0183814,915.649957263,1.8129,0.1,0.986273,91.1113959192,99.06,915.649957263,0.00272888,1,965.952,1.09756,409.41,110717.189947,100,0.269142
449.849,121556.426497,100,0.176001,0.01,929.956740195,84.4896670605,1.85431e-05,0.021284,929.956740195,2.07358,0.1,0.974242,88.4568208468,100.64,929.956740195,0.000654734,1,1011.43,1.1305,291.237,121556.426497,100,0.063787
513.687,99368.7821959,100,0.679987,0.01,956.292165199,61.9235806455,6.21105e-05,0.0769792,956.292165199,8.05455,0.1,1.04633,80.980530942,103.46,956.292165199,0.000412342,1,1057.49,1.23486,431.98,99368.7821959,100,0.0431445
707.952,117142.939039,100,0.434719,0.01,1018.52136599,69.4238114034,4.44877e-05,0.0469167,1018.52136599,4.6378,0.1,0.988518,80.3258841934,110.29,1018.52136599,0.00281876,1,1146.89,1.24493,349.088,117142.939039,100,0.27864
343.262,95069.3144191,100,0.265284,0.01,1080.46090495,80.1119262165,2.50761e-05,0.0272465,1080.46090495,2.80244,0.1,1.02855,85.8903660479,116.92,1080.46090495,0.000649308,1,1156.1,1.16427,571.792,95069.3144191,100,0.0667846
295.765,73116.405746,100,0.0746828,0.01,1104.1301439,92.2841819591,8.44537e-06,0.0188311,1104.1301439,1.77083,0.1,0.940375,94.7893479772,119.75,1104.1301439,0.00439338,1,1134.7,1.05497,519.495,73116.405746,100,0.413142
3497.27,159986.911038,100,51.5261,0.01,1082.30780797,4.65543709614,0.00206871,0.454254,1082.30780797,71.6906,0.1,1.5782,33.5570843519,117.23,1082.30780797,4.39905e-05,1,1919.97,2.98,533.904,159986.911038,100,0.00694261
1511.15,121242.035041,100,2503.12,0.01,1253.94675052,1.38227414665,0.00720652,0.850373,1253.94675052,501.173,0.1,5.89357,48.6689869207,135.67,1253.94675052,0.000369134,1,2291.93,2.0547,1230.47,121242.035041,100,0.217552
2529.66,142263.917568,100,143.011,0.01,1271.7104576,3.0773820143,0.00318133,0.566819,1271.7104576,120.178,0.1,2.12022,45.4388261036,137.95,1271.7104576,0.000131812,1,1932.14,2.20076,770.008,142263.917568,100,0.0279471
