AvgNormIw,eRenyi2,VarRet,Bound,MinVanillaIw,MaxNormIw,MaxVanillaIw,VarJ,MinNormIw,VarVanillaIw,VarNormIw,BatchSize,VarDiscRet,J,AvgEpLen,AvgVanillaIw,AvgDiscRet,AvgRet,ESSRenyi,ESSClassic
0.01,682342.25,5523.767704460462,5593323.5,,1.0,1120781.5,,,12561507000.0,0.010000002,100,5523.767704460462,499.0931,8.06,11207.815,3.197442310920451e-15,70.55286922743636,0.0001465540203614828,1.0
0.01,191830.9,516152.748587248,7754114.5,,1.0,357423.4,0.0002413349,,1277514600.0,0.010000002,100,516152.748587248,2170.0012,102.03,3574.2341,1.8189894035458565e-14,1009.9618480146056,0.0005212924338150021,1.0
0.01,273912.0,459609.2799635994,6303225.5,,1.0,271576.75,,,737539140.0,0.010000002,100,459609.27996359946,2321.87,147.85,2715.7676,2.1373125491663812e-13,1468.1148973355348,0.00036508075586319695,1.0
0.01,inf,360074.3481549207,973781.56,,1.0,57387.65,0.00019419195,,32933418.0,0.010000002,100,360074.3481549207,1700.604,145.98,573.87646,2.1600499167107045e-13,1449.3678025166207,,1.0
0.01,nan,422982.6816550566,426144.56,,1.0,24002.258,,,5761082.0,0.010000003,100,422982.6816550566,1787.9108,145.24,240.02258,4.547473508864641e-15,1442.060124354523,nan,1.0
0.01,nan,459366.4011812777,604032.5,,0.45810792,13746.922,8325.758,,3412738.2,0.0037898987,100,459366.4011812776,2018.9854,151.56,300.08044,2.3419488570652903e-13,1505.276140186972,nan,2.596054184276884
0.01,nan,502463.45062072633,526133.94,,0.62625545,23906.742,2515.5845,,7681823.0,0.0052714054,100,502463.45062072633,1382.0397,156.23,381.74106,8.412825991399586e-14,1551.9340535175538,nan,1.8801614011930377
0.01,nan,478694.74465858453,211199.12,,0.99764043,17819.025,32.166656,,3175041.5,0.009952442,100,478694.74465858465,1196.4512,157.16,178.6117,-2.7398527890909465e-13,1561.1960670108647,nan,1.0047308126886387
0.01,nan,402095.7142370168,12266218.0,,1.0,897924.2,,,8062677500.0,0.010000002,100,402095.7142370168,1366.2595,160.41,8979.242,6.139089236967266e-14,1593.72269273735,nan,1.0
0.01,nan,527055.6055930081,53263256.0,,0.8974422,5074160.0,1888.4119,,260239020000.0,0.008140613,100,527055.6055930081,942.08813,153.94,56540.24,-1.20508047984913e-13,1529.090512698621,nan,1.225609251703389
