EpsThisIter,MinVanillaIw,eRenyi2,AvgVanillaIw,AvgNormIw,VarJ,MinNormIw,AvgRet,ESSClassic,AvgDiscRet,MaxNormIw,VarRet,VanillaAvgRet,Bound,BatchSize,IterType,J,VarNormIw,VarDiscRet,VarVanillaIw,ESSRenyi,AvgEpLen,MaxVanillaIw
100,0.23695217,1.1009923,4755.036,0.010000002,0.24896774,4.9831834e-07,25.797403879447998,1.0003978548667334,25.797403879447998,0.99980116,1440.6683034474345,25.797403879447998,148.08823,100,1,162.43501,0.009995984,1440.6683034474345,2260128800.0,90.82715474458988,103.69,475409.06
100,2.1034516e-06,1.0975112,1.3054701,0.010000002,34.2186,1.61126e-08,25.797403879447998,77.75888856227162,19.779876928632806,0.032327514,1440.6683034474345,25.797403879447998,12.185391,200,,20.754368,2.889157e-05,1155.1533836378806,0.4923852,182.2304911774619,103.69,4.2202606
100,0.20695806,1.1464667,12045.608,0.005,0.14454831,8.590602e-08,21.915199833777482,1.0001681322537794,21.915199833777482,0.99991596,1699.4539548398232,21.915199833777482,152.09749,200,1,162.44958,0.004999155,1699.4539548398232,29014440000.0,174.44902186277588,106.13,2408919.2
100,1.0,1.0,1.0,0.009999998,35.30503,0.01,25.417111507123693,100.0,25.417111507123693,0.01,1259.035519454022,25.417111507123693,14.181822,200,2,25.41711,3.5044917e-18,1259.035519454022,,200.0,103.71,1.0
100,4.151239e-07,1.1417468,1.3576168,0.005,37.138,1.52887e-09,21.915199833777482,148.72982692387555,19.839125769519047,0.017795512,1699.4539548398232,21.915199833777482,14.900906,300,,23.389858,8.661311e-06,1151.3500035255804,0.63855445,262.7552892322618,106.13,4.8318973
100,0.033407405,1.1046995,2009.8605,0.003333333,1.1344099,5.5405845e-08,18.10055195639904,1.0009433110868755,18.10055195639904,0.9995287,1541.013313243531,18.10055195639904,154.09732,300,1,162.39438,0.0033301816,1541.013313243531,1210715800.0,271.56706602030823,103.39,602673.94
100,1.0,1.0,1.0,0.009999998,35.03291,0.01,18.315095355794522,100.0,18.315095355794522,0.01,1239.7017191635068,18.315095355794522,7.191719,300,2,18.315096,3.5044917e-18,1239.7017191635068,,300.0,103.12,1.0
100,1.0,1.0,1.0,0.0049999994,34.29993,0.005,20.803116770166937,200.00000010221265,20.803116770166937,0.005,1133.9099644010175,20.803116770166937,11.693691,300,2,19.559107,2.179301e-19,1133.9099644010175,,300.0,101.08,1.0
100,1.659272e-06,1.1015358,1.2471216,0.0033333334,93.85666,4.4349378e-09,18.10055195639904,105.06591405416395,17.411483629849478,0.08000686,1541.013313243531,18.10055195639904,17.582232,400,,24.322472,2.0683954e-05,1299.3411702385133,2.8953,363.12936996339533,103.39,29.933485
100,0.05238723,1.1092741,1927.4169,0.0025000004,1.3730625,6.7950054e-08,18.189859130894764,1.000989752110356,18.189859130894764,0.9995055,1048.8959053098854,18.189859130894764,155.19087,400,1,162.39119,0.0024975222,1048.8959053098854,1484501400.0,360.59616135637606,103.28,770585.5
100,1.0,1.0,1.0,0.009999998,38.73406,0.01,16.998416712966478,100.0,16.998416712966478,0.01,1515.4820756134868,16.998416712966478,2.2987785,400,2,16.998417,3.5044917e-18,1515.4820756134868,,400.0,103.6,1.0
100,1.0,1.0,1.0,0.0049999994,36.827255,0.005,17.111476172870738,200.00000010221265,17.111476172870738,0.005,1224.40360364071,17.111476172870738,6.660733,400,2,17.054947,2.179301e-19,1224.40360364071,,400.0,109.78,1.0
100,1.0,1.0,1.0,0.0033333336,35.007168,0.0033333334,12.890938944747667,299.999969473632,12.890938944747667,0.0033333334,962.0737669071348,12.890938944747667,7.180105,400,2,15.6669445,5.4391416e-20,962.0737669071348,,400.0,105.47,1.0
100,1.2977146e-06,1.1063486,1.203636,0.0025,37.38492,2.6954048e-09,18.189859130894764,241.54776880828678,23.19201975185003,0.039647825,1048.8959053098854,18.189859130894764,10.462988,500,,18.193756,4.110194e-06,1524.7927536872448,0.9527363,451.93710620668105,103.28,19.088621
100,0.06363316,1.1106468,1737.8003,0.0019999999,1.7405424,7.323415e-08,20.860279073830338,1.0011020146784169,20.860279073830338,0.99944943,1228.8635838052733,20.860279073830338,155.93784,500,1,162.38199,0.001997794,1228.8635838052733,1508309400.0,450.188106815004,109.91,868421.75
100,1.0,1.0,1.0,0.009999998,33.158993,0.01,28.399621159543102,100.0,28.399621159543102,0.01,1110.6250948747959,28.399621159543102,18.515377,500,2,28.399622,3.5044917e-18,1110.6250948747959,,500.0,102.3,1.0
100,1.0,1.0,1.0,0.0049999994,33.440998,0.005,26.754681193038458,200.00000010221265,26.754681193038458,0.005,1147.200619279176,26.754681193038458,19.349613,500,2,27.57715,2.179301e-19,1147.200619279176,,500.0,103.78,1.0
100,1.0,1.0,1.0,0.0033333336,34.169548,0.0033333334,19.395467627772952,299.999969473632,19.395467627772952,0.0033333334,1233.7855314815115,19.395467627772952,17.55064,500,2,24.849922,5.4391416e-20,1233.7855314815115,,500.0,101.32,1.0
100,1.0,1.0,1.0,0.0024999997,34.035725,0.0025,16.697278347948455,400.0,16.697278347948455,0.0025,1092.1203622437492,16.697278347948455,16.490398,500,2,22.811762,5.434597e-20,1092.1203622437492,,500.0,106.3,1.0
100,0.15220615,1.2274269,13577.589,0.002,0.19676018,2.2420203e-08,21.84096190592526,1.00016308276788,21.84096190592526,0.99991846,1056.3754672648652,21.84096190592526,143.94592,500,1,150.20995,0.0019996732,1056.3754672648652,92160410000.0,407.35623887293457,100.04,6788241.0
