MinNormIw,VarJ,VarVanillaIw,eRenyi2,AvgNormIw,VarDiscRet,MaxVanillaIw,VarRet,AvgRet,ESSClassic,VarNormIw,AvgVanillaIw,AvgEpLen,AvgDiscRet,MinVanillaIw,J,MaxNormIw,Bound,ESSRenyi,BatchSize
3.7824488e-25,122.172585,4.843092,5.0224533,0.01,5688470.842681565,7.2186613,5688470.842681565,-2654.305220661724,26.26722850315446,0.00028353796,1.3069403,200.0,-2654.305220661724,4.9434347e-23,-46.05391,0.05523329,-437.43707,19.910588285333652,100
7.689481e-09,8.616231,0.88372725,1.8676726,0.01,499.0204413302354,2.5370848,499.0204413302354,-11.059243933106256,56.6173578344294,7.7398254e-05,1.0685468,200.0,-11.059243933106256,8.2165695e-07,-6.8335004,0.02374332,-9.33037,53.54257593249274,100
1.8904874e-21,10.63656,1.7064246,2.761484,0.01,57.16532756621557,3.832636,57.16532756621557,-8.669768717496668,37.82105778610007,0.00016606366,1.0136925,200.0,-8.669768717496668,1.916373e-19,-7.2566886,0.037808664,-8.290667,36.21241453595997,100
0.0044548437,15.059604,6.8142715e-16,nan,0.009999999,55.38764785391992,2.6347905e-07,55.38764785391992,-9.071662652582926,13.915302921796519,0.0006248821,1.0442648e-08,200.0,-9.071662652582926,4.6520365e-09,-7.30513,0.25231057,-8.983051,nan,100
,407.5385,3.603084,5.2490067,0.01,938713.6945532303,7.387837,938713.6945532303,-4888.107040272842,19.891557977345823,0.00040679376,0.9411309,200.0,-4888.107040272842,,-3791.1099,0.07849957,-3973.812,19.051223364173122,100
,356.5364,0.2065556,193.0923,0.01,42085.02403702814,4.0273643,42085.02403702814,-3847.99965629377,2.8868421239442195,0.0033979716,0.07796659,200.0,-3847.99965629377,,-3657.7915,0.51655,-3759.3376,0.5178870404726478,100
,82.15301,190.5045,59.4227,0.01,42516.99822570505,84.02522,42516.99822570505,-3830.8924045122317,2.996434896498856,0.0032699995,2.4136748,200.0,-3830.8924045122317,,-3622.2603,0.34812152,-3722.4424,1.6828585999220405,100
0.007192147,219.89589,0.19911253,2.1218147,0.010000002,52818.802913412685,3.6498508,52818.802913412685,-3858.090984522498,81.33564817722923,2.3179096e-05,0.92683214,200.0,-3858.090984522498,0.6665913,-3853.038,0.03937985,-3874.4702,47.1294683228429,100
,292.39365,58.12286,62.47438,0.01,55764.908347358214,69.37183,55764.908347358214,-3876.265016425532,1.7666680762144513,0.005616538,1.0172769,200.0,-3876.265016425532,,-3684.4116,0.68193656,-3833.8335,1.6006561283299479,100
0.005954622,211.90596,0.158627,1.9542927,0.01,43740.16762691768,2.5469217,43740.16762691768,-3851.2091228891964,82.95821217353675,2.0750116e-05,0.8743359,200.0,-3851.2091228891964,0.52063394,-3847.902,0.029129786,-3867.2139,51.1694089135554,100
,82.2058,3.0346773,97.81122,0.01,44122.07328809834,14.30963,44122.07328809834,-3838.363941423672,1.991628920130521,0.004970722,0.24708502,200.0,-3838.363941423672,,-3627.7861,0.5791379,-3752.9663,1.022377614522954,100
,,,1.613601e+27,0.01,47618.94024227294,3.2715032e-37,47618.94024227294,-3822.0342443652503,inf,0.010000003,3.271504e-39,200.0,-3822.0342443652503,,-3602.6826,1.0,-3786.2102,6.197318737795756e-26,100
,328.9867,15830.302,295.0715,0.01,50828.825404625204,417.29285,50828.825404625204,-3844.612452554197,10.000001497609771,0.00090909074,41.729286,200.0,-3844.612452554197,,-3704.1091,0.099999994,-3764.0698,0.3389009073728426,100
0.009999998,187.37952,4.0192315e-15,1.0534782,0.009999998,35465.75625902683,0.8721864,35465.75625902683,-3820.295230675237,100.0000306160285,8.4107807e-19,0.8721865,200.0,-3820.295230675237,0.87218636,-3820.2944,0.009999999,-3836.133,94.9236501631283,100
0.01,213.0616,,1.0,0.009999998,45853.78952848211,1.0,45853.78952848211,-3837.8054173154756,100.0,3.5044917e-18,1.0,200.0,-3837.8054173154756,1.0,-3837.8054,0.01,-3855.8147,100.0,100
0.01,203.19783,,1.0,0.009999998,41706.42499753634,1.0,41706.42499753634,-3846.2492442859807,100.0,3.5044917e-18,1.0,200.0,-3846.2492442859807,1.0,-3846.2493,0.01,-3863.4248,100.0,100
0.009999998,211.96945,,nan,0.009999998,45384.90794663927,1.4991509e-24,45384.90794663927,-3858.1085906702297,inf,,1.4991512e-24,200.0,-3858.1085906702297,1.4991509e-24,-3858.1077,0.009999998,-3876.0247,nan,100
