MaxNormIw,MaxVanillaIw,AvgVanillaIw,VarNormIw,J,VarJ,ESSRenyi,VarVanillaIw,eRenyi2,VarRet,AvgRet,MinNormIw,ESSClassic,AvgDiscRet,AvgNormIw,AvgEpLen,Bound,MinVanillaIw,VarDiscRet,BatchSize
0.09674979,9.145837,0.94530815,0.00021247096,634.4812,295.6852,40.44416313649619,1.898656,2.4725447,226311.3919804764,672.05722876388,1.0776078e-05,32.22207403712413,441.4374590172733,0.01,68.19,268.848,0.0010186714,42111.97451928649,100
1.0,5.031889e-05,5.031889e-07,0.010000002,755.0144,1.9644983e-15,0.0024308039836699346,2.53199e-11,41138.652,189225.19576584938,985.8727425808107,,1.0,595.5870401722921,0.01,99.57,463.99808,,24480.250609219416,100
1.0,1.8666654e-18,1.8666654e-20,0.010000002,859.0466,2.009484e-05,inf,3.4844393e-38,,57560.13463590913,1714.4890067214815,,1.0,816.2610378444997,0.01,172.21,779.1229,,1949.918873935864,100
1.0,37.213356,0.37213355,0.010000002,749.9383,,0.43252247468906013,13.848333,231.20186,449144.18736752693,888.1249657753785,,1.0,489.5611182095306,0.01,89.81,215.08493,,106508.99956593002,100
0.018535184,1.7392789,0.9383662,2.030014e-05,770.4795,38.004833,85.61165132171013,0.17874901,1.1680653,23421.785956827556,1457.2631356556847,0.0012185656,83.26590933733112,766.1344381245171,0.010000002,146.77,737.6158,0.11434607,1149.8322471389588,100
0.026547628,2.5564673,0.96297395,1.1727181e-05,764.7794,35.04088,89.93987931260378,0.10874835,1.1118538,24119.947785006643,1440.1456745942048,0.004178888,89.59776121107292,762.0121920538668,0.010000002,145.05,732.7819,0.40241605,1207.9330307791977,100
0.021886274,2.2653894,1.0350732,1.0709439e-05,763.02814,36.964176,90.46087597265623,0.11473843,1.1054503,30539.689090423846,1438.0504934484884,0.0038703235,90.41398235017354,760.9017589750322,0.010000002,144.82,729.5173,0.4006068,1392.5378020722262,100
0.024238763,2.288163,0.9440098,2.7895465e-05,771.8125,40.746994,80.21203971183513,0.2485917,1.2466956,26421.008992142008,1458.346069394113,0.001958221,78.35976036295467,765.9783486804163,0.010000002,146.88,734.57355,0.18485796,1394.3377949401952,100
1.0,1.8084128e-22,1.8084127e-24,0.010000002,776.15186,,0.16421202233660356,,608.9688,25287.10330632824,1448.2641213777056,,1.014697607322302,763.7769156496856,0.01,145.87,733.4558,,1299.7718774906182,100
1.0,0.04118481,0.0004118481,0.010000003,824.12964,9.1287256e-10,10537.727254749767,1.6961883e-05,0.009489712,22168.975116932535,1449.3566587528692,,1.0,764.3546629718351,0.01,145.98,735.5325,,1174.4396083739957,100
0.020092502,1.9199898,0.9555752,2.4000092e-05,770.1261,40.19949,81.9246642655534,0.21915063,1.2206336,26955.029357749376,1432.797305307961,0.00022638399,80.80149230088959,759.8453466421798,0.01,144.33,727.37354,0.021632694,1490.6952915519919,100
0.7435958,0.0051681832,6.950259e-05,0.0058985576,830.8441,168.22191,inf,2.8493625e-07,,28919.028237669692,1472.974461045378,,1.683623677511804,769.1467188321493,0.01,148.34,737.18854,,1443.915634975033,100
1.0,1.228313e-36,1.2283131e-38,0.010000002,747.4825,,0.00017513876737116602,,570975.8,19611.73540881206,1194.3733120384998,,inf,696.0164370371534,0.01,120.47,661.8096,,1654.256886244586,100
0.016995009,1.8085811,1.0641837,1.1045551e-05,761.70123,29.441586,89.02898156656302,0.12508942,1.1232297,18711.310943312852,1428.0974065542034,0.0015356631,90.14279146331138,759.7557933576539,0.010000002,143.85,733.8324,0.16342278,950.0800475133639,100
1.0,2.0485902e-30,2.0485903e-32,0.010000002,803.5924,,170.41171822713557,,0.5868141,22451.5165174691,1449.2958452729135,,inf,764.3595896012107,0.01,145.97,735.8401,,1149.8944610843205,100
0.025948176,2.592774,0.99921244,1.5175864e-05,769.47327,31.387228,87.2901060797606,0.15151967,1.1456052,21929.84866485471,1460.5991550426138,0.0047523137,86.9383175870738,767.1072244438358,0.01,147.1,739.7162,0.4748571,1060.698015714661,100
0.023133514,2.3147287,1.0005955,9.256124e-06,773.0334,30.721958,91.20905431068545,0.09267151,1.0963824,19973.983195674657,1476.2989218858957,0.004706703,91.60564938404578,770.9430380326818,0.01,148.67,744.7977,0.47095054,966.4180319162401,100
