Delta,AvgNormIw,AvgRet,BatchSize,VarJ,AvgEpLen,VarVanillaIw,VarRet,IterType,AvgVanillaIw,eRenyi2,AvgDiscRet,MinNormIw,VarNormIw,MaxNormIw,VanillaAvgRet,ESSRenyi,VarDiscRet,MinVanillaIw,EpsThisIter,MaxVanillaIw,J,ESSClassic,Bound
1.0,0.0025,-1700.90934114,500,382.355,500.0,,118442.393762,2,1.0,1.0,-1700.90934114,0.0025,5.4346e-20,0.0025,-1700.90934114,500.0,118442.393762,1.0,100,1.0,-1690.95,400.0,-1690.95
1.0,0.002,-1706.75087991,500,1131.49,500.0,2.24654,145892.001347,1,0.917566,inf,-1706.75087991,0.000137202,1.06733e-05,0.0428625,-1706.75087991,,145892.001347,0.0629462,100,19.6646,-1405.83,136.500560576,-1405.83
1.0,0.01,-1270.52909022,500,542.974,500.0,,297798.857897,2,1.0,1.0,-1270.52909022,0.01,3.50449e-18,0.01,-1270.52909022,500.0,297798.857897,1.0,100,1.0,-1270.53,100.0,-1270.53
1.0,0.005,-1431.37383324,500,538.711,500.0,,275415.757414,2,1.0,1.0,-1431.37383324,0.005,2.1793e-19,0.005,-1431.37383324,500.0,275415.757414,1.0,100,1.0,-1350.95,200.000000102,-1350.95
1.0,0.00333333,-1366.89161391,500,547.575,500.0,,322149.520708,2,1.0,1.0,-1366.89161391,0.00333333,5.43914e-20,0.00333333,-1366.89161391,500.0,322149.520708,1.0,100,1.0,-1356.26,299.999969474,-1356.26
1.0,0.0025,-1334.48055538,500,544.54,500.0,,289115.716429,2,1.0,1.0,-1334.48055538,0.0025,5.4346e-20,0.0025,-1334.48055538,500.0,289115.716429,1.0,100,1.0,-1350.82,400.0,-1350.82
1.0,0.002,-1293.96750966,500,492.504,500.0,28.0924,314659.541299,1,0.852896,inf,-1293.96750966,6.46344e-25,0.000154475,0.197914,-1293.96750966,,314659.541299,2.75632e-22,100,84.4002,-746.782,12.6449818221,-746.782
1.0,0.01,-735.821339604,500,210.363,500.0,,44699.5032746,2,1.0,1.0,-735.821339604,0.01,3.50449e-18,0.01,-735.821339604,500.0,44699.5032746,1.0,100,1.0,-735.821,100.0,-735.821
1.0,0.005,-765.222268937,500,246.117,500.0,,77234.7246018,2,1.0,1.0,-765.222268937,0.005,2.1793e-19,0.005,-765.222268937,500.0,77234.7246018,1.0,100,1.0,-750.522,200.000000102,-750.522
1.0,0.00333333,-807.702249402,500,279.842,500.0,,112735.965853,2,1.0,1.0,-807.702249402,0.00333333,5.43914e-20,0.00333333,-807.702249402,500.0,112735.965853,1.0,100,1.0,-769.582,299.999969474,-769.582
1.0,0.0025,-740.976042678,500,263.203,500.0,,41973.5026279,2,1.0,1.0,-740.976042678,0.0025,5.4346e-20,0.0025,-740.976042678,500.0,41973.5026279,1.0,100,1.0,-762.431,400.0,-762.431
1.0,0.002,-797.499095023,500,2.26182,500.0,6.39802e-05,93236.5307849,1,0.000358192,inf,-797.499095023,,0.00199468,0.998672,-797.499095023,,93236.5307849,,100,0.178858,-604.232,1.00265944048,-604.232
1.0,0.01,-836.751587552,500,237.15,500.0,,56808.0729203,2,1.0,1.0,-836.751587552,0.01,3.50449e-18,0.01,-836.751587552,500.0,56808.0729203,1.0,100,1.0,-836.752,100.0,-836.752
1.0,0.005,-827.353932372,500,232.202,500.0,,52072.1967649,2,1.0,1.0,-827.353932372,0.005,2.1793e-19,0.005,-827.353932372,500.0,52072.1967649,1.0,100,1.0,-832.053,200.000000102,-832.053
