Delta,AvgNormIw,AvgRet,BatchSize,VarJ,AvgEpLen,VarVanillaIw,VarRet,IterType,AvgVanillaIw,eRenyi2,AvgDiscRet,MinNormIw,VarNormIw,MaxNormIw,VanillaAvgRet,ESSRenyi,VarDiscRet,MinVanillaIw,EpsThisIter,MaxVanillaIw,J,ESSClassic,Bound
1.0,0.00333333,-458.474652648,500,37.7894,500.0,,1294.36321614,2,1.0,1.0,-458.474652648,0.00333333,5.43914e-20,0.00333333,-458.474652648,500.0,1294.36321614,1.0,100,1.0,-461.148,299.999969474,-461.148
1.0,0.0025,-456.590069182,500,37.6063,500.0,,1370.966184,2,1.0,1.0,-456.590069182,0.0025,5.4346e-20,0.0025,-456.590069182,500.0,1370.966184,1.0,100,1.0,-460.008,400.0,-460.008
1.0,0.002,-460.394860518,500,89.8367,500.0,4.90435,1907.32309612,1,1.01021,inf,-460.394860518,2.86101e-16,1.92229e-05,0.0677225,-460.394860518,,1907.32309612,1.44511e-13,100,34.2069,-448.638,86.2647004924,-448.638
1.0,0.01,-454.069367004,500,39.8014,500.0,,1600.15104282,2,1.0,1.0,-454.069367004,0.01,3.50449e-18,0.01,-454.069367004,500.0,1600.15104282,1.0,100,1.0,-454.069,100.0,-454.069
1.0,0.005,-458.825298332,500,38.3646,500.0,,1361.84866209,2,1.0,1.0,-458.825298332,0.005,2.1793e-19,0.005,-458.825298332,500.0,1361.84866209,1.0,100,1.0,-456.447,200.000000102,-456.447
1.0,0.00333333,-462.738777455,500,38.4677,500.0,,1484.04989952,2,1.0,1.0,-462.738777455,0.00333333,5.43914e-20,0.00333333,-462.738777455,500.0,1484.04989952,1.0,100,1.0,-458.544,299.999969474,-458.544
1.0,0.0025,-456.400611908,500,37.697,500.0,,1254.04727665,2,1.0,1.0,-456.400611908,0.0025,5.4346e-20,0.0025,-456.400611908,500.0,1254.04727665,1.0,100,1.0,-458.008,400.0,-458.008
1.0,0.002,-451.431458232,500,87.5592,500.0,32.7173,924.518436867,1,1.30875,inf,-451.431458232,2.65545e-06,7.64051e-05,0.151648,-451.431458232,,924.518436867,0.00173767,100,99.2347,-444.405,24.9214103923,-444.405
1.0,0.01,-455.939561501,500,38.9804,500.0,,1534.81916585,2,1.0,1.0,-455.939561501,0.01,3.50449e-18,0.01,-455.939561501,500.0,1534.81916585,1.0,100,1.0,-455.94,100.0,-455.94
1.0,0.005,-463.48276765,500,39.57,500.0,,1599.64739957,2,1.0,1.0,-463.48276765,0.005,2.1793e-19,0.005,-463.48276765,500.0,1599.64739957,1.0,100,1.0,-459.711,200.000000102,-459.711
1.0,0.00333333,-461.998535992,500,39.8306,500.0,,1640.77711719,2,1.0,1.0,-461.998535992,0.00333333,5.43914e-20,0.00333333,-461.998535992,500.0,1640.77711719,1.0,100,1.0,-460.474,299.999969474,-460.474
1.0,0.0025,-463.794264046,500,38.8361,500.0,,1278.05982078,2,1.0,1.0,-463.794264046,0.0025,5.4346e-20,0.0025,-463.794264046,500.0,1278.05982078,1.0,100,1.0,-461.304,400.0,-461.304
1.0,0.002,-459.90349298,500,85.0492,500.0,8.27773,1280.49099864,1,0.960942,inf,-459.90349298,5.70454e-06,3.58572e-05,0.106052,-459.90349298,,1280.49099864,0.00274087,100,50.9549,-453.727,50.2695888797,-453.727
1.0,0.01,-451.538909102,500,37.0353,500.0,,1385.4696541,2,1.0,1.0,-451.538909102,0.01,3.50449e-18,0.01,-451.538909102,500.0,1385.4696541,1.0,100,1.0,-451.539,100.0,-451.539
1.0,0.005,-462.071016782,500,36.0519,500.0,,1184.23685565,2,1.0,1.0,-462.071016782,0.005,2.1793e-19,0.005,-462.071016782,500.0,1184.23685565,1.0,100,1.0,-456.805,200.000000102,-456.805
1.0,0.00333333,-461.745370862,500,37.2423,500.0,,1560.84210239,2,1.0,1.0,-461.745370862,0.00333333,5.43914e-20,0.00333333,-461.745370862,500.0,1560.84210239,1.0,100,1.0,-458.452,299.999969474,-458.452
1.0,0.0025,-456.332724797,500,38.7664,500.0,,1865.64567566,2,1.0,1.0,-456.332724797,0.0025,5.4346e-20,0.0025,-456.332724797,500.0,1865.64567566,1.0,100,1.0,-457.922,400.0,-457.922
1.0,0.002,-460.328140327,500,100.785,500.0,5.6212,1445.29736439,1,0.960067,1.00002,-460.328140327,5.28801e-07,2.43942e-05,0.0610386,-460.328140327,499.991595886,1445.29736439,0.000253842,100,29.3006,-446.47,70.5582815332,-446.47
1.0,0.01,-457.621762211,500,34.7579,500.0,,1220.31727066,2,1.0,1.0,-457.621762211,0.01,3.50449e-18,0.01,-457.621762211,500.0,1220.31727066,1.0,100,1.0,-457.622,100.0,-457.622
1.0,0.005,-455.1850362,500,37.2219,500.0,,1575.619319,2,1.0,1.0,-455.1850362,0.005,2.1793e-19,0.005,-455.1850362,500.0,1575.619319,1.0,100,1.0,-456.403,200.000000102,-456.403
1.0,0.00333333,-463.160939255,500,38.418,500.0,,1642.86337319,2,1.0,1.0,-463.160939255,0.00333333,5.43914e-20,0.00333333,-463.160939255,500.0,1642.86337319,1.0,100,1.0,-458.656,299.999969474,-458.656
1.0,0.0025,-454.59259193,500,39.1328,500.0,,1702.33193098,2,1.0,1.0,-454.59259193,0.0025,5.4346e-20,0.0025,-454.59259193,500.0,1702.33193098,1.0,100,1.0,-457.64,400.0,-457.64
1.0,0.002,-461.561976951,500,1.9428e-06,500.0,,1596.5213625,1,1.78641e-27,1.64347e+08,-461.561976951,,0.002,1.0,-461.561976951,3.04234525975e-06,1596.5213625,,100,8.93205e-25,-387.932,inf,-387.932
1.0,0.01,-548.258888873,500,66.3527,500.0,,4447.14687305,2,1.0,1.0,-548.258888873,0.01,3.50449e-18,0.01,-548.258888873,500.0,4447.14687305,1.0,100,1.0,-548.259,100.0,-548.259
1.0,0.005,-535.446230251,500,66.4836,500.0,,4399.3763357,2,1.0,1.0,-535.446230251,0.005,2.1793e-19,0.005,-535.446230251,500.0,4399.3763357,1.0,100,1.0,-541.853,200.000000102,-541.853
1.0,0.00333333,-536.546167322,500,68.2352,500.0,,5160.82701561,2,1.0,1.0,-536.546167322,0.00333333,5.43914e-20,0.00333333,-536.546167322,500.0,5160.82701561,1.0,100,1.0,-540.084,299.999969474,-540.084
1.0,0.0025,-548.032017055,500,68.5044,500.0,,4803.93184946,2,1.0,1.0,-548.032017055,0.0025,5.4346e-20,0.0025,-548.032017055,500.0,4803.93184946,1.0,100,1.0,-542.071,400.0,-542.071
1.0,0.002,-539.511071334,500,7.08703e-08,500.0,4.78532e-07,4994.23770558,1,3.09365e-05,1.11819e+06,-539.511071334,,0.002,1.0,-539.511071334,0.00044715274928,4994.23770558,,100,0.0154682,-393.935,1.0,-393.935
1.0,0.01,-466.272228551,500,45.4271,500.0,,2084.46417971,2,1.0,1.0,-466.272228551,0.01,3.50449e-18,0.01,-466.272228551,500.0,2084.46417971,1.0,100,1.0,-466.272,100.0,-466.272
1.0,0.005,-463.769917805,500,45.1239,500.0,,2025.84017109,2,1.0,1.0,-463.769917805,0.005,2.1793e-19,0.005,-463.769917805,500.0,2025.84017109,1.0,100,1.0,-465.021,200.000000102,-465.021
1.0,0.00333333,-470.778298393,500,43.0876,500.0,,1490.08829868,2,1.0,1.0,-470.778298393,0.00333333,5.43914e-20,0.00333333,-470.778298393,500.0,1490.08829868,1.0,100,1.0,-466.94,299.999969474,-466.94
1.0,0.0025,-464.574237742,500,43.2003,500.0,,1910.3514302,2,1.0,1.0,-464.574237742,0.0025,5.4346e-20,0.0025,-464.574237742,500.0,1910.3514302,1.0,100,1.0,-466.349,400.0,-466.349
1.0,0.002,-455.19457834,500,289.838,500.0,24.8632,1295.45501757,1,0.437324,1282.51,-455.19457834,2.15941e-24,0.00052001,0.387266,-455.19457834,0.389859799906,1295.45501757,4.7218e-22,100,84.6802,-436.642,3.82430911739,-436.642
1.0,0.01,-455.373578474,500,35.8676,500.0,,1299.47619809,2,1.0,1.0,-455.373578474,0.01,3.50449e-18,0.01,-455.373578474,500.0,1299.47619809,1.0,100,1.0,-455.374,100.0,-455.374
1.0,0.005,-458.999937933,500,38.7235,500.0,,1723.18863594,2,1.0,1.0,-458.999937933,0.005,2.1793e-19,0.005,-458.999937933,500.0,1723.18863594,1.0,100,1.0,-457.187,200.000000102,-457.187
1.0,0.00333333,-456.370403885,500,40.1839,500.0,,1863.42065177,2,1.0,1.0,-456.370403885,0.00333333,5.43914e-20,0.00333333,-456.370403885,500.0,1863.42065177,1.0,100,1.0,-456.915,299.999969474,-456.915
1.0,0.0025,-458.623851521,500,40.8671,500.0,,1852.58433231,2,1.0,1.0,-458.623851521,0.0025,5.4346e-20,0.0025,-458.623851521,500.0,1852.58433231,1.0,100,1.0,-457.342,400.0,-457.342
1.0,0.002,-458.611251393,500,124.783,500.0,11.4102,1997.76279318,1,1.15936,9.42898,-458.611251393,4.01939e-21,3.39557e-05,0.0682549,-458.611251393,53.0280004972,1997.76279318,2.32997e-18,100,39.5661,-446.552,52.7874001966,-446.552
1.0,0.01,-458.337925285,500,40.1483,500.0,,1628.1646212,2,1.0,1.0,-458.337925285,0.01,3.50449e-18,0.01,-458.337925285,500.0,1628.1646212,1.0,100,1.0,-458.338,100.0,-458.338
1.0,0.005,-448.173755632,500,39.2225,500.0,,1427.5449958,2,1.0,1.0,-448.173755632,0.005,2.1793e-19,0.005,-448.173755632,500.0,1427.5449958,1.0,100,1.0,-453.256,200.000000102,-453.256
1.0,0.00333333,-450.135514235,500,37.7235,500.0,,1197.87042045,2,1.0,1.0,-450.135514235,0.00333333,5.43914e-20,0.00333333,-450.135514235,500.0,1197.87042045,1.0,100,1.0,-452.216,299.999969474,-452.216
1.0,0.0025,-475.196408353,500,84.3996,500.0,,24068.6110961,2,1.0,1.0,-475.196408353,0.0025,5.4346e-20,0.0025,-475.196408353,500.0,24068.6110961,1.0,100,1.0,-457.961,400.0,-457.961
1.0,0.002,-457.869534746,500,77.5447,500.0,2.55476e-12,1588.64336855,1,1.0,1.0,-457.869534746,0.002,1.00502e-17,0.00200002,-457.869534746,500.0,1588.64336855,0.999998,100,1.00001,-457.943,499.999982379,-457.943
1.0,0.01,-455.091592793,500,44.6017,500.0,,2009.40582547,2,1.0,1.0,-455.091592793,0.01,3.50449e-18,0.01,-455.091592793,500.0,2009.40582547,1.0,100,1.0,-455.092,100.0,-455.092
1.0,0.005,-460.841175351,500,43.4723,500.0,,1791.75279687,2,1.0,1.0,-460.841175351,0.005,2.1793e-19,0.005,-460.841175351,500.0,1791.75279687,1.0,100,1.0,-457.966,200.000000102,-457.966
1.0,0.00333333,-451.726442597,500,42.8444,500.0,,1718.46721555,2,1.0,1.0,-451.726442597,0.00333333,5.43914e-20,0.00333333,-451.726442597,500.0,1718.46721555,1.0,100,1.0,-455.886,299.999969474,-455.886
1.0,0.0025,-452.042668949,500,42.281,500.0,,1649.22664716,2,1.0,1.0,-452.042668949,0.0025,5.4346e-20,0.0025,-452.042668949,500.0,1649.22664716,1.0,100,1.0,-454.925,400.0,-454.925
1.0,0.002,-454.163821281,500,41.5734,500.0,,1505.61493947,1,1.0,1.0,-454.163821281,0.002,5.43187e-20,0.002,-454.163821281,500.0,1505.61493947,1.0,100,1.0,-454.773,500.000006643,-454.773
1.0,0.01,-454.470670257,500,40.5475,500.0,,1660.70351672,2,1.0,1.0,-454.470670257,0.01,3.50449e-18,0.01,-454.470670257,500.0,1660.70351672,1.0,100,1.0,-454.471,100.0,-454.471
1.0,0.005,-458.833174529,500,41.5285,500.0,,1813.75686473,2,1.0,1.0,-458.833174529,0.005,2.1793e-19,0.005,-458.833174529,500.0,1813.75686473,1.0,100,1.0,-456.652,200.000000102,-456.652
1.0,0.00333333,-454.657381982,500,41.5134,500.0,,1735.56612783,2,1.0,1.0,-454.657381982,0.00333333,5.43914e-20,0.00333333,-454.657381982,500.0,1735.56612783,1.0,100,1.0,-455.987,299.999969474,-455.987
1.0,0.0025,-461.659496199,500,41.9601,500.0,,1867.0360165,2,1.0,1.0,-461.659496199,0.0025,5.4346e-20,0.0025,-461.659496199,500.0,1867.0360165,1.0,100,1.0,-457.405,400.0,-457.405
1.0,0.002,-456.192166939,500,40.8087,500.0,2.2751e-12,1295.95531418,1,1.0,1.0,-456.192166939,0.00199999,9.26178e-18,0.00200001,-456.192166939,500.0,1295.95531418,0.999995,100,1.00001,-457.163,499.999836044,-457.163
1.0,0.01,-453.112096525,500,37.2903,500.0,,1404.61118734,2,1.0,1.0,-453.112096525,0.01,3.50449e-18,0.01,-453.112096525,500.0,1404.61118734,1.0,100,1.0,-453.112,100.0,-453.112
1.0,0.005,-455.927686169,500,38.4183,500.0,,1573.13596028,2,1.0,1.0,-455.927686169,0.005,2.1793e-19,0.005,-455.927686169,500.0,1573.13596028,1.0,100,1.0,-454.52,200.000000102,-454.52
1.0,0.00333333,-451.786754869,500,39.2828,500.0,,1689.39020532,2,1.0,1.0,-451.786754869,0.00333333,5.43914e-20,0.00333333,-451.786754869,500.0,1689.39020532,1.0,100,1.0,-453.609,299.999969474,-453.609
1.0,0.0025,-458.990696762,500,40.3301,500.0,,1873.6799095,2,1.0,1.0,-458.990696762,0.0025,5.4346e-20,0.0025,-458.990696762,500.0,1873.6799095,1.0,100,1.0,-454.954,400.0,-454.954
1.0,0.002,-452.611782192,500,40.0476,500.0,,1523.81728625,1,1.0,1.0,-452.611782192,0.002,5.43187e-20,0.002,-452.611782192,500.0,1523.81728625,1.0,100,1.0,-454.486,500.000006643,-454.486
1.0,0.01,-456.842945259,500,41.9978,500.0,,1781.63561649,2,1.0,1.0,-456.842945259,0.01,3.50449e-18,0.01,-456.842945259,500.0,1781.63561649,1.0,100,1.0,-456.843,100.0,-456.843
1.0,0.005,-449.654186171,500,39.0268,500.0,,1269.21662752,2,1.0,1.0,-449.654186171,0.005,2.1793e-19,0.005,-449.654186171,500.0,1269.21662752,1.0,100,1.0,-453.249,200.000000102,-453.249
1.0,0.00333333,-453.88066962,500,40.1564,500.0,,1809.25697797,2,1.0,1.0,-453.88066962,0.00333333,5.43914e-20,0.00333333,-453.88066962,500.0,1809.25697797,1.0,100,1.0,-453.459,299.999969474,-453.459
1.0,0.0025,-451.53292633,500,39.3924,500.0,,1380.46652128,2,1.0,1.0,-451.53292633,0.0025,5.4346e-20,0.0025,-451.53292633,500.0,1380.46652128,1.0,100,1.0,-452.978,400.0,-452.978
1.0,0.002,-466.486061808,500,40.6876,500.0,,1943.7886717,1,1.0,1.0,-466.486061808,0.002,5.43187e-20,0.002,-466.486061808,500.0,1943.7886717,1.0,100,1.0,-455.679,500.000006643,-455.679
1.0,0.01,-449.725261478,500,36.5705,500.0,,1350.91171292,2,1.0,1.0,-449.725261478,0.01,3.50449e-18,0.01,-449.725261478,500.0,1350.91171292,1.0,100,1.0,-449.725,100.0,-449.725
1.0,0.005,-460.773218252,500,39.8725,500.0,,1799.18797334,2,1.0,1.0,-460.773218252,0.005,2.1793e-19,0.005,-460.773218252,500.0,1799.18797334,1.0,100,1.0,-455.249,200.000000102,-455.249
1.0,0.00333333,-484.121498695,500,114.858,500.0,,36203.4439452,2,1.0,1.0,-484.121498695,0.00333333,5.43914e-20,0.00333333,-484.121498695,500.0,36203.4439452,1.0,100,1.0,-464.873,299.999969474,-464.873
1.0,0.0025,-456.280364497,500,101.928,500.0,,1944.86940462,2,1.0,1.0,-456.280364497,0.0025,5.4346e-20,0.0025,-456.280364497,500.0,1944.86940462,1.0,100,1.0,-462.725,400.0,-462.725
1.0,0.002,-461.264753204,500,93.4267,500.0,,2104.5281597,1,1.0,1.0,-461.264753204,0.002,5.43187e-20,0.002,-461.264753204,500.0,2104.5281597,1.0,100,1.0,-462.433,500.000006643,-462.433
1.0,0.01,-454.507416034,500,39.7867,500.0,,1598.96879143,2,1.0,1.0,-454.507416034,0.01,3.50449e-18,0.01,-454.507416034,500.0,1598.96879143,1.0,100,1.0,-454.507,100.0,-454.507
1.0,0.005,-451.842727443,500,40.228,500.0,,1666.723149,2,1.0,1.0,-451.842727443,0.005,2.1793e-19,0.005,-451.842727443,500.0,1666.723149,1.0,100,1.0,-453.175,200.000000102,-453.175
1.0,0.00333333,-451.863671356,500,38.6337,500.0,,1252.47693645,2,1.0,1.0,-451.863671356,0.00333333,5.43914e-20,0.00333333,-451.863671356,500.0,1252.47693645,1.0,100,1.0,-452.738,299.999969474,-452.738
1.0,0.0025,-452.32181954,500,39.4201,500.0,,1755.51173852,2,1.0,1.0,-452.32181954,0.0025,5.4346e-20,0.0025,-452.32181954,500.0,1755.51173852,1.0,100,1.0,-452.634,400.0,-452.634
1.0,0.002,-456.782603661,500,38.8962,500.0,,1348.5289558,1,1.0,1.0,-456.782603661,0.002,5.43187e-20,0.002,-456.782603661,500.0,1348.5289558,1.0,100,1.0,-453.464,500.000006643,-453.464
1.0,0.01,-474.341738849,500,154.022,500.0,,23962.247288,2,1.0,1.0,-474.341738849,0.01,3.50449e-18,0.01,-474.341738849,500.0,23962.247288,1.0,100,1.0,-474.342,100.0,-474.342
1.0,0.005,-459.741914164,500,112.37,500.0,,1439.0237802,2,1.0,1.0,-459.741914164,0.005,2.1793e-19,0.005,-459.741914164,500.0,1439.0237802,1.0,100,1.0,-467.042,200.000000102,-467.042
1.0,0.00333333,-454.136464845,500,94.9181,500.0,,1680.25487719,2,1.0,1.0,-454.136464845,0.00333333,5.43914e-20,0.00333333,-454.136464845,500.0,1680.25487719,1.0,100,1.0,-462.74,299.999969474,-462.74
1.0,0.0025,-461.763420258,500,85.2129,500.0,,2036.28011711,2,1.0,1.0,-461.763420258,0.0025,5.4346e-20,0.0025,-461.763420258,500.0,2036.28011711,1.0,100,1.0,-462.496,400.0,-462.496
1.0,0.002,-458.350867941,500,78.1073,500.0,,1459.62544429,1,1.0,1.0,-458.350867941,0.002,5.43187e-20,0.002,-458.350867941,500.0,1459.62544429,1.0,100,1.0,-461.667,500.000006643,-461.667
1.0,0.01,-455.613795434,500,44.3235,500.0,,1984.41816367,2,1.0,1.0,-455.613795434,0.01,3.50449e-18,0.01,-455.613795434,500.0,1984.41816367,1.0,100,1.0,-455.614,100.0,-455.614
1.0,0.005,-456.336293571,500,41.3891,500.0,,1476.04178444,2,1.0,1.0,-456.336293571,0.005,2.1793e-19,0.005,-456.336293571,500.0,1476.04178444,1.0,100,1.0,-455.975,200.000000102,-455.975
1.0,0.00333333,-453.641306657,500,39.9919,500.0,,1382.14037455,2,1.0,1.0,-453.641306657,0.00333333,5.43914e-20,0.00333333,-453.641306657,500.0,1382.14037455,1.0,100,1.0,-455.197,299.999969474,-455.197
1.0,0.0025,-452.177481038,500,40.5952,500.0,,1805.0181743,2,1.0,1.0,-452.177481038,0.0025,5.4346e-20,0.0025,-452.177481038,500.0,1805.0181743,1.0,100,1.0,-454.442,400.0,-454.442
1.0,0.002,-459.635211862,500,40.9431,500.0,,1786.10998096,1,1.0,1.0,-459.635211862,0.002,5.43187e-20,0.002,-459.635211862,500.0,1786.10998096,1.0,100,1.0,-455.481,500.000006643,-455.481
1.0,0.01,-459.884845363,500,38.4863,500.0,,1496.15462515,2,1.0,1.0,-459.884845363,0.01,3.50449e-18,0.01,-459.884845363,500.0,1496.15462515,1.0,100,1.0,-459.885,100.0,-459.885
1.0,0.005,-452.399703098,500,38.024,500.0,,1396.39913767,2,1.0,1.0,-452.399703098,0.005,2.1793e-19,0.005,-452.399703098,500.0,1396.39913767,1.0,100,1.0,-456.142,200.000000102,-456.142
1.0,0.00333333,-452.577291465,500,37.9307,500.0,,1430.40953017,2,1.0,1.0,-452.577291465,0.00333333,5.43914e-20,0.00333333,-452.577291465,500.0,1430.40953017,1.0,100,1.0,-454.954,299.999969474,-454.954
1.0,0.0025,-457.534980329,500,39.0837,500.0,,1807.01116945,2,1.0,1.0,-457.534980329,0.0025,5.4346e-20,0.0025,-457.534980329,500.0,1807.01116945,1.0,100,1.0,-455.599,400.0,-455.599
1.0,0.002,-460.063951853,500,39.797,500.0,8.41943e-13,1811.02312771,1,1.0,1.0,-460.063951853,0.00199999,3.45532e-18,0.00200001,-460.063951853,500.0,1811.02312771,0.999996,100,1.0,-456.492,499.999969872,-456.492
1.0,0.01,-458.716157693,500,42.7442,500.0,,1845.52198929,2,1.0,1.0,-458.716157693,0.01,3.50449e-18,0.01,-458.716157693,500.0,1845.52198929,1.0,100,1.0,-458.716,100.0,-458.716
1.0,0.005,-447.861997623,500,40.3899,500.0,,1390.61627713,2,1.0,1.0,-447.861997623,0.005,2.1793e-19,0.005,-447.861997623,500.0,1390.61627713,1.0,100,1.0,-453.289,200.000000102,-453.289
1.0,0.00333333,-457.78632617,500,41.7855,500.0,,1981.73753572,2,1.0,1.0,-457.78632617,0.00333333,5.43914e-20,0.00333333,-457.78632617,500.0,1981.73753572,1.0,100,1.0,-454.788,299.999969474,-454.788
1.0,0.0025,-448.299846532,500,40.9272,500.0,,1444.92974915,2,1.0,1.0,-448.299846532,0.0025,5.4346e-20,0.0025,-448.299846532,500.0,1444.92974915,1.0,100,1.0,-453.166,400.0,-453.166
1.0,0.002,-449.44364004,500,42.4987,500.0,8.04246e-12,2342.90154799,1,1.0,1.0,-449.44364004,0.00199998,3.21358e-17,0.00200003,-449.44364004,500.0,2342.90154799,0.999992,100,1.00001,-452.422,499.999652939,-452.422
1.0,0.01,-460.868796872,500,44.442,500.0,,1995.04182118,2,1.0,1.0,-460.868796872,0.01,3.50449e-18,0.01,-460.868796872,500.0,1995.04182118,1.0,100,1.0,-460.869,100.0,-460.869
1.0,0.005,-451.036497912,500,43.9962,500.0,,1866.56880394,2,1.0,1.0,-451.036497912,0.005,2.1793e-19,0.005,-451.036497912,500.0,1866.56880394,1.0,100,1.0,-455.953,200.000000102,-455.953
1.0,0.00333333,-454.967133036,500,43.9829,500.0,,1951.00957607,2,1.0,1.0,-454.967133036,0.00333333,5.43914e-20,0.00333333,-454.967133036,500.0,1951.00957607,1.0,100,1.0,-455.624,299.999969474,-455.624
1.0,0.0025,-442.805248545,500,42.621,500.0,,1353.01529289,2,1.0,1.0,-442.805248545,0.0025,5.4346e-20,0.0025,-442.805248545,500.0,1353.01529289,1.0,100,1.0,-452.419,400.0,-452.419
1.0,0.002,-459.813203863,500,42.7313,500.0,5.47044e-11,1838.31244798,1,1.0,1.0,-459.813203863,0.00199998,2.18967e-16,0.0020001,-459.813203863,500.0,1838.31244798,0.99999,100,1.00005,-453.898,499.999640432,-453.898
1.0,0.01,-455.119897133,500,41.0654,500.0,,1703.39805749,2,1.0,1.0,-455.119897133,0.01,3.50449e-18,0.01,-455.119897133,500.0,1703.39805749,1.0,100,1.0,-455.12,100.0,-455.12
1.0,0.005,-451.957304349,500,39.5456,500.0,,1450.84771994,2,1.0,1.0,-451.957304349,0.005,2.1793e-19,0.005,-451.957304349,500.0,1450.84771994,1.0,100,1.0,-453.539,200.000000102,-453.539
1.0,0.00333333,-448.833644782,500,39.1623,500.0,,1473.31811456,2,1.0,1.0,-448.833644782,0.00333333,5.43914e-20,0.00333333,-448.833644782,500.0,1473.31811456,1.0,100,1.0,-451.97,299.999969474,-451.97
1.0,0.0025,-459.727378761,500,40.3808,500.0,,1895.19832834,2,1.0,1.0,-459.727378761,0.0025,5.4346e-20,0.0025,-459.727378761,500.0,1895.19832834,1.0,100,1.0,-453.91,400.0,-453.91
1.0,0.002,-450.762675702,500,40.785,500.0,3.24232e-10,1804.78808516,1,1.0,1.0,-450.762675702,0.00199988,1.29689e-15,0.0020002,-450.762675702,500.0,1804.78808516,0.999942,100,1.0001,-453.28,500.000165484,-453.28
1.0,0.01,-464.070172997,500,46.2472,500.0,,2160.40764268,2,1.0,1.0,-464.070172997,0.01,3.50449e-18,0.01,-464.070172997,500.0,2160.40764268,1.0,100,1.0,-464.07,100.0,-464.07
1.0,0.005,-455.152049471,500,44.043,500.0,,1718.18762343,2,1.0,1.0,-455.152049471,0.005,2.1793e-19,0.005,-455.152049471,500.0,1718.18762343,1.0,100,1.0,-459.611,200.000000102,-459.611
1.0,0.00333333,-457.07465763,500,42.1978,500.0,,1472.820692,2,1.0,1.0,-457.07465763,0.00333333,5.43914e-20,0.00333333,-457.07465763,500.0,1472.820692,1.0,100,1.0,-458.766,299.999969474,-458.766
1.0,0.0025,-456.459688304,500,41.234,500.0,,1469.73069302,2,1.0,1.0,-456.459688304,0.0025,5.4346e-20,0.0025,-456.459688304,500.0,1469.73069302,1.0,100,1.0,-458.189,400.0,-458.189
1.0,0.002,-454.782671799,500,40.1549,500.0,,1264.4550583,1,1.0,1.0,-454.782671799,0.002,5.43187e-20,0.002,-454.782671799,500.0,1264.4550583,1.0,100,1.0,-457.508,500.000006643,-457.508
1.0,0.01,-461.910172241,500,44.3106,500.0,,1983.26049001,2,1.0,1.0,-461.910172241,0.01,3.50449e-18,0.01,-461.910172241,500.0,1983.26049001,1.0,100,1.0,-461.91,100.0,-461.91
1.0,0.005,-453.431396054,500,41.3596,500.0,,1436.22193849,2,1.0,1.0,-453.431396054,0.005,2.1793e-19,0.005,-453.431396054,500.0,1436.22193849,1.0,100,1.0,-457.671,200.000000102,-457.671
1.0,0.00333333,-457.196433248,500,41.1579,500.0,,1677.30140371,2,1.0,1.0,-457.196433248,0.00333333,5.43914e-20,0.00333333,-457.196433248,500.0,1677.30140371,1.0,100,1.0,-457.513,299.999969474,-457.513
1.0,0.0025,-457.568004701,500,41.0734,500.0,,1683.00057348,2,1.0,1.0,-457.568004701,0.0025,5.4346e-20,0.0025,-457.568004701,500.0,1683.00057348,1.0,100,1.0,-457.526,400.0,-457.526
1.0,0.002,-454.805051081,500,40.428,500.0,,1432.42019209,1,1.0,1.0,-454.805051081,0.002,5.43187e-20,0.002,-454.805051081,500.0,1432.42019209,1.0,100,1.0,-456.982,500.000006643,-456.982
1.0,0.01,-457.858639755,500,43.326,500.0,,1896.10710611,2,1.0,1.0,-457.858639755,0.01,3.50449e-18,0.01,-457.858639755,500.0,1896.10710611,1.0,100,1.0,-457.859,100.0,-457.859
1.0,0.005,-460.795232822,500,43.3402,500.0,,1894.22393789,2,1.0,1.0,-460.795232822,0.005,2.1793e-19,0.005,-460.795232822,500.0,1894.22393789,1.0,100,1.0,-459.327,200.000000102,-459.327
1.0,0.00333333,-456.964860749,500,41.4537,500.0,,1408.84592655,2,1.0,1.0,-456.964860749,0.00333333,5.43914e-20,0.00333333,-456.964860749,500.0,1408.84592655,1.0,100,1.0,-458.54,299.999969474,-458.54
1.0,0.0025,-454.528960193,500,42.193,500.0,,1973.45961608,2,1.0,1.0,-454.528960193,0.0025,5.4346e-20,0.0025,-454.528960193,500.0,1973.45961608,1.0,100,1.0,-457.537,400.0,-457.537
1.0,0.002,-448.030848482,500,41.8332,500.0,,1572.49729623,1,1.0,1.0,-448.030848482,0.002,5.43187e-20,0.002,-448.030848482,500.0,1572.49729623,1.0,100,1.0,-455.636,500.000006643,-455.636
1.0,0.01,-452.351040986,500,39.6336,500.0,,1586.69018767,2,1.0,1.0,-452.351040986,0.01,3.50449e-18,0.01,-452.351040986,500.0,1586.69018767,1.0,100,1.0,-452.351,100.0,-452.351
1.0,0.005,-460.786461569,500,37.9065,500.0,,1280.2020728,2,1.0,1.0,-460.786461569,0.005,2.1793e-19,0.005,-460.786461569,500.0,1280.2020728,1.0,100,1.0,-456.569,200.000000102,-456.569
1.0,0.00333333,-462.591910075,500,38.4753,500.0,,1558.63598717,2,1.0,1.0,-462.591910075,0.00333333,5.43914e-20,0.00333333,-462.591910075,500.0,1558.63598717,1.0,100,1.0,-458.577,299.999969474,-458.577
1.0,0.0025,-451.988297497,500,39.2639,500.0,,1710.12631185,2,1.0,1.0,-451.988297497,0.0025,5.4346e-20,0.0025,-451.988297497,500.0,1710.12631185,1.0,100,1.0,-456.929,400.0,-456.929
