optimgain,Step_size,meankl,entloss,EpRewMean,DiscEpRewMean,EpLenMean,EpThisIter,surrgain,entropy,ev_tdlam_before,EpisodesSoFar,TimestepsSoFar,TimeElapsed
0.0062684743,1.0,0.009271919,,80.34601317835217,0.798952293395996,9.04,50,0.0062684743,0.4189424,,50,452,5.35874342918396
0.0048392,1.0,0.0093688695,,98.55004266447084,3.9968071365356446,10.86,50,0.0048392,0.4189424,,100,995,9.429755210876465
0.00856544,1.0,0.0091772415,,88.54398915165008,1.5988981628417969,9.86,50,0.00856544,0.4189424,,150,1488,13.66676926612854
0.00896543,1.0,0.009441551,,89.74243987235126,0.7992761802673339,9.98,50,0.00896543,0.4189424,,200,1987,17.448782444000244
0.007038279,1.0,0.009862133,,102.13648109471471,5.394541645050049,11.22,50,0.007038279,0.4189424,,250,2548,21.320351600646973
0.009512468,1.0,0.009725304,,110.7323580462512,1.5988919448852539,12.08,50,0.009512468,0.4189424,,300,3152,26.634582996368408
0.010771702,1.0,0.009828398,,136.53287021722724,9.3970871925354,14.66,50,0.010771702,0.4189424,,350,3885,31.13931131362915
0.0055134804,1.0,0.009992133,,128.93152177148863,4.59718391418457,13.9,50,0.0055134804,0.4189424,,400,4580,36.09798240661621
0.0065634307,1.0,0.009598593,,162.11321053908307,8.992608375549317,17.22,50,0.0065634307,0.4189424,,450,5441,40.564855098724365
0.007722456,1.0,0.009476193,,177.90446264232133,4.797259006500244,18.8,50,0.007722456,0.4189424,,500,6381,45.83735775947571
0.008140257,1.0,0.008907342,,203.29269203212533,11.19322416305542,21.34,50,0.008140257,0.4189424,,550,7448,51.38718366622925
0.0051541138,1.0,0.00960238,,172.31216012359707,4.197658939361572,18.24,50,0.0051541138,0.4189424,,600,8360,58.728846073150635
0.008518274,1.0,0.009710345,,161.92385340651538,11.995672225952148,17.2,50,0.008518274,0.4189424,,650,9220,64.07188677787781
0.013734377,1.0,0.009679583,,173.12213893540238,8.59705171585083,18.32,50,0.013734377,0.4189424,,700,10136,69.86286759376526
0.010529327,1.0,0.01001664,,174.90770657679295,7.59591402053833,18.5,50,0.010529327,0.4189424,,750,11061,76.7557418346405
0.010148265,1.0,0.009383591,,218.69742458686025,11.39322322845459,22.88,50,0.010148265,0.4189424,,800,12205,83.00120067596436
0.013234473,1.0,0.009374333,,175.71482141882734,7.996416358947754,18.58,50,0.013234473,0.4189424,,850,13134,90.07881140708923
0.0068921763,1.0,0.008601935,,254.0749271487301,7.795190677642823,26.42,50,0.0068921763,0.4189424,,900,14455,97.8066258430481
0.0075781164,1.0,0.009833319,,232.28670681833788,22.588699111938478,24.24,50,0.0075781164,0.4189424,,950,15667,102.7508614063263
0.008921653,1.0,0.009864491,,276.46448919020355,17.39324583053589,28.66,50,0.008921653,0.4189424,,1000,17100,110.41716527938843
0.013620939,1.0,0.009958042,,275.87419009101757,8.995495357513427,28.6,50,0.013620939,0.4189424,,1050,18530,119.14673733711243
0.018079981,1.0,0.009784386,,441.61480768373605,26.389018096923827,45.18,50,0.018079981,0.4189424,,1100,20789,133.58657550811768
0.009817609,1.0,0.00820246,,420.41451538418806,44.58522602081299,43.06,50,0.009817609,0.4189424,,1150,22942,145.45785212516785
0.015746763,1.0,0.009285803,,411.81894985472104,54.775668411254884,42.2,50,0.015746763,0.4189424,,1200,25052,153.5858871936798
0.017522098,1.0,0.010028184,,459.0171998337399,43.98364387512207,46.92,50,0.017522098,0.4189424,,1250,27398,168.35363388061523
