ev_tdlam_before,EpRewMean,Step_size,DiscEpRewMean,TimeElapsed,meankl,entropy,TimestepsSoFar,EpLenMean,EpisodesSoFar,entloss,optimgain,EpThisIter,surrgain
,88.12928333171983,1.0,7.264684937217019,3.0561277866363525,0.008516815,0.41894197,108,9.818181818181818,11,,0.00705532,11,0.00705532
,57.239469926352534,1.0,6.358505855907094,3.992067337036133,0.007855181,0.41894197,182,6.7272727272727275,22,,0.006596136,11,0.006596136
,99.94907068247657,1.0,7.269167726690119,5.028270483016968,0.009547771,0.41894197,303,11.0,33,,0.00977581,11,0.00977581
,81.77916514483132,1.0,1.815777605230158,6.241443395614624,0.008753859,0.41894197,404,9.181818181818182,44,,0.006977855,11,0.006977855
,68.13305390383454,1.0,6.359732281077992,7.687727212905884,0.009840084,0.41894197,490,7.818181818181818,55,,0.012518365,11,0.012518365
,88.12458505038848,1.0,7.267996874722567,9.192707538604736,0.0092135575,0.41894197,598,9.818181818181818,66,,0.014023497,11,0.014023497
,109.02264901413129,1.0,1.816200082952326,10.145508289337158,0.008825205,0.41894197,729,11.909090909090908,77,,0.008937522,11,0.008937522
,127.19859934499341,1.0,7.267425883900035,11.012144088745117,0.009412392,0.41894197,880,13.727272727272727,88,,0.009499002,11,0.009499002
,88.13565267646004,1.0,14.539443362842906,12.05073070526123,0.009764314,0.41894197,988,9.818181818181818,99,,0.013953794,11,0.013953794
,130.8363909824038,1.0,4.538814457980069,12.886478185653687,0.009368326,0.41894197,1143,14.090909090909092,110,,0.011159842,11,0.011159842
,125.39717501797037,1.0,1.8156687129627576,14.092660427093506,0.00933164,0.41894197,1292,13.545454545454545,121,,0.005634783,11,0.005634783
,165.3741890302609,1.0,17.25948090986772,15.3100266456604,0.009227642,0.41894197,1485,17.545454545454547,132,,0.011909575,11,0.011909575
,168.1076016642705,1.0,11.809731396761807,16.331116914749146,0.009624694,0.41894197,1681,17.818181818181817,143,,0.009844618,11,0.009844618
,145.37802584566091,1.0,19.995206746188078,17.427907943725586,0.009224974,0.41894197,1852,15.545454545454545,154,,0.014979891,11,0.014979891
,122.64905111832034,1.0,11.810853698036887,18.75250005722046,0.008039716,0.41894197,1998,13.272727272727273,165,,0.0105959475,11,0.0105959475
,143.54976329344396,1.0,9.08700162714178,20.269657611846924,0.005911803,0.41894197,2167,15.363636363636363,176,,0.0045231474,11,0.0045231474
,142.6391366132703,1.0,13.622817906466397,21.90795135498047,0.008737409,0.41894197,2335,15.272727272727273,187,,0.015101088,11,0.015101088
,169.91677641926918,1.0,6.359003847295588,23.529868602752686,0.009611115,0.41894197,2533,18.0,198,,0.016905403,11,0.016905403
,149.01296648867438,1.0,9.994828310879795,24.671217918395996,0.00925476,0.41894197,2708,15.909090909090908,209,,0.01208972,11,0.01208972
,185.38078563282394,1.0,13.628293124112217,25.7536940574646,0.009918965,0.41894197,2923,19.545454545454547,220,,0.019194301,11,0.019194301
,189.89314764067888,1.0,24.530429926785555,26.95634937286377,0.009247376,0.41894197,3143,20.0,231,,0.011682556,11,0.011682556
,217.17419885253994,1.0,14.53721774708141,28.299615621566772,0.009930223,0.41894197,3393,22.727272727272727,242,,0.014725984,11,0.014725984
,336.2058506257753,1.0,37.24793806943026,30.286408185958862,0.004655688,0.41894197,3774,34.63636363636363,253,,0.011447104,11,0.011447104
,258.0644413579625,1.0,24.52903617512096,31.723507165908813,0.0093619935,0.41894197,4069,26.818181818181817,264,,0.019090435,11,0.019090435
,279.87766765158,1.0,28.168229016390715,33.31945443153381,0.009705779,0.41894197,4388,29.0,275,,0.02006173,11,0.02006173
,403.45430495518264,1.0,21.803071282126687,35.19369673728943,0.008448001,0.41894197,4843,41.36363636363637,286,,0.009171048,11,0.009171048
,323.48246127419276,1.0,9.083290273492986,36.41837501525879,0.00779737,0.41894197,5210,33.36363636363637,297,,0.022302093,11,0.022302093
,407.99280921490504,1.0,22.720364830710672,37.940579414367676,0.0073853573,0.41894197,5670,41.81818181818182,308,,0.019641928,11,0.019641928
,329.83624957504185,1.0,9.996808572248979,39.32018685340881,0.009806824,0.41894197,6044,34.0,319,,0.022690328,11,0.022690328
,368.94184188103515,1.0,104.49937959150834,40.87110877037048,0.009579991,0.41894197,6461,37.90909090909091,330,,0.022398604,11,0.022398604
,264.4113035118448,1.0,6.358895388516513,42.41634011268616,0.00863346,0.41894197,6763,27.454545454545453,341,,0.014710859,11,0.014710859
,315.30447496525596,1.0,14.53514575958252,44.213040590286255,0.008576221,0.41894197,7121,32.54545454545455,352,,0.017892772,11,0.017892772
,460.69869477152565,1.0,24.531883326443758,46.122143507003784,0.009358296,0.41894197,7639,47.09090909090909,363,,0.0144154485,11,0.0144154485
,582.5416764832952,1.0,53.60646646673029,48.198079109191895,0.009921625,0.41894197,8291,59.27272727272727,374,,0.033575013,11,0.033575013
,595.218302172977,1.0,143.57545817982066,50.57872295379639,0.008116822,0.41894197,8957,60.54545454545455,385,,0.015765946,11,0.015765946
,635.1750178312564,1.0,57.24624538421631,52.89618539810181,0.009876033,0.41894197,9667,64.54545454545455,396,,0.022236677,11,0.022236677
,811.554188332074,1.0,152.67681962793523,55.04996967315674,0.010020561,0.41894197,10571,82.18181818181819,407,,0.039081234,11,0.039081234
,1277.7811699782346,1.0,408.9488678845492,57.72219252586365,0.010022584,0.41894197,11988,128.8181818181818,418,,0.054361105,11,0.054361105
,1493.1968913067474,1.0,637.1206983219494,61.10146951675415,0.009897004,0.41894197,13642,150.36363636363637,429,,0.05339074,11,0.05339074
