TimestepsSoFar,entropy,surrgain,EpRewMean,ev_tdlam_before,meankl,EpisodesSoFar,DiscEpRewMean,Step_size,TimeElapsed,entloss,EpThisIter,optimgain,EpLenMean
59,0.41894197,0.0061137252,43.599788708521146,,0.009634024,11,1.8156019557606091,1.0,1.795682668685913,,11,0.0061137252,5.363636363636363
143,0.41894197,0.007998519,66.32179908860739,,0.009742266,22,6.36193171414462,1.0,2.680077075958252,,11,0.007998519,7.636363636363637
248,0.41894197,0.012897623,85.41048166295442,,0.008996274,33,1.8155082355846057,1.0,3.560598373413086,,11,0.012897623,9.545454545454545
393,0.41894197,0.006927157,121.74463106443797,,0.008859267,44,9.996463082053445,1.0,4.722353219985962,,11,0.006927157,13.181818181818182
525,0.41894197,0.0071052746,109.93619010499707,,0.006150489,55,2.7233128981156782,1.0,5.4847939014434814,,11,0.0071052746,12.0
674,0.41894197,0.0071410406,125.39537116304064,,0.009678147,66,3.63253792849454,1.0,6.52939772605896,,11,0.0071410406,13.545454545454545
772,0.41894197,0.002477005,79.04002857720188,,0.00979407,77,2.7253563620827417,1.0,7.455017328262329,,11,0.002477005,8.909090909090908
877,0.41894197,0.0060438565,85.39840378798668,,0.0096862,88,8.179050705649637,1.0,8.427892446517944,,11,0.0060438565,9.545454545454545
988,0.41894197,0.015327352,90.85321107616852,,0.009221344,99,13.626378579573197,1.0,9.409462928771973,,11,0.015327352,10.090909090909092
1094,0.41894197,0.0054864846,86.32192776578378,,0.008592185,110,12.721600185741078,1.0,10.280379056930542,,11,0.0054864846,9.636363636363637
1184,0.41894197,0.007113654,71.77040220031245,,0.0064408556,121,15.451194329695268,1.0,11.1417977809906,,11,0.007113654,8.181818181818182
1333,0.41894197,0.012582229,125.40497007274266,,0.0097079845,132,22.723260619423606,1.0,11.998584747314453,,11,0.012582229,13.545454545454545
1486,0.41894197,0.014623693,129.01000969329735,,0.009816554,143,13.6306754025546,1.0,12.912375450134277,,11,0.014623693,13.909090909090908
1649,0.41894197,0.013653501,138.1035283898556,,0.009762868,154,4.543112581426447,1.0,13.846674680709839,,11,0.013653501,14.818181818181818
1776,0.41894197,0.0070238025,105.39552465980933,,0.007791702,165,8.17610029740767,1.0,14.844475030899048,,11,0.0070238025,11.545454545454545
1957,0.41894197,0.0094879735,154.4672736893294,,0.009652691,176,18.17394143884832,1.0,15.694722890853882,,11,0.0094879735,16.454545454545453
2119,0.41894197,0.013959796,137.201113437853,,0.009489922,187,30.899401317943227,1.0,16.553512573242188,,11,0.013959796,14.727272727272727
2305,0.41894197,0.012764652,158.99727153025614,,0.0079016425,198,3.632352048700506,1.0,17.462507486343384,,11,0.012764652,16.90909090909091
2514,0.41894197,0.016655188,179.9005968570903,,0.008959371,209,22.714131875471637,1.0,18.388676404953003,,11,0.016655188,19.0
2703,0.41894197,0.010928829,161.7307391614071,,0.009571463,220,19.082570162686434,1.0,19.37423086166382,,11,0.010928829,17.181818181818183
2888,0.41894197,0.009265971,158.11734299506088,,0.0079789385,231,9.996484062888406,1.0,20.33643412590027,,11,0.009265971,16.818181818181817
3079,0.41894197,0.007863794,163.55137390581768,,0.009571654,242,3.6343697634610264,1.0,21.25760531425476,,11,0.007863794,17.363636363636363
3253,0.41894197,0.010310017,148.09011009590083,,0.008770708,253,19.989246455105867,1.0,22.108708381652832,,11,0.010310017,15.818181818181818
3443,0.41894197,0.011190144,162.63155785062287,,0.009269762,264,19.988382599570535,1.0,23.21735906600952,,11,0.011190144,17.272727272727273
3667,0.41894197,0.0048215403,193.53989470858815,,0.007903114,275,28.17121341011741,1.0,24.08464789390564,,11,0.0048215403,20.363636363636363
3833,0.41894197,0.003978442,140.8469614450215,,0.009202351,286,12.721942814913662,1.0,25.081521034240723,,11,0.003978442,15.090909090909092
3986,0.41894197,0.010086088,129.03017180653006,,0.008608578,297,6.360547065734863,1.0,26.015825748443604,,11,0.010086088,13.909090909090908
4119,0.41894197,0.012936594,110.84978426834469,,0.008782391,308,10.903237516229803,1.0,27.40487051010132,,11,0.012936594,12.090909090909092
4285,0.41894197,0.017559713,140.82898627104927,,0.009693166,319,4.542584245855158,1.0,28.209310293197632,,11,0.017559713,15.090909090909092
4508,0.41894197,0.010836452,192.6525696917946,,0.008432028,330,29.08117424358021,1.0,29.127200841903687,,11,0.010836452,20.272727272727273
4680,0.41894197,0.012942466,146.29420099228608,,0.009628352,341,12.721847187389027,1.0,29.926204204559326,,11,0.012942466,15.636363636363637
4871,0.41894197,0.008159777,163.5518635786132,,0.0074431053,352,4.543539480729536,1.0,31.003225803375244,,11,0.008159777,17.363636363636363
5043,0.41894197,0.009561187,146.28541359249624,,0.0062318007,363,13.631357886574484,1.0,31.931623935699463,,11,0.009561187,15.636363636363637
5167,0.41894197,0.0075866366,102.67118779641584,,0.008289559,374,0.9076417576182972,1.0,32.92309045791626,,11,0.0075866366,11.272727272727273
5406,0.41894197,0.009505129,207.16547335155008,,0.00991932,385,13.627945032986728,1.0,34.002586364746094,,11,0.009505129,21.727272727272727
