entropy,surrgain,EpLenMean,meankl,TimeElapsed,Step_size,DiscEpRewMean,entloss,EpRewMean,TimestepsSoFar,optimgain,ev_tdlam_before,EpisodesSoFar,EpThisIter
0.4189424,0.008917261,8.5,0.0091962265,9.647893190383911,1.0,1.9989945793151855,,74.95274206961886,425,0.008917261,,50,50
0.4189424,0.006980719,9.1,0.009783906,16.113763093948364,1.0,1.599294204711914,,80.94676096970376,880,0.006980719,,100,50
0.4189424,0.008749834,10.16,0.009635956,22.631221532821655,1.0,2.1982579040527344,,91.55439070960165,1388,0.008749834,,150,50
0.4189424,0.0062419875,10.88,0.009665243,29.24617838859558,1.0,1.9979450988769532,,98.73924391815625,1932,0.0062419875,,200,50
0.4189424,0.008613522,10.54,0.009485851,36.7575945854187,1.0,4.3971628570556645,,95.34875825340781,2459,0.008613522,,250,50
0.4189424,0.008988938,11.82,0.00964049,43.63301682472229,1.0,3.198485927581787,,108.14086501683563,3050,0.008988938,,300,50
0.4189424,0.010062891,12.02,0.009729002,50.05816102027893,1.0,4.1986830520629885,,110.14811892795211,3651,0.010062891,,350,50
0.4189424,0.0072998656,13.74,0.009697115,56.88765621185303,1.0,3.5975963401794435,,127.3343316747657,4338,0.0072998656,,400,50
0.4189424,0.0024595892,12.96,0.0098511465,63.661290407180786,1.0,3.5978389739990235,,119.53689455386146,4986,0.0024595892,,450,50
0.4189424,0.0077483393,12.28,0.009327051,71.0077440738678,1.0,4.797431125640869,,112.73925437906502,5600,0.0077483393,,500,50
0.4189424,0.0071154735,13.52,0.009697236,77.93823027610779,1.0,3.5974393844604493,,125.13646446293814,6276,0.0071154735,,550,50
0.4189424,0.00769042,14.82,0.009152271,84.80632519721985,1.0,5.798290348052978,,138.12443190931555,7017,0.00769042,,600,50
0.4189424,0.004108555,11.86,0.009025889,91.91639471054077,1.0,6.997136993408203,,108.53877455518614,7610,0.004108555,,650,50
0.4189424,0.002757874,12.82,0.008603372,99.92298221588135,1.0,4.197014122009278,,118.1390034683068,8251,0.002757874,,700,50
0.4189424,0.0069670677,15.66,0.009641797,107.50980520248413,1.0,4.19768835067749,,146.52900208526825,9034,0.0069670677,,750,50
0.4189424,0.0076160585,14.74,0.008357067,115.00173568725586,1.0,1.7983892822265626,,137.33629522716407,9771,0.0076160585,,800,50
0.4189424,0.009303044,13.76,0.00943826,122.3763062953949,1.0,3.39771728515625,,127.5373711128712,10459,0.009303044,,850,50
0.4189424,0.006987466,20.76,0.009891397,128.82447028160095,1.0,11.59423734664917,,197.5167884182714,11497,0.006987466,,900,50
0.4189424,0.006273961,17.02,0.009290582,135.6475191116333,1.0,9.995151481628419,,160.1237046435704,12348,0.006273961,,950,50
0.4189424,0.0051424694,15.32,0.0092233885,142.05327033996582,1.0,8.597634220123291,,143.1271495613955,13114,0.0051424694,,1000,50
0.4189424,0.0033310377,17.08,0.009074782,149.51680541038513,1.0,5.997731151580811,,160.71262341425535,13968,0.0033310377,,1050,50
0.4189424,0.0094071105,16.8,0.0086378995,156.36844062805176,1.0,4.197011966705322,,157.9200163319587,14808,0.0094071105,,1100,50
0.4189424,0.0073595056,17.78,0.009265204,164.4021463394165,1.0,9.3975168800354,,167.71214528648645,15697,0.0073595056,,1150,50
0.4189424,0.010658193,21.08,0.008397648,171.38335633277893,1.0,8.595566425323486,,200.70261623877116,16751,0.010658193,,1200,50
0.4189424,0.0069692726,18.8,0.008004142,178.10446691513062,1.0,6.397112579345703,,177.91043057418565,17691,0.0069692726,,1250,50
0.4189424,0.0069090747,16.56,0.009438116,184.38205742835999,1.0,7.795761528015137,,155.51126644282905,18519,0.0069090747,,1300,50
0.4189424,0.005178242,22.08,0.007740812,191.72001218795776,1.0,7.195449142456055,,210.69609214199176,19623,0.005178242,,1350,50
0.4189424,0.010197372,23.3,0.009418396,199.3278205394745,1.0,12.192860660552979,,222.88561242981714,20788,0.010197372,,1400,50
0.4189424,0.006396106,20.2,0.0092745805,206.07583498954773,1.0,24.190959968566894,,191.90861043697285,21798,0.006396106,,1450,50
0.4189424,0.009846269,25.3,0.009791379,212.29089164733887,1.0,22.793440322875977,,242.89783201601952,23063,0.009846269,,1500,50
0.4189424,0.013618348,29.62,0.009987234,219.41810131072998,1.0,26.59077489852905,,286.06163356139643,24544,0.013618348,,1550,50
0.4189424,0.011047462,46.74,0.009811141,226.94184970855713,1.0,55.38515251159668,,457.22282618266973,26881,0.011047462,,1600,50
0.4189424,0.008922071,46.78,0.009697393,233.91729354858398,1.0,72.56716730117797,,457.6024983436362,29220,0.008922071,,1650,50
0.4189424,0.007934433,51.94,0.009263738,240.74923467636108,1.0,44.58141611099243,,509.204404802707,31817,0.007934433,,1700,50
0.4189424,0.023267077,61.74,0.009528993,248.03628778457642,1.0,59.777084045410156,,607.163666085718,34904,0.023267077,,1750,50
0.4189424,0.009948369,52.16,0.0097262785,256.36823296546936,1.0,82.57191957473755,,511.3895619553919,37512,0.009948369,,1800,50
0.4189424,0.015538633,86.14,0.009331321,264.7823050022125,1.0,137.55078914642334,,851.1023068298633,41819,0.015538633,,1850,50
0.4189424,0.0155197885,112.6,0.009739697,272.2584156990051,1.0,214.9383421897888,,1115.6735204733272,47449,0.0155197885,,1900,50
0.4189424,0.028220942,166.54,0.009369139,280.08628606796265,1.0,565.6591818618774,,1654.9769360545845,55776,0.028220942,,1950,50
0.4189424,0.016819198,168.46,0.009775017,288.4224555492401,1.0,545.2831597137451,,1674.251065145331,64199,0.016819198,,2000,50
