optimgain,entropy,entloss,TimeElapsed,meankl,Step_size,surrgain,DiscEpRewMean,EpLenMean,EpRewMean,ev_tdlam_before,EpThisIter,TimestepsSoFar,EpisodesSoFar
0.011275396,0.41894197,,1.6514406204223633,0.009098381,1.0,0.011275396,13.624056122519754,8.272727272727273,72.67662514322045,,11,91,11
0.0044121314,0.41894197,,2.6009745597839355,0.008032075,1.0,0.0044121314,9.994912320917303,11.454545454545455,104.47750868528573,,11,217,22
0.007961582,0.41894197,,3.485997200012207,0.009457401,1.0,0.007961582,5.450824564153498,11.818181818181818,108.1428783338837,,11,347,33
0.0106448,0.41894197,,4.288752555847168,0.00968246,1.0,0.0106448,10.905304822054775,14.090909090909092,130.83926977329702,,11,502,44
0.011090519,0.41894197,,5.310672044754028,0.008776674,1.0,0.011090519,3.6313549388538706,8.545454545454545,75.40684322497754,,11,596,55
0.011176535,0.41894197,,6.1952598094940186,0.009445439,1.0,0.011176535,20.89573149247603,13.636363636363637,126.28014301013901,,11,746,66
0.007898088,0.41894197,,6.972885370254517,0.009676254,1.0,0.007898088,20.897941849448465,12.272727272727273,112.64367312236637,,11,881,77
0.0185477,0.41894197,,7.801904678344727,0.009849295,1.0,0.0185477,5.450231378728693,11.090909090909092,100.8317127448612,,11,1003,88
0.016335543,0.41894197,,8.828867673873901,0.008816728,1.0,0.016335543,2.724055290222168,12.545454545454545,115.38800385438927,,11,1141,99
0.008005914,0.41894197,,9.55765438079834,0.0074980366,1.0,0.008005914,10.902560407465154,8.545454545454545,75.41247936789415,,11,1235,110
0.007355923,0.41894197,,10.435720205307007,0.009646328,1.0,0.007355923,4.543999845331365,11.636363636363637,106.31306836853469,,11,1363,121
0.009013594,0.41894197,,11.292805433273315,0.009451595,1.0,0.009013594,13.630056814713912,11.545454545454545,105.40272336331536,,11,1490,132
0.013371501,0.41894197,,12.146650791168213,0.008910991,1.0,0.013371501,4.543617595325816,9.454545454545455,84.50095040034425,,11,1594,143
0.0049582836,0.41894197,,13.00097370147705,0.0031701266,1.0,0.0049582836,11.81380809437145,10.818181818181818,98.13747494117692,,11,1713,154
0.0076285414,0.41894197,,13.996276378631592,0.009155089,1.0,0.0076285414,17.268282023343172,12.090909090909092,110.86566380992996,,11,1846,165
0.007987746,0.41894197,,14.871352910995483,0.009215843,1.0,0.007987746,9.083526351235129,9.363636363636363,83.59296118386015,,11,1949,176
0.00904896,0.41894197,,15.587051153182983,0.009274002,1.0,0.00904896,6.359775803305886,11.181818181818182,101.76549609758176,,11,2072,187
0.009509495,0.41894197,,16.376163959503174,0.009609797,1.0,0.009509495,21.807562481273305,11.636363636363637,106.30019136472775,,11,2200,198
0.009517772,0.41894197,,17.200053453445435,0.0075275954,1.0,0.009517772,5.4510016874833545,10.363636363636363,93.58743825704302,,11,2314,209
0.011239349,0.41894197,,18.052324533462524,0.00923377,1.0,0.011239349,18.172361720692027,13.454545454545455,124.47290946948539,,11,2462,220
0.01150913,0.41894197,,23.132622480392456,0.008815824,1.0,0.01150913,9.086180166764693,13.363636363636363,123.5793642595242,,11,2609,231
0.011280629,0.41894197,,24.06608009338379,0.0097412085,1.0,0.011280629,22.713241490450773,14.272727272727273,132.6541945005464,,11,2766,242
0.00892723,0.41894197,,24.95633363723755,0.009757257,1.0,0.00892723,9.990778749639338,11.181818181818182,101.74783184939065,,11,2889,253
0.010431693,0.41894197,,25.811554193496704,0.009067356,1.0,0.010431693,8.175468618219549,12.545454545454545,115.3928590878778,,11,3027,264
0.010284828,0.41894197,,26.807739734649658,0.009472617,1.0,0.010284828,4.543114055286754,13.090909090909092,120.8503722560714,,11,3171,275
0.0103772925,0.41894197,,27.72198724746704,0.008949797,1.0,0.0103772925,10.89844070781361,16.636363636363637,156.2861805829871,,11,3354,286
0.012307543,0.41894197,,28.870741367340088,0.009290064,1.0,0.012307543,7.268101172013716,12.818181818181818,118.12803624649281,,11,3495,297
0.008569542,0.41894197,,29.651212453842163,0.009168296,1.0,0.008569542,19.98755862496116,11.181818181818182,101.7644883144646,,11,3618,308
0.0064734933,0.41894197,,30.561211585998535,0.0094012385,1.0,0.0064734933,6.3586153550581495,17.636363636363637,166.28191777094187,,11,3812,319
0.0014957266,0.41894197,,31.514777660369873,0.0074079153,1.0,0.0014957266,7.265650922601873,18.636363636363637,176.28531924117854,,11,4017,330
0.019732712,0.41894197,,32.531819343566895,0.009574035,1.0,0.019732712,16.358486955816094,26.181818181818183,251.7115413429019,,11,4305,341
0.014153603,0.41894197,,33.537211656570435,0.008278277,1.0,0.014153603,10.901837088844992,21.545454545454547,205.36018198434456,,11,4542,352
0.012678873,0.41894197,,34.7145893573761,0.009710645,1.0,0.012678873,20.895303812893953,27.636363636363637,266.23667180426645,,11,4846,363
0.017615214,0.41894197,,35.610137939453125,0.009793144,1.0,0.017615214,21.803292707963422,24.0,229.8912975444746,,11,5110,374
0.023502067,0.41894197,,36.65817475318909,0.00958189,1.0,0.023502067,23.62889948758212,31.454545454545453,304.41855984333955,,11,5456,385
0.013772154,0.41894197,,37.59905648231506,0.009430969,1.0,0.013772154,19.988731991161,26.181818181818183,251.69014993309113,,11,5744,396
0.01386545,0.41894197,,38.515156984329224,0.009939485,1.0,0.01386545,31.803924560546875,33.72727272727273,327.1449929275055,,11,6115,407
0.01684026,0.41894197,,39.54769539833069,0.008901559,1.0,0.01684026,15.448053273287686,30.454545454545453,294.4354002933192,,11,6450,418
0.017503193,0.41894197,,40.45526576042175,0.009684736,1.0,0.017503193,11.813031196594238,27.545454545454547,265.34848935791695,,11,6753,429
0.021911984,0.41894197,,41.325778007507324,0.009895901,1.0,0.021911984,14.537322651256215,35.09090909090909,340.7723291148097,,11,7139,440
0.02196956,0.41894197,,42.44888186454773,0.009459377,1.0,0.02196956,30.886352712457832,44.63636363636363,436.17723529591166,,11,7630,451
0.015891518,0.41894197,,43.427889347076416,0.008306273,1.0,0.015891518,57.245325868779965,47.0,459.80652752494467,,11,8147,462
0.028605876,0.41894197,,44.47462606430054,0.009589009,1.0,0.028605876,41.80125687339089,45.72727272727273,447.1176349599307,,11,8650,473
0.011367414,0.41894197,,45.459879875183105,0.008454713,1.0,0.011367414,37.253874345259234,45.45454545454545,444.3966583134377,,11,9150,484
0.01616551,0.41894197,,46.53858470916748,0.009355133,1.0,0.01616551,89.97178944674405,51.72727272727273,507.0779810516208,,11,9719,495
0.015124807,0.41894197,,47.59027171134949,0.009280637,1.0,0.015124807,7.266341642899946,41.72727272727273,407.1009222823437,,11,10178,506
0.027323706,0.41894197,,48.608729124069214,0.009434264,1.0,0.027323706,51.794041113419965,47.09090909090909,460.7152946224182,,11,10696,517
0.0062890984,0.41894197,,49.584177017211914,0.0052347057,1.0,0.0062890984,76.33145722475919,51.63636363636363,506.14346518583227,,11,11264,528
0.023872904,0.41894197,,50.75318670272827,0.0092067,1.0,0.023872904,60.88683232394132,47.81818181818182,468.01883188102494,,11,11790,539
0.021493768,0.41894197,,52.067771434783936,0.008609765,1.0,0.021493768,79.96398266878995,55.72727272727273,547.097127194233,,11,12403,550
0.020888116,0.41894197,,52.9362998008728,0.008419402,1.0,0.020888116,12.717424826188521,43.72727272727273,427.1161020917688,,11,12884,561
0.012457059,0.41894197,,54.0168833732605,0.0054262397,1.0,0.012457059,109.05558976260099,55.0,539.8030748732457,,11,13489,572
0.02127759,0.41894197,,55.13397431373596,0.009466069,1.0,0.02127759,65.433856530623,47.36363636363637,463.4492129887347,,11,14010,583
0.017609762,0.41894197,,56.07017993927002,0.0095519675,1.0,0.017609762,39.07854028181596,42.54545454545455,415.30214207309507,,11,14478,594
0.019843752,0.41894197,,57.07653331756592,0.0077616023,1.0,0.019843752,35.44895206798207,38.09090909090909,370.7582176435005,,11,14897,605
0.016017944,0.41894197,,58.16989326477051,0.009553905,1.0,0.016017944,96.33271702853116,62.45454545454545,614.3671253271965,,11,15584,616
0.011997801,0.41894197,,59.186416149139404,0.008796994,1.0,0.011997801,88.16593265533447,52.54545454545455,515.3063696424296,,11,16162,627
0.006504359,0.41894197,,60.29731011390686,0.009865916,1.0,0.006504359,55.42711231925271,47.45454545454545,464.3557007550899,,11,16684,638
0.022315433,0.41894197,,61.27226996421814,0.007924263,1.0,0.022315433,139.06121089241722,54.09090909090909,530.7189114596467,,11,17279,649
0.029914878,0.41894197,,62.33115863800049,0.007399297,1.0,0.029914878,88.15277593786067,57.72727272727273,567.0751297819805,,11,17914,660
0.02310607,0.41894197,,63.705912828445435,0.0090813525,1.0,0.02310607,110.86942672729492,52.54545454545455,515.2513957971764,,11,18492,671
0.01864045,0.41894197,,64.57291173934937,0.008820208,1.0,0.01864045,43.61169494282115,38.0,369.83318274108603,,11,18910,682
0.035609055,0.41894197,,65.43445372581482,0.009438716,1.0,0.035609055,96.33676138791171,52.54545454545455,515.2566375971974,,11,19488,693
0.007330349,0.41894197,,66.57784223556519,0.007902603,1.0,0.007330349,121.79119352860884,54.09090909090909,530.7453159522636,,11,20083,704
0.0142034395,0.41894197,,67.5723946094513,0.00783492,1.0,0.0142034395,52.7144139029763,45.81818181818182,448.03657481150555,,11,20587,715
0.015203566,0.41894197,,68.5635142326355,0.008284106,1.0,0.015203566,116.32145318118009,56.0,549.8161840382307,,11,21203,726
0.027105233,0.41894197,,69.69586443901062,0.009814061,1.0,0.027105233,152.69136264107445,55.0,539.8190050759158,,11,21808,737
0.053008456,0.41894197,,70.634850025177,0.009447346,1.0,0.053008456,113.60369058088823,62.27272727272727,612.5367154292595,,11,22493,748
0.022919757,0.41894197,,71.78719902038574,0.008304158,1.0,0.022919757,113.60250941189852,59.72727272727273,587.1008913253916,,11,23150,759
0.0074098003,0.41894197,,72.84394335746765,0.008384705,1.0,0.0074098003,101.77131817557596,68.18181818181819,671.5828115701298,,11,23900,770
0.0365696,0.41894197,,74.35920238494873,0.007992974,1.0,0.0365696,149.97137676585805,75.54545454545455,745.267993031393,,11,24731,781
0.018102549,0.41894197,,75.88425397872925,0.006774123,1.0,0.018102549,129.96794587915593,63.72727272727273,627.0841772617003,,11,25432,792
0.039443977,0.41894197,,77.0246810913086,0.009939609,1.0,0.039443977,145.41190832311457,72.9090909090909,718.8740281847007,,11,26234,803
0.03369767,0.41894197,,78.14736700057983,0.009992838,1.0,0.03369767,107.2389853217385,68.0909090909091,670.6901907279695,,11,26983,814
0.018753054,0.41894197,,79.63800477981567,0.009337702,1.0,0.018753054,126.3135832006281,58.54545454545455,575.2370199906687,,11,27627,825
0.018155659,0.41894197,,80.91134428977966,0.009708824,1.0,0.018155659,109.0584209615534,51.81818181818182,508.0106321987268,,11,28197,836
0.014551732,0.41894197,,82.06772708892822,0.009454525,1.0,0.014551732,50.871804063970394,49.90909090909091,488.876284261663,,11,28746,847
0.025181117,0.41894197,,83.16847276687622,0.009782404,1.0,0.025181117,123.61045438593084,58.63636363636363,576.1610747000145,,11,29391,858
0.014035634,0.41894197,,84.58493614196777,0.008910833,1.0,0.014035634,125.42627499320291,64.0,629.8017731061854,,11,30095,869
0.01903661,0.41894197,,85.72905659675598,0.009731541,1.0,0.01903661,111.75878490101208,58.63636363636363,576.170101926025,,11,30740,880
0.036654774,0.41894197,,86.88850831985474,0.009955963,1.0,0.036654774,129.04809891093862,78.9090909090909,778.8171839657263,,11,31608,891
0.015880672,0.41894197,,88.21984815597534,0.008427931,1.0,0.015880672,58.148948582735926,48.18181818181818,471.62578979743574,,11,32138,902
0.016073013,0.41894197,,89.27079939842224,0.009651726,1.0,0.016073013,113.60328761014071,51.27272727272727,502.5520810623902,,11,32702,913
0.022027848,0.41894197,,90.4797351360321,0.009781972,1.0,0.022027848,145.42307021401146,51.27272727272727,502.54291569827234,,11,33266,924
0.028931893,0.41894197,,91.47967600822449,0.009611887,1.0,0.028931893,89.96214580535889,57.18181818181818,561.5964227002473,,11,33895,935
0.014340464,0.41894197,,92.56259250640869,0.008889641,1.0,0.014340464,84.52112024480647,52.72727272727273,517.0928921999184,,11,34475,946
0.032830242,0.41894197,,93.78796792030334,0.009082722,1.0,0.032830242,135.4070227362893,68.0,669.7682542853173,,11,35223,957
